{' 20': -1.9945519, ' 30': -3.109859, ' 25': -1.082395, ' 21': -1.561044, ' 27': -3.123544}
{' 30': -2.531029, ' 40': -2.4420323, ' 45': -1.1656727, ' 44': -2.7728739, ' 41': -2.5922358}
{' 30': -1.6059489, ' 25': -2.4829946, ' 40': -1.8647723, ' 35': -2.3319201, ' 45': -2.2780595}
{' 22': -1.308948, ' 21': -1.4629436, ' 25': -2.1269107, ' 23': -2.2827964, ' 33': -2.4359794}
{' 45': -1.674233, ' 44': -2.38839, ' 43': -2.1325176, ' 55': -2.576599, ' 41': -2.7517488}
{' 30': -4.1047897, ' 50': -3.177148, ' 40': -1.8778927, ' 35': -2.0127137, ' 45': -0.452144}
{' 45': -2.4082725, ' 43': -1.8789297, ' 41': -2.4341035, ' 47': -2.5317523, ' 51': -2.4997108}
{' 45': -2.0182042, ' 39': -2.5349185, ' 43': -1.8344313, ' 47': -2.4042232, ' 51': -2.4977577}
{' 45': -1.9888928, ' 49': -2.2777588, ' 43': -2.030578, ' 47': -1.9676105, ' 51': -1.845689}
{' 45': -0.741532, ' 39': -2.275071, ' 43': -2.2824047, ' 42': -2.834359, ' 35': -2.84035}
{' 50': -1.9549272, ' 45': -1.3103522, ' 55': -1.8396738, ' 46': -2.635803, ' 51': -2.6375065}
{' 45': -1.1709523, ' 49': -2.1619802, ' 43': -2.9243972, ' 51': -1.9785923, ' 54': -2.5607743}
{' 55': -2.2541518, ' 47': -2.6086895, ' 51': -1.8781295, ' 54': -2.2530494, ' 53': -2.5741591}
{' 50': -2.5456762, ' 48': -2.2507, ' 46': -2.6929789, ' 51': -2.4159975, ' 54': -2.4082718}
{' 43': -2.6666636, ' 55': -2.3139007, ' 47': -2.8493857, ' 51': -2.137486, ' 53': -1.6855351}
{' 60': -2.4669065, ' 48': -1.6697559, ' 42': -2.2836876, ' 54': -1.6607447, ' 56': -2.3286088}
{' 51': -1.6214335, ' 61': -2.3404562, ' 56': -2.3928578, ' 55': -2.412743, ' 57': -2.6208854}
{' 45': -1.7499685, ' 49': -2.3400373, ' 43': -1.2665397, ' 41': -2.6928196, ' 47': -1.9642649}
{' 45': -1.7322887, ' 53': -2.0788844, ' 43': -2.185841, ' 51': -2.3529305, ' 49': -2.38987}
{' 48': -2.01647, ' 51': -2.1524804, ' 54': -1.8797895, ' 56': -2.4992447, ' 57': -2.496437}
{' 55': -1.5106105, ' 51': -1.9089783, ' 65': -2.276166, ' 59': -3.0439944, ' 45': -3.1092157}
{' 60': -2.826959, ' 70': -2.8261185, ' 64': -1.1351101, ' 56': -2.764499, ' 72': -2.3169053}
{' 45': -1.5684115, ' 50': -1.9044005, ' 52': -2.1391263, ' 48': -2.4646938, ' 51': -2.716372}
{' 60': -2.3036513, ' 45': -2.336389, ' 55': -3.040384, ' 54': -1.9481962, ' 63': -1.0221975}
{' 50': -0.56978554, ' 55': -2.163365, ' 49': -2.420131, ' 45': -2.4437182, ' 51': -3.6426816}
