{' 25': -1.3974487, ' 21': -1.917804, ' 20': -1.9817727, ' 23': -2.098532, ' 22': -2.2613223}
{' 25': -1.7988217, ' 33': -1.8634923, ' 21': -2.0910075, ' 27': -2.3420708, ' 31': -2.8101444}
{' 25': -1.412479, ' 23': -1.8515202, ' 21': -1.6359669, ' 22': -2.4150522, ' 27': -2.7839904}
{' 25': -1.2803531, ' 33': -2.3317876, ' 21': -2.4572845, ' 23': -2.543611, ' 35': -2.7095234}
{' 22': -1.3161287, ' 23': -2.0146415, ' 33': -2.2600307, ' 25': -2.369195, ' 24': -2.460805}
{' 25': -2.0009077, ' 29': -2.1471298, ' 33': -2.2144022, ' 30': -2.2746446, ' 31': -2.6184251}
{' 35': -2.5467298, ' 33': -2.2716558, ' 37': -2.7045658, ' 43': -2.3005664, ' 41': -2.316839}
{' 30': -1.6128243, ' 40': -2.4607449, ' 36': -2.2350712, ' 34': -2.455329, ' 42': -2.314518}
{' 35': -2.3108323, ' 33': -2.4836533, ' 39': -2.5440207, ' 43': -2.124282, ' 41': -2.5330079}
{' 42': -2.2614956, ' 43': -2.4415207, ' 39': -2.572773, ' 37': -2.6265962, ' 33': -2.8420105}
{' 35': -2.00044, ' 45': -2.0660791, ' 39': -2.2129536, ' 43': -1.7307922, ' 47': -2.0849926}
{' 45': -1.6605209, ' 39': -2.2453885, ' 43': -2.0640435, ' 47': -2.2549329, ' 51': -2.4115214}
{' 45': -2.5795105, ' 43': -1.8634346, ' 55': -2.5959184, ' 47': -1.6488578, ' 51': -2.486592}
{' 48': -2.7928042, ' 42': -2.8885055, ' 52': -2.9014258, ' 51': -1.5704018, ' 54': -2.227386}
{' 45': -1.9792879, ' 47': -2.1239614, ' 51': -2.2288578, ' 43': -2.2531118, ' 55': -2.4439266}
{' 42': -1.686966, ' 44': -1.8492098, ' 48': -2.3265839, ' 46': -2.3641994, ' 54': -2.8281994}
{' 45': -2.3143744, ' 43': -2.438933, ' 41': -2.7706742, ' 47': -2.1125472, ' 51': -2.4395413}
{' 60': -2.6303182, ' 48': -2.5529227, ' 42': -2.5520484, ' 54': -2.1621222, ' 56': -2.205818}
{' 55': -1.5439024, ' 51': -2.3053274, ' 53': -2.761014, ' 57': -2.706952, ' 59': -1.4201975}
{' 63': -1.9389017, ' 55': -1.9689395, ' 65': -2.14982, ' 59': -2.5860803, ' 61': -2.8628232}
{' 45': -1.3713189, ' 49': -2.6859791, ' 55': -2.8286238, ' 51': -2.2432768, ' 59': -3.0063593}
{' 49': -2.3424826, ' 59': -2.3565779, ' 65': -2.516632, ' 63': -2.5626478, ' 55': -2.8252754}
{' 55': -1.8131956, ' 57': -2.4361978, ' 59': -1.7988476, ' 63': -2.6898472, ' 61': -2.716739}
{' 55': -1.9967384, ' 51': -1.9482985, ' 53': -2.293747, ' 57': -2.6088533, ' 59': -2.7982209}
{' 65': -1.83774, ' 59': -2.8280478, ' 63': -1.977806, ' 61': -2.730445, ' 69': -2.5458071}
{' 50': -1.811873, ' 45': -2.5830216, ' 48': -2.260754, ' 46': -3.0151713, ' 54': -1.2500863}
{' 50': -2.873195, ' 45': -1.6021388, ' 55': -1.3804581, ' 51': -2.316786, ' 59': -3.2404387}
{' 55': -1.6052068, ' 51': -2.2712932, ' 57': -2.7508922, ' 59': -2.3686538, ' 61': -2.2162375}
{' 45': -2.502522, ' 55': -1.1846175, ' 51': -1.8657737, ' 53': -2.1083636, ' 59': -2.6962085}
{' 55': -1.4104555, ' 65': -2.8131282, ' 51': -2.6790214, ' 59': -2.2505565, ' 61': -2.806003}
{' 55': -1.4237479, ' 59': -1.958683, ' 53': -3.000178, ' 60': -3.0143325, ' 51': -3.2492414}
{' 55': -1.2646667, ' 59': -2.0723479, ' 57': -2.520728, ' 51': -2.5664454, ' 53': -2.7260418}
{' 55': -2.126123, ' 65': -2.6624162, ' 51': -2.6517694, ' 59': -2.04538, ' 61': -1.8301865}
{' 65': -2.2061117, ' 59': -2.132964, ' 63': -1.4206091, ' 67': -1.8710849, ' 61': -2.251662}
{' 71': -1.313306, ' 75': -1.5372307, ' 69': -1.7154725, ' 70': -2.223304, ' 65': -2.9858217}
{' 67': -1.7227943, ' 73': -1.985541, ' 68': -2.1932874, ' 71': -2.287192, ' 66': -2.6001334}
{' 70': -1.7665765, ' 68': -2.4970193, ' 69': -2.3507345, ' 73': -2.2488172, ' 71': -1.870734}
{' 75': -2.5296082, ' 77': -1.7830739, ' 76': -2.147019, ' 78': -1.6849113, ' 79': -2.2593503}
