{' 30': -2.107101, ' 25': -1.1309199, ' 28': -2.794481, ' 27': -1.7617774, ' 29': -2.008375}
{'30': -7.882287, ' 30': -0.019709399, ' 29': -6.883882, ' 31': -4.065758, ' 32': -7.444117}
{' 30': -1.135939, ' 33': -1.7862407, ' 32': -1.9752668, ' 26': -2.3872206, ' 28': -2.627889}
{' 30': -1.856884, ' 31': -3.4055862, ' 35': -3.0630052, ' 32': -3.2594833, ' 33': -0.39749727}
{' 30': -0.41281596, ' 31': -3.1410928, ' 32': -2.383956, ' 36': -2.9680374, ' 33': -2.353692}
{' 36': -1.2922562, ' 38': -1.4665593, ' 34': -1.7281407, ' 35': -2.3777285, ' 37': -2.7420816}
{' 30': -1.8314563, ' 32': -1.7261517, ' 36': -2.5440972, ' 33': -1.5920652, ' 34': -1.8039714}
{' 35': -0.98118025, ' 33': -1.0319196, ' 34': -3.0777302, ' 37': -3.086441, ' 31': -3.3057537}
{' 30': -0.8366856, ' 28': -2.947739, ' 27': -1.595469, ' 29': -2.879561, ' 33': -1.887425}
{' 39': -1.9246192, ' 37': -2.0829616, ' 42': -2.1050143, ' 43': -1.9075866, ' 41': -1.6871847}
{' 35': -1.863095, ' 33': -2.3309848, ' 39': -1.4999912, ' 37': -1.1090133, ' 41': -2.639712}
{' 42': -0.32981822, ' 40': -2.491714, ' 44': -2.538314, ' 48': -3.2699137, ' 36': -4.1145086}
{' 42': -0.3529912, ' 44': -4.639299, ' 43': -3.324652, ' 55': -3.6871583, ' 56': -1.7391416}
{' 45': -1.5338888, ' 49': -1.0156736, ' 43': -2.341094, ' 41': -2.7416716, ' 47': -1.9928732}
{' 43': -1.552127, ' 45': -1.7505238, ' 44': -2.5193913, ' 47': -2.6536627, ' 53': -2.770902}
{' 49': -1.1406535, ' 45': -1.8458097, ' 50': -2.1209924, ' 43': -2.861324, ' 47': -2.959749}
{' 49': -1.3303329, ' 45': -1.6389533, ' 43': -2.082742, ' 47': -2.1731102, ' 51': -3.0285761}
{' 45': -0.6228733, ' 49': -2.330227, ' 43': -1.995882, ' 41': -2.9698906, ' 47': -3.2329326}
{' 45': -1.5902121, ' 39': -2.3827155, ' 43': -1.5986425, ' 41': -2.669102, ' 47': -2.5015833}
{' 50': -2.4434304, ' 48': -1.7744032, ' 49': -2.1235702, ' 52': -2.4882495, ' 56': -2.216125}
