{' 30': -1.0943892, ' 25': -1.7470438, ' 28': -2.7338154, ' 32': -3.155139, ' 33': -2.7934296}
{' 21': -1.064624, ' 22': -1.3810378, ' 25': -2.401101, ' 26': -2.6435995, ' 23': -2.8219116}
{' 40': -2.7272072, ' 36': -2.196215, ' 33': -2.7477922, ' 42': -2.431122, ' 44': -2.1662903}
{' 30': -2.2598236, ' 25': -1.7414682, ' 27': -2.4306228, ' 29': -2.2199428, ' 33': -1.9348344}
{' 30': -2.280955, ' 35': -2.3966634, ' 36': -2.3718517, ' 33': -1.7973372, ' 34': -2.5821178}
{' 35': -2.0685215, ' 36': -2.877551, ' 33': -1.625065, ' 34': -2.5157795, ' 37': -2.3913383}
{' 37': -1.5051726, ' 33': -1.5179403, ' 35': -1.8737122, ' 39': -2.44977, ' 34': -2.8799922}
{' 33': -1.5813607, ' 45': -2.1400793, ' 39': -2.3551767, ' 43': -2.4184978, ' 35': -2.5283346}
{' 45': -2.5220401, ' 36': -2.3419967, ' 33': -1.7292696, ' 39': -2.6360939, ' 42': -2.5290678}
{' 45': -2.0237486, ' 51': -2.1375947, ' 47': -2.234015, ' 50': -2.4534535, ' 48': -2.4642377}
{' 45': -1.491711, ' 39': -2.7310507, ' 42': -2.36807, ' 43': -1.9033912, ' 47': -2.7033226}
{' 45': -1.1156635, ' 48': -2.729146, ' 43': -2.504881, ' 47': -2.9749289, ' 51': -2.093075}
{' 45': -2.4389184, ' 36': -2.6878471, ' 48': -1.4032116, ' 42': -2.239665, ' 44': -2.552119}
{' 45': -1.6204422, ' 48': -2.1934447, ' 55': -2.9640634, ' 51': -1.9915653, ' 54': -2.1166456}
{' 45': -1.6989721, ' 48': -2.2426884, ' 40': -2.366778, ' 42': -2.6802783, ' 50': -3.0044847}
{' 45': -2.1010542, ' 44': -2.8166025, ' 43': -2.1631956, ' 47': -2.6304789, ' 46': -2.7310638}
{' 45': -2.2248955, ' 44': -2.5661497, ' 43': -2.0926104, ' 47': -2.69465, ' 46': -2.4452686}
{' 45': -1.4136714, ' 40': -1.6727046, ' 42': -2.3910348, ' 43': -2.58704, ' 41': -2.85091}
{' 51': -1.1374741, ' 45': -1.6604767, ' 49': -2.2060814, ' 57': -2.5078068, ' 55': -2.672968}
{' 50': -2.67585, ' 45': -1.463912, ' 55': -1.5046893, ' 51': -2.810956, ' 53': -2.1368647}
{' 49': -2.1954165, ' 55': -1.9636793, ' 53': -1.5848436, ' 57': -1.6357585, ' 59': -2.8114958}
{' 45': -2.519403, ' 55': -2.4717002, ' 51': -2.4379334, ' 54': -2.1702237, ' 57': -2.7893813}
