{' 25': -1.4947186, ' 21': -1.5687658, ' 22': -2.1104813, ' 33': -2.7979405, ' 20': -2.8544052}
{' 25': -1.827117, ' 24': -3.2822018, ' 23': -2.342002, ' 21': -1.6494226, ' 22': -1.1661272}
{' 20': -2.600327, ' 30': -2.3595834, ' 25': -1.7046857, ' 21': -1.6376262, ' 22': -1.8591722}
{' 30': -1.8643064, ' 25': -1.6216584, ' 24': -2.7653286, ' 23': -3.0678377, ' 33': -2.7764683}
{' 25': -2.5955675, ' 31': -2.8866267, ' 35': -2.2751758, ' 33': -2.013191, ' 41': -2.769963}
{' 33': -1.8522593, ' 31': -2.3793292, ' 35': -2.4917035, ' 37': -2.5003762, ' 41': -2.64729}
{' 25': -2.2028847, ' 27': -2.549224, ' 35': -2.732853, ' 33': -1.7113744, ' 37': -2.2331276}
{' 33': -1.5834535, ' 30': -2.5422204, ' 35': -2.6448872, ' 37': -2.8680108, ' 27': -2.9692643}
{' 45': -1.2332412, ' 48': -2.8755472, ' 39': -2.8037775, ' 42': -2.6424751, ' 43': -2.4386015}
{' 45': -2.6556675, ' 37': -2.8321953, ' 43': -2.5468543, ' 41': -2.2186625, ' 51': -2.356375}
{' 45': -1.8017235, ' 33': -2.3327408, ' 42': -2.5145924, ' 43': -2.7080154, ' 51': -2.7293625}
{' 45': -1.6800779, ' 51': -1.9780152, ' 43': -2.4760175, ' 55': -2.724973, ' 53': -2.7344003}
{' 42': -2.174612, ' 45': -2.357317, ' 51': -2.447378, ' 48': -2.4993408, ' 43': -2.5491352}
{' 45': -2.0579114, ' 51': -2.0590816, ' 43': -2.2653642, ' 47': -2.6120524, ' 53': -2.781575}
{' 45': -2.4731581, ' 55': -1.5018922, ' 47': -2.7065966, ' 51': -2.0847142, ' 53': -2.0464745}
{' 51': -1.4378244, ' 45': -1.5276583, ' 49': -2.2900355, ' 55': -2.5026693, ' 47': -2.5276136}
{' 55': -1.9073944, ' 51': -1.8874884, ' 53': -1.875968, ' 57': -2.3832273, ' 59': -2.691995}
{' 55': -2.4210694, ' 65': -2.0788462, ' 57': -2.0221798, ' 59': -1.912496, ' 61': -2.060199}
{' 55': -2.0096545, ' 51': -2.4222503, ' 45': -2.433638, ' 50': -2.5809066, ' 57': -2.863754}
{' 60': -2.4717257, ' 45': -1.8400509, ' 55': -1.9701626, ' 51': -2.2594824, ' 57': -2.5860264}
{' 55': -1.4933915, ' 53': -2.6207976, ' 58': -2.8058276, ' 57': -1.7612149, ' 59': -1.9683682}
{' 55': -2.2478478, ' 56': -2.6934645, ' 57': -2.900228, ' 59': -2.6062531, ' 71': -2.4083848}
{' 51': -2.059982, ' 55': -2.1232545, ' 53': -2.1586416, ' 59': -2.7862794, ' 50': -2.9075582}
{' 60': -2.8219132, ' 45': -3.0907142, ' 70': -3.0953872, ' 55': -2.1386535, ' 65': -2.5514486}
{' 55': -1.5144892, ' 60': -1.538291, ' 59': -2.6872654, ' 56': -2.7800446, ' 58': -2.9895294}
{' 50': -1.414946, ' 52': -2.3285403, ' 51': -2.7611995, ' 54': -2.120721, ' 56': -2.8301234}
{' 60': -1.7939545, ' 55': -2.1789918, ' 65': -1.9206406, ' 63': -2.7728736, ' 62': -2.7881}
{' 50': -1.3643897, ' 51': -1.911934, ' 55': -2.0748742, ' 45': -2.71326, ' 53': -2.7140477}
{' 50': -2.0961757, ' 55': -1.8408655, ' 52': -2.6373658, ' 51': -1.9143451, ' 53': -2.4931157}
{' 60': -1.9598774, ' 55': -2.100263, ' 65': -2.702786, ' 57': -2.8669524, ' 59': -2.7937112}
{' 60': -3.07697, ' 64': -1.7360735, ' 54': -0.8535698, ' 56': -3.378725, ' 59': -2.651077}
{' 59': -1.9327412, ' 55': -2.4162216, ' 61': -2.638834, ' 58': -2.6901567, ' 65': -2.721345}
{' 60': -2.0705914, ' 61': -2.1030135, ' 65': -2.322742, ' 63': -2.4962773, ' 55': -2.9103532}
{' 55': -2.2638152, ' 53': -2.2742891, ' 57': -2.3946059, ' 65': -2.4946158, ' 61': -2.7222683}
{' 60': -1.1924096, ' 65': -2.569192, ' 63': -3.0096543, ' 62': -2.9297774, ' 61': -2.215537}
{' 65': -1.2264448, ' 63': -1.9591395, ' 67': -1.4793555, ' 61': -2.2577198, ' 69': -2.6792095}
{' 70': -2.8248181, ' 75': -2.0945907, ' 85': -2.9823327, ' 73': -2.968683, ' 79': -2.926848}
{' 70': -2.1059048, ' 68': -2.2666953, ' 65': -2.5051053, ' 69': -2.56261, ' 66': -2.604831}
{' 70': -1.2103398, ' 68': -3.7168884, ' 67': -1.9125493, ' 69': -1.1084492, ' 71': -1.7061703}
{' 70': -1.7187426, ' 68': -1.8965915, ' 67': -2.2961848, ' 69': -1.270739, ' 71': -2.3919642}
{' 70': -1.2489388, ' 65': -1.3663476, ' 69': -2.7293139, ' 68': -2.9128954, ' 75': -3.0625868}
{' 22': -1.1729969, ' 20': -1.7624867, ' 21': -1.894932, ' 25': -2.5689826, ' 30': -2.85304}
{' 30': -2.7724254, ' 25': -1.1278619, ' 23': -2.699435, ' 21': -2.6083841, ' 22': -1.9101762}
{' 33': -2.169171, ' 25': -2.3698022, ' 22': -2.4329793, ' 23': -2.9120564, ' 24': -3.0206096}
{' 25': -1.878148, ' 35': -2.4002244, ' 45': -1.9199579, ' 33': -2.6893165, ' 41': -2.932083}
{' 30': -2.5902042, ' 45': -1.3551313, ' 36': -2.2976544, ' 48': -2.7509844, ' 51': -2.779004}
{' 45': -2.5059829, ' 33': -2.2775452, ' 43': -2.2877736, ' 41': -1.7813667, ' 51': -2.3319545}
{' 33': -2.0517204, ' 35': -2.5341673, ' 37': -2.6448562, ' 25': -2.6468315, ' 43': -2.6942492}
