{' 30': -0.99543965, ' 25': -1.4129983, ' 24': -2.129408, ' 22': -2.2171671, ' 28': -2.6471424}
{' 30': -1.6705228, ' 29': -1.8948098, ' 31': -0.80830586, ' 32': -2.8423748, ' 33': -2.1300488}
{' 30': -2.1097004, ' 31': -1.3671315, ' 32': -1.5118763, ' 33': -0.92557645, ' 34': -5.098469}
{' 30': -1.5792016, ' 28': -2.0467021, ' 29': -1.3370446, ' 31': -1.8746176, ' 33': -2.1185253}
{' 30': -1.616054, ' 29': -1.9449649, ' 31': -1.9028869, ' 35': -3.2277265, ' 33': -1.1270614}
{' 31': -1.8643881, ' 35': -1.88638, ' 33': -0.8506344, ' 39': -3.0103157, ' 37': -2.6466806}
{' 30': -1.7299432, ' 28': -3.0402918, ' 29': -1.3137064, ' 31': -1.6183366, ' 33': -2.0355673}
{' 30': -1.1592296, ' 28': -1.2609599, ' 32': -2.2478373, ' 31': -2.530948, ' 29': -2.5386527}
{' 33': -0.9378819, ' 30': -1.0902505, ' 32': -2.8214974, ' 34': -2.9346523, ' 36': -3.1379604}
{' 35': -1.8035483, ' 38': -2.3879294, ' 33': -1.8086581, ' 34': -2.0867553, ' 37': -2.2521605}
{' 35': -2.9954023, ' 36': -1.4293531, ' 33': -1.3983492, ' 39': -1.8820833, ' 42': -1.9457297}
{' 33': -1.5557575, ' 35': -1.6382579, ' 37': -1.6437073, ' 39': -2.0877247, ' 38': -3.1177063}
{' 45': -2.6094856, ' 39': -1.7422674, ' 37': -2.0286598, ' 43': -1.7722318, ' 41': -1.8994597}
{' 39': -1.6116306, ' 41': -1.809026, ' 43': -1.981267, ' 37': -1.9994766, ' 45': -2.2322686}
{' 36': -1.7517979, ' 42': -1.9227899, ' 40': -2.0011475, ' 44': -2.273024, ' 38': -2.3706717}
{' 45': -1.2271634, ' 39': -2.7320778, ' 42': -1.858225, ' 43': -2.244301, ' 41': -2.3867419}
{' 45': -0.5332303, ' 36': -2.5059953, ' 42': -2.8168187, ' 44': -3.2428896, ' 43': -2.8799253}
{' 40': -1.5913535, ' 48': -2.4692173, ' 42': -1.4007196, ' 44': -1.5240774, ' 46': -2.5399237}
{' 45': -1.0262903, ' 39': -2.3822443, ' 43': -1.809295, ' 41': -2.811806, ' 47': -2.7400658}
{' 40': -3.7933397, ' 45': -0.23104694, ' 39': -3.412392, ' 43': -3.866024, ' 54': -3.5136194}
{' 45': -1.151529, ' 43': -2.1826723, ' 44': -2.3774154, ' 47': -2.486037, ' 46': -2.677962}
{' 40': -0.7864274, ' 45': -1.08014, ' 50': -1.9651382, ' 35': -3.7353694, ' 49': -5.344104}
{' 41': -0.9256664, ' 45': -1.1439471, ' 43': -2.1020007, ' 42': -3.4723942, ' 39': -3.5221646}
{' 45': -1.1216189, ' 43': -2.1739697, ' 40': -2.194981, ' 41': -2.4189076, ' 44': -2.6030192}
{' 45': -0.8666575, ' 49': -1.3706783, ' 50': -2.670167, ' 47': -3.3242142, ' 40': -3.3922856}
