{'30': -1.3858922, '25': -2.229974, '29': -2.4599679, '27': -2.4268906, '31': -1.4685528}
{'30': -4.126084, '25': -1.065564, '29': -4.1580663, '27': -0.5911166, '26': -2.9732502}
{'33': -2.979783, '45': -2.0286503, '35': -0.88047993, '31': -3.0805426, '41': -2.483744}
{'50': -2.5107517, '30': -2.1688662, '40': -1.3168592, '45': -1.9134225, '41': -1.9957837}
{'45': -1.0792333, '44': -3.3071136, '47': -2.5958061, '43': -2.2827704, '41': -1.5856552}
{'30': -2.3351052, '27': -2.7713673, '33': -1.8983243, '35': -1.4427769, '31': -2.0430195}
{'41': -1.5269418, '45': -1.807017, '35': -2.0641067, '39': -2.753741, '37': -2.77298}
{'50': -1.8868587, '44': -2.0993776, '46': -2.1223094, '48': -2.1225233, '42': -2.2146327}
{'45': -2.042775, '36': -2.4987135, '48': -2.0013227, '42': -2.0777848, '54': -2.7372265}
{'41': -1.8169209, '35': -1.8678626, '37': -2.2243078, '33': -2.4677446, '43': -2.6799219}
{'45': -2.0729513, '47': -2.6146326, '43': -2.3859224, '42': -2.8942626, '41': -1.8344164}
{'50': -1.5032823, '60': -1.6132256, '55': -2.7601259, '54': -2.5953748, '51': -2.8532977}
{'41': -1.3521303, '45': -2.1976142, '43': -2.5926087, '47': -2.7295003, '35': -2.945659}
{'41': -1.8916218, '45': -2.0511277, '42': -2.6502926, '43': -2.6821415, '40': -2.6972687}
{'60': -1.8251303, '59': -2.6527348, '57': -2.6141813, '51': -1.6318816, '61': -2.6168213}
{'51': -1.5607114, '55': -2.2615666, '49': -2.4259636, '50': -2.5151467, '45': -2.8121657}
{'50': -2.6973224, '45': -2.066297, '47': -2.2939107, '49': -2.5393713, '51': -2.148609}
{'50': -1.6879195, '45': -0.8923319, '47': -3.3401904, '49': -2.70005, '41': -2.7165468}
{'44': -1.3718237, '48': -1.7647946, '45': -2.2717888, '50': -2.6726038, '40': -2.752082}
{'50': -2.5517156, '45': -2.2120895, '49': -1.4070491, '53': -2.386362, '51': -2.2148342}
{'50': -1.8401445, '40': -2.1537795, '45': -1.2292684, '44': -2.7042918, '48': -2.554269}
{'60': -0.5310956, '50': -1.1375256, '55': -3.890043, '51': -4.3107815, '70': -4.323999}
{'60': -1.5965713, '55': -2.4060616, '54': -2.415728, '53': -2.389849, '51': -2.4311242}
{'50': -0.4837358, '60': -1.5868337, '55': -2.8740458, '52': -4.0481067, '51': -3.177055}
{'60': -1.6912231, '55': -2.352581, '59': -2.578843, '56': -2.5383644, '51': -2.7382944}
{'50': -0.8963002, '55': -2.7331703, '52': -2.7753265, '53': -2.9370103, '51': -2.0042715}
{'60': -1.0844038, '55': -2.5071676, '59': -2.157808, '56': -2.7587068, '54': -2.8454072}
{'60': -1.7042737, '61': -2.274737, '59': -2.3808885, '58': -2.660811, '62': -2.7410035}
{'63': -2.0598495, '67': -2.3085716, '71': -2.3090386, '65': -2.563128, '60': -2.627213}
{'60': -1.6903586, '59': -1.8507744, '58': -2.6331325, '57': -2.7016807, '61': -2.1795783}
