{'50': -2.177479, '40': -2.8421614, '45': -1.053427, '35': -2.7191286, '41': -2.0105975}
{'50': -2.6960518, '40': -3.1201186, '45': -1.3349394, '41': -1.7032312, '51': -2.6601727}
{'45': -1.4221057, '41': -1.970439, '50': -2.0842943, '51': -2.6008806, '40': -2.803152}
{'50': -1.1564711, '45': -1.3082236, '55': -2.6507158, '41': -3.3980978, '51': -2.483794}
{'45': -1.650614, '50': -2.2094846, '41': -2.2584603, '51': -2.2603276, '47': -3.0188076}
{'45': -1.0148163, '51': -2.1613598, '55': -2.5441303, '41': -2.5952787, '50': -3.1178415}
{'45': -1.9497037, '47': -2.3216958, '49': -2.4110131, '53': -2.5040135, '51': -2.0739408}
{'51': -1.526302, '55': -1.9824672, '53': -2.1474051, '47': -2.5835302, '45': -2.6406226}
{'45': -2.2230594, '47': -2.667279, '43': -2.525173, '41': -2.1986501, '51': -2.6579616}
{'55': -1.6542906, '53': -2.12733, '51': -2.132049, '60': -2.2326922, '50': -2.283477}
{'60': -1.1908458, '54': -2.2204115, '50': -2.6495805, '45': -2.989343, '48': -3.107859}
{'51': -1.6551329, '53': -2.2028606, '49': -2.406594, '45': -2.5108078, '55': -2.6405294}
{'45': -2.3501506, '55': -2.4394698, '49': -2.079452, '59': -2.4600682, '51': -1.8609233}
{'51': -1.6023494, '49': -1.9859269, '53': -2.153537, '59': -2.4396927, '47': -2.501687}
{'55': -2.5869997, '49': -2.4060514, '59': -2.5449476, '53': -2.215884, '51': -2.02777}
{'60': -1.5184103, '45': -1.6050937, '51': -2.2662342, '50': -2.5106428, '55': -2.5999906}
{'60': -1.8923105, '45': -1.8902429, '55': -2.640244, '65': -2.9702923, '63': -2.7845225}
{'61': -2.0608742, '64': -2.4677544, '59': -2.5111942, '60': -2.5233717, '63': -2.7187388}
{'60': -1.6037078, '59': -2.2600312, '61': -2.4863591, '55': -2.6461415, '62': -2.9117167}
{'50': -1.745838, '60': -1.8257922, '48': -1.9526078, '56': -2.3580139, '51': -2.6248825}
{'60': -1.5313425, '64': -2.5613441, '65': -2.345856, '63': -2.1384785, '62': -2.0448258}
{'60': -1.9872854, '61': -2.0563905, '51': -2.4450653, '55': -2.461229, '53': -2.7014377}
{'65': -2.1600063, '71': -2.248697, '61': -2.4655511, '67': -2.59514, '59': -2.6218183}
{'50': -3.7988908, '60': -0.0886762, '64': -3.669006, '56': -3.7827547, '54': -5.5670056}
{'60': -1.1236124, '65': -2.145934, '59': -2.8362875, '63': -2.3934345, '62': -2.1401968}
{'60': -1.1143141, '59': -1.7615805, '55': -2.5092394, '50': -2.554636, '53': -3.2592869}
{'60': -1.6599834, '59': -2.4686887, '58': -2.4494798, '54': -2.2614677, '62': -2.3285377}
{'55': -2.1135585, '59': -1.8100001, '53': -2.3826616, '51': -2.1489265, '61': -2.1571462}
{'60': -2.463806, '65': -1.9930588, '59': -2.64737, '63': -2.451574, '61': -1.7394643}
{'70': -2.5213633, '72': -2.700448, '71': -2.2235005, '62': -1.855529, '61': -2.7337236}
{'65': -2.642559, '67': -2.6293612, '71': -2.0933495, '63': -2.4746008, '61': -2.5902042}
{'60': -1.7344003, '64': -1.8990557, '65': -2.342066, '63': -2.3523982, '62': -2.102631}
{'64': -2.362315, '65': -2.0695713, '59': -2.260844, '63': -1.5715605, '62': -2.2141995}
{'65': -1.6387434, '67': -2.2213376, '69': -1.4879122, '73': -2.497159, '71': -1.6518602}
{'60': -1.9220979, '64': -2.0270157, '66': -2.355133, '68': -2.395897, '62': -2.0880623}
{'76': -1.0412836, '80': -1.7883177, '77': -2.070567, '78': -2.166171, '70': -3.182305}
{'65': -1.3444293, '63': -1.5829126, '67': -1.9645311, '64': -2.0401385, '66': -2.496548}
{'70': -2.2607024, '75': -2.0838578, '77': -1.5443393, '76': -2.2295885, '71': -2.4836226}
{'70': -1.8021567, '68': -1.580933, '67': -2.2241502, '69': -1.6607919, '71': -1.8785577}
{'70': -1.7325068, '75': -1.7113676, '68': -2.5670843, '69': -2.1785285, '71': -1.8306397}
{'80': -4.040754, '77': -5.1126137, '76': -0.08355701, '72': -4.504963, '71': -3.6635015}
{'45': -2.355192, '44': -3.1538942, '43': -2.5920684, '41': -1.5976359, '51': -3.0120943}
{'50': -1.2550546, '30': -1.9555359, '40': -0.92973334, '45': -2.731862, '41': -3.401865}
{'50': -2.2800033, '45': -2.164043, '55': -2.6509435, '53': -2.6205957, '51': -1.5430752}
{'50': -2.9507248, '45': -1.6683972, '43': -2.9089205, '41': -1.9612429, '51': -1.9039986}
{'51': -1.5972837, '45': -1.6781268, '50': -2.1747088, '47': -2.6668754, '41': -2.7317767}
{'45': -2.4001293, '47': -2.2042112, '41': -2.5636957, '53': -2.552268, '51': -1.251008}
{'50': -2.3403783, '45': -2.3630624, '55': -2.340588, '53': -2.6967149, '51': -1.9776856}
{'50': -2.7516026, '45': -2.8353486, '55': -2.7066846, '53': -2.043549, '51': -1.8660235}
