{'27': -0.16081834, '30': -2.5610068, '25': -3.4530542, '24': -3.9145758, '26': -4.5821667}
{'25': -1.075538, '23': -2.1391346, '29': -1.9773649, '27': -1.2565494, '31': -3.1588545}
{'30': -1.4010814, '29': -2.6510012, '27': -1.9751874, '26': -1.0521948, '28': -2.6486838}
{'30': -0.28733256, '26': -3.0691297, '28': -2.6323717, '36': -3.8827112, '32': -2.5683384}
{'30': -0.42326993, '29': -1.9146334, '31': -2.3227527, '28': -3.574332, '27': -3.5941052}
{'30': -1.3911976, '33': -1.479956, '35': -1.9025577, '32': -1.94801, '31': -2.237656}
{'30': -0.250151, '29': -3.0885222, '28': -3.0448363, '32': -2.8806021, '31': -3.5161324}
{'29': -1.9616311, '33': -1.1066488, '35': -2.437595, '32': -2.7706122, '31': -1.5109055}
{'35': -1.5712911, '36': -1.847439, '33': -2.1947253, '39': -2.6903286, '37': -2.7098153}
{'35': -1.4593371, '33': -1.8500689, '36': -2.1325073, '34': -2.4355257, '37': -2.7658575}
{'30': -0.7027621, '33': -2.9337075, '36': -2.1552958, '32': -1.6422324, '31': -3.3183627}
{'40': -1.9276904, '36': -1.8442361, '32': -2.193088, '34': -1.9449136, '42': -2.5502937}
{'30': -2.4170892, '40': -1.8065649, '35': -1.4502457, '36': -2.4253166, '42': -1.6365668}
{'35': -1.2655393, '39': -1.3125632, '37': -2.0133555, '38': -2.5133803, '33': -2.9379368}
{'50': -1.444677, '40': -1.528421, '45': -0.6639725, '35': -5.1958356, '42': -5.1170335}
{'40': -2.2679949, '45': -1.5522108, '44': -1.7636422, '48': -2.1073043, '41': -1.9316815}
{'40': -1.8311535, '45': -1.8799932, '44': -2.5995634, '42': -1.7534997, '41': -1.8195913}
{'40': -3.7822752, '45': -0.28141725, '44': -3.3442395, '48': -3.291032, '42': -2.7667956}
{'44': -1.8008767, '45': -1.8616334, '40': -2.0447197, '41': -2.1044161, '42': -2.160187}
{'44': -1.4146994, '40': -1.458721, '42': -2.166357, '46': -2.1830025, '48': -2.4963033}
{'50': -2.0965154, '40': -0.868944, '45': -2.8306518, '44': -2.4517956, '48': -1.6423852}
{'45': -0.58756655, '39': -3.816601, '47': -2.7890072, '43': -2.2176764, '41': -1.6278039}
{'50': -1.3713136, '40': -2.790917, '44': -1.3600965, '48': -1.6648698, '46': -2.193232}
{'49': -1.2078218, '45': -1.4589033, '51': -1.9324046, '55': -2.2591279, '53': -2.5475817}
{'50': -1.1185641, '45': -1.4271159, '48': -2.7132964, '46': -3.300048, '44': -3.443935}
{'50': -0.26433727, '45': -2.0522838, '48': -4.3025985, '49': -4.315437, '51': -4.2862663}
{'49': -0.8606728, '50': -2.2748706, '45': -2.3863742, '54': -2.6900775, '51': -2.8098722}
{'51': -1.344477, '50': -1.5895429, '48': -2.5898783, '49': -2.653456, '45': -2.8740847}
{'50': -0.48035955, '60': -3.123051, '45': -3.1835933, '49': -2.7957664, '51': -2.710649}
{'60': -1.1676229, '54': -1.4125913, '50': -1.7921137, '56': -2.6288981, '55': -2.6972706}
{'60': -0.8080991, '59': -2.635009, '63': -2.8855057, '62': -2.5545514, '61': -2.1035998}
{'60': -1.1586365, '55': -2.7636285, '58': -2.6644366, '56': -2.376925, '54': -2.6302018}
{'50': -2.5067737, '60': -2.047919, '56': -2.5335865, '54': -2.505696, '52': -2.2509527}
{'60': -0.9034574, '56': -2.7266366, '54': -2.3965108, '63': -2.8578422, '62': -2.6636655}
{'60': -1.5362114, '55': -2.3728442, '65': -2.198563, '63': -2.757835, '61': -2.0266566}
{'60': -1.0061266, '56': -3.0872087, '63': -2.972475, '62': -2.1054614, '61': -1.7305701}
{'60': -1.5331336, '61': -1.9092016, '64': -2.4425004, '55': -2.8285046, '50': -2.920185}
{'60': -1.2627625, '70': -3.0361078, '64': -1.6059995, '63': -2.910476, '62': -2.898619}
{'60': -2.4129434, '67': -2.5031917, '63': -2.4394786, '62': -2.3084247, '61': -2.6817794}
{'60': -1.4974145, '56': -2.5390348, '54': -2.3472433, '62': -2.688138, '61': -2.8413954}
{'64': -1.3600203, '60': -1.8205669, '62': -2.610433, '56': -2.809569, '63': -2.9724631}
{'30': -0.04889393, ' 30': -6.6587567, '26': -6.672968, '28': -3.1355484, '32': -6.759461}
{'30': -0.6167175, '31': -0.81623966, '33': -4.1705923, '35': -6.89665, '32': -7.1361465}
{'30': -1.0067568, '29': -2.0043535, '27': -1.1536837, '26': -2.900031, '31': -2.9332666}
{'30': -3.3825974, '29': -0.9396519, '27': -0.7208409, '28': -3.3024793, '31': -3.2301123}
{'30': -1.1245458, '29': -1.2076186, '31': -1.6188885, '27': -2.5452402, '28': -3.2801921}
{'30': -2.6766372, '33': -1.2776924, '32': -0.8686367, '34': -2.9639506, '31': -1.8915879}
{'30': -0.46623656, '29': -2.2398703, '28': -3.3335881, '32': -2.698563, '31': -2.8277783}
{'30': -2.3433602, '33': -1.8143417, '35': -1.8340733, '32': -1.6674337, '34': -1.9011832}
{'30': -2.0385194, '24': -0.4488798, '36': -1.7159563, '32': -4.685166, '48': -4.2846456}
{'30': -1.1636246, '33': -1.7411182, '32': -2.1153839, '31': -2.2445762, '36': -2.3487368}
{'45': -1.7379119, '44': -1.7166088, '43': -1.945527, '42': -1.8870839, '41': -1.9254463}
{'40': -1.2691904, '45': -2.3709016, '43': -2.7069023, '42': -1.932902, '41': -1.5771301}
{'33': -2.7343209, '45': -1.8170294, '35': -2.239957, '37': -2.4629757, '41': -0.92779666}
