{'21': -0.9119397, '22': -1.2953987, '23': -1.9613495, '25': -2.794548, '20': -2.9546928}
{'45': -2.4203436, '35': -1.6964476, '31': -1.2720548, '41': -1.5339949, '51': -3.1056547}
{'30': -1.1830807, '35': -2.0159397, '31': -2.0430987, '33': -2.5228138, '36': -2.6771288}
{'30': -0.8228457, '25': -2.9471104, '27': -2.6899016, '35': -2.823301, '31': -2.8433316}
{'41': -1.5989307, '37': -1.7597011, '35': -1.9135708, '39': -2.6884444, '43': -2.7172854}
{'41': -1.7569907, '43': -2.284222, '35': -2.346774, '45': -2.447199, '37': -2.487736}
{'41': -1.3199383, '35': -1.9313923, '39': -2.296369, '45': -2.3178668, '37': -2.338491}
{'30': -2.4338439, '29': -2.432034, '33': -1.8648133, '35': -1.9848027, '31': -1.6166519}
{'33': -2.0456388, '35': -1.6540409, '37': -2.4907072, '31': -2.466974, '41': -2.2809923}
{'45': -1.6884339, '41': -1.8510506, '43': -2.0857613, '47': -2.2977881, '37': -3.0368989}
{'37': -1.7459029, '41': -2.199763, '35': -2.2732792, '45': -2.5504503, '40': -2.7625482}
{'45': -0.55829805, '36': -2.3276765, '39': -2.9297578, '48': -3.1226575, '42': -2.5263329}
{'45': -2.3749368, '44': -2.5597627, '43': -2.6220465, '42': -2.4164693, '41': -2.214977}
{'45': -1.2934333, '47': -2.3373482, '49': -1.862977, '41': -2.5570307, '51': -2.7549324}
{'40': -3.0891747, '45': -0.6408736, '35': -2.7924142, '43': -3.1115806, '41': -2.7594228}
{'50': -2.3790696, '45': -2.1491272, '47': -2.074962, '49': -2.694423, '51': -2.5766041}
{'45': -1.8640872, '44': -2.1075315, '47': -2.5364294, '46': -2.540742, '43': -2.1737738}
{'50': -2.5457904, '45': -1.2685536, '44': -2.4436452, '48': -2.3423471, '51': -2.6411865}
{'50': -2.0944726, '60': -2.6636121, '55': -2.5882308, '53': -2.7541997, '51': -2.308502}
{'40': -2.0906599, '44': -1.3320441, '48': -2.5419898, '46': -2.0931106, '42': -1.8255688}
{'50': -1.8832275, '40': -2.1508496, '45': -1.3642132, '44': -1.896844, '48': -2.5893977}
{'50': -2.3359566, '60': -2.1228743, '45': -2.680734, '55': -2.3206894, '56': -2.6000721}
{'50': -2.4078336, '45': -1.2633861, '47': -2.1444688, '49': -2.7468286, '41': -2.6815226}
{'50': -1.5221088, '45': -1.5407304, '47': -2.774346, '41': -2.873885, '51': -2.6276588}
{'50': -1.9788728, '60': -2.1895509, '45': -1.549584, '55': -2.587836, '51': -2.151463}
{'50': -2.6193376, '60': -1.0868317, '70': -3.0894055, '55': -2.7968402, '65': -2.614778}
{'60': -1.0822227, '55': -2.5179946, '54': -2.686381, '59': -2.8897061, '51': -2.9525898}
{'60': -0.94905853, '50': -1.3630066, '55': -2.8212297, '51': -3.10602, '45': -3.8841915}
{'60': -1.8731948, '55': -2.1007833, '59': -1.775466, '51': -2.5401716, '61': -2.3107293}
{'60': -1.3633567, '70': -2.6161606, '65': -2.5217562, '71': -2.7124379, '61': -2.7561553}
{'60': -1.0508858, '65': -2.360885, '63': -2.7310863, '62': -2.889052, '61': -2.6219668}
{'60': -1.0316516, '65': -3.1376035, '63': -2.911929, '62': -2.3089838, '61': -1.9245577}
