{'30': -1.9945662, '25': -1.7267298, '27': -2.9049408, '35': -2.1547904, '41': -2.9641478}
{'20': -3.742677, '30': -2.0838437, '25': -0.75682503, '45': -2.1254983, '35': -1.9494252}
{'29': -2.9277112, '35': -2.084898, '37': -2.6352558, '31': -2.0499341, '41': -1.660322}
{'25': -1.4932767, '23': -1.9787912, '27': -2.08288, '21': -2.50478, '31': -2.7519798}
{'25': -2.2996225, '27': -2.696026, '35': -2.621093, '31': -1.9064723, '41': -2.5580645}
{'30': -1.850107, '33': -2.85056, '45': -2.199557, '35': -2.4001052, '36': -2.905526}
{'35': -2.1373444, '30': -2.2411406, '27': -2.3277876, '37': -2.4247267, '31': -2.4880648}
{'35': -2.4884486, '37': -2.7033248, '31': -2.8021533, '43': -2.8336854, '41': -2.3752646}
{'45': -1.7140775, '41': -2.0803475, '43': -2.4465976, '47': -2.5262065, '51': -2.567078}
{'45': -2.2770438, '37': -2.7182612, '47': -2.3701777, '43': -2.3934665, '41': -2.3681655}
{'45': -1.9107763, '47': -2.2808754, '41': -2.389641, '43': -2.5070505, '51': -2.60518}
{'45': -1.7933103, '47': -2.2645133, '43': -2.2950134, '41': -2.035558, '51': -2.7125647}
{'45': -1.1419737, '55': -3.1786823, '47': -2.6791022, '53': -3.2604735, '51': -2.0916693}
{'45': -1.884599, '50': -2.133653, '54': -2.175239, '51': -2.475158, '48': -2.693029}
{'60': -2.238701, '45': -2.5005171, '48': -1.6567595, '54': -1.3419878, '51': -2.383238}
{'47': -1.9843825, '45': -1.9977968, '51': -2.029188, '49': -2.241207, '53': -2.6332967}
{'45': -1.4136319, '48': -2.6703105, '50': -2.6934638, '49': -2.709004, '47': -2.8252118}
{'50': -1.9676274, '60': -2.551461, '55': -2.3970242, '54': -2.325403, '51': -2.314185}
{'50': -2.4009075, '60': -1.6811953, '55': -2.898551, '56': -3.0337505, '54': -2.7676885}
{'50': -2.4674416, '47': -2.258995, '49': -2.4764996, '53': -2.444934, '51': -2.0125875}
{'50': -2.8194752, '60': -1.3033924, '55': -2.7037601, '59': -2.7990265, '51': -3.0411425}
{'60': -1.1451532, '64': -2.6486645, '48': -2.7603528, '56': -1.5540314, '52': -2.3177433}
{'50': -2.3424578, '60': -2.1812468, '55': -2.6156473, '54': -2.661786, '52': -2.4293385}
{'50': -2.9183972, '60': -1.349134, '55': -3.0094543, '58': -2.9753938, '62': -2.8881316}
{'50': -1.7759695, '60': -1.4419433, '55': -2.3278897, '58': -2.8713026, '54': -2.63198}
{'60': -2.0704377, '55': -2.6437132, '65': -2.571936, '59': -2.5679152, '61': -2.4600573}
{'50': -1.8167887, '60': -2.1890516, '54': -2.2016058, '55': -2.461423, '56': -2.535468}
{'51': -2.0243714, '60': -2.033129, '50': -2.302255, '55': -2.5743887, '52': -2.6724799}
{'60': -1.0238587, '61': -2.0983405, '59': -2.2223668, '65': -2.9256444, '55': -2.9577098}
{'60': -1.3153033, '64': -2.3198142, '58': -2.2877975, '54': -2.3042235, '62': -2.026636}
{'60': -1.8113631, '55': -2.4564629, '59': -3.0275965, '56': -2.070157, '53': -3.020032}
{'60': -0.6950224, '64': -1.1868341, '68': -2.7850492, '56': -3.1656375, '62': -3.7643209}
{'60': -2.5600908, '71': -2.667776, '77': -2.8763816, '69': -3.0241582, '75': -3.0450494}
{'70': -2.394121, '64': -2.2944124, '68': -1.8959883, '76': -1.9119318, '72': -2.1396158}
{'60': -2.3488793, '65': -2.4322352, '67': -2.5559916, '71': -2.1970923, '63': -2.5349524}
{'64': -2.5421693, '65': -2.3782175, '67': -2.1650732, '63': -1.9789665, '62': -2.517452}
{'63': -2.1681297, '67': -2.2415645, '65': -2.4318502, '70': -2.4351175, '71': -2.6118715}
{'60': -1.4951739, '63': -2.7054744, '70': -2.8138413, '62': -2.8148415, '66': -2.8324933}
{'70': -0.5011014, '68': -2.6972091, '69': -1.6742562, '72': -3.332015, '71': -2.9454372}
{'67': -0.9097318, '71': -2.6416435, '62': -2.667945, '68': -2.763751, '65': -2.7828615}
{'70': -2.0183163, '68': -1.7113019, '67': -2.121651, '69': -0.71650517, '71': -3.8712142}
{'25': -1.4991997, '21': -1.6663454, '23': -2.232208, '20': -2.5265777, '27': -2.773378}
