{'31': -0.25103387, '30': -1.8733215, '29': -3.559536, '33': -3.7624304, '27': -4.53947}
{'26': -1.261091, '30': -1.4439828, '29': -2.2202966, '25': -2.2992268, '27': -2.4323137}
{'30': -1.3891268, '29': -5.184218, '33': -3.2138033, '32': -1.7489786, '31': -0.6388672}
{'30': -0.41263244, '27': -3.8366473, '26': -1.8579392, '28': -2.5253053, '32': -3.8130076}
{'32': -1.3946152, '34': -1.79191, '35': -1.8016528, '33': -2.077112, '36': -2.3288593}
{'30': -1.1962717, '33': -1.7718962, '32': -1.7313993, '34': -2.8166692, '31': -1.6820638}
{'30': -0.5086424, '33': -2.2976818, '35': -3.34334, '32': -2.7773972, '31': -2.225193}
{'30': -0.8015893, '29': -2.7556221, '33': -2.2299874, '32': -2.1518052, '31': -1.7687105}
{'31': -0.99091387, '33': -1.0195718, '30': -2.2264867, '35': -2.650807, '29': -3.4064448}
{'30': -1.9368088, '40': -2.1379483, '35': -0.92771465, '36': -2.146001, '32': -2.4538682}
{'33': -3.3709714, '35': -2.9802315, '36': -0.40240243, '39': -3.808109, '42': -1.9276177}
{'40': -1.194646, '38': -2.2825842, '44': -2.6606932, '36': -1.8721458, '42': -1.948495}
{'40': -1.4575645, '38': -1.8966379, '36': -2.8081532, '42': -2.503485, '41': -2.3427403}
{'40': -1.8795855, '38': -0.9928839, '44': -2.530575, '36': -1.9399168, '42': -1.664181}
{'41': -1.1206516, '37': -1.8163896, '35': -2.1116014, '45': -2.2530806, '39': -2.2814736}
{'40': -0.67701685, '45': -2.9315238, '38': -2.487329, '42': -2.7094169, '41': -2.3480468}
{'41': -1.7399977, '40': -1.7513407, '45': -1.8380222, '44': -1.9787197, '42': -2.4466686}
{'40': -1.2458065, '44': -1.6704091, '45': -2.0679786, '48': -2.2088766, '42': -2.4041965}
{'50': -2.8403268, '40': -2.1099482, '45': -0.7636632, '43': -3.1645725, '41': -1.9557102}
{'50': -2.1525908, '45': -0.708724, '48': -2.859731, '47': -2.738511, '49': -2.3421736}
{'40': -1.8465358, '45': -1.7379143, '44': -2.7560647, '36': -0.9859898, '42': -2.5544083}
{'40': -1.7046666, '45': -0.7143217, '35': -2.5687718, '39': -2.8328068, '37': -2.8987782}
{'45': -0.983546, '49': -1.5823238, '47': -1.951676, '51': -2.6172245, '41': -3.2480826}
{'50': -1.6296587, '40': -1.9491702, '45': -0.62746334, '43': -3.8970888, '41': -3.2130375}
{'50': -2.3834224, '45': -1.9198718, '44': -1.725965, '48': -1.3144927, '49': -2.3927991}
{'50': -0.17765869, '60': -3.4092793, '48': -3.0614057, '49': -4.3100305, '54': -3.9531226}
{'50': -0.4546506, '40': -2.3465593, '44': -2.6637533, '46': -2.8135526, '48': -3.0769975}
{'50': -0.085043445, '45': -3.816746, '48': -3.9130063, '49': -4.918818, '51': -4.807385}
{'50': -0.2968895, '60': -2.0170717, '55': -3.3283033, '53': -3.8191252, '51': -3.184142}
{'50': -2.4628477, '60': -1.9222019, '55': -2.256708, '54': -2.105813, '51': -2.2189837}
{'50': -0.40939388, '40': -3.9460497, '45': -2.1830182, '49': -2.5564945, '51': -3.830114}
{'50': -3.3436518, '60': -0.28602305, '45': -3.1854255, '54': -3.4670799, '51': -3.534867}
{'51': -1.0329232, '55': -1.6088947, '53': -2.3496044, '49': -2.5764124, '45': -2.8685534}
{'50': -1.2341498, '60': -3.052221, '46': -2.6882083, '52': -2.081705, '51': -1.9168795}
{'50': -1.4173391, '60': -1.7480161, '54': -2.4523106, '52': -2.8408163, '51': -2.9949615}
{'60': -1.680874, '55': -2.550402, '53': -2.6713638, '63': -2.5569804, '61': -2.790762}
{'60': -1.1370142, '45': -1.7382869, '48': -1.9664036, '54': -2.591297, '51': -2.569204}
{'60': -2.2083972, '63': -2.48722, '70': -2.818003, '67': -2.8501532, '72': -2.887357}
{'60': -0.5943493, '64': -3.4687648, '48': -2.9608529, '54': -2.4536166, '61': -3.2998538}
{'50': -2.4982712, '60': -1.7007209, '55': -2.124118, '53': -2.6460602, '63': -2.8458598}
{'60': -0.60532576, '56': -2.9038944, '54': -3.1901925, '63': -2.488348, '62': -2.8026028}
{'30': -0.030003171, '32': -4.1818337, '31': -5.2904115, '28': -5.562468, ' 30': -6.216578}
{'30': -0.21727166, '29': -3.7576997, '28': -4.151165, '32': -2.5503595, '31': -3.0891852}
{'30': -0.23087288, '24': -6.033366, '28': -4.7321315, '36': -1.9708973, '32': -2.9702642}
{'30': -0.40355095, '29': -3.8043077, '33': -2.9655094, '35': -7.285225, '31': -1.3621347}
{'30': -0.0060727852, ' 30': -6.4518976, '28': -7.00214, '25': -7.2003517, '32': -7.3359437}
{'30': -0.6827395, '40': -2.9742377, '35': -2.1076243, '32': -2.1985705, '34': -2.5589526}
{'30': -2.15541, '29': -2.1520932, '33': -1.6763736, '35': -2.7864907, '31': -0.79611325}
{'33': -1.1487265, '35': -1.7069654, '32': -2.552949, '34': -2.850131, '31': -1.6239424}
{'30': -2.3727145, '33': -1.6995217, '35': -1.5590874, '32': -1.927385, '31': -1.9634681}
{'36': -0.105395086, '40': -2.754401, '42': -4.201474, '48': -4.7793336, '32': -5.476229}
{'40': -0.85883874, '35': -2.5915618, '38': -1.769201, '36': -2.4051301, '37': -3.0036676}
{'40': -1.9457889, '35': -2.3445182, '38': -1.6187111, '39': -2.2711635, '37': -2.1971564}
{'30': -3.9617434, '40': -3.5278857, '33': -3.214445, '35': -0.30128127, '37': -2.633137}
{'40': -2.1631434, '38': -2.3957322, '37': -2.5258436, '42': -2.4477408, '41': -1.6795675}
{'40': -1.9736065, '35': -1.8822358, '36': -1.7602342, '39': -2.5953372, '37': -2.2293198}
{'35': -0.53608763, '37': -2.2142646, '45': -2.220225, '41': -2.4988143, '39': -3.0168712}
{'35': -1.071337, '33': -1.7809358, '41': -1.9364626, '37': -2.0894988, '39': -2.4397967}
{'40': -1.9141868, '45': -1.9022164, '44': -1.9443804, '48': -0.9887339, '42': -3.082542}
{'40': -2.9713492, '45': -0.8464265, '44': -2.731661, '43': -2.4004025, '41': -1.992991}
{'50': -2.2573237, '40': -2.902217, '45': -0.3819918, '44': -3.2806752, '41': -3.3351548}
{'40': -2.3178623, '45': -0.8474165, '49': -3.6443355, '43': -3.4081483, '41': -1.2378604}
{'45': -0.6625685, '47': -2.557342, '49': -2.2433732, '43': -3.0775006, '41': -2.2491372}
{'45': -0.5169777, '47': -2.1750643, '49': -2.069565, '41': -2.8812277, '51': -2.989378}
{'45': -0.8784047, '40': -0.92425364, '50': -1.8545552, '42': -5.2507505, '44': -5.428892}
{'50': -1.3631316, '40': -2.1008787, '45': -0.6081228, '44': -4.65476, '41': -3.6686733}
{'50': -0.28726473, '45': -1.8432835, '40': -3.5105588, '60': -3.553401, '55': -5.0877666}
{'50': -0.26294515, '40': -2.1700344, '60': -2.368021, '45': -4.477876, '41': -5.7777996}
{'50': -0.3406057, '45': -2.407771, '54': -2.5603473, '48': -2.8931017, '60': -3.5086925}
{'50': -0.68734276, '60': -2.2828264, '54': -3.3088586, '52': -2.802081, '51': -1.9534961}
{'50': -0.17871054, '60': -2.3561168, '40': -3.8833573, '45': -4.420261, '51': -4.5254683}
{'50': -0.44904873, '60': -1.5620304, '45': -3.1915984, '55': -3.487933, '51': -3.804814}
{'50': -1.1481634, '60': -0.5329234, '48': -4.4153757, '54': -3.5790565, '52': -3.6103487}
{'50': -1.4629548, '60': -0.51179045, '70': -2.6190348, '55': -3.8401272, '65': -4.2922525}
{'50': -0.115346126, '60': -4.509158, '45': -2.7500582, '55': -4.048156, '52': -5.5152082}
{'50': -3.0954483, '60': -0.45283017, '48': -3.2072597, '54': -2.1575973, '62': -3.7886484}
{'60': -1.6102607, '50': -1.70522, '48': -2.3606012, '53': -2.6287715, '55': -2.629978}
{'60': -0.6146084, '48': -1.3439194, '56': -4.4505076, '54': -2.3898752, '72': -3.968411}
{'67': -3.4905314, '51': -2.3999448, '71': -2.0982563, '63': -2.535377, '61': -0.9318385}
{'60': -0.7468711, '70': -3.1160781, '64': -2.36502, '68': -2.7265825, '62': -2.0820954}
{'60': -0.59463286, '56': -3.5528178, '54': -1.6030158, '63': -3.365483, '62': -3.854818}
{'63': -1.7315656, '61': -1.7369062, '59': -2.0406246, '65': -2.2391036, '67': -2.812235}
{'26': -1.321249, '25': -1.4876708, '27': -1.6750507, '30': -1.6816387, '29': -2.8773954}
{'30': -0.8327395, '31': -1.2860876, '29': -1.7769037, '32': -3.1091082, '33': -3.6092715}
{'30': -0.04653992, '33': -3.9166515, '36': -5.947009, '32': -4.31902, '31': -5.1894727}
{'29': -3.0560474, '27': -4.141457, '33': -1.8672754, '35': -2.772423, '31': -0.36192924}
{'30': -0.15987013, '33': -2.8280373, '31': -3.5701447, '36': -3.7950227, '32': -4.05357}
{'30': -2.026081, '33': -2.0231476, '36': -2.3978026, '32': -1.3750212, '34': -1.8365614}
