{' b': -9.33841, ' A': -1.2189229, ' B': -0.3510315, ' "': -8.545751, " '": -9.839435}
{' b': -9.15209, ' A': -2.5463233, ' B': -0.082095504, ' "': -8.632079, " '": -9.823021}
{' b': -9.275475, ' A': -1.6227776, ' B': -0.22042419, ' "': -8.585842, " '": -9.862107}
{' b': -9.200323, ' A': -1.9532459, ' B': -0.1535003, ' "': -8.503897, " '": -9.785897}
{' b': -9.215486, ' A': -1.6782978, ' B': -0.20728178, ' "': -8.404627, " '": -9.690543}
{' b': -9.238324, ' A': -1.7078387, ' B': -0.20057945, ' "': -8.529713, " '": -9.666682}
{' b': -9.120793, ' A': -3.2090538, ' B': -0.041651692, ' "': -8.776071, " '": -9.9441395}
{' b': -9.07639, ' A': -2.6637871, ' B': -0.07273421, ' "': -8.596135, " '": -9.702533}
{' b': -9.093498, ' A': -2.8872979, ' B': -0.057784323, ' "': -8.752235, " '": -9.89878}
{' b': -9.288522, ' A': -2.0134664, ' B': -0.14384314, ' "': -8.602612, " '": -9.784675}
{' b': -9.075431, ' A': -3.1568034, ' B': -0.04388869, ' "': -8.894443, " '": -10.067816}
{' b': -9.093817, ' A': -3.1218607, ' B': -0.04553814, ' "': -8.6196375, " '": -9.751276}
{' B': -0.19052371, ' A': -1.7543379, ' "': -8.5838, ' b': -9.367408, " '": -9.830821}
{' B': -0.14070898, ' A': -2.0341132, ' "': -8.5764065, ' b': -9.23493, " '": -9.7521925}
{' B': -0.4036234, ' A': -1.1038588, ' "': -8.401552, ' b': -9.533305, " '": -9.670333}
{' b': -9.022752, ' A': -3.712682, ' B': -0.025143927, ' "': -8.729423, " '": -9.857866}
{' b': -9.076866, ' A': -4.728919, ' B': -0.009263332, ' "': -8.808881, " '": -9.924695}
{' b': -9.074978, ' A': -3.4324903, ' B': -0.033290297, ' "': -8.621678, " '": -9.785393}
{' b': -9.138086, ' A': -3.4626489, ' B': -0.032255836, ' "': -8.76865, " '": -9.932987}
{' B': -0.01881252, ' A': -4.0044403, ' "': -8.722366, ' b': -9.107379, " '": -9.863792}
{' b': -9.016322, ' A': -4.391438, ' B': -0.012846345, ' "': -8.864179, " '": -10.026964}
{' b': -9.056717, ' A': -4.2794237, ' B': -0.014365336, ' "': -8.690592, " '": -9.832297}
{' b': -9.031845, ' A': -2.941603, ' B': -0.054699395, ' "': -8.5897, " '": -9.884563}
{' b': -9.0612755, ' A': -3.6521816, ' B': -0.026685756, ' "': -8.762673, " '": -9.96714}
{' b': -9.1733885, ' A': -2.6827226, ' B': -0.071293496, ' "': -8.600874, " '": -9.82632}
{' b': -9.099674, ' A': -3.2848098, ' B': -0.038613405, ' "': -8.646519, " '": -9.837642}
{' b': -9.061424, ' A': -4.430796, ' B': -0.01237921, ' "': -8.746727, " '": -9.93243}
{' b': -8.956023, ' A': -4.2121677, ' B': -0.015381267, ' "': -8.6015415, " '": -9.791469}
