{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.5976958, 'A': -9.955754, ' B': -0.79947627, ' "': -8.815089, " '": -9.98328}
{' A': -0.6406278, 'A': -10.063294, ' B': -0.74933904, ' "': -8.803637, " '": -9.953916}
{' A': -0.3557681, 'A': -9.8984995, ' B': -1.207138, ' "': -8.934265, " '": -10.12761}
{' b': -10.099245, ' A': -0.8260602, ' B': -0.57641685, ' "': -8.915566, " '": -10.19193}
{' A': -0.17021056, 'A': -9.646931, ' B': -1.8568599, ' "': -8.756015, " '": -10.056849}
{' A': -0.2069992, 'A': -9.729658, ' B': -1.6782744, ' "': -9.155732, " '": -10.294387}
{' A': -0.16002758, 'A': -9.722185, ' B': -1.9133598, ' "': -9.043772, " '": -10.176575}
{' A': -0.06870437, 'A': -9.67163, ' B': -2.7158008, ' "': -9.310011, " '": -10.463675}
{' A': -0.08756164, ' B': -2.481898, ' "': -9.253437, 'A': -9.684732, " '": -10.369865}
{' A': -0.08801449, 'A': -9.681047, ' B': -2.4774587, ' "': -8.985921, " '": -10.159919}
{' A': -0.027859896, ' B': -3.6030798, ' "': -9.4567585, 'A': -9.630042, " '": -10.440845}
{' A': -0.033496693, 'A': -9.722618, ' B': -3.420143, ' "': -9.308609, " '": -10.451692}
{' A': -0.02663213, 'A': -9.659863, ' B': -3.647646, ' "': -9.493016, " '": -10.435906}
{' A': -0.31154424, ' B': -1.319044, ' "': -9.143742, 'A': -9.845658, " '": -10.070633}
{' A': -0.038867623, 'A': -9.634502, ' B': -3.2743354, ' "': -9.088262, " '": -10.25394}
{' A': -0.030161891, 'A': -9.665852, ' B': -3.5240161, ' "': -9.47162, " '": -10.402388}
{' A': -0.016188087, 'A': -9.717697, ' B': -4.144724, ' "': -9.608486, " '": -10.520915}
{' A': -0.02845715, 'A': -9.647749, ' B': -3.5810673, ' "': -9.600673, " '": -10.565372}
{' A': -0.021469688, 'A': -9.6456995, ' B': -3.863297, ' "': -9.404362, " '": -10.319046}
{' A': -0.0042362725, 'A': -9.676393, ' B': -5.5202885, ' "': -9.511655, " '": -10.418567}
{' A': -0.013026461, 'A': -9.662658, ' B': -4.36386, ' "': -9.618161, " '": -10.529729}
{' A': -0.020603789, 'A': -9.7186775, ' B': -3.9035897, ' "': -9.369209, " '": -10.470394}
{' A': -0.0142157525, ' B': -4.2756596, ' "': -9.535198, 'A': -9.714907, " '": -10.431837}
