{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' number': -6.1606116, ' 1': -0.7517083, ' 2': -0.7052454, ' one': -5.1109533, ' two': -3.7159493}
{' number': -6.1165423, ' 1': -0.70599955, ' 2': -0.75623167, ' one': -4.9682026, ' two': -3.658514}
{' 2': -0.66391, ' 1': -0.8038941, ' two': -3.5943317, ' one': -5.121238, ' number': -6.135668}
{' number': -6.072293, ' 1': -0.9045478, ' 2': -0.58686924, ' one': -5.251872, ' two': -3.5122402}
{' number': -6.2464404, ' #': -6.3751454, ' 1': -2.28623, ' 2': -0.16165152, ' two': -3.16691}
{' number': -6.2864275, ' #': -6.51917, ' 1': -3.10087, ' 2': -0.09780876, ' two': -3.1251943}
{' 2': -0.44359523, ' 1': -1.1466365, ' two': -3.4446483, ' one': -5.44086, ' number': -6.1003413}
{' number': -6.2913556, ' #': -6.516084, ' 1': -3.208734, ' 2': -0.0968817, ' two': -3.0415053}
{' 2': -0.14286315, ' 1': -2.4562118, ' two': -3.1661003, ' number': -6.160086, ' #': -6.493923}
{' number': -6.381989, ' #': -6.5873885, ' 1': -3.074425, ' 2': -0.09545764, ' two': -3.196555}
{' number': -6.1086106, ' #': -6.4239373, ' 1': -2.7735028, ' 2': -0.114573084, ' two': -3.1984732}
{' number': -6.2179556, ' #': -6.555928, ' 1': -3.1454747, ' 2': -0.099250235, ' two': -3.0541127}
{' number': -6.2121015, ' #': -6.4945307, ' 1': -2.7032728, ' 2': -0.12253482, ' two': -3.1343813}
{' 2': -0.13005121, ' 1': -2.6906018, ' two': -3.0180974, ' number': -6.0990853, ' #': -6.5217857}
{' 2': -0.06748855, ' two': -3.1114757, ' 1': -4.077603, ' number': -6.294692, ' #': -6.5051136}
{' number': -6.3095937, ' #': -6.6382537, ' 1': -4.612472, ' 2': -0.066137105, ' two': -2.9839072}
{' number': -6.243168, ' #': -6.696283, ' 1': -4.244853, ' 2': -0.06706759, ' two': -3.0589135}
{' number': -6.1980186, ' #': -6.676206, ' 1': -3.929567, ' 2': -0.07369814, ' two': -3.0448952}
{' number': -6.1356645, ' #': -6.610249, ' 1': -3.4904647, ' 2': -0.08108477, ' two': -3.1412063}
{' number': -6.3694367, ' #': -6.683704, ' 1': -4.4690013, ' 2': -0.058019333, ' two': -3.1794794}
{' number': -6.1969266, ' #': -6.725871, ' 1': -5.3408785, ' 2': -0.049759954, ' two': -3.211259}
{' number': -6.24204, ' #': -6.6519585, ' 1': -4.6648707, ' 2': -0.068546236, ' two': -2.932865}
{' 2': -0.08973748, ' two': -3.059664, ' 1': -3.3529859, ' number': -6.2630386, ' #': -6.625452}
{' number': -6.14781, ' #': -6.570841, ' 1': -3.1160743, ' 2': -0.10249774, ' two': -3.0233884}
{' number': -6.231783, ' #': -6.508808, ' 1': -2.7948823, ' 2': -0.11921162, ' two': -3.0672765}
{' 2': -0.059919313, ' two': -3.031168, ' 1': -5.010687, ' number': -6.35675, ' #': -6.7252355}
{' number': -6.1210785, ' #': -6.5031056, ' 1': -3.7980142, ' 2': -0.08034023, ' two': -2.9851425}
{' number': -6.197228, ' #': -6.6168323, ' 1': -5.091455, ' 2': -0.06328907, ' two': -2.9652815}
{' number': -6.127613, ' #': -6.584762, ' 1': -4.021901, ' 2': -0.072348714, ' two': -3.040393}
{' number': -6.2563643, ' #': -6.535965, ' 1': -3.332031, ' 2': -0.08850264, ' two': -3.1042325}
{' number': -6.1009817, ' #': -6.5593147, ' 1': -2.6052144, ' 2': -0.1314289, ' two': -3.1201622}
{' 2': -0.07430447, ' two': -3.0288026, ' 1': -3.9423594, ' number': -6.2464976, ' #': -6.575845}
{' number': -6.16562, ' 1': -1.8148137, ' 2': -0.23316784, ' one': -6.0328326, ' two': -3.2449872}
{' 1': -0.5238648, ' 2': -0.98520863, ' two': -3.8407614, ' one': -4.739853, ' number': -6.056413}
{' number': -6.396613, ' #': -6.6438622, ' 1': -2.8359523, ' 2': -0.11678845, ' two': -3.0494494}
{' number': -6.3578863, ' #': -6.37831, ' 1': -1.791539, ' 2': -0.22094215, ' two': -3.6407363}
{' number': -6.3407316, ' 1': -1.0861465, ' 2': -0.4511615, ' one': -5.852934, ' two': -3.956172}
{' 2': -0.5527153, ' 1': -0.92212284, ' two': -3.9429147, ' one': -5.579786, ' number': -6.2830358}
{' number': -6.311621, ' 1': -1.3555773, ' 2': -0.33811745, ' one': -6.068352, ' two': -3.7637153}
{' number': -6.313404, ' 1': -1.3653337, ' 2': -0.3334808, ' one': -6.1343093, ' two': -3.7880075}
{' number': -6.463801, ' #': -6.442371, ' 1': -2.8661351, ' 2': -0.094240844, ' two': -3.5392978}
{' number': -6.409941, ' #': -6.423684, ' 1': -3.1274555, ' 2': -0.08044901, ' two': -3.5245328}
{' number': -6.303769, ' 1': -1.6697379, ' 2': -0.24695888, ' one': -6.282118, ' two': -3.6946344}
