{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' number': -6.658367, ' #': -6.6443076, ' 1': -2.5112674, ' 2': -0.12375131, ' two': -3.4613366}
{' number': -6.636133, ' #': -6.669411, ' 1': -2.8185427, ' 2': -0.099827155, ' two': -3.448542}
{' number': -6.484425, ' 1': -1.9857396, ' 2': -0.18767077, ' one': -6.4379716, ' two': -3.533425}
{' number': -6.6079082, ' #': -6.671398, ' 1': -2.8280745, ' 2': -0.10032751, ' two': -3.418757}
{' number': -6.498029, ' 1': -1.8526558, ' 2': -0.21478137, ' one': -6.103889, ' two': -3.469994}
{' #': -6.5954523, ' 1': -1.9677348, ' 2': -0.19011065, ' one': -6.3026757, ' two': -3.5499737}
{' #': -6.489835, ' 1': -1.6096516, ' 2': -0.2649155, ' one': -6.00184, ' two': -3.6052206}
{' #': -6.5288806, ' 1': -1.6726774, ' 2': -0.24785, ' one': -6.0550356, ' two': -3.6332734}
{' number': -6.5187945, ' 1': -1.5546687, ' 2': -0.27675647, ' one': -6.0430374, ' two': -3.686697}
{' number': -6.457546, ' 1': -1.6628736, ' 2': -0.2553953, ' one': -5.9853063, ' two': -3.5056546}
{' number': -6.5561643, ' 1': -1.3822871, ' 2': -0.32803828, ' one': -5.914162, ' two': -3.771876}
{' number': -6.4234977, ' 1': -1.5122387, ' 2': -0.2916996, ' one': -5.9481373, ' two': -3.6249323}
{' number': -6.4187994, ' 1': -1.5811863, ' 2': -0.26963806, ' one': -6.1003566, ' two': -3.6861417}
{' number': -6.4502015, ' 1': -2.0072794, ' 2': -0.18517408, ' one': -6.3200865, ' two': -3.5188663}
{' number': -6.394498, ' 1': -1.6529269, ' 2': -0.257936, ' one': -6.0005264, ' two': -3.5093951}
{' #': -6.4854946, ' 1': -1.9257704, ' 2': -0.19965053, ' one': -6.206347, ' two': -3.504231}
{' #': -6.439969, ' 1': -1.4335645, ' 2': -0.31349123, ' one': -5.903929, ' two': -3.7047777}
{' number': -6.4260917, ' 1': -1.1114821, ' 2': -0.44357443, ' one': -5.5902114, ' two': -3.8070407}
{' #': -6.4576406, ' 1': -0.97081715, ' 2': -0.5195384, ' one': -5.527513, ' two': -3.948202}
{' #': -6.4239, ' 1': -0.8188889, ' 2': -0.6286099, ' one': -5.396978, ' two': -4.026223}
{' #': -6.488527, ' 1': -0.95467466, ' 2': -0.5288667, ' one': -5.536948, ' two': -3.9803417}
{' number': -6.5160646, ' 1': -1.3012145, ' 2': -0.35763952, ' one': -5.780409, ' two': -3.8024864}
{' 2': -0.28508893, ' 1': -1.525943, ' two': -3.6813958, ' one': -6.0104933, ' number': -6.5411596}
{' number': -6.479923, ' 1': -1.5960522, ' 2': -0.26607904, ' one': -6.0591426, ' two': -3.67235}
{' 2': -0.70335126, ' 1': -0.73384404, ' two': -4.0884633, ' one': -5.3019786, ' #': -6.432169}
{' #': -6.4615507, ' 1': -1.3882837, ' 2': -0.3257304, ' one': -5.894967, ' two': -3.7906163}
{' 2': -0.4864623, ' 1': -1.0278155, ' two': -3.8977208, ' one': -5.5433393, ' #': -6.463086}
{' #': -6.5015354, ' 1': -1.5833365, ' 2': -0.2699821, ' one': -5.979996, ' two': -3.6626515}
{' #': -6.4819436, ' 1': -1.1772515, ' 2': -0.4087521, ' one': -5.716182, ' two': -3.8632102}
{' #': -6.4272366, ' 1': -1.6788462, ' 2': -0.2470435, ' one': -6.004459, ' two': -3.6322093}
{' #': -6.497273, ' 1': -1.1221862, ' 2': -0.43270436, ' one': -5.7114863, ' two': -3.943479}
{' 2': -0.35977048, ' 1': -1.2942358, ' two': -3.8188097, ' one': -5.8165226, ' #': -6.467383}
{' 2': -0.23101015, ' 1': -1.7456127, ' two': -3.6263077, ' one': -6.1817675, ' #': -6.4959273}
{' 2': -0.14671457, ' 1': -2.2754357, ' two': -3.5371182, ' #': -6.473089, ' number': -6.4796143}
{' #': -6.5221214, ' 1': -0.94816995, ' 2': -0.5303367, ' one': -5.62434, ' two': -4.0364475}
{' number': -6.4766927, ' #': -6.317164, ' 1': -3.7153804, ' 2': -0.06188665, ' two': -3.44748}
