{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' A': -0.8851798, ' B': -0.53355443, ' (': -8.779633, ' "': -7.9129295, " '": -9.087327}
{' B': -0.31037858, ' A': -1.3240867, ' "': -7.98755, ' (': -8.916292, " '": -9.134772}
{' A': -0.6427776, ' B': -0.7481759, ' "': -7.786477, ' (': -8.6022835, " '": -8.938171}
{' A': -1.1438591, ' B': -0.38480493, ' (': -8.918449, ' "': -7.9420156, " '": -9.057896}
{' A': -0.7647476, ' B': -0.6280365, ' (': -8.796697, ' "': -7.7830667, " '": -9.070513}
{' A': -0.6113074, ' B': -0.7841037, ' (': -8.666991, ' "': -7.977747, " '": -9.15962}
{' A': -0.48201782, ' B': -0.9634613, ' (': -8.66375, ' "': -7.829795, " '": -8.973149}
{' A': -0.8474029, ' B': -0.5610736, ' (': -8.704387, ' "': -7.8879247, " '": -9.000663}
{' A': -0.4743972, ' B': -0.9759117, ' (': -8.551049, ' "': -7.8771358, " '": -9.008041}
{' A': -0.41860336, ' B': -1.0756259, ' (': -8.586141, ' "': -7.7436996, " '": -8.999487}
{' A': -0.4717246, ' B': -0.9802199, ' (': -8.684234, ' "': -7.941747, " '": -9.008714}
{' A': -0.39975792, ' B': -1.1128298, ' "': -7.885765, ' (': -8.604616, " '": -9.001135}
{' A': -0.47943914, ' B': -0.96766317, ' (': -8.655807, ' "': -7.849832, " '": -8.9563675}
{' A': -1.5426242, ' B': -0.24150148, ' (': -9.135144, ' "': -8.083265, " '": -9.162945}
{' A': -0.13155772, ' B': -2.1004336, ' (': -8.569254, ' "': -7.8868937, " '": -9.091519}
{' A': -0.16187489, ' B': -1.9061432, ' (': -8.528017, ' "': -8.064964, " '": -9.15276}
{' A': -0.049499378, ' B': -3.04627, ' (': -8.475982, ' "': -8.138224, " '": -9.1809025}
{' A': -0.20866019, ' B': -1.6741982, ' (': -8.536248, ' "': -7.904287, " '": -9.072064}
{' A': -0.06724512, ' B': -2.7449203, ' (': -8.468855, ' "': -8.098833, " '": -9.129327}
{' A': -0.017037371, ' B': -4.11987, ' "': -8.290464, ' (': -8.655833, " '": -9.390092}
{' A': -0.029890966, ' B': -3.547221, ' (': -8.60199, ' "': -8.355999, " '": -9.399903}
{' A': -0.03306658, ' B': -3.4462914, ' (': -8.6418085, ' "': -8.284754, " '": -9.310177}
