{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' number': -5.4422574, ' 1': -0.56737196, ' 2': -0.9939772, ' one': -4.026915, ' two': -3.3074307}
{' number': -5.3812785, ' 1': -0.63471854, ' 2': -0.91334975, ' one': -4.063145, ' two': -3.1526778}
{' number': -5.4697213, ' 1': -0.37010637, ' 2': -1.3655268, ' one': -3.8512979, ' two': -3.7049298}
{' 1': -0.6385075, ' 2': -0.9041363, ' two': -3.1686835, ' one': -4.1138988, ' number': -5.409702}
{' 1': -0.57380223, ' 2': -0.98206633, ' two': -3.3164341, ' one': -4.096055, ' number': -5.342061}
{' number': -5.4361906, ' 1': -0.42044002, ' 2': -1.2480673, ' one': -3.9001973, ' two': -3.597764}
{' number': -5.4941463, ' 1': -0.5044273, ' 2': -1.0785755, ' one': -4.0577106, ' two': -3.497387}
{' number': -5.367, ' 1': -0.46250385, ' 2': -1.173697, ' one': -3.8709512, ' two': -3.4761891}
{' number': -5.3871617, ' 1': -0.34076837, ' 2': -1.4553714, ' one': -3.766105, ' two': -3.7690787}
{' number': -5.342184, ' 1': -0.49634185, ' 2': -1.103943, ' one': -4.0146427, ' two': -3.4326932}
{' number': -5.4039736, ' 1': -0.25773665, ' 2': -1.72819, ' one': -3.6927855, ' two': -4.1411595}
{' number': -5.383498, ' 1': -0.2330077, ' 2': -1.8410264, ' one': -3.6815205, ' two': -4.1878777}
{' number': -5.5332875, ' 1': -0.23378181, ' 2': -1.8328646, ' one': -3.6713712, ' two': -4.193441}
{' number': -5.271067, ' 1': -0.6156612, ' 2': -0.94517666, ' one': -3.986465, ' two': -3.1507735}
{' number': -5.3893933, ' 1': -0.28869873, ' 2': -1.5936114, ' one': -3.9464133, ' two': -3.9333196}
{' number': -5.620061, ' 1': -0.21302924, ' 2': -1.9100085, ' one': -3.7552178, ' two': -4.3355594}
{' number': -5.637692, ' 1': -0.1468946, ' 2': -2.3702564, ' one': -3.5993195, ' two': -4.73473}
{' number': -5.294145, ' 1': -0.4310711, ' 2': -1.2428138, ' one': -3.8251617, ' two': -3.504147}
{' number': -5.5488443, ' 1': -0.2132081, ' 2': -1.9400759, ' one': -3.619977, ' two': -4.2799554}
{' 1': -0.25839725, ' 2': -1.7351887, ' one': -3.6746628, ' two': -4.037162, ' number': -5.436879}
{' number': -5.628974, ' 1': -0.11814482, ' 2': -2.6905, ' one': -3.5056245, ' two': -5.034977}
{' number': -5.473557, ' 1': -0.16631664, ' 2': -2.2453284, ' one': -3.5444329, ' two': -4.5582576}
{' number': -5.6129813, ' 1': -0.155737, ' 2': -2.301508, ' one': -3.603384, ' two': -4.6345577}
{' 1': -0.2954489, ' 2': -1.5924402, ' one': -3.7186835, ' two': -3.9416413, ' number': -5.400629}
{' number': -5.710565, ' 1': -0.12879318, ' 2': -2.4788926, ' one': -3.77975, ' two': -4.8584266}
{' number': -5.693796, ' 1': -0.11607487, ' 2': -2.670274, ' one': -3.6010256, ' two': -5.0699797}
{' number': -5.7476406, ' 1': -0.09683592, ' 2': -2.9330266, ' one': -3.5842073, ' two': -5.33472}
{' number': -5.4565005, ' 1': -0.1798285, ' 2': -2.1321907, ' one': -3.61577, ' two': -4.5234084}
{' number': -5.6813436, ' 1': -0.10038582, ' 2': -2.895359, ' one': -3.5714512, ' two': -5.2748594}
{' number': -5.5386877, ' 1': -0.1593305, ' 2': -2.2472403, ' one': -3.7145157, ' two': -4.6478386}
