{' Yes': -0.032254115, ' No': -3.775645, 'Yes': -4.8386617, ' yes': -7.4845967, 'No': -8.832716}
{' Yes': -0.022699485, ' No': -4.3185844, 'Yes': -4.8216457, ' yes': -7.235279, 'No': -9.329111}
{' No': -3.0818133, 'No': -7.852933, ' Yes': -0.058271267, ' yes': -7.08341, 'Yes': -4.706968}
{' No': -3.9310815, 'No': -8.6543255, ' Yes': -0.031873707, ' yes': -7.05372, 'Yes': -4.567764}
{' No': -3.0037093, 'No': -7.8079705, ' Yes': -0.062119965, ' yes': -6.9712152, 'Yes': -4.7410007}
{' No': -3.5894935, 'No': -8.292593, ' Yes': -0.0398662, ' yes': -7.108546, 'Yes': -4.6030393}
{' No': -3.8402205, 'No': -8.582167, ' Yes': -0.03291614, ' yes': -7.204495, 'Yes': -4.6398554}
{' No': -4.522915, 'No': -9.374506, ' Yes': -0.021398503, ' yes': -7.2671127, 'Yes': -4.6772575}
{' Yes': -0.017216485, 'Yes': -4.7350163, ' No': -4.898682, ' yes': -7.3901367, ' YES': -9.5007515}
{' No': -2.0666094, 'No': -6.934573, ' Yes': -0.14742963, ' yes': -6.998729, 'Yes': -4.869983}
{' No': -4.3388896, 'No': -9.253316, ' Yes': -0.023563165, ' yes': -7.380376, 'Yes': -4.673431}
{' No': -3.2652686, 'No': -8.098373, ' Yes': -0.05053382, ' yes': -7.272133, 'Yes': -4.637154}
{' No': -3.618255, 'No': -8.495236, ' Yes': -0.038258795, ' yes': -7.3194294, 'Yes': -4.6489305}
{' No': -3.6742005, 'No': -8.557328, ' Yes': -0.036726527, ' yes': -7.2560387, 'Yes': -4.657929}
{' Yes': -0.056298885, ' No': -3.116592, 'Yes': -4.7323985, ' yes': -7.214551, 'No': -7.9096026}
{' Yes': -0.03533973, ' No': -3.729521, 'Yes': -4.652075, ' yes': -7.2555885, 'No': -8.600531}
{' No': -3.7000666, ' Yes': -0.03518784, ' yes': -7.238356, 'Yes': -4.760127, ' It': -8.611211}
{' No': -4.2287836, 'No': -9.032561, ' Yes': -0.026059339, ' yes': -7.2158537, 'Yes': -4.5992537}
{' No': -3.773075, 'No': -8.756305, ' Yes': -0.033391856, ' yes': -7.2954216, 'Yes': -4.7411494}
{' No': -3.156461, ' Yes': -0.05418719, ' yes': -7.0150976, 'Yes': -4.7896566, ' It': -7.901832}
{' Yes': -0.029748743, ' No': -3.9575174, 'Yes': -4.694658, ' yes': -7.332018, 'No': -8.933338}
{' No': -3.8819408, 'No': -8.71027, ' Yes': -0.032305088, ' yes': -7.275543, 'Yes': -4.6023026}
