{' No': -0.005051574, 'No': -5.315659, ' Yes': -9.208508, ' no': -11.356915, ' NO': -11.940936}
{' No': -0.006306867, 'No': -5.358964, ' Yes': -6.479794, 'Yes': -11.30229, ' no': -11.448583}
{' No': -0.0063228835, ' ': -11.188495, 'No': -5.4526653, ' Yes': -6.2368584, 'Yes': -11.060989}
{' No': -0.007892105, 'No': -5.155576, ' Yes': -6.199958, 'Yes': -10.925982, ' It': -11.339187}
{' No': -0.027369957, 'No': -5.505267, ' Yes': -3.791244, 'Yes': -8.696225, ' It': -9.107163}
{' No': -0.018412773, 'No': -5.1480136, ' Yes': -4.4066877, 'Yes': -9.110963, ' It': -9.648416}
{' No': -0.022385284, 'No': -5.2177606, ' Yes': -4.1076493, 'Yes': -8.848041, ' It': -9.77698}
{' No': -0.05580436, 'No': -5.199321, ' Yes': -3.033851, 'Yes': -7.815261, ' It': -9.277995}
{' No': -0.064415164, 'No': -5.393358, ' Yes': -2.8622208, 'Yes': -7.6743317, ' It': -9.254946}
{' No': -0.012731218, 'No': -5.577152, ' Yes': -4.74674, 'Yes': -9.633094, ' It': -9.632735}
{' No': -0.023826947, 'No': -5.2464085, ' Yes': -4.0163503, 'Yes': -8.744675, ' It': -10.253248}
{' No': -0.034314856, ' Yes': -3.5586946, 'No': -5.3261123, 'Yes': -8.348509, ' It': -9.459474}
{' No': -0.024854677, 'No': -5.4376698, ' Yes': -3.9207895, 'Yes': -8.68677, ' It': -9.023935}
{' No': -0.028334446, 'No': -5.424847, ' Yes': -3.7640882, 'Yes': -8.553883, ' It': -9.568596}
{' No': -0.047750555, 'No': -5.375219, ' Yes': -3.183714, 'Yes': -8.057437, ' It': -8.891847}
{' No': -0.05008564, 'No': -5.4448323, ' Yes': -3.1256204, 'Yes': -7.9468346, ' It': -8.803065}
{' No': -0.03219964, 'No': -5.464193, ' Yes': -3.6121247, 'Yes': -8.45753, ' It': -8.7642355}
{' No': -0.1974955, 'No': -5.6905255, ' Yes': -1.7489312, 'Yes': -6.69312, ' It': -7.9469557}
{' No': -0.06829208, 'No': -5.272388, ' Yes': -2.8116124, 'Yes': -7.5926905, ' It': -8.951407}
{' No': -0.19090268, 'No': -5.6475544, ' Yes': -1.783882, 'Yes': -6.759538, ' It': -7.1550193}
{' No': -0.19338964, 'No': -5.6339273, ' Yes': -1.7700878, 'Yes': -6.660419, ' It': -7.856107}
{' No': -0.108970895, 'No': -5.548918, ' Yes': -2.3217509, 'Yes': -7.197696, ' It': -8.133958}
{' No': -0.017178465, 'No': -5.1979685, ' Yes': -4.489077, 'Yes': -9.305964, ' It': -9.008697}
