{' No': -1.088265, 'No': -6.275237, ' Yes': -0.42232373, ' yes': -7.849399, 'Yes': -5.2429237}
{' No': -4.2461576, ' ': -9.494109, ' Yes': -0.022158742, ' yes': -7.527781, 'Yes': -4.988221}
{' No': -3.2770631, 'No': -8.428818, ' Yes': -0.047193415, ' yes': -7.5185623, 'Yes': -4.908888}
{' No': -4.2976847, ' ': -9.435676, ' Yes': -0.021943282, ' yes': -7.5282183, 'Yes': -4.9170904}
{' No': -2.1777608, 'No': -7.35259, ' Yes': -0.12983876, ' yes': -7.417123, 'Yes': -4.978952}
{' No': -3.9848607, 'No': -9.184625, ' Yes': -0.027028441, ' yes': -7.4732943, 'Yes': -4.934594}
{' No': -3.52588, 'No': -8.767261, ' Yes': -0.037744105, ' yes': -7.6286974, 'Yes': -4.994865}
{' No': -4.4536695, ' ': -9.398093, ' Yes': -0.019530565, ' yes': -7.61655, 'Yes': -4.9678164}
{' No': -5.4234047, ' YES': -9.911175, ' Yes': -0.011777731, ' yes': -7.773723, 'Yes': -5.0011787}
{' No': -0.7691365, 'No': -6.033447, ' Yes': -0.63541615, ' yes': -7.683157, 'Yes': -5.600553}
{' No': -3.6962814, 'No': -8.940209, ' Yes': -0.033204958, ' yes': -7.653953, 'Yes': -4.9525275}
{' No': -2.038718, 'No': -7.1545067, ' Yes': -0.14872435, ' yes': -7.5661225, 'Yes': -5.032603}
{' No': -3.2054558, 'No': -8.158332, ' Yes': -0.05181324, ' yes': -7.745786, 'Yes': -4.7048526}
{' No': -2.9861956, 'No': -7.8224382, ' Yes': -0.06322577, ' yes': -7.6554723, 'Yes': -4.632104}
{' No': -2.4772542, 'No': -7.627051, ' Yes': -0.0967935, ' yes': -7.6123013, 'Yes': -4.969516}
{' Yes': -0.06410607, ' No': -2.9666786, 'Yes': -4.654875, ' yes': -7.6762466, 'No': -7.8472233}
{' No': -3.2033067, 'No': -8.142448, ' Yes': -0.051844254, ' yes': -7.6598144, 'Yes': -4.716885}
{' No': -2.959523, 'No': -7.7984567, ' Yes': -0.06408751, ' yes': -7.5155854, 'Yes': -4.6985116}
{' No': -3.626848, 'No': -8.798966, ' Yes': -0.035482258, ' yes': -7.670436, 'Yes': -4.9066787}
{' No': -2.1884778, 'No': -7.3441234, ' Yes': -0.12824187, ' yes': -7.3407717, 'Yes': -5.0589647}
{' No': -2.8522396, 'No': -7.681517, ' Yes': -0.07093454, ' yes': -7.592453, 'Yes': -4.6416645}
{' No': -3.22117, 'No': -8.17979, ' Yes': -0.051416077, ' yes': -7.7230024, 'Yes': -4.6836047}
{' Yes': -0.12753807, ' No': -2.2101665, 'Yes': -4.7602186, 'No': -7.128215, ' yes': -7.7788615}
{' No': -3.0370047, 'No': -7.8912926, ' Yes': -0.06003032, ' yes': -7.658594, 'Yes': -4.6785474}
{' No': -1.3885844, 'No': -6.6743636, ' Yes': -0.2978882, 'Yes': -5.188322, ' It': -7.5067897}
{' No': -2.8235784, 'No': -7.712082, ' Yes': -0.07292267, ' yes': -7.7729783, 'Yes': -4.624486}
{' No': -2.5105865, 'No': -7.301312, ' Yes': -0.09712489, ' yes': -7.676863, 'Yes': -4.611037}
{' No': -2.938835, 'No': -7.6956363, ' Yes': -0.06639473, ' yes': -7.403761, 'Yes': -4.5979495}
{' Yes': -0.07686399, ' No': -2.7593076, 'Yes': -4.6508975, 'No': -7.610743, ' yes': -7.765913}
{' No': -2.3715265, 'No': -7.563711, ' Yes': -0.10736837, ' yes': -7.594169, 'Yes': -4.9757857}
{' No': -1.9276984, 'No': -6.8932686, ' Yes': -0.16926809, ' yes': -7.724291, 'Yes': -4.769436}
{' No': -1.6193473, 'No': -6.4421773, ' Yes': -0.23475918, ' yes': -7.7691765, 'Yes': -4.730437}
{' No': -0.59138715, 'No': -5.426293, ' Yes': -0.82848203, ' yes': -8.337471, 'Yes': -5.3238473}
{' No': -1.5974185, 'No': -6.3624177, ' Yes': -0.2406604, ' yes': -7.844294, 'Yes': -4.7076974}
{' No': -2.2598581, 'No': -7.1227407, ' Yes': -0.12237266, ' yes': -7.6507597, 'Yes': -4.6924844}
{' No': -2.073402, 'No': -7.0093126, ' Yes': -0.14637902, ' yes': -7.8061132, 'Yes': -4.7405505}
{' Yes': -0.17395097, ' No': -1.9043243, 'Yes': -4.7274117, 'No': -6.753664, ' yes': -7.7793083}
{' Yes': -0.057093132, ' No': -3.1141953, 'Yes': -4.607899, ' yes': -7.72381, 'No': -7.9553304}
{' No': -2.877955, 'No': -7.7366734, ' Yes': -0.06909414, ' yes': -7.70536, 'Yes': -4.6653085}
{' Yes': -0.08445015, ' No': -2.629864, 'Yes': -4.969422, ' It': -7.256476, ' yes': -7.647364}
{' No': -2.6196156, 'No': -7.474674, ' Yes': -0.08828158, ' yes': -7.6743793, 'Yes': -4.5871177}
{' No': -0.8840635, 'No': -5.7496486, ' Yes': -0.5502088, ' yes': -8.158652, 'Yes': -5.060018}
{' No': -1.0049351, 'No': -5.758157, ' Yes': -0.47406662, ' yes': -8.023383, 'Yes': -4.885012}
{' No': -2.2439632, 'No': -7.0144863, ' Yes': -0.12499826, ' yes': -7.7530265, 'Yes': -4.618063}
{' No': -1.0513768, 'No': -5.99152, ' Yes': -0.44332543, ' yes': -7.687351, 'Yes': -5.2414327}
{' No': -2.1357102, 'No': -7.0109925, ' Yes': -0.13815355, ' yes': -7.7304273, 'Yes': -4.6820703}
{' No': -1.6586359, 'No': -6.531587, ' Yes': -0.22422764, ' yes': -7.9052563, 'Yes': -4.78029}
{' No': -2.7411585, 'No': -7.650757, ' Yes': -0.078166075, ' yes': -7.7961717, 'Yes': -4.6493196}
{' No': -1.9756476, 'No': -6.848484, ' Yes': -0.16078606, ' yes': -8.099741, 'Yes': -4.7825966}
{' No': -0.36888933, 'No': -5.7016487, ' Yes': -1.1954426, 'Yes': -6.1586814, ' It': -8.682821}
{' No': -1.1936369, 'No': -6.2249365, ' Yes': -0.37380508, ' yes': -8.185594, 'Yes': -5.058556}
{' No': -1.4605285, 'No': -6.3075743, ' Yes': -0.2785446, ' yes': -8.054637, 'Yes': -4.765572}
{' Yes': -0.15298536, ' No': -2.0206494, 'Yes': -4.881558, 'No': -7.074972, ' yes': -7.8902555}
{' Yes': -0.2258628, ' No': -1.6462787, 'Yes': -4.9280133, 'No': -6.6892185, ' yes': -7.8816605}
{' Yes': -0.09458325, ' No': -2.5058286, 'Yes': -4.9142413, 'No': -7.645071, ' yes': -7.7917666}
{' No': -2.0155122, 'No': -7.2495556, ' Yes': -0.15243138, ' yes': -7.9114356, 'Yes': -5.019813}
{' No': -1.7568184, 'No': -6.5805845, ' Yes': -0.20305784, ' yes': -7.8715277, 'Yes': -4.7047496}
{' No': -2.215246, 'No': -6.99212, ' Yes': -0.1287306, ' yes': -7.826188, 'Yes': -4.608827}
{' No': -2.9280932, 'No': -7.690811, ' Yes': -0.06653838, ' yes': -7.94989, 'Yes': -4.6148477}
{' No': -1.7628093, 'No': -6.9038196, ' Yes': -0.19842282, ' yes': -7.912671, 'Yes': -5.0480986}
{' No': -2.2116537, 'No': -7.075905, ' Yes': -0.12871835, ' yes': -7.8717356, 'Yes': -4.6527357}
{' No': -1.5557711, 'No': -6.417719, ' Yes': -0.25090426, ' yes': -7.948769, 'Yes': -4.7840195}
{' No': -1.7600896, 'No': -6.64849, ' Yes': -0.20189837, ' yes': -7.852655, 'Yes': -4.745086}
{' No': -1.7906611, 'No': -6.6786227, ' Yes': -0.19512203, ' yes': -7.927133, 'Yes': -4.7770824}
{' No': -2.662025, ' Yes': -0.08140903, ' yes': -7.787795, 'Yes': -4.984443, ' It': -7.780576}
{' No': -2.3644657, 'No': -7.3236213, ' Yes': -0.109933846, ' yes': -7.869352, 'Yes': -4.741129}
{' No': -1.7468007, 'No': -6.663138, ' Yes': -0.20416172, ' yes': -7.8903775, 'Yes': -4.7883425}
{' No': -2.3680294, 'No': -7.2470016, ' Yes': -0.11006625, ' yes': -7.88579, 'Yes': -4.688866}
{' No': -2.6474445, 'No': -7.3925343, ' Yes': -0.08539835, ' yes': -8.089088, 'Yes': -4.6106057}
{' Yes': -0.08201495, ' No': -2.665927, 'Yes': -4.8819094, ' It': -7.6013, 'No': -7.7034745}
{' No': -2.2772393, 'No': -7.4055004, ' Yes': -0.11779432, ' yes': -7.873411, 'Yes': -4.937996}
{' No': -1.0630538, 'No': -5.923437, ' Yes': -0.43945378, ' yes': -8.312767, 'Yes': -4.9715257}
{' Yes': -0.39971668, ' No': -1.1425813, 'Yes': -4.912915, 'No': -5.955724, ' yes': -8.185809}
{' Yes': -0.34530067, ' No': -1.2707272, 'Yes': -4.798691, 'No': -6.033638, ' yes': -8.105906}
{' No': -0.52743196, 'No': -5.4924088, ' Yes': -0.91436994, 'Yes': -5.567028, ' It': -7.3244514}
{' Yes': -0.28726137, ' No': -1.432464, 'Yes': -4.795743, 'No': -6.22349, ' yes': -8.010761}
{' No': -1.6239535, 'No': -6.469016, ' Yes': -0.23308823, ' yes': -8.0579195, 'Yes': -4.7622914}
{' No': -0.6465325, ' Yes': -0.7623162, 'Yes': -5.3083158, 'No': -5.5083604, ' It': -8.544096}
{' No': -2.2107232, 'No': -6.971355, ' Yes': -0.12850901, ' yes': -7.988908, 'Yes': -4.658422}
{' No': -0.67461306, 'No': -5.78769, ' Yes': -0.7275266, 'Yes': -5.596328, ' It': -7.981921}
{' No': -1.9652892, 'No': -6.7572985, ' Yes': -0.16343999, ' yes': -8.107469, 'Yes': -4.7130175}
{' No': -1.5351431, 'No': -6.447983, ' Yes': -0.2551748, ' yes': -8.233969, 'Yes': -4.870451}
{' No': -1.9585115, 'No': -6.720445, ' Yes': -0.16511348, ' yes': -8.092847, 'Yes': -4.6735573}
{' No': -0.7418301, 'No': -5.5301714, ' Yes': -0.66650134, ' yes': -8.497216, 'Yes': -5.152072}
{' Yes': -0.49499288, ' No': -0.96265185, 'Yes': -5.2650523, 'No': -6.056291, ' It': -7.7163515}
{' No': -1.8596519, 'No': -6.7262588, ' Yes': -0.1812671, ' yes': -8.137983, 'Yes': -4.7984962}
{' No': -1.4509923, 'No': -6.39655, ' Yes': -0.2789381, ' yes': -8.281701, 'Yes': -4.973953}
{' No': -2.477595, 'No': -7.4968877, ' Yes': -0.097071365, ' yes': -8.205668, 'Yes': -4.886164}
{' Yes': -0.32038015, ' No': -1.3288354, 'Yes': -4.96968, 'No': -6.2412267, ' yes': -8.287774}
{' No': -0.3129516, ' Yes': -1.3368087, 'No': -5.579406, 'Yes': -6.2677317, ' It': -8.805238}
{' No': -1.3156642, 'No': -6.212903, ' Yes': -0.32532302, ' yes': -8.383304, 'Yes': -4.959446}
{' No': -0.8902436, 'No': -5.7794223, ' Yes': -0.5442812, ' yes': -8.508692, 'Yes': -5.1644497}
{' No': -0.7996582, 'No': -5.7309875, ' Yes': -0.61294603, ' yes': -8.543091, 'Yes': -5.2670655}
{' No': -1.0202729, 'No': -5.8741775, ' Yes': -0.46196523, ' yes': -8.488477, 'Yes': -5.062532}
{' No': -0.22410093, 'No': -5.082019, ' Yes': -1.6483333, ' yes': -9.53002, 'Yes': -6.224816}
