{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.028339902, 'No': -3.8402658, ' Yes': -5.4574704, '\n': -6.3164477, ' Not': -8.81706}
{' No': -0.06275239, '\n': -3.4223616, 'No': -3.9120507, ' Yes': -5.697497, ' Hospital': -6.2929287}
{' No': -0.059947472, '\n': -3.5329468, 'No': -3.6206772, ' Yes': -6.794315, ' ': -7.4384837}
{' No': -0.037989374, '\n': -5.187395, ' ': -8.376578, 'No': -3.5609536, ' Yes': -5.896466}
{' No': -0.023882318, 'No': -4.297953, ' Yes': -5.1028295, '\n': -5.7069855, ' Not': -8.0536785}
{' No': -0.024618234, 'No': -4.0149994, '\n': -5.821676, ' Yes': -5.850789, ' Not': -8.738643}
{' No': -0.022999637, '\n': -6.1696286, 'No': -4.2414746, ' Yes': -5.1084237, 'Yes': -9.227501}
{' No': -0.42573175, '\n': -4.7421074, 'No': -4.2562027, ' Yes': -1.143879, 'Yes': -5.3571854}
{' No': -0.03933261, ' Not': -7.136328, '\n': -3.9518557, 'No': -4.1321306, ' Yes': -6.3060536}
{' No': -0.053913325, ' Not': -7.81751, '\n': -3.9698124, 'No': -3.4716108, ' Yes': -6.5471168}
{' No': -0.035211302, '\n': -6.0405912, 'No': -3.5844607, ' Yes': -5.6289434, ' Unfortunately': -8.105098}
{' No': -0.026263021, 'No': -4.2984414, ' Yes': -4.622666, '\n': -6.2427053, ' Not': -8.783927}
{' No': -0.019083565, ' Not': -9.364342, '\n': -6.754475, 'No': -4.0800614, ' Yes': -7.3920255}
{' No': -0.022028403, 'No': -3.9426596, '\n': -6.1939683, ' Yes': -8.423321, ' ': -9.241262}
{' No': -0.035176665, '\n': -5.935628, 'No': -3.7233155, ' Yes': -4.9042583, 'Yes': -8.884215}
{' No': -0.023348259, '\n': -4.8539925, ' ': -8.154953, 'No': -4.280455, ' Yes': -7.169779}
{' No': -0.018902598, 'No': -4.1895285, '\n': -5.716027, ' ': -9.066607, ' Not': -9.8557205}
{' No': -0.017135717, '\n': -7.0535235, ' ': -9.143639, 'No': -4.183363, ' Yes': -7.374286}
{' No': -0.018467778, 'No': -4.1865582, ' Yes': -6.1894627, '\n': -7.0801263, ' Not': -9.765598}
{' No': -0.013316481, '\n': -7.180508, ' ': -9.625392, 'No': -4.4012384, ' Yes': -9.189172}
{' No': -0.019388653, 'No': -4.364933, '\n': -5.4086404, ' Yes': -6.3687034, ' ': -8.552061}
{' No': -0.109217905, '\n': -4.8466806, 'No': -4.1644583, ' Yes': -2.545501, 'Yes': -6.8611026}
{' No': -0.06267884, '\n': -3.4118283, 'No': -4.469991, ' Hospital': -4.6109805, ' Yes': -5.9295154}
{' No': -0.025515065, '\n': -4.110041, ' ': -7.8384438, 'No': -4.8500485, ' Yes': -7.889185}
{' No': -0.017578812, 'No': -4.2383122, '\n': -6.2409954, ' Yes': -7.818672, ' Unfortunately': -8.182194}
{' No': -0.025460647, '\n': -5.5779886, 'No': -4.143047, ' Yes': -5.3246284, ' The': -8.7809305}
{' No': -0.023754068, '\n': -5.3601627, ' ': -8.533792, 'No': -4.0048428, ' Yes': -8.415658}
{' No': -0.098957434, 'No': -2.7080786, '\n': -3.7098713, ' Yes': -6.4031944, ' ': -6.962513}
{' No': -0.19269589, '\n': -3.7490294, 'No': -2.6785185, ' Yes': -2.56147, 'Yes': -5.461128}
{' No': -0.16495545, 'No': -2.4763129, '\n': -2.7764876, ' ': -6.080303, ' Yes': -6.5567627}
{' No': -0.16705877, 'No': -2.3981092, '\n': -2.8523936, ' Yes': -6.3019605, ' ': -6.4080324}
{' No': -0.12012161, '\n': -4.486094, ' ': -7.22547, 'No': -2.3130097, ' Yes': -6.676462}
{' No': -0.097086206, '\n': -4.520989, ' ': -7.5548854, 'No': -2.5469036, ' Yes': -6.22855}
{' No': -0.14424461, '\n': -3.8772674, ' ': -7.096879, 'No': -2.1926072, ' Yes': -7.6344094}
{' No': -0.22769153, 'No': -2.5496938, '\n': -2.8272703, ' Yes': -2.9280832, ' Unfortunately': -5.1534367}
{' No': -0.9172702, '\n': -3.0409865, 'No': -3.0605462, ' Yes': -0.74856716, 'Yes': -3.6445212}
{' No': -0.35386124, '\n': -1.7375455, 'No': -2.547339, ' Yes': -3.9183676, ' Unfortunately': -4.3244686}
{' No': -0.3436039, '\n': -1.9512298, 'No': -2.1819332, ' Yes': -3.9507835, ' Unfortunately': -4.828587}
{' No': -0.28858432, 'No': -2.2694519, '\n': -2.3572755, ' Yes': -3.3391593, ' Unfortunately': -4.7140584}
{' No': -0.25285447, ' Yes': -2.2476895, 'No': -2.654321, '\n': -3.3587484, 'Yes': -5.288871}
{' No': -0.23386262, 'No': -2.1408927, '\n': -2.7837358, ' Yes': -4.0400567, ' Unfortunately': -5.119885}
{' No': -0.18711485, ' Yes': -1.9827291, 'No': -4.0277367, '\n': -4.424074, 'Yes': -6.1129966}
{' Yes': -0.34153324, ' No': -1.3854005, '\n': -3.9596076, 'Yes': -4.490648, 'No': -5.1268992}
{' No': -0.03947825, '\n': -4.057621, 'No': -4.3361416, ' Yes': -5.167946, ' Not': -7.1862884}
