{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.03379406, 'No': -3.821994, ' Yes': -4.9426856, '\n': -5.611013, ' Not': -8.644295}
{' No': -0.038293783, ' Not': -7.2780046, '\n': -3.9896388, ' ': -6.89947, 'No': -4.118053}
{' No': -0.0476319, '\n': -3.5181653, ' ': -7.3053594, 'No': -4.210632, ' Yes': -7.013053}
{' No': -0.03629748, 'No': -3.7600026, '\n': -5.071095, ' Yes': -5.217907, ' ': -7.9760137}
{' No': -0.03058062, 'No': -3.7731113, ' Yes': -5.374605, '\n': -6.238622, ' Not': -8.872139}
{' No': -0.029915715, 'No': -3.5969605, '\n': -6.515908, ' Yes': -8.023903, ' ': -9.175655}
{' No': -0.015966825, '\n': -6.7077546, ' ': -9.674101, 'No': -4.2594814, ' Yes': -7.9602146}
{' No': -0.05594334, '\n': -5.9289174, 'No': -4.3700147, ' Yes': -3.2616048, 'Yes': -7.8379936}
{' No': -0.07882382, '\n': -2.9358318, 'No': -3.914639, ' ': -6.680765, ' Not': -7.2264614}
{' No': -0.05447473, '\n': -3.6134367, ' ': -7.975198, 'No': -3.6940584, ' Yes': -8.288504}
{' No': -0.022394363, ' Not': -8.31379, '\n': -6.4576983, 'No': -4.010725, ' Yes': -6.267013}
{' No': -0.011114768, ' Not': -9.470423, '\n': -7.9783444, 'No': -4.6729684, ' Yes': -6.7326035}
{' No': -0.027480537, ' Not': -9.084626, '\n': -6.6317663, 'No': -3.6823454, ' Yes': -8.014546}
{' No': -0.017748192, '\n': -6.812184, ' ': -9.483827, 'No': -4.1172886, ' Yes': -9.450117}
{' No': -0.04258149, '\n': -6.5737185, 'No': -3.6653879, ' Yes': -4.248075, 'Yes': -8.264936}
{' No': -0.024331275, 'No': -4.1185236, '\n': -4.9244947, ' ': -8.180123, ' Not': -9.340433}
{' No': -0.033847082, '\n': -3.9837847, 'No': -4.2863245, ' ': -7.4799986, ' Yes': -9.023908}
{' No': -0.024501255, '\n': -6.866944, ' ': -8.98038, 'No': -3.7788286, ' Yes': -9.061566}
{' No': -0.0147199165, 'No': -4.290145, '\n': -7.5265794, ' Yes': -8.460525, ' Not': -9.835769}
{' No': -0.025959319, 'No': -3.6917098, '\n': -7.50733, ' ': -9.59165, ' Not': -10.669619}
{' No': -0.020432098, 'No': -4.1178784, '\n': -5.7194448, ' Yes': -7.826746, ' ': -8.778574}
{' No': -0.05578634, '\n': -4.999048, 'No': -4.2267227, ' Yes': -3.4470637, 'Yes': -7.8076553}
{' No': -0.03880058, ' Not': -7.187623, '\n': -3.8517313, ' ': -6.4175057, 'No': -4.3241854}
{' No': -0.040798753, '\n': -3.5056403, ' ': -7.0109377, 'No': -4.796416, ' Yes': -7.8624573}
{' No': -0.01905009, '\n': -5.550494, ' ': -8.27209, 'No': -4.25575, ' Yes': -7.808259}
{' No': -0.012136522, ' Not': -9.050614, '\n': -6.6350245, 'No': -4.590755, ' Yes': -8.574534}
{' No': -0.037663516, '\n': -5.615641, ' ': -8.283158, 'No': -3.4189978, ' Yes': -9.110321}
{' No': -0.13803893, '\n': -3.388523, ' ': -6.6896462, 'No': -2.3750079, ' Unfortunately': -7.84779}
{' No': -0.14347446, '\n': -3.581371, 'No': -2.5329778, ' Yes': -3.7592463, 'Yes': -6.526454}
{' No': -0.17171818, '\n': -2.8688633, ' ': -6.180837, 'No': -2.3299594, ' Yes': -7.700225}
{' No': -0.18217237, 'No': -2.4858415, '\n': -2.54256, ' ': -6.123782, ' Unfortunately': -6.8891926}
{' No': -0.13735326, 'No': -2.259458, '\n': -3.8824952, ' ': -6.8174906, ' Yes': -6.8973365}
{' No': -0.11548695, 'No': -2.3885906, '\n': -4.1785727, ' ': -7.3097825, ' Unfortunately': -7.620748}
{' No': -0.18616442, 'No': -1.9279647, '\n': -3.7931225, ' ': -7.0639944, ' Unfortunately': -7.850976}
{' No': -0.18309735, '\n': -2.762727, 'No': -2.5724423, ' Yes': -4.1964126, ' Unfortunately': -4.808883}
{' No': -0.41001457, '\n': -2.8763976, 'No': -2.590547, ' Yes': -1.6840565, 'Yes': -4.5582423}
{' No': -0.3347973, '\n': -1.9548113, 'No': -2.1643891, ' Yes': -4.983027, ' Unfortunately': -4.3698425}
{' No': -0.4454382, '\n': -1.6677091, 'No': -2.0921972, ' Yes': -3.8901744, ' Unfortunately': -4.4192424}
{' No': -0.3054391, 'No': -2.1468563, '\n': -2.2973003, ' Yes': -3.8662891, ' Unfortunately': -4.197145}
{' No': -0.25163585, '\n': -2.761083, 'No': -2.0410302, ' Yes': -3.9816601, ' Unfortunately': -5.4253397}
{' No': -0.22081071, 'No': -1.9267929, '\n': -3.252568, ' Unfortunately': -5.044989, ' Yes': -5.4881506}
{' No': -0.031860907, '\n': -5.4131413, ' ': -8.518696, 'No': -4.001906, ' Yes': -4.8195176}
{' No': -0.18853958, '\n': -4.558729, 'No': -4.3869305, ' Yes': -1.9256592, 'Yes': -6.398981}
{' No': -0.028938664, ' Not': -6.664036, '\n': -4.292488, 'No': -4.7660923, ' Yes': -5.8337}
{' No': -0.05896782, '\n': -3.1933365, 'No': -4.4096813, ' Yes': -6.0860825, ' ': -7.3419685}
{' No': -0.03774008, 'No': -3.6702588, '\n': -4.788146, ' Yes': -6.3373785, ' Unfortunately': -7.494693}
{' No': -0.029682245, 'No': -4.027958, '\n': -4.895006, ' Yes': -5.7821536, ' The': -8.395611}
{' No': -0.05213577, 'No': -3.23691, '\n': -4.73885, ' Yes': -6.3425293, ' ': -8.345624}
{' Yes': -0.6293502, ' No': -1.1454445, '\n': -2.4473262, 'No': -3.441957, 'Yes': -3.6189513}
{' No': -0.24149124, ' Not': -5.81392, '\n': -1.924114, 'No': -2.8778973, ' Unfortunately': -5.395008}
{' No': -0.6677305, '\n': -1.3576204, 'No': -3.750925, ' Yes': -1.6466525, 'Yes': -4.961067}
{' No': -0.12781547, 'No': -2.8374004, '\n': -2.9998915, ' Yes': -5.401871, ' Unfortunately': -5.7137775}
{' No': -0.12139112, '\n': -2.953718, 'No': -2.93008, ' Yes': -5.273414, ' Patient': -6.951377}
{' No': -0.11502356, '\n': -3.132178, 'No': -3.6837451, ' Yes': -3.2759142, 'Yes': -6.949257}
{' No': -0.339417, '\n': -1.7994179, ' Yes': -2.6654, 'No': -3.22469, ' Unfortunately': -4.949658}
{' No': -0.54495, '\n': -1.1778064, 'No': -2.8086407, ' Unfortunately': -3.2705777, ' ': -4.9404655}
{' No': -0.87936896, '\n': -0.8461086, 'No': -3.521745, ' Yes': -2.3238194, ' Unfortunately': -4.4163427}
{' No': -0.27101687, '\n': -2.055101, 'No': -2.8812788, ' Unfortunately': -3.1577566, ' ': -5.631353}
{' No': -0.13561305, '\n': -2.6956239, 'No': -3.0447087, ' Unfortunately': -5.151633, ' Yes': -5.7091794}
{' No': -0.20074679, '\n': -2.2142355, 'No': -2.8489037, ' Yes': -4.8890533, ' Unfortunately': -5.5389957}
{' Yes': -0.5214154, ' No': -1.0571134, '\n': -3.328571, 'Yes': -4.456064, 'No': -4.580391}
{' Yes': -0.112612896, ' No': -2.746068, 'Yes': -3.8875897, '\n': -4.091254, 'No': -5.9025564}
{' Yes': -0.1554881, ' No': -2.9266176, '\n': -3.1197767, 'Yes': -3.796815, ' Sur': -4.049464}
{' No': -0.035128202, '\n': -4.60455, ' ': -7.3560014, 'No': -3.835547, ' Yes': -6.5300508}
{' No': -0.24244285, ' Yes': -1.7140881, '\n': -4.0257297, 'No': -4.371549, 'Yes': -6.1351137}
{' No': -0.025972715, '\n': -5.255705, ' ': -8.445387, 'No': -4.0397396, ' Yes': -6.054233}
{' No': -0.10697426, '\n': -3.7660928, 'No': -4.1684995, ' Yes': -2.8044534, 'Yes': -6.7952485}
{' No': -0.080466256, ' Yes': -3.286439, 'No': -3.6527128, '\n': -4.515792, ' The': -7.137613}
{' No': -0.06784813, '\n': -3.5154376, 'No': -4.0929236, ' Hospital': -4.6197295, ' Not': -5.740242}
{' No': -0.02361803, 'No': -4.212346, '\n': -5.044345, ' Yes': -6.5600157, ' ': -8.156304}
