{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' No': -0.028964372, ' Yes': -4.30397, 'No': -4.407893, '\n': -6.149581, ' Doctor': -8.584809}
{' No': -0.037059933, 'No': -4.033352, '\n': -4.113453, ' ': -7.025387, ' Yes': -7.328827}
{' No': -0.2011878, '\n': -2.2843082, ' Yes': -2.8776672, 'No': -4.1427407, ' Sur': -5.6802106}
{' No': -0.032044783, '\n': -5.372524, ' ': -8.197593, 'No': -3.6925514, ' Yes': -6.544583}
{' No': -0.037178826, 'No': -3.9620235, ' Yes': -4.2188954, '\n': -6.2415395, 'Yes': -8.058359}
{' No': -0.036185373, ' Not': -8.471611, '\n': -5.3871026, 'No': -3.7378187, ' Yes': -5.0327253}
{' No': -0.13209856, ' Yes': -2.2702897, 'No': -4.207885, '\n': -5.5259147, 'Yes': -6.5845804}
{' No': -0.15751308, ' Yes': -2.0576634, 'No': -4.4779305, '\n': -5.3337255, 'Yes': -6.8095627}
{' No': -0.07823279, '\n': -2.9469745, 'No': -3.894782, ' ': -6.797219, ' Yes': -7.5593953}
{' No': -0.26977926, '\n': -2.0978165, ' Yes': -2.391888, 'No': -4.2006245, ' Sur': -5.868488}
{' No': -0.021778123, 'No': -3.944599, '\n': -6.5164585, ' Yes': -7.5848103, ' Not': -9.20252}
{' No': -0.02259157, ' Not': -9.478789, '\n': -8.065494, 'No': -3.9559603, ' Yes': -5.9493017}
{' No': -0.03142302, 'No': -4.037841, ' Yes': -4.66936, '\n': -5.6989837, ' Not': -8.547669}
{' No': -0.013914474, 'No': -4.3604984, '\n': -7.1712174, ' Yes': -8.5635605, ' ': -9.695391}
{' No': -0.030366594, 'No': -3.6575215, ' Yes': -5.895713, '\n': -6.736623, ' ': -9.391938}
{' No': -0.021189356, '\n': -5.7981014, ' ': -8.648672, 'No': -4.0425897, ' Yes': -9.274775}
{' No': -0.02389666, '\n': -4.709188, ' ': -7.980342, 'No': -4.2769766, ' Yes': -8.455386}
{' No': -0.03022136, '\n': -6.466964, ' ': -9.004006, 'No': -3.5811036, ' Yes': -8.646159}
{' No': -0.009967985, '\n': -7.781032, ' ': -10.62006, 'No': -4.700859, ' Yes': -7.950502}
{' No': -0.016316395, '\n': -8.2249365, ' ': -10.043826, 'No': -4.14811, ' Yes': -9.853589}
{' No': -0.04542068, '\n': -5.1859026, 'No': -4.109744, ' Yes': -3.825669, 'Yes': -8.016238}
{' No': -0.2706796, ' Yes': -1.5529327, '\n': -4.51895, 'No': -4.533587, 'Yes': -6.1257796}
{' No': -0.05440342, '\n': -3.5183144, 'No': -4.6664867, ' Hospital': -4.7371216, ' ': -6.1751614}
{' No': -0.17059977, '\n': -2.2874877, ' Yes': -3.83578, ' Sur': -3.9743524, 'No': -4.569007}
{' No': -0.02874664, 'No': -3.8554332, '\n': -5.034365, ' ': -8.116677, ' Yes': -8.189761}
{' No': -0.012563225, 'No': -4.663327, ' Yes': -6.455005, '\n': -6.6452417, ' ': -9.599174}
{' No': -0.021581445, 'No': -4.001867, '\n': -6.172485, ' Yes': -7.2388415, ' ': -8.987264}
{' Yes': -0.27945504, ' No': -1.7398088, 'Yes': -3.3933046, '\n': -3.932199, 'No': -4.278343}
{' No': -0.36543792, ' Yes': -1.6755726, 'No': -2.674377, '\n': -3.312034, 'Yes': -4.4987535}
{' No': -0.22211534, '\n': -2.320651, ' ': -5.7962728, 'No': -2.3649108, ' Yes': -6.172343}
{' No': -0.4219396, ' Yes': -1.8381537, '\n': -2.2359598, 'No': -2.8185632, 'Yes': -4.2677174}
{' No': -0.14669634, 'No': -2.145413, '\n': -4.0295815, ' ': -7.1064854, ' Unfortunately': -8.263898}
{' No': -0.103783295, '\n': -4.0687795, ' ': -7.3748264, 'No': -2.6178253, ' Yes': -5.0217633}
{' No': -0.1949268, '\n': -3.4628518, ' ': -6.6609545, 'No': -1.9743992, ' Yes': -5.4540877}
{' Yes': -0.31152812, ' No': -1.7860135, '\n': -3.1972892, 'Yes': -3.3052719, 'No': -3.944924}
{' No': -1.0032673, '\n': -2.8482761, 'No': -3.0777645, ' Yes': -0.70526505, 'Yes': -3.5534515}
{' No': -0.5123349, '\n': -1.5871658, ' ': -4.9564075, 'No': -2.0093005, ' Yes': -3.1644096}
{' No': -1.2460749, '\n': -1.9164717, 'No': -3.0353892, ' Yes': -0.7741147, 'Yes': -3.0561736}
{' No': -0.37246275, '\n': -2.1622307, 'No': -1.7822337, ' Yes': -4.634826, ' Unfortunately': -4.8042617}
{' No': -0.33314115, ' Yes': -2.2023392, 'No': -2.237621, '\n': -2.9561918, 'Yes': -4.750467}
{' No': -0.38769057, '\n': -2.0611162, 'No': -2.0848799, ' Yes': -2.9017305, 'Yes': -5.338763}
{' No': -2.3416157, '\n': -5.3973274, 'No': -6.278206, ' Yes': -0.12154793, 'Yes': -4.469055}
{' No': -1.1705068, '\n': -4.0315657, 'No': -5.044345, ' Yes': -0.4242528, 'Yes': -4.693198}
{' No': -0.07676256, '\n': -3.0050614, 'No': -4.0675764, ' Yes': -5.81129, ' ': -6.5067606}
{' No': -0.55985963, ' Yes': -1.2595514, '\n': -2.0981266, 'No': -4.648347, 'Yes': -5.3234606}
{' No': -0.027166478, 'No': -3.8210716, '\n': -5.6853766, ' Yes': -7.239557, ' ': -8.249792}
{' No': -0.047950447, '\n': -4.9135756, 'No': -4.0420794, ' Yes': -3.8894646, 'Yes': -7.9263873}
{' No': -0.02210524, '\n': -5.953635, ' ': -9.147738, 'No': -4.198861, ' Yes': -5.540652}
{' Yes': -0.4081591, ' No': -1.5273379, '\n': -3.0767152, 'Yes': -3.2148645, 'No': -3.5400124}
{' No': -0.51624423, '\n': -1.3497288, 'No': -2.7679913, ' Yes': -2.9344683, ' Hospital': -4.2701826}
{' No': -0.7656577, '\n': -1.2902167, 'No': -3.2492867, ' Yes': -1.5902847, 'Yes': -4.4545383}
{' No': -0.12895475, ' Not': -6.6528707, '\n': -3.148461, 'No': -2.6516006, ' Yes': -5.5083857}
{' No': -0.30523983, ' Yes': -1.9382467, '\n': -2.7260487, 'No': -3.1140738, 'Yes': -5.3794966}
{' No': -0.3084488, '\n': -2.51338, 'No': -3.7540338, ' Yes': -1.859848, 'Yes': -5.628303}
{' Yes': -0.30560118, ' No': -2.004261, '\n': -2.3693237, 'Yes': -3.7951183, 'No': -4.755745}
{'\n': -0.7129409, ' No': -0.92240405, 'No': -2.6156983, ' Unfortunately': -3.9047112, ' ': -4.480263}
{' Yes': -0.62690735, '\n': -1.1467342, ' No': -2.2435722, 'Yes': -3.6958828, 'No': -4.8637047}
{' No': -0.35000044, '\n': -1.7811565, ' ': -5.110115, 'No': -2.3681276, ' Unfortunately': -3.8635728}
{' No': -0.25558922, '\n': -2.2301147, 'No': -3.0225036, ' Yes': -2.908278, ' Unfortunately': -5.029778}
{' No': -0.41342923, '\n': -1.5848769, 'No': -2.9170053, ' Yes': -2.6997566, ' Unfortunately': -5.506395}
{' No': -8.16552, '\n': -5.024713, ' ': -8.060953, ' Yes': -0.033633836, 'Yes': -3.666143}
{' No': -6.8551655, '\n': -4.838944, ' Yes': -0.03577287, 'Yes': -3.7325063, ' Doctor': -7.2627635}
{' Yes': -0.06899189, 'Yes': -3.6850386, '\n': -4.1705923, ' Sur': -4.267894, ' No': -4.688092}
{' No': -0.05867988, 'No': -3.254166, '\n': -4.25614, ' Yes': -5.955143, ' ': -7.2441263}
{' Yes': -0.049113337, ' No': -3.4880152, 'Yes': -4.6279764, '\n': -5.1363, 'No': -7.505814}
{' No': -0.12557131, ' Yes': -2.3432837, 'No': -4.4364805, '\n': -4.7849703, 'Yes': -6.781415}
{' No': -0.03909612, '\n': -4.578521, ' ': -8.127297, 'No': -4.1383486, ' Yes': -4.4740686}
{' No': -0.32193848, '\n': -3.5652282, 'No': -3.4653883, ' Yes': -1.5789976, 'Yes': -5.4143076}
{' No': -0.17462838, ' Hospital': -2.7408304, '\n': -2.804349, 'No': -3.9067698, ' Yes': -4.8177176}
{' No': -0.01984114, '\n': -6.179854, ' ': -8.885139, 'No': -4.124112, ' Yes': -6.7813787}
{' No': -0.19487233, ' Yes': -2.6694205, '\n': -2.7213137, ' Patient': -3.945906, 'No': -3.999493}
{' No': -0.02896419, ' Yes': -4.564534, 'No': -4.5946074, '\n': -4.916396, ' ': -7.9246125}
{' No': -0.03431819, '\n': -5.1987467, ' ': -8.673987, 'No': -3.8821669, ' Yes': -4.932929}
{' No': -0.029146431, '\n': -6.303601, 'No': -4.1587677, ' Yes': -4.5846767, ' Doctor': -7.2759247}
{' No': -0.02880541, '\n': -5.617533, 'No': -4.652632, ' Yes': -6.5146775, ' Hospital': -4.4048753}
