{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.05481549, ' Yes': -3.5524905, 'No': -3.8810308, '\n': -5.707899, 'Yes': -7.7820187}
{' No': -1.0964478, '\n': -3.6029916, 'No': -4.122138, ' Yes': -0.49980444, 'Yes': -4.2715673}
{' No': -5.465548, '\n': -3.682074, ' Yes': -0.06285553, ' Sur': -7.3076215, 'Yes': -3.5221677}
{' No': -0.050791718, 'No': -3.35711, '\n': -4.7121, ' Yes': -5.296855, ' ': -7.784537}
{' Yes': -0.5432205, ' No': -0.9345379, 'Yes': -4.5139713, 'No': -4.6790404, '\n': -5.1954517}
{' Yes': -0.04081893, ' No': -3.636785, 'Yes': -4.4740734, '\n': -6.4590025, 'No': -7.580661}
{' No': -7.433097, '\n': -6.1883435, ' Yes': -0.0154827805, ' yes': -8.410156, 'Yes': -4.393298}
{' Yes': -0.0643584, ' No': -3.3526425, '\n': -4.223696, 'Yes': -4.5197167, 'No': -7.0032196}
{' No': -6.958817, '\n': -3.439082, ' Yes': -0.056950655, ' Sur': -7.179438, 'Yes': -3.8894815}
{' No': -0.03230164, 'No': -3.843909, ' Yes': -5.254002, '\n': -5.4186025, ' Not': -7.891253}
{' No': -0.48232132, ' Yes': -1.0088317, 'No': -4.731608, 'Yes': -5.359381, '\n': -5.5815053}
{' No': -0.034329724, 'No': -3.8170729, ' Yes': -4.6975145, '\n': -6.0891776, 'Yes': -8.703568}
{' No': -0.30845436, '\n': -6.161386, 'No': -3.8978117, ' Yes': -1.4335365, 'Yes': -5.465261}
{' No': -0.019946324, '\n': -6.6428742, ' ': -9.01286, 'No': -4.031831, ' Yes': -7.525538}
{' No': -0.024083903, '\n': -6.224712, ' ': -9.458524, 'No': -3.854343, ' Yes': -7.6560454}
{' No': -0.030029582, 'No': -3.6025298, '\n': -6.3760853, ' Yes': -8.002966, ' ': -8.842108}
{' No': -0.10066402, ' Yes': -2.5796926, 'No': -4.0664845, '\n': -6.576713, 'Yes': -6.6780562}
{' No': -0.8059773, '\n': -4.1773877, 'No': -4.651219, ' Yes': -0.6530862, 'Yes': -4.933668}
{' No': -3.672272, '\n': -5.1078625, 'No': -7.6163406, ' Yes': -0.04549073, 'Yes': -4.422472}
{' No': -0.48819718, '\n': -3.2100847, 'No': -4.238729, ' Yes': -1.122568, 'Yes': -5.465585}
{' No': -0.54414934, '\n': -2.1379983, 'No': -4.421993, ' Yes': -1.2662392, 'Yes': -5.2401333}
{' No': -0.02837559, 'No': -4.027691, '\n': -4.8024745, ' Yes': -6.6321163, ' ': -7.864579}
{' No': -0.9623481, '\n': -4.3691244, 'No': -4.779626, ' Yes': -0.53657836, 'Yes': -4.4727373}
{' No': -3.974382, '\n': -4.205348, 'No': -6.440326, ' Yes': -0.080729656, 'Yes': -3.1893356}
{' Yes': -0.09014964, 'Yes': -3.1563668, '\n': -3.3255944, ' No': -5.239409, ' ': -6.6227784}
{' Yes': -0.21993399, ' No': -2.4337611, '\n': -2.7648253, 'Yes': -3.3379757, 'No': -4.8435817}
{' Yes': -0.13577314, '\n': -2.8280528, 'Yes': -2.8308947, ' No': -5.130333, ' ': -6.377634}
{' No': -0.18032998, '\n': -2.833444, ' ': -6.32557, 'No': -2.327173, ' Yes': -5.156469}
{' Yes': -0.41001213, ' No': -1.434159, '\n': -3.2162273, 'Yes': -3.3375669, 'No': -3.9178798}
{' No': -6.393233, '\n': -4.2279325, ' ': -7.074761, ' Yes': -0.05849539, 'Yes': -3.2457397}
{' No': -6.1805587, '\n': -4.412416, ' ': -7.4097133, ' Yes': -0.05037872, 'Yes': -3.397682}
{' Yes': -0.18391435, '\n': -2.7113304, ' No': -3.1065009, 'Yes': -3.1222937, 'No': -4.96657}
{'\n': -3.8752024, ' ': -6.774431, ' Yes': -0.07954079, ' yes': -7.9318504, 'Yes': -2.9231687}
{' No': -0.5351344, '\n': -1.8043662, 'No': -2.3799736, ' Yes': -2.0442154, 'Yes': -4.726386}
{' Yes': -0.22409168, ' No': -2.673816, 'Yes': -2.8402627, '\n': -2.8632119, 'No': -4.529315}
{' Yes': -0.55905175, ' No': -1.1924765, '\n': -2.6787302, 'No': -3.5482674, 'Yes': -3.733284}
{' Yes': -0.19136932, ' No': -2.1647086, '\n': -3.277982, 'Yes': -4.2954874, 'No': -5.1277933}
{' No': -0.2818082, '\n': -2.7453911, 'No': -3.0924828, ' Yes': -2.0431035, 'Yes': -5.3420553}
{' No': -0.3576173, ' Yes': -1.5981606, '\n': -3.0726402, 'No': -3.1717215, 'Yes': -5.0918145}
{' No': -1.952248, '\n': -3.2123914, 'No': -4.683781, ' Yes': -0.24944359, 'Yes': -3.6711123}
{' No': -1.3386801, '\n': -3.1560075, 'No': -4.206091, ' Yes': -0.41814026, 'Yes': -4.218641}
{' Yes': -0.19847901, ' No': -2.54653, '\n': -2.6998827, 'Yes': -3.791792, 'No': -5.1305485}
{' Yes': -0.08795155, '\n': -2.8384476, 'Yes': -3.7743201, ' ': -6.9440436, ' No': -7.225101}
{' No': -0.2855935, '\n': -1.9815372, ' Yes': -3.1557674, 'No': -3.286301, ' Unfortunately': -3.9087625}
{' No': -0.40634325, '\n': -2.4641454, 'No': -3.3417585, ' Yes': -1.6371953, 'Yes': -5.194431}
{'\n': -6.0269732, ' ': -9.1320095, ' Yes': -0.019296829, ' yes': -8.822885, 'Yes': -4.113695}
{' Yes': -0.02337529, 'Yes': -3.925551, '\n': -5.8747544, ' yes': -8.078302, ' ': -8.98929}
{'\n': -5.556145, ' ': -8.017353, ' Yes': -0.022852844, ' Sur': -7.984652, 'Yes': -4.044408}
{' No': -4.706161, '\n': -4.5672965, 'No': -7.78535, ' Yes': -0.04403487, 'Yes': -3.7968786}
{' Yes': -0.01610516, 'Yes': -4.3459163, '\n': -6.10909, ' yes': -8.035251, ' ': -8.848756}
{' No': -0.11093536, ' Yes': -2.784006, 'No': -3.590414, '\n': -4.307249, 'Yes': -6.705662}
{' No': -0.32947114, ' Yes': -1.5323653, '\n': -3.5147507, 'No': -3.5831406, 'Yes': -5.2962084}
{' No': -0.8253592, '\n': -4.117994, 'No': -4.6472583, ' Yes': -0.63718206, 'Yes': -5.188564}
{' No': -1.118743, '\n': -4.2455587, 'No': -4.793723, ' Yes': -0.448104, 'Yes': -4.527299}
{' Yes': -0.04237869, ' No': -3.5888934, 'Yes': -4.6274657, '\n': -5.878709, 'No': -7.715583}
{' No': -0.24379662, ' Yes': -1.6824069, 'No': -3.8956575, '\n': -5.0277624, 'Yes': -5.756149}
{' Yes': -0.6893209, ' No': -0.7343935, 'No': -4.8526106, 'Yes': -5.291284, '\n': -5.370469}
{' No': -0.24678028, '\n': -5.744539, 'No': -4.0187187, ' Yes': -1.6350689, 'Yes': -6.2575054}
{' Yes': -0.38551518, ' No': -1.7535533, ' Sur': -2.386549, '\n': -3.6367774, 'Yes': -4.0323596}
