{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.031694792, 'No': -3.745165, '\n': -5.1481094, ' Yes': -7.123432, ' The': -7.933142}
{' No': -0.088645324, 'No': -2.8990834, '\n': -3.6928437, ' Yes': -6.303442, ' Not': -7.0058746}
{' No': -0.10721556, 'No': -2.9102225, '\n': -3.2953408, ' Yes': -4.763412, ' ': -7.1694736}
{' No': -0.049909692, 'No': -3.667284, ' Yes': -4.112503, '\n': -5.114975, 'Yes': -8.198479}
{' No': -0.030530658, 'No': -3.6168, '\n': -6.0228457, ' Yes': -7.4471564, ' ': -9.060707}
{' No': -0.12803683, ' Yes': -2.8298495, '\n': -3.1521857, 'No': -4.392168, ' Not': -5.5006166}
{' No': -0.040117018, '\n': -4.419761, ' ': -7.9707394, 'No': -3.6647203, ' Yes': -7.0376735}
{' No': -0.065087125, '\n': -3.8658435, ' ': -7.4234815, 'No': -3.2254894, ' Yes': -7.060431}
{' No': -0.08892783, '\n': -3.4353042, ' ': -7.4873037, 'No': -3.1884568, ' Yes': -4.599103}
{' No': -0.041081842, 'No': -3.7106946, ' Yes': -4.459094, '\n': -5.6642942, ' Not': -8.112498}
{' No': -0.034845244, '\n': -5.9888897, ' ': -9.099054, 'No': -3.4869652, ' Yes': -7.0534153}
{' No': -0.03684427, '\n': -4.431324, ' ': -7.72229, 'No': -3.8404427, ' Yes': -6.312828}
{' No': -0.04420194, 'No': -3.214013, '\n': -5.9480824, ' ': -8.368134, ' The': -9.665449}
{' No': -0.056528185, 'No': -3.0882912, '\n': -4.7902145, ' ': -7.6784167, ' The': -8.7436075}
{' No': -0.05121994, '\n': -5.0815864, ' ': -8.080626, 'No': -3.1535149, ' Yes': -7.681404}
{' No': -0.025158105, '\n': -6.20919, ' ': -9.148638, 'No': -4.0075035, ' Yes': -5.4329967}
{' No': -0.042234737, '\n': -5.72693, ' ': -8.584248, 'No': -3.3554366, ' Yes': -5.871578}
{' No': -0.06907562, '\n': -3.2533214, 'No': -4.2707567, ' Yes': -4.400965, ' ': -7.211411}
{' No': -0.05230257, '\n': -3.6823685, ' ': -6.8759317, 'No': -3.7679017, ' Yes': -6.91464}
{' No': -0.08434249, '\n': -3.4080994, ' ': -6.7353396, 'No': -3.1009324, ' Yes': -7.560373}
{' No': -0.026283825, '\n': -5.4944844, ' ': -8.344187, 'No': -3.8675675, ' Yes': -7.6358356}
{' No': -0.031720325, 'No': -4.1998606, ' Yes': -4.389903, '\n': -5.709956, ' ': -8.4552965}
{' No': -0.04031341, '\n': -5.240682, ' ': -8.304459, 'No': -3.4028544, ' Yes': -7.4957256}
{' No': -0.24720155, '\n': -2.1755042, ' ': -5.502991, 'No': -2.4200873, ' Yes': -4.691327}
{' No': -0.15260981, 'No': -2.3630838, '\n': -3.1362846, ' ': -6.0260057, ' Yes': -7.5826154}
{' No': -0.20316131, ' Not': -7.8362904, '\n': -2.8273427, ' ': -5.9560256, 'No': -2.1142862}
{' No': -0.17208986, '\n': -2.9145768, ' ': -6.127038, 'No': -2.3410084, ' Yes': -5.551158}
{' No': -0.16453356, '\n': -4.13319, ' ': -6.6927695, 'No': -2.0205286, ' Yes': -6.8684936}
