(30, 'dog', 'htgtrseee')
(30, 'dog', 'oogggggsa')
(30, 'dog', 'gfererrrr')
(30, 'dog', 'mnnaaarfda')
(30, 'dog', 'sra')
(30, 'dog', 'grl')
(30, 'cat', 'htgtrseee')
(30, 'cat', 'oogggggsa')
(30, 'cat', 'gfererrrr')
(30, 'cat', 'mnnaaarfda')
(30, 'cat', 'sra')
(30, 'cat', 'grl')
(30, 'airplane', 'htgtrseee')
(30, 'airplane', 'oogggggsa')
(30, 'airplane', 'gfererrrr')
(30, 'airplane', 'mnnaaarfda')
(30, 'airplane', 'sra')
(30, 'airplane', 'grl')
(30, 'car', 'htgtrseee')
(30, 'car', 'oogggggsa')
(30, 'car', 'gfererrrr')
(30, 'car', 'mnnaaarfda')
(30, 'car', 'sra')
(30, 'car', 'grl')
(30, 'tree', 'htgtrseee')
(30, 'tree', 'oogggggsa')
(30, 'tree', 'gfererrrr')
(30, 'tree', 'mnnaaarfda')
(30, 'tree', 'sra')
(30, 'tree', 'grl')
(30, 'lecturer', 'htgtrseee')
(30, 'lecturer', 'oogggggsa')
(30, 'lecturer', 'gfererrrr')
(30, 'lecturer', 'mnnaaarfda')
(30, 'lecturer', 'sra')
(30, 'lecturer', 'grl')
(30, 'nurse', 'htgtrseee')
(30, 'nurse', 'oogggggsa')
(30, 'nurse', 'gfererrrr')
(30, 'nurse', 'mnnaaarfda')
(30, 'nurse', 'sra')
(30, 'nurse', 'grl')
(30, 'doctor', 'htgtrseee')
(30, 'doctor', 'oogggggsa')
(30, 'doctor', 'gfererrrr')
(30, 'doctor', 'mnnaaarfda')
(30, 'doctor', 'sra')
(30, 'doctor', 'grl')
(30, 'hospital', 'htgtrseee')
(30, 'hospital', 'oogggggsa')
(30, 'hospital', 'gfererrrr')
(30, 'hospital', 'mnnaaarfda')
(30, 'hospital', 'sra')
(30, 'hospital', 'grl')
(30, 'surgeon', 'htgtrseee')
(30, 'surgeon', 'oogggggsa')
(30, 'surgeon', 'gfererrrr')
(30, 'surgeon', 'mnnaaarfda')
(30, 'surgeon', 'sra')
(30, 'surgeon', 'grl')
(30, 'bandage', 'htgtrseee')
(30, 'bandage', 'oogggggsa')
(30, 'bandage', 'gfererrrr')
(30, 'bandage', 'mnnaaarfda')
(30, 'bandage', 'sra')
(30, 'bandage', 'grl')
(30, 'patient', 'htgtrseee')
(30, 'patient', 'oogggggsa')
(30, 'patient', 'gfererrrr')
(30, 'patient', 'mnnaaarfda')
(30, 'patient', 'sra')
(30, 'patient', 'grl')
(31, 'dog', 'htgtrseee')
(31, 'dog', 'oogggggsa')
(31, 'dog', 'gfererrrr')
(31, 'dog', 'mnnaaarfda')
(31, 'dog', 'sra')
(31, 'dog', 'grl')
(31, 'cat', 'htgtrseee')
(31, 'cat', 'oogggggsa')
(31, 'cat', 'gfererrrr')
(31, 'cat', 'mnnaaarfda')
(31, 'cat', 'sra')
(31, 'cat', 'grl')
(31, 'airplane', 'htgtrseee')
(31, 'airplane', 'oogggggsa')
(31, 'airplane', 'gfererrrr')
(31, 'airplane', 'mnnaaarfda')
(31, 'airplane', 'sra')
(31, 'airplane', 'grl')
(31, 'car', 'htgtrseee')
(31, 'car', 'oogggggsa')
(31, 'car', 'gfererrrr')
(31, 'car', 'mnnaaarfda')
(31, 'car', 'sra')
(31, 'car', 'grl')
(31, 'tree', 'htgtrseee')
(31, 'tree', 'oogggggsa')
(31, 'tree', 'gfererrrr')
(31, 'tree', 'mnnaaarfda')
(31, 'tree', 'sra')
(31, 'tree', 'grl')
(31, 'lecturer', 'htgtrseee')
(31, 'lecturer', 'oogggggsa')
(31, 'lecturer', 'gfererrrr')
(31, 'lecturer', 'mnnaaarfda')
(31, 'lecturer', 'sra')
(31, 'lecturer', 'grl')
(31, 'nurse', 'htgtrseee')
(31, 'nurse', 'oogggggsa')
(31, 'nurse', 'gfererrrr')
(31, 'nurse', 'mnnaaarfda')
(31, 'nurse', 'sra')
(31, 'nurse', 'grl')
(31, 'doctor', 'htgtrseee')
(31, 'doctor', 'oogggggsa')
(31, 'doctor', 'gfererrrr')
(31, 'doctor', 'mnnaaarfda')
(31, 'doctor', 'sra')
(31, 'doctor', 'grl')
(31, 'hospital', 'htgtrseee')
(31, 'hospital', 'oogggggsa')
(31, 'hospital', 'gfererrrr')
(31, 'hospital', 'mnnaaarfda')
(31, 'hospital', 'sra')
(31, 'hospital', 'grl')
(31, 'surgeon', 'htgtrseee')
(31, 'surgeon', 'oogggggsa')
(31, 'surgeon', 'gfererrrr')
(31, 'surgeon', 'mnnaaarfda')
(31, 'surgeon', 'sra')
(31, 'surgeon', 'grl')
(31, 'bandage', 'htgtrseee')
(31, 'bandage', 'oogggggsa')
(31, 'bandage', 'gfererrrr')
(31, 'bandage', 'mnnaaarfda')
(31, 'bandage', 'sra')
(31, 'bandage', 'grl')
(31, 'patient', 'htgtrseee')
(31, 'patient', 'oogggggsa')
(31, 'patient', 'gfererrrr')
(31, 'patient', 'mnnaaarfda')
(31, 'patient', 'sra')
(31, 'patient', 'grl')
(32, 'dog', 'htgtrseee')
(32, 'dog', 'oogggggsa')
(32, 'dog', 'gfererrrr')
(32, 'dog', 'mnnaaarfda')
(32, 'dog', 'sra')
(32, 'dog', 'grl')
(32, 'cat', 'htgtrseee')
(32, 'cat', 'oogggggsa')
(32, 'cat', 'gfererrrr')
(32, 'cat', 'mnnaaarfda')
(32, 'cat', 'sra')
(32, 'cat', 'grl')
(32, 'airplane', 'htgtrseee')
(32, 'airplane', 'oogggggsa')
(32, 'airplane', 'gfererrrr')
(32, 'airplane', 'mnnaaarfda')
(32, 'airplane', 'sra')
(32, 'airplane', 'grl')
(32, 'car', 'htgtrseee')
(32, 'car', 'oogggggsa')
(32, 'car', 'gfererrrr')
(32, 'car', 'mnnaaarfda')
(32, 'car', 'sra')
(32, 'car', 'grl')
(32, 'tree', 'htgtrseee')
(32, 'tree', 'oogggggsa')
(32, 'tree', 'gfererrrr')
(32, 'tree', 'mnnaaarfda')
(32, 'tree', 'sra')
(32, 'tree', 'grl')
(32, 'lecturer', 'htgtrseee')
(32, 'lecturer', 'oogggggsa')
(32, 'lecturer', 'gfererrrr')
(32, 'lecturer', 'mnnaaarfda')
(32, 'lecturer', 'sra')
(32, 'lecturer', 'grl')
(32, 'nurse', 'htgtrseee')
(32, 'nurse', 'oogggggsa')
(32, 'nurse', 'gfererrrr')
(32, 'nurse', 'mnnaaarfda')
(32, 'nurse', 'sra')
(32, 'nurse', 'grl')
(32, 'doctor', 'htgtrseee')
(32, 'doctor', 'oogggggsa')
(32, 'doctor', 'gfererrrr')
(32, 'doctor', 'mnnaaarfda')
(32, 'doctor', 'sra')
(32, 'doctor', 'grl')
(32, 'hospital', 'htgtrseee')
(32, 'hospital', 'oogggggsa')
(32, 'hospital', 'gfererrrr')
(32, 'hospital', 'mnnaaarfda')
(32, 'hospital', 'sra')
(32, 'hospital', 'grl')
(32, 'surgeon', 'htgtrseee')
(32, 'surgeon', 'oogggggsa')
(32, 'surgeon', 'gfererrrr')
(32, 'surgeon', 'mnnaaarfda')
(32, 'surgeon', 'sra')
(32, 'surgeon', 'grl')
(32, 'bandage', 'htgtrseee')
(32, 'bandage', 'oogggggsa')
