['Left', 'left', 'left', 'left', '<-', '<-', '<-', '<--', '<--', 'Left', 1]
['<-', 'left', '<--', 'left', 'left', 'Left', 'Left', '<-', 'Left', '<--', 2]
['<--', '<-', '<-', 'left', '<-', 'left', 'left', 'Left', '<-', 'Left', 3]
['<-', 'left', 'left', '<-', 'Left', 'Left', 'left', '<--', '<--', 'Left', 4]
['<-', 'left', '<-', '<-', 'Left', '<--', '<--', '<-', 'Left', 'left', 5]
['<-', '<--', '<-', '<--', 'left', 'Left', 'Left', '<-', '<-', 'left', 6]
['left', 'left', 'Left', '<--', '<--', '<--', '<-', 'left', 'Left', 'left', 7]
['<--', 'Left', '<-', 'Left', '<--', '<--', '<-', '<--', 'Left', '<-', 8]
['<--', 'left', 'Left', '<-', '<--', '<--', 'Left', '<-', 'left', '<--', 9]
['Left', 'Left', 'left', '<-', 'left', '<-', 'left', 'Left', '<-', 'left', 10]
['Left', 'left', 'Left', 'Left', '<-', 'left', '<-', 'left', '<--', 'left', 11]
['left', 'Left', '<--', '<--', '<-', 'left', '<-', 'left', 'Left', 'left', 12]
['left', 'Left', 'left', 'left', '<-', '<-', 'left', '<-', '<-', '<-', 13]
['<--', '<-', '<--', '<-', 'Left', '<--', '<-', 'Left', 'left', 'Left', 14]
['<--', 'Left', '<--', 'left', '<--', '<--', 'left', '<-', '<--', '<-', 15]
['<--', '<-', '<--', '<--', '<-', 'Left', 'left', 'left', 'Left', 'left', 16]
['left', '<--', 'left', '<--', '<--', 'Left', 'Left', '<--', '<--', 'left', 17]
['<-', '<--', 'left', '<--', 'Left', '<-', '<--', '<-', 'Left', '<-', 18]
['Left', '<--', 'Left', '<-', '<--', '<-', 'left', '<-', 'Left', '<--', 19]
['Left', '<--', '<--', 'Left', 'left', 'left', 'Left', 'Left', 'Left', 'Left', 20]
['<-', 'Left', 'left', '<-', 'Left', 'Left', '<--', '<--', 'left', '<-', 21]
['<-', 'Left', '<--', '<-', 'Left', '<--', '<-', '<-', '<-', '<--', 22]
['<--', 'left', '<--', '<-', '<--', 'Left', 'left', 'Left', 'left', '<--', 23]
['left', 'Left', 'Left', 'left', 'Left', 'Left', '<-', 'left', '<--', 'Left', 24]
['left', '<-', '<-', 'left', 'left', '<-', '<-', '<--', 'Left', '<--', 25]
['<-', 'left', '<-', 'Left', '<-', '<--', '<-', 'left', '<-', '<-', 26]
['left', '<-', 'left', '<--', '<--', 'Left', 'left', '<--', 'Left', 'Left', 27]
['Left', 'Left', 'left', '<--', 'Left', '<--', 'Left', '<--', '<-', '<--', 28]
['left', '<--', '<--', 'Left', '<--', '<-', '<--', 'Left', '<--', 'Left', 29]
['Left', 'Left', '<--', '<-', '<-', 'left', '<-', 'left', '<-', '<-', 30]
['left', '<--', '<--', 'Left', '<-', 'left', 'Left', '<--', 'left', '<--', 31]
['<--', '<--', 'Left', '<-', '<-', 'Left', '<--', 'left', '<-', 'Left', 32]
['<--', '<-', 'Left', '<--', 'Left', 'left', 'Left', 'Left', '<-', '<--', 33]
['Left', '<--', 'Left', '<--', '<--', 'Left', 'Left', 'Left', '<--', 'Left', 34]
['Left', 'left', 'left', '<-', '<--', '<-', 'left', 'left', 'Left', 'Left', 35]
['Left', 'Left', 'left', '<-', 'left', 'left', 'Left', 'left', '<-', 'Left', 36]
['<-', 'left', 'Left', 'left', '<--', '<-', 'Left', '<--', '<--', '<--', 37]
['left', '<-', 'left', '<--', 'Left', 'Left', '<-', 'left', '<--', 'left', 38]
['<-', '<-', '<--', 'left', 'Left', 'left', '<-', 'left', '<-', '<--', 39]
['<--', '<-', '<--', '<-', '<-', '<--', '<-', 'Left', '<--', '<-', 40]
['<-', '<--', '<--', '<--', '<-', 'left', '<-', 'Left', '<-', '<-', 41]
['Left', '<-', '<-', 'left', 'left', 'Left', '<-', '<--', 'Left', 'left', 42]
['Left', '<--', 'Left', 'Left', '<-', 'Left', 'left', '<-', '<--', '<--', 43]
['<-', 'left', '<--', '<--', 'left', '<--', 'left', '<--', '<-', 'Left', 44]
['<-', '<--', 'Left', 'Left', '<--', 'Left', 'left', '<--', '<--', 'left', 45]
['<-', 'left', '<-', 'Left', 'left', 'Left', '<--', 'Left', 'left', '<-', 46]
['<-', 'Left', 'left', 'left', 'Left', '<-', '<-', '<--', 'left', '<-', 47]
['left', 'Left', 'left', 'left', 'left', '<-', 'Left', '<-', '<-', '<--', 48]
['<-', 'left', '<--', 'Left', 'Left', 'Left', '<--', '<--', '<-', '<--', 49]
['left', 'left', 'Left', '<-', '<--', 'left', 'Left', 'left', 'Left', '<-', 50]
['left', '<-', '<-', '<-', 'Left', 'left', '<-', '<-', '<-', 'left', 1]
['<--', 'Left', '<--', '<--', 'left', 'Left', 'Left', 'left', '<-', '<--', 2]
['<--', 'Left', 'left', '<-', '<--', 'Left', '<--', '<--', '<-', '<--', 3]
['<-', 'Left', '<-', 'Left', '<-', '<--', '<--', '<-', '<-', '<--', 4]
['<--', '<--', '<--', '<-', 'Left', '<-', 'Left', '<-', '<--', '<--', 5]
['Left', 'Left', '<-', '<--', 'left', 'left', '<-', 'left', 'left', 'left', 6]
['<-', 'Left', 'left', 'left', 'Left', 'left', '<--', '<-', 'left', 'Left', 7]
['left', '<-', '<-', '<--', '<-', '<-', '<-', 'left', '<--', 'left', 8]
['<-', '<--', 'Left', '<-', '<-', '<-', 'left', '<-', '<-', 'left', 9]
['<--', 'Left', 'left', '<--', '<--', '<--', 'left', '<-', '<--', '<--', 10]
['left', '<--', 'Left', 'Left', 'Left', '<-', 'Left', '<--', '<-', 'Left', 11]
['left', '<-', '<-', 'Left', 'left', 'left', '<--', 'left', '<--', 'left', 12]
['Left', '<--', 'Left', 'left', '<-', '<-', '<-', 'left', '<--', 'left', 13]
['Left', '<-', 'Left', 'Left', 'left', '<--', 'Left', 'left', '<-', 'Left', 14]
['<--', 'left', '<-', 'Left', 'left', '<-', '<-', 'Left', 'left', '<-', 15]
['Left', 'left', 'left', 'left', '<--', '<-', 'Left', '<--', '<-', 'left', 16]
['<--', 'Left', '<-', '<--', 'left', 'left', 'Left', 'Left', '<-', '<--', 17]
['<--', 'left', '<-', '<-', 'Left', '<--', 'left', '<-', 'Left', 'Left', 18]
['<-', 'left', 'left', 'Left', '<-', 'left', '<--', '<--', '<--', 'left', 19]
['left', 'left', '<-', 'Left', '<-', '<-', '<--', 'Left', 'left', 'Left', 20]
['Left', '<--', '<-', '<-', '<-', 'Left', 'Left', '<-', '<-', '<-', 21]
['left', 'left', '<--', '<--', 'left', '<-', 'left', '<--', 'left', 'Left', 22]
['Left', 'left', 'Left', 'left', '<--', 'left', 'Left', 'Left', '<--', 'Left', 23]
['<--', 'left', 'Left', '<--', 'Left', 'left', 'left', '<-', '<--', 'Left', 24]
['Left', 'Left', 'Left', '<-', '<-', 'left', 'Left', '<--', 'left', 'Left', 25]
['<-', '<-', 'left', '<--', '<-', 'Left', 'Left', 'Left', 'Left', 'left', 26]
['left', 'Left', '<-', 'left', '<-', '<--', '<--', 'left', 'left', 'Left', 27]
['<--', '<-', 'left', '<--', 'Left', '<-', 'Left', '<--', '<--', '<-', 28]
['Left', '<--', '<-', '<-', 'Left', '<--', 'left', 'left', 'Left', '<-', 29]
['<--', 'Left', '<--', 'left', 'Left', '<-', 'left', 'Left', 'left', '<--', 30]
['left', 'Left', 'Left', '<-', '<--', '<-', 'left', '<--', 'Left', 'left', 31]
['<-', '<--', '<--', 'left', 'left', 'Left', 'Left', 'Left', '<--', 'Left', 32]
['<--', '<-', '<-', '<-', '<--', '<-', 'left', '<--', 'Left', 'Left', 33]
['Left', 'Left', 'Left', 'Left', 'left', 'left', 'Left', '<--', 'left', '<--', 34]
['<--', '<--', 'Left', '<--', 'Left', 'left', '<--', 'left', '<-', 'Left', 35]
['left', '<-', '<-', 'left', '<--', 'Left', 'left', '<-', '<-', 'Left', 36]
['Left', 'left', 'Left', '<-', '<--', 'Left', '<--', '<--', '<-', '<-', 37]
['<-', '<--', 'left', '<--', 'left', '<--', '<-', '<--', '<--', 'Left', 38]
['<-', 'left', 'Left', 'left', 'Left', '<-', '<--', 'Left', 'left', 'Left', 39]
['<--', 'left', 'Left', '<--', 'left', '<--', '<-', 'Left', '<-', '<--', 40]
['left', '<-', 'Left', '<-', '<--', '<-', '<--', '<-', '<-', '<--', 41]
['<-', 'left', '<-', 'Left', 'left', 'left', '<-', '<-', '<-', '<-', 42]
['<--', '<--', '<--', 'Left', '<-', '<--', 'Left', '<-', 'Left', 'left', 43]
['left', 'left', 'Left', 'left', '<-', 'Left', '<--', 'left', '<-', '<--', 44]
['<--', 'left', 'left', 'Left', '<-', '<--', 'left', '<-', '<-', '<-', 45]
['<-', 'Left', '<--', 'Left', '<--', '<--', '<--', '<--', '<-', '<--', 46]
['Left', 'left', 'left', '<--', '<-', '<--', '<-', 'left', '<-', '<-', 47]
['<-', 'Left', 'Left', '<-', 'left', '<-', '<--', '<--', '<-', '<-', 48]
['left', '<-', 'Left', 'left', '<-', '<--', 'left', 'left', '<-', 'Left', 49]
['left', '<--', '<-', '<-', '<-', '<-', 'left', '<--', 'left', 'Left', 50]
['<-', 'Left', 'Left', 'Left', '<-', '<--', 'Left', 'Left', '<-', 'left', 1]
['<-', '<-', '<-', 'left', 'Left', '<--', '<--', '<--', 'Left', '<-', 2]
['<-', '<-', '<--', '<-', 'Left', 'Left', '<--', '<-', 'Left', '<--', 3]
['left', '<--', '<--', '<-', '<-', '<-', '<-', 'left', 'left', 'left', 4]
