{':': -3.9504397, ' 1': -3.5453846, ' odd': -0.7870048, ' 0': -4.3792543, ' even': -0.81720865}
{' even': -0.10348848, ' odd': -3.835771, ' Even': -3.990432, ':': -4.1248226, ' left': -4.7623773}
{' Odd': -4.1982303, ' 1': -5.080475, ' odd': -0.035932265, ' 0': -6.71833, ' even': -5.2106085}
{' even': -0.041178547, ' 0': -4.212657, ' odd': -4.928925, ':': -5.508163, ' 1': -5.716026}
{' Odd': -3.7849956, ' 1': -4.8808007, ' odd': -0.4138868, ' 0': -5.089416, ' even': -1.2523327}
{':': -4.6048126, ' Even': -5.1290474, ' odd': -4.5641155, ' 0': -4.369106, ' even': -0.06177899}
{' even': -0.5522864, ' odd': -0.9220221, ' neither': -5.3487244, ' Odd': -5.8069553, ' ': -5.8081846}
{':': -4.2074823, ' an': -5.1137266, ' Even': -4.034146, ' 0': -5.7293005, ' even': -0.054886386}
{' odd': -0.5907179, ' even': -1.2719818, ' 0': -3.1949074, ' 1': -3.4213798, ' Odd': -3.706431}
{' even': -0.376382, ' 0': -2.2831936, ' odd': -2.2979367, ':': -3.8291864, ' Even': -3.9520998}
{' odd': -0.12659372, ' Odd': -2.776469, ' even': -3.4490764, ' ': -4.9488177, ':': -5.6553855}
{' ': -6.080363, ' Even': -6.4447227, ' odd': -6.8920627, ' 0': -6.650022, ' even': -0.012398763}
{' Odd': -4.726993, ' an': -7.121584, ' 1': -6.2775154, ' odd': -0.016441086, ' even': -6.7881584}
{' ': -6.4232736, '?': -7.352225, ' Even': -5.85048, ' odd': -6.482198, ' even': -0.009485947}
{' odd': -0.16485514, ' Odd': -2.578641, ' 1': -3.136734, ' 0': -4.992543, ':': -5.0213814}
{' even': -0.1693504, ' Even': -2.8680873, ':': -3.6290605, ' 0': -4.2603984, '\n': -4.653519}
{' odd': -0.054755554, ' even': -3.3581383, ' Odd': -4.5983877, '\n': -5.969835, ' ': -6.184065}
{' even': -0.028675182, ' odd': -4.670145, ' Even': -5.0297003, ' ': -5.9431577, ':': -6.316023}
{' odd': -0.012433404, ' 1': -5.6042247, ' Odd': -5.6579065, ' even': -5.7974877, ' ': -7.655604}
{'\n': -6.128797, ' Even': -4.6407995, ' EVEN': -6.042335, ' 0': -5.1301303, ' even': -0.03163044}
{' Odd': -3.4485319, ' ': -5.538963, ' 1': -3.616161, ' odd': -0.10224122, ' even': -4.072725}
{' even': -0.08461217, ' 0': -3.4623547, ' ': -4.491703, ' Even': -5.219817, ':': -5.2683597}
{' odd': -0.023959968, ' Odd': -4.1820016, ' 1': -6.573993, ' even': -6.898994, ' not': -6.9792867}
{' ': -4.3555274, ':': -3.9301105, ' Even': -2.393867, ' 0': -4.042463, ' even': -0.19512326}
{' Odd': -3.8405282, ' ': -5.262856, ' 1': -1.5752304, ' odd': -0.2855909, ' 0': -5.48669}
{' ': -5.2318573, ' Even': -5.566109, ' EVEN': -5.423175, ' 0': -3.6257706, ' even': -0.057391353}
{' Odd': -4.7753916, ' Even': -5.529332, ' 1': -5.657117, ' odd': -0.81908894, ' even': -0.6353197}
{' even': -0.01475373, ' odd': -5.606954, ' Even': -5.7250886, ' 0': -6.1236897, ':': -6.946773}
{' odd': -0.07897784, ' 1': -3.3704739, ' Odd': -3.5805075, ' even': -5.5835085, ' ': -5.897322}
{' Even': -4.9710383, ' odd': -3.621222, ' 0': -4.1672044, ' zero': -5.410995, ' even': -0.08440449}
{' Odd': -2.963373, ' 1': -2.438055, ' odd': -0.41258028, ' 0': -2.9225564, ' even': -2.3796766}
{'\n': -4.4616046, ' ': -3.8314443, ':': -4.230167, ' 0': -1.1722445, ' even': -0.53289276}
{' Odd': -4.5287313, ' not': -4.102658, ' odd': -0.13056278, ' neither': -2.9193716, ' even': -4.736173}
{' ': -6.617044, ' Even': -6.756852, ' not': -7.383015, ' odd': -4.8141565, ' even': -0.014504602}
{' odd': -0.1254486, ' even': -2.5665267, ' Odd': -3.3578284, ' ': -6.5135703, ' neither': -7.127735}
{' ': -5.92872, ':': -5.8690343, ' Even': -4.1743727, ' 0': -6.082525, ' even': -0.03712952}
{' Odd': -2.6369414, ' Even': -5.0107074, ' 1': -4.4628606, ' odd': -0.48456144, ' even': -1.314096}
{' ': -5.643785, ' Even': -5.3521633, ' odd': -4.7750673, ' 0': -4.3845096, ' even': -0.04414799}
{' odd': -0.1036018, ' Odd': -2.8674998, ' 1': -3.9851353, ' even': -4.7824373, ' 0': -5.7921925}
{' Even': -5.2804093, ' not': -7.009555, ' odd': -6.323797, ' 0': -4.962607, ' even': -0.021273496}
{' Odd': -3.6011894, ' 1': -3.962562, ' odd': -0.42554075, ' 0': -4.287684, ' even': -1.3797797}
{' even': -0.009440035, ' Even': -5.5308986, ':': -6.42515, ' odd': -7.2676525, ' EVEN': -7.460745}
{' odd': -0.027459031, ' Odd': -4.4372563, ' even': -5.2461324, ' 1': -6.1193824, '\n': -6.989099}
{' even': -0.01053826, ' ': -5.9611073, ' Even': -6.3548794, '\n': -6.413364, ' EVEN': -6.955307}
{' odd': -0.03704602, ' Odd': -3.7030177, ' 1': -5.8052616, ' 0': -5.9823427, ' even': -6.461022}
{' even': -0.03831125, ' Even': -3.9368048, ' ': -5.3860073, '\n': -5.485386, ':': -6.125961}
{' odd': -0.038600765, ' Odd': -3.7106464, ' even': -5.3422256, ' 1': -6.1952844, ' ': -6.5785294}
{'\n': -7.022363, ' ': -6.6167808, ':': -7.4737372, ' Even': -4.355231, ' even': -0.017101157}
{' odd': -0.08733663, ' even': -2.833005, ' Odd': -4.1823483, ' 1': -6.417633, ' not': -6.650413}
{' even': -0.15024535, ' odd': -2.5482306, ' 0': -4.503549, ' an': -5.161899, '\n': -5.467932}
{' even': -0.6600779, ' odd': -1.2812289, ' 0': -2.487398, ' 1': -3.4165876, ':': -4.065271}
{' even': -0.014443704, ' Even': -4.9422917, ' odd': -6.049785, ':': -6.3894997, ' EVEN': -7.2445183}
