['<-', 'Left', '<-', 'left', 'Left', 'left', '<--', '<--', '<-', '<--', 1]
['<-', 'Left', 'left', '<-', '<-', '<-', '<--', '<-', 'Left', 'Left', 2]
['Left', 'left', 'left', '<-', '<--', 'left', 'Left', '<--', '<-', '<-', 3]
['<-', '<-', 'left', '<-', '<--', '<-', '<-', '<-', 'left', 'left', 4]
['Left', 'Left', 'left', 'left', 'left', '<-', '<-', '<--', '<-', 'Left', 5]
['left', 'Left', 'Left', '<-', 'left', 'Left', '<--', '<-', '<--', '<--', 6]
['<-', '<--', '<-', 'left', 'left', '<-', '<--', 'Left', '<--', '<-', 7]
['left', 'left', 'Left', '<--', '<--', 'Left', '<-', '<--', 'Left', 'left', 8]
['left', 'Left', '<-', '<-', '<--', 'Left', '<-', 'Left', 'Left', '<--', 9]
['Left', '<--', 'Left', 'left', '<--', '<--', 'left', 'left', '<--', '<--', 10]
['<-', '<-', 'Left', 'Left', '<--', 'Left', 'left', 'left', 'left', '<--', 11]
['<-', '<--', '<--', 'left', '<--', 'Left', 'left', 'left', '<--', '<-', 12]
['<--', '<--', 'Left', 'left', '<-', 'left', '<--', '<-', '<--', '<-', 13]
['<-', '<--', '<-', 'left', '<--', 'left', '<-', '<--', 'Left', 'Left', 14]
['<--', 'left', '<-', 'left', '<--', 'left', '<--', 'Left', 'Left', 'Left', 15]
['Left', 'left', '<-', '<--', 'Left', 'Left', 'left', '<-', 'Left', 'left', 16]
['Left', 'Left', '<-', 'Left', 'Left', '<-', '<--', 'left', '<-', 'left', 17]
['<--', '<-', '<--', 'Left', '<-', 'left', '<--', 'left', '<-', 'left', 18]
['<-', 'Left', 'left', 'Left', '<--', '<-', 'left', '<--', 'left', '<-', 19]
['left', '<-', 'Left', 'left', '<-', '<-', '<--', 'left', 'left', '<--', 20]
['<-', '<--', '<--', 'Left', 'left', '<--', '<-', '<-', 'Left', 'left', 21]
['left', 'left', '<-', '<-', '<-', '<-', '<--', '<-', 'left', '<--', 22]
['left', '<-', 'Left', 'Left', '<--', '<-', '<--', 'Left', '<--', '<--', 23]
['left', '<-', '<-', 'Left', 'Left', '<--', '<-', '<--', 'Left', '<-', 24]
['left', '<--', '<-', 'left', 'left', 'left', '<-', 'Left', '<-', '<--', 25]
['Left', 'Left', 'Left', 'left', 'Left', '<-', 'left', 'left', 'left', 'left', 26]
['<--', 'Left', 'left', 'left', 'left', '<-', 'left', '<-', '<-', '<-', 27]
['<--', '<-', '<-', '<--', '<--', 'left', '<-', 'left', '<--', '<-', 28]
['left', 'Left', '<--', 'left', '<--', '<--', '<-', 'Left', '<--', '<-', 29]
['left', 'Left', 'left', 'left', '<--', 'Left', 'Left', 'Left', '<--', 'Left', 30]
['<--', 'left', 'left', '<--', '<--', 'left', 'left', '<--', 'left', '<-', 31]
['<--', '<-', '<--', '<-', 'left', '<-', '<-', 'left', 'left', 'left', 32]
['Left', 'left', '<-', 'Left', '<-', 'left', '<-', 'left', 'Left', 'left', 33]
['<-', 'left', '<--', 'Left', 'Left', '<-', '<-', 'left', '<-', '<--', 34]
['<--', '<-', 'left', 'left', '<-', 'left', 'left', 'left', '<-', 'Left', 35]
['Left', '<-', 'left', 'Left', 'left', 'left', 'left', 'left', 'Left', '<-', 36]
['<-', 'left', 'Left', '<-', 'left', '<--', '<--', 'Left', 'Left', 'left', 37]
['<--', '<--', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', '<-', 38]
