{' Odd': -4.7056913, ' 1': -3.330519, ' odd': -0.18252678, ' 0': -5.1136103, ' even': -2.221595}
{':': -5.1426935, ' "': -6.2589808, ' 0': -1.6660875, ' zero': -5.3658004, ' even': -0.23868984}
{' Odd': -4.170133, ' 1': -0.8318601, ' odd': -0.7430415, ' 0': -3.8019338, ' even': -3.6084085}
{':': -5.3711123, ' 4': -4.8704247, ' 0': -1.470743, ' zero': -5.222775, ' even': -0.29768348}
{' Odd': -5.1172767, ' ': -6.1383786, ' 1': -2.342471, ' odd': -0.13783142, ' even': -4.1022983}
{' ': -6.0591545, ' Even': -6.8762946, ' odd': -6.8419, ' 0': -2.9626424, ' even': -0.06275258}
{' odd': -0.59136194, ' 1': -0.8916654, ' 0': -4.477989, ' ': -5.1706495, ' even': -5.486059}
{' ': -6.8341513, ' 1': -6.986854, ' odd': -5.481017, ' 0': -4.0568094, ' even': -0.026909037}
{' 1': -0.43051273, ' odd': -1.2118771, ' even': -3.5656512, ' one': -5.077575, ' Odd': -5.299971}
{' an': -5.660716, ' Even': -5.7500014, ' 0': -2.2526631, ' zero': -5.814921, ' even': -0.13676795}
{' 11': -5.785693, ' 1': -1.2316388, ' one': -5.0799274, ' odd': -0.40367204, ' even': -4.5577083}
{' ': -6.3244247, ':': -6.803953, ' 4': -6.822402, ' 0': -3.411088, ' even': -0.041631}
{' Odd': -5.6724725, ' 1': -2.0081873, ' one': -5.174773, ' odd': -0.17110541, ' even': -5.194968}
{' ': -6.781493, ' an': -7.8432555, ' odd': -6.3218293, ' 0': -5.984989, ' even': -0.0066273417}
{' Odd': -3.5759323, ' 1': -4.4913397, ' odd': -0.0927059, ' 0': -4.3005514, ' even': -3.924327}
{' ': -5.1559873, ':': -5.120461, ' Even': -4.362386, ' 0': -1.9004046, ' even': -0.20287581}
{' Odd': -4.772718, ' 1': -5.6995864, ' odd': -0.019269729, ' 0': -7.212802, ' even': -5.3817086}
{' even': -0.03839443, ' odd': -3.7060425, ' 0': -5.0346117, ' ': -6.352828, ' Even': -6.730268}
{' Odd': -4.0587263, ' ': -6.3329725, ' 1': -2.6956716, ' "': -6.7963915, ' odd': -0.097634725}
{' ': -6.7490315, ':': -6.478497, ' Even': -5.566952, ' 0': -5.336972, ' even': -0.014775142}
{' Odd': -6.335432, ' ': -5.4099736, ' 1': -1.2138752, ' one': -5.6645937, ' odd': -0.37386742}
{' ': -6.0587344, ' Even': -5.752183, ' odd': -6.625621, ' 0': -5.4028683, ' even': -0.0144312475}
{' 1': -1.0704442, ' 3': -5.31447, ' odd': -0.46383864, ' 0': -4.716286, ' even': -5.5793695}
{' 0': -0.6554756, ' even': -0.7432824, ' zero': -6.478889, ' ': -6.5062203, ' Even': -7.677114}
{' odd': -0.15535149, ' 1': -1.9881514, ' Odd': -6.107223, ' even': -6.2323666, ' ': -6.8168106}
{' even': -0.03415307, ' 0': -3.8263893, ' odd': -5.5165405, ' ': -6.3388844, ' an': -6.4194803}
{' odd': -0.16266395, ' 1': -2.0903792, ' even': -4.403379, ' Odd': -4.811834, ' 0': -6.2861533}
{'\n': -6.5218444, ' ': -5.7995048, ' Even': -5.461272, ' 0': -5.176065, ' even': -0.020348087}
{' odd': -0.09828324, ' 1': -2.9135852, ' Odd': -3.8181396, ' even': -4.402885, ':': -6.844334}
{' ': -5.7687902, ':': -6.3377748, ' Even': -4.6288557, ' 0': -4.0884333, ' even': -0.040097352}
{' Odd': -3.4891298, ' ': -5.5267034, ' 1': -3.7832503, ' odd': -0.06974479, ' even': -5.149586}
{':': -5.8201303, ' Even': -6.3083143, ' 0': -0.5513528, ' zero': -4.876716, ' even': -0.9003128}
{' Odd': -5.84781, ' an': -6.055208, ' 1': -0.6997209, ' odd': -0.7205644, ' 0': -6.06002}
{' ': -5.9852586, ' Even': -5.2111645, ' odd': -6.06621, ' 0': -4.7735224, ' even': -0.022206765}
{' Odd': -4.050476, ' 1': -4.073935, ' odd': -0.039775856, ' 0': -6.95368, ' even': -6.2707853}
{' ': -6.861613, ' an': -6.9167137, ' Even': -6.216856, ' 0': -4.9829464, ' even': -0.013883772}
{' Odd': -4.9687977, ' ': -6.018927, ' 1': -2.9941328, ' odd': -0.14286056, ' even': -2.7397501}
{' ': -7.72061, ' an': -6.9738317, ' Even': -6.378749, ' 0': -7.324859, ' even': -0.0049170917}
{' odd': -0.029764524, ' Odd': -4.3117747, ' 3': -5.0170064, ' 1': -5.7907743, ' an': -6.8241057}
{':': -7.881838, ' Even': -7.5644655, ' 0': -4.1788235, ' zero': -7.190122, ' even': -0.018296575}
{' Odd': -5.735735, ' ': -6.5967607, ' 1': -2.6993332, ' -': -7.184717, ' odd': -0.078515135}
{' even': -0.02154015, ' 0': -4.088315, ' Even': -6.315611, ':': -7.113723, ' odd': -7.836424}
{' odd': -0.12631544, ' 1': -2.6528742, ' Odd': -3.9291024, ' 3': -5.231824, ' even': -5.291724}
{' ': -7.094065, ' an': -7.2423553, ' Even': -6.4404597, ' 0': -5.136147, ' even': -0.011193184}
{' Odd': -4.631927, ' 1': -3.1414304, ' odd': -0.084645905, ' 0': -4.891928, ' even': -4.4626822}
{' ': -4.9810915, ' an': -6.9837666, ' odd': -6.865294, ' 0': -2.4625466, ' even': -0.10310463}
{' Odd': -4.8035746, ' ': -7.120061, ' 1': -3.902119, ' odd': -0.039125003, ' even': -5.2933025}
{' ': -6.699998, ':': -7.780245, ' Even': -6.6268806, ' 0': -6.1598325, ' even': -0.006612223}
{' Odd': -5.2533627, ' ': -6.0908637, ' 1': -3.915002, ' odd': -0.038253404, ' even': -5.309976}
{' ': -6.506476, ':': -6.218074, ' 0': -2.7707436, ' zero': -6.7324667, ' even': -0.072840035}
{' Odd': -4.4189916, ' 1': -3.7868457, ' "': -4.9620786, ' odd': -0.12036394, ' even': -2.8254619}
{' even': -0.26877934, ' 0': -1.5649592, ' zero': -5.2254057, ':': -5.531672, ' ': -5.538058}
{' odd': -0.36095646, ' 1': -1.481951, ' even': -3.2327785, ' Odd': -4.595791, ' 0': -4.796626}
{' 1': -5.9137497, ' odd': -6.3678145, ' 0': -1.421715, ' zero': -5.3186054, ' even': -0.2960743}
{' 1': -0.4684707, ' odd': -1.039527, ' even': -5.1608887, ' ': -5.8834133, ' Odd': -6.121327}
{' ': -6.5100827, ':': -5.934584, ' Even': -6.28866, ' 0': -2.6684535, ' even': -0.08190561}
{' ': -4.967165, ':': -5.0267725, ' 1': -1.8050709, ' odd': -0.22712332, ' 0': -5.2337475}
{' even': -0.075730436, ' 0': -3.0904036, ' an': -5.246479, ':': -5.512972, ' "': -6.0572963}
{' 1': -0.45040968, ' odd': -1.1087368, ' even': -4.6975713, ' one': -5.098465, ' ': -5.399607}
{' ': -6.036216, ' 1': -5.5242114, ' odd': -5.4323926, ' 0': -3.0052638, ' even': -0.0693669}
{' 11': -5.6614795, ' 1': -0.6292635, ' one': -5.056931, ' odd': -0.8039023, ' even': -6.372605}
{' even': -0.19163136, ' 0': -1.8761684, ' 4': -4.9543657, ' ': -5.6443686, ':': -6.301441}
{' odd': -0.32668886, ' 1': -1.3856393, ' one': -4.8287363, ' Odd': -5.3477035, ' even': -5.8892627}
{' even': -0.00837734, ' 0': -5.5628457, ' odd': -6.114682, ' ': -6.575602, ':': -8.1273}
