['--', 'Screen', 'Screen', 'screen', 'screen', '-', 'Screen', '--', '--', 'Screen', 1]
['Screen', '-', 'Screen', 'screen', 'Screen', 'screen', '-', '-', '--', '--', 2]
['--', 'screen', '--', 'screen', '--', 'screen', '-', 'screen', '-', 'Screen', 3]
['Screen', 'Screen', '--', 'screen', 'Screen', 'Screen', 'Screen', 'screen', '-', '-', 4]
['-', 'Screen', '--', 'Screen', 'screen', '-', 'Screen', '--', 'screen', '-', 5]
['--', '--', '--', 'Screen', 'screen', 'Screen', 'Screen', 'Screen', 'screen', '-', 6]
['Screen', '--', 'screen', 'Screen', 'Screen', 'screen', 'screen', 'screen', '-', '--', 7]
['--', 'Screen', '--', 'screen', 'screen', '-', '-', '--', 'screen', '--', 8]
['screen', '-', '-', '--', '--', '-', 'Screen', '-', 'Screen', 'screen', 9]
['-', 'screen', '--', '--', 'screen', 'Screen', 'screen', '-', '--', 'Screen', 10]
['-', '--', 'Screen', '-', 'screen', '-', '-', '-', '--', '-', 11]
['Screen', 'screen', '--', 'screen', '-', '--', '-', '-', 'screen', '--', 12]
['--', '--', 'Screen', '--', 'Screen', 'screen', '-', '-', '--', '--', 13]
['--', 'Screen', 'Screen', '-', 'Screen', '--', '--', 'Screen', 'screen', '-', 14]
['screen', 'screen', '-', '-', '--', 'screen', '--', 'screen', 'Screen', '--', 15]
['screen', '--', '--', 'screen', '-', 'screen', 'Screen', 'screen', '--', 'Screen', 16]
['--', 'screen', 'Screen', 'screen', 'screen', 'Screen', 'Screen', 'Screen', 'Screen', 'screen', 17]
['--', 'Screen', '--', 'Screen', 'screen', '--', 'Screen', '-', 'Screen', '-', 18]
['-', '-', 'screen', 'Screen', 'screen', '--', 'screen', 'screen', 'Screen', 'Screen', 19]
['Screen', '-', '-', '--', '--', 'Screen', 'Screen', 'screen', 'Screen', 'screen', 20]
['-', '--', '-', 'Screen', '--', 'Screen', 'screen', '-', 'screen', '-', 21]
['Screen', 'screen', 'Screen', 'screen', 'screen', 'Screen', 'Screen', 'screen', '--', 'Screen', 22]
['--', '--', '-', 'screen', '-', 'Screen', 'Screen', 'screen', '--', '-', 23]
['screen', '--', '--', 'Screen', '-', '--', 'screen', 'screen', 'screen', '--', 24]
['screen', 'screen', '--', 'screen', '--', '--', '-', '-', 'Screen', 'screen', 25]
['-', '--', 'Screen', 'Screen', 'screen', 'screen', 'Screen', 'Screen', '--', '-', 26]
['--', 'screen', '-', 'screen', '--', '--', '-', '-', 'Screen', '--', 27]
['Screen', 'Screen', 'screen', 'screen', 'Screen', '--', '--', 'Screen', 'screen', 'Screen', 28]
['Screen', 'Screen', 'Screen', 'screen', '--', 'screen', '--', '--', '--', 'Screen', 29]
['Screen', '-', 'Screen', 'screen', 'Screen', 'screen', '--', 'Screen', 'screen', 'Screen', 30]
['--', 'screen', 'screen', '-', '--', 'screen', 'Screen', 'Screen', '--', 'screen', 31]
['--', 'screen', '--', '-', '--', 'screen', '--', '--', '-', '-', 32]
['-', '--', 'Screen', 'Screen', 'screen', 'Screen', 'screen', '--', '-', 'screen', 33]
['screen', 'screen', 'screen', '-', 'Screen', 'screen', 'screen', '-', 'screen', 'screen', 34]
['--', '-', 'Screen', 'Screen', 'screen', 'Screen', '--', 'Screen', '--', 'screen', 35]
['Screen', '-', 'screen', 'screen', 'screen', '--', '--', '-', 'Screen', '-', 36]
['-', '-', '--', 'screen', '-', 'Screen', 'screen', '--', 'Screen', 'screen', 37]
['Screen', 'screen', 'Screen', 'Screen', 'screen', 'screen', '-', 'screen', 'screen', '-', 38]
['screen', 'Screen', 'Screen', 'screen', '-', '-', '--', 'screen', '--', '-', 39]
['Screen', '--', '-', '--', 'Screen', '-', 'screen', '--', '-', '-', 40]
['screen', 'Screen', '--', 'screen', '-', 'Screen', 'screen', '-', '-', '--', 41]
['Screen', 'Screen', '--', '--', '--', '-', '--', 'Screen', 'screen', 'Screen', 42]
['Screen', '--', '--', 'screen', 'Screen', 'screen', 'screen', 'screen', '-', 'Screen', 43]
['-', 'screen', 'Screen', '--', '-', '--', '--', '-', '-', 'Screen', 44]
['-', '-', 'Screen', 'screen', '-', 'Screen', '-', '--', '--', '--', 45]
['screen', '-', '--', '-', '-', '--', '-', 'Screen', 'screen', '-', 46]
['-', 'Screen', 'Screen', '-', '--', '-', 'Screen', '-', '--', '-', 47]
['-', 'screen', 'Screen', '--', 'Screen', 'screen', '-', 'Screen', '-', 'Screen', 48]
['screen', 'Screen', 'screen', 'Screen', '-', 'screen', '-', '-', 'Screen', 'screen', 49]
['screen', 'screen', 'Screen', 'screen', 'Screen', 'screen', '--', '--', 'screen', '--', 50]
['-', 'Screen', '-', '-', 'screen', 'Screen', '--', '-', 'Screen', 'Screen', 1]
['-', '--', '--', '--', 'Screen', 'screen', '-', 'screen', '-', 'Screen', 2]
['Screen', '--', 'Screen', '-', 'screen', 'screen', '-', 'Screen', 'screen', '-', 3]
['--', 'screen', '-', '--', '-', '--', '--', '--', 'screen', '-', 4]
['Screen', 'screen', 'Screen', 'screen', 'screen', 'screen', '-', '--', '-', '-', 5]
['--', '-', '-', '-', '-', '-', 'screen', 'Screen', '-', '-', 6]
['screen', 'screen', '-', 'screen', '-', '--', 'screen', 'screen', 'screen', 'Screen', 7]
['screen', '-', 'Screen', 'screen', 'Screen', 'Screen', 'Screen', 'Screen', '-', 'screen', 8]
['screen', 'screen', '-', 'screen', '-', '-', 'screen', 'screen', '-', 'screen', 9]
['--', 'Screen', 'Screen', '--', 'screen', '--', 'screen', '--', 'screen', 'Screen', 10]
['screen', '--', 'Screen', 'Screen', '-', 'screen', 'Screen', 'screen', 'screen', '--', 11]
['screen', 'Screen', 'Screen', '--', '--', '-', '-', '--', '-', 'screen', 12]
['Screen', 'Screen', '--', 'Screen', 'Screen', 'Screen', '-', '--', '-', '--', 13]
['-', 'screen', 'screen', 'screen', '--', '--', 'Screen', 'screen', '-', '--', 14]
['--', 'Screen', 'Screen', '-', '--', '--', 'Screen', '-', 'screen', '-', 15]
['Screen', '--', 'screen', 'Screen', '--', '-', '--', 'Screen', '-', '-', 16]
['screen', 'screen', 'screen', '-', '--', 'screen', 'screen', 'screen', '-', '--', 17]
['Screen', 'screen', '-', '--', '--', 'screen', '-', '--', '-', 'Screen', 18]
['-', '--', 'Screen', 'Screen', 'Screen', '-', '-', '--', '--', '-', 19]
['screen', '--', '-', '-', 'screen', 'Screen', 'screen', 'Screen', '-', 'Screen', 20]
['-', '--', 'Screen', '--', 'screen', 'screen', 'screen', '-', '-', '-', 21]
['Screen', 'screen', '-', 'Screen', '-', 'Screen', '-', '--', 'screen', '-', 22]
['Screen', 'Screen', '-', 'screen', '--', '-', '--', 'screen', '-', '--', 23]
['-', 'screen', 'screen', 'Screen', 'screen', 'screen', '--', 'Screen', 'Screen', '--', 24]
['-', 'screen', 'screen', 'Screen', '-', 'Screen', 'Screen', '--', '-', '-', 25]
['screen', '-', '--', 'screen', '--', 'Screen', 'screen', '--', 'Screen', 'screen', 26]
['Screen', 'Screen', '--', '--', '-', 'Screen', '-', '-', 'screen', '--', 27]
['Screen', '-', '-', 'Screen', '--', '--', '-', 'Screen', 'screen', '-', 28]
['--', '-', '--', 'Screen', '-', '--', '--', 'screen', '--', 'screen', 29]
['Screen', '--', 'screen', 'screen', '-', '--', '--', 'screen', 'Screen', 'Screen', 30]
['-', '--', 'Screen', '-', '--', '-', 'screen', '-', 'Screen', '--', 31]
['-', 'Screen', '-', '-', 'Screen', 'Screen', 'Screen', '--', '--', '--', 32]
['-', '-', 'screen', '-', '--', '-', 'Screen', '-', 'Screen', '--', 33]
['--', '--', '--', '-', 'screen', '-', 'screen', '--', 'Screen', '--', 34]
['Screen', '--', 'screen', 'Screen', 'Screen', '--', '--', '-', 'Screen', '-', 35]
['-', '--', 'screen', '-', '--', 'Screen', '-', '-', '-', 'Screen', 36]
['-', '-', '-', 'Screen', 'Screen', '--', '-', '--', '-', 'Screen', 37]
['--', '--', 'Screen', 'Screen', 'screen', '--', 'screen', '--', '-', '--', 38]
['Screen', 'Screen', 'Screen', '-', 'Screen', '-', '--', 'screen', '--', '--', 39]
['-', '-', 'Screen', '-', '--', '--', 'screen', 'Screen', '--', 'Screen', 40]
['-', 'Screen', '-', 'Screen', 'screen', 'Screen', 'screen', '-', '-', '-', 41]
