{' odd': -0.07231655, ' even': -3.1923, ' Odd': -3.978082, ':': -5.562586, ' 1': -5.7901106}
{' even': -0.0099729225, ':': -5.317232, ' Even': -6.1094337, ' 0': -7.26443, ' EVEN': -7.4305043}
{' odd': -0.035594355, ' 1': -4.2437267, ' even': -4.5349054, ' Odd': -4.970409, ':': -6.8736877}
{'\n': -8.979729, ':': -8.130367, ' Even': -6.011803, ' EVEN': -8.930499, ' even': -0.0034542943}
{' Odd': -4.845763, ':': -5.6754937, ' 1': -3.9505157, ' odd': -0.04585652, ' even': -4.4598722}
{':': -8.338254, ' Even': -8.373537, ' EVEN': -9.319766, ' odd': -9.184165, ' even': -0.00097126694}
{' odd': -0.012509933, ' 1': -4.9493995, ' even': -6.1123066, ' Odd': -6.432044, ' ': -7.8983126}
{'\n': -6.595904, ' ': -6.4958687, ':': -4.1556525, ' Even': -5.0610585, ' even': -0.028689228}
{' Odd': -4.99727, ':': -5.9397006, ' 1': -1.9899398, ' odd': -0.17121604, ' even': -4.9624014}
{' even': -0.0011439439, ':': -7.872876, ' Even': -7.909262, ' ': -9.413676, ' 0': -9.4436035}
{' odd': -0.09794792, ' 1': -3.0693033, ' Odd': -3.9890583, ':': -4.461714, ' even': -4.8105636}
{' even': -0.0015113588, ' Even': -7.6873393, ' ': -8.543089, ':': -8.637277, ' 0': -8.649233}
{' Odd': -4.9239907, ' ': -7.3874483, ':': -6.6272345, ' 1': -5.09224, ' odd': -0.017600471}
{' ': -8.6074095, ':': -8.266268, ' Even': -8.803602, ' odd': -9.855294, ' even': -0.0008854123}
{' Odd': -3.2025595, ' ': -6.196639, ':': -5.005975, ' odd': -0.064886056, ' even': -4.733123}
{' even': -0.0126748355, ' 0': -5.0574145, ' Even': -6.350925, ':': -6.3590684, ' EVEN': -6.718352}
{'\n': -6.5763497, ' Odd': -4.265097, ' ': -7.153994, ' 1': -6.4741626, ' odd': -0.019703805}
{'\n': -7.574543, ' ': -7.2825675, ':': -7.083482, ' Even': -6.1866064, ' even': -0.00455902}
{' Odd': -5.1896625, ' ': -7.8971896, ':': -7.900036, ' 1': -4.7693067, ' odd': -0.015936844}
{':': -7.391187, ' Even': -7.165256, ' EVEN': -8.819421, ' 0': -7.1629457, ' even': -0.0026795594}
{' odd': -0.044058666, ' 1': -3.2337308, ' Odd': -6.3529854, ' even': -7.7370906, ' one': -7.925298}
{' even': -0.0014671822, ' Even': -7.282481, ':': -8.484304, ' ': -8.858193, '\n': -8.978453}
{'\n': -5.837076, ' Odd': -3.0202005, ':': -5.182839, ' 1': -4.9123464, ' odd': -0.07155603}
{'\n': -7.0742617, ':': -5.899338, '?': -7.086311, ' Even': -7.2188444, ' even': -0.0063191643}
{' Odd': -3.7476559, ' ': -6.4927325, ':': -6.4276824, ' 1': -4.980746, ' odd': -0.03643792}
{' ': -5.8706093, ':': -5.5109234, ' Even': -6.1207805, ' ->': -6.457937, ' even': -0.013170375}
{' Odd': -5.6206155, ':': -8.477003, ' 1': -6.7168775, ' odd': -0.007523616, ' even': -6.2611213}
{' even': -0.0038959202, ' 0': -6.8086348, ' Even': -6.921309, ':': -7.9757867, ' EVEN': -8.003986}
{' odd': -0.028523443, ' Odd': -4.0071588, ' 1': -5.4368706, ':': -5.9457126, ' ': -6.830239}
{' ': -8.547643, ':': -7.9305468, ' Even': -6.601477, ' 0': -8.377728, ' even': -0.0025985783}
{' odd': -0.011479232, ' Odd': -4.9025373, ' 1': -5.8679533, ':': -8.085369, ' ': -8.187926}
{' even': -0.00566191, ':': -5.909853, ' Even': -6.355685, ' EVEN': -7.68375, ' ': -8.583261}
{' Odd': -5.101653, ':': -8.137195, ' 1': -2.8926022, ' odd': -0.065820284, ' even': -7.536397}
{' even': -0.0037835508, ' Even': -5.838155, ' odd': -8.153936, ':': -8.655814, ' EVEN': -9.107383}
{' Odd': -6.050963, ' ': -8.303605, ' 1': -5.06574, ' odd': -0.010714227, ' even': -6.7404304}
{' ': -9.504004, ' an': -9.531438, ' Even': -8.468024, ' EVEN': -10.099113, ' even': -0.00050564454}
{' Odd': -4.5499997, ':': -7.815544, ' 1': -3.7379022, ' odd': -0.040445972, ' even': -5.580119}
{' even': -0.0004950321, ' Even': -8.864412, ' 0': -9.46841, ' an': -9.627767, ' ': -9.778898}
{' Odd': -5.3606105, ' ': -8.429125, ' 1': -5.65754, ' odd': -0.0096499305, ' even': -8.208883}
{' ': -9.036474, ':': -7.7249975, ' Even': -5.2574363, ' EVEN': -9.140296, ' even': -0.006086039}
{' Odd': -4.0827837, ' ': -6.7212286, ':': -6.754574, ' 1': -5.2951097, ' odd': -0.02677752}
{' even': -0.0012595378, ' Even': -7.428764, ' 0': -8.470956, ':': -8.942496, ' odd': -9.543607}
{' Odd': -6.484939, ' an': -7.799499, ' 1': -5.2675514, ' odd': -0.009467293, ' even': -6.450233}
{' ': -9.274081, ':': -9.620939, ' Even': -6.764855, ' EVEN': -9.551106, ' even': -0.0015312358}
{' odd': -0.2924583, ' Odd': -1.5026824, ' even': -4.7184587, ':': -5.1657987, ' ': -5.314551}
{' ': -8.357371, ' an': -8.713272, ' Even': -8.18014, ' 0': -8.231702, ' even': -0.001557027}
{' odd': -0.045193978, ' Odd': -3.2966375, ' 1': -6.0689087, ' even': -6.597131, ' ': -6.6021333}
{' ': -8.793847, ':': -9.800249, ' an': -9.410009, ' Even': -8.00772, ' even': -0.0008373918}
{' odd': -0.024521228, ' Odd': -4.544383, ' 1': -4.6160183, ':': -6.993283, ' even': -7.0246325}
{':': -9.933465, ' an': -9.357403, ' Even': -8.429945, ' EVEN': -10.073798, ' even': -0.00048203274}
{' Odd': -4.7578874, ':': -4.5937786, ' odd': -0.3049266, ' 0': -4.4448705, ' even': -1.5131214}
{' even': -0.009301955, ' odd': -6.2106733, ' Even': -6.259758, ':': -6.2612395, ' 0': -6.69752}
{' odd': -0.45457116, ' 1': -1.047665, ' Odd': -5.0750923, ' even': -5.3777585, ' not': -7.1869955}
{'\n': -5.504432, ' ': -4.6914926, ':': -4.2630496, ' Even': -5.6576405, ' even': -0.037673604}
{' Odd': -4.424497, ':': -3.8741932, ' 1': -5.78932, ' odd': -0.046268266, ' even': -5.2101755}
{':': -6.671023, ' Even': -7.6123877, ' odd': -7.047549, ' 0': -8.045926, ' even': -0.004052045}
{' Odd': -5.7253523, ' ': -5.843317, ':': -6.445795, ' 1': -2.018182, ' odd': -0.15488856}
{'\n': -7.243847, ' ': -7.048047, ':': -5.243575, ' Even': -5.2481904, ' even': -0.013410955}
{' odd': -0.08177566, ' Odd': -3.4077184, ' 1': -4.0414057, ' even': -4.540756, ':': -4.5886955}
{':': -5.545308, ' Even': -7.73269, ' odd': -8.48156, ' 0': -8.319261, ' even': -0.005327183}
{' odd': -0.102242276, ' 1': -2.5143688, ':': -5.1674504, ' Odd': -5.5447793, ' even': -6.269648}
{' even': -0.0022225205, ' Even': -7.276732, ':': -7.6969767, ' ': -7.945224, ' an': -8.042927}
{' odd': -0.008726857, ' 1': -5.479057, ' Odd': -5.716177, ' even': -8.308633, ':': -8.638282}
{' ': -8.478796, ':': -8.262163, ' Even': -8.26285, ' odd': -8.596515, ' even': -0.0014347135}
{' odd': -0.07248925, ' Odd': -2.860226, ':': -5.0943217, '\n': -6.215306, ' ': -6.3514366}
{' even': -0.0075394693, ' 0': -5.892243, ' Even': -6.103042, ':': -7.2674775, ' an': -7.67605}
{' odd': -0.020627338, ' Odd': -4.723523, ' 1': -5.015145, ' ': -6.4856205, ' even': -6.6645203}
{' ': -8.417901, ':': -9.494965, ' an': -8.511779, ' Even': -7.7262044, ' even': -0.0011261002}
