['Right', '->', 'Right', 'right', 'right', 'Right', 'right', 'right', '->', '-->', 1]
['right', 'Right', '->', '-->', 'right', '->', '->', '->', 'Right', 'Right', 2]
['->', 'right', 'right', 'Right', '->', '->', 'right', 'Right', 'right', 'right', 3]
['right', 'Right', 'Right', 'Right', '->', 'Right', 'Right', '-->', '->', '->', 4]
['->', 'Right', '-->', '->', '-->', 'Right', '-->', 'Right', '->', '->', 5]
['->', 'Right', 'right', '->', 'right', 'right', '-->', 'Right', '->', '->', 6]
['-->', '->', 'Right', '-->', '->', 'Right', 'Right', 'Right', '-->', 'right', 7]
['right', '->', '->', 'right', '-->', '-->', 'Right', '->', '->', '-->', 8]
['right', 'Right', '->', '-->', '->', '->', 'Right', '->', 'Right', 'Right', 9]
['Right', 'right', '-->', 'right', '->', 'Right', '-->', 'right', 'Right', '->', 10]
['-->', '->', 'Right', 'right', '-->', '-->', '-->', 'right', 'Right', '->', 11]
['Right', 'Right', 'right', '-->', '-->', '->', 'Right', '-->', 'right', '->', 12]
['Right', 'Right', 'Right', 'right', 'Right', '-->', 'Right', 'Right', 'right', '-->', 13]
['-->', 'right', 'Right', '-->', '->', '-->', 'Right', 'Right', 'right', '->', 14]
['->', '->', 'right', 'Right', '-->', 'Right', '->', 'Right', 'Right', 'right', 15]
['->', 'right', 'Right', 'Right', 'Right', '-->', '-->', 'right', '-->', '->', 16]
['right', '-->', '->', '-->', 'Right', 'right', '->', 'right', '->', 'right', 17]
['Right', '->', 'right', 'Right', '-->', 'Right', '->', 'Right', '->', 'right', 18]
['->', '->', 'right', 'Right', 'Right', 'right', 'Right', '-->', '-->', 'Right', 19]
['->', '->', '-->', 'Right', 'Right', '-->', '-->', 'Right', '->', '-->', 20]
['->', 'right', '-->', '-->', 'right', 'right', 'right', 'Right', '-->', 'Right', 21]
['Right', 'right', '-->', 'right', 'Right', '-->', 'Right', 'right', 'Right', '->', 22]
['Right', '->', 'right', 'right', 'Right', 'right', '-->', '->', 'Right', 'Right', 23]
['-->', '->', '-->', '-->', 'Right', 'right', 'right', '->', '->', 'right', 24]
['Right', '->', '-->', 'right', '-->', '->', 'Right', 'right', 'Right', '->', 25]
['right', '->', 'Right', '-->', 'right', 'right', '-->', 'Right', 'right', '->', 26]
['right', 'right', '->', '->', '-->', '-->', '->', '->', 'right', 'right', 27]
['-->', 'Right', '->', 'Right', '->', 'Right', 'Right', 'Right', 'right', 'right', 28]
['right', 'Right', '-->', '->', 'right', '->', 'Right', '->', 'Right', 'right', 29]
['Right', 'right', '-->', '->', '->', '-->', '->', 'Right', 'right', '-->', 30]
['right', 'right', 'Right', '->', 'right', 'right', 'Right', 'right', 'right', 'Right', 31]
['-->', '-->', 'Right', 'Right', 'Right', '->', '->', 'right', 'Right', '->', 32]
['->', 'right', '->', '-->', '->', 'right', '->', 'right', '-->', '-->', 33]
['-->', 'right', '->', '-->', 'Right', '->', 'right', 'Right', 'right', 'Right', 34]
['-->', 'right', '-->', 'right', '->', 'right', '->', 'Right', '->', 'Right', 35]
['Right', 'right', 'Right', 'Right', '->', 'Right', 'Right', '->', 'Right', 'Right', 36]
['->', '-->', 'right', 'right', '-->', '-->', '->', 'Right', '->', 'Right', 37]
['Right', 'Right', 'Right', '-->', '-->', 'right', 'Right', 'Right', '->', '-->', 38]
['-->', 'right', 'right', '->', 'right', '-->', '->', 'Right', '-->', 'Right', 39]
['-->', 'Right', '->', 'right', 'Right', 'right', '->', '-->', '-->', '->', 40]
['Right', 'Right', 'Right', 'right', 'right', 'Right', '->', 'right', 'right', '-->', 41]
['Right', 'right', 'Right', 'right', '-->', 'Right', 'Right', '->', '->', '-->', 42]
['right', 'Right', 'Right', 'right', 'Right', 'right', 'right', 'right', '-->', 'Right', 43]
['->', 'Right', '-->', 'right', 'Right', 'right', 'right', 'right', 'right', '-->', 44]
['Right', '-->', 'right', '->', '-->', 'right', '->', '-->', 'Right', 'right', 45]
['-->', 'Right', 'right', '->', '-->', 'Right', '-->', 'right', 'Right', '->', 46]
['Right', '->', 'right', '-->', '-->', '-->', '->', '-->', '->', '-->', 47]
['right', '->', 'Right', 'Right', '->', 'Right', '->', 'Right', 'Right', '->', 48]
['-->', '->', 'Right', 'Right', 'Right', 'Right', '->', 'Right', 'right', 'Right', 49]
['->', 'Right', '-->', '-->', '->', '->', 'Right', '-->', '->', 'Right', 50]
['->', 'right', '->', 'Right', 'Right', '-->', '->', 'Right', '->', '->', 1]
['right', '-->', '->', 'Right', '->', '->', '->', 'right', '->', '->', 2]
['Right', 'right', '->', 'right', 'right', 'Right', '-->', '-->', '->', '->', 3]
['right', '->', 'Right', 'Right', 'Right', 'Right', '-->', 'Right', 'right', 'right', 4]
['right', '->', '-->', 'right', 'right', 'Right', '->', '->', '->', 'right', 5]
['Right', 'right', 'right', 'Right', '->', 'Right', 'right', 'right', '->', 'Right', 6]
['Right', '->', '->', '->', '->', 'right', '->', '-->', '->', '-->', 7]
