{':': -4.082746, ' 1': -3.410071, ' odd': -0.86872554, ' 0': -2.3384464, ' even': -1.0354984}
{' ': -5.437885, ':': -5.3970695, ' Even': -5.255689, ' 0': -4.3077917, ' even': -0.048926722}
{' Odd': -4.52985, ':': -5.9250264, ' "': -6.7986555, ' odd': -0.032448534, ' even': -4.518437}
{' Odd': -4.713757, ':': -3.819564, ' Even': -3.6365836, ' odd': -2.1892083, ' even': -0.2501043}
{' Odd': -4.055515, ' 1': -4.4343886, ' odd': -0.14039369, ' 0': -4.8771043, ' even': -2.5127568}
{' ': -6.4240627, ':': -5.946225, ' Even': -5.954254, ' odd': -6.3425155, ' even': -0.016038654}
{'\n': -3.7747695, ' ': -3.6182086, ' odd': -0.32648534, ' neither': -3.5658803, ' even': -2.3965926}
{' even': -0.035367582, ' Even': -4.8781495, ' 0': -5.0590568, ':': -5.154878, ' ': -5.689567}
{' odd': -0.21071507, ' even': -2.6790214, ' Odd': -2.9811485, ' 1': -3.277868, ' 0': -4.9218845}
{' even': -0.7466365, ' odd': -1.1674979, ':': -3.107972, ' left': -3.5758808, ' 0': -3.9058187}
{' left': -4.386723, ':': -3.589744, ' Even': -3.792544, ' odd': -2.1377692, ' even': -0.36869687}
{' Odd': -4.1735125, ' 1': -6.0453515, ' 3': -7.114243, ' odd': -0.026312834, ' even': -6.1033087}
{' even': -0.041188486, ' 0': -4.8058805, ':': -5.0022945, ' Even': -5.3631687, ' ': -5.724738}
{' Odd': -4.453507, ':': -5.5010047, ' 1': -5.427345, ' odd': -0.17098589, ' even': -2.0902545}
{' even': -0.14819525, ' odd': -2.87751, ' Even': -4.001172, ' 0': -4.026729, ':': -4.6220465}
{':': -3.1555188, ' 1': -4.0327377, ' odd': -0.7049676, ' 0': -3.6383762, ' even': -1.0617543}
{' ': -3.7923646, ':': -3.7733486, ' 0': -3.497647, ' even': -0.15312754, ' 8': -4.0293894}
{' Odd': -3.8254857, ' ': -6.457028, ':': -6.5884624, ' odd': -0.039787948, ' even': -4.5902524}
{':': -3.8685002, ' 1': -3.336577, ' odd': -1.3119353, ' 0': -3.0535352, ' even': -0.5657966}
{' even': -0.162882, ' 0': -2.33218, ':': -4.1973495, ' Even': -4.869632, ' 1': -5.0224714}
{' odd': -0.050936155, ' Odd': -3.6744857, ' even': -4.3939614, ':': -6.2717857, ' ': -6.5989757}
{':': -4.9580207, ' Even': -4.374212, ' odd': -3.4992256, ' 0': -4.3960433, ' even': -0.09052894}
{' Odd': -3.4611697, ':': -6.2522826, ' "': -6.8088255, ' odd': -0.055064857, ' even': -4.334641}
{' even': -0.5852702, ' odd': -2.0139983, ':': -2.7940533, ' Even': -3.346431, ' 0': -3.4232416}
{' Odd': -5.585959, ' not': -5.695084, ' odd': -1.513027, ' neither': -5.1091313, ' even': -0.29752433}
{':': -3.5787547, ' an': -5.5679674, ' Even': -4.6482725, ' 0': -4.5452414, ' even': -0.06607381}
{' Odd': -3.871812, ':': -4.7522073, ' odd': -0.15808783, ' 0': -5.631518, ' even': -2.3197815}
{':': -2.7060745, ' 1': -3.4927938, ' odd': -1.1821258, ' 0': -3.4138713, ' even': -1.0206811}
{' left': -2.7596726, ':': -2.0934417, ' odd': -2.1329255, ' 0': -2.5424933, ' even': -1.2180592}
{' Odd': -3.1534436, ':': -2.1415896, ' odd': -0.8100313, ' 0': -3.326939, ' even': -1.9954396}
{':': -3.8900461, ' Even': -3.163495, ' odd': -3.5952857, ' 0': -4.407423, ' even': -0.15176986}
{' odd': -0.21081509, ' even': -2.1663728, ' Odd': -3.630481, ' 0': -4.34999, ' 1': -4.379571}
{' ': -6.884655, ':': -6.0687437, ' Even': -5.414483, ' EVEN': -7.010612, ' even': -0.013578305}
{' Odd': -3.1675265, ':': -5.9896393, ' Even': -5.6857824, ' odd': -0.25351563, ' even': -1.8087391}
{' ': -5.802373, ':': -4.5446067, ' Even': -4.3587146, ' odd': -4.320843, ' even': -0.051851034}
{' <': -6.072519, ' Odd': -2.9877477, ':': -5.3622966, ' odd': -0.09852566, ' even': -3.5285637}
{':': -3.8231177, ' 1': -1.959933, ' odd': -1.4491366, ' 0': -1.5751628, ' even': -1.1288402}
{' even': -0.049794793, ' 0': -4.4481387, ':': -4.8126493, ' Even': -4.9545274, ' EVEN': -5.534703}
{' odd': -0.33740947, ' even': -2.5015786, ' Odd': -2.7578995, ':': -2.9825375, ' <': -4.217524}
{' even': -0.055338845, ' odd': -4.606103, ' 0': -4.7513475, ' Even': -4.8707447, ':': -4.9069037}
{' odd': -0.13978454, ' even': -2.3049026, ' Odd': -4.1599736, ':': -5.4934325, ' ': -5.8115516}
{' even': -0.2575374, ' odd': -2.473271, ':': -3.1881402, ' Even': -3.3005764, ' Odd': -4.731197}
{' odd': -0.56164086, ' even': -1.2003566, ' Odd': -2.7650785, ':': -3.9447181, ' 0': -4.79898}
