['left', 'left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 'left', 1]
['Left', 'Left', 'Left', 'left', 'Left', 'left', 'Left', 'left', 'Left', 'left', 2]
['left', 'Left', 'Left', 'left', 'left', 'left', 'Left', 'Left', 'Left', 'Left', 3]
['left', 'left', 'left', 'Left', 'left', 'Left', 'left', 'Left', 'left', 'Left', 4]
['left', 'Left', 'Left', 'Left', 'Left', 'left', 'Left', 'left', 'Left', 'left', 5]
['Left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', 'left', 'Left', 'left', 6]
['Left', 'left', 'left', 'Left', 'left', 'left', 'left', 'left', 'left', 'Left', 7]
['Left', 'left', 'Left', 'left', 'left', 'left', 'left', 'Left', 'left', 'left', 8]
['left', 'Left', 'Left', 'left', 'left', 'left', 'left', 'Left', 'Left', 'Left', 9]
['Left', 'left', 'left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 1]
['Left', 'Left', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 2]
['Left', 'Left', 'left', 'Left', 'Left', 'Left', 'left', 'Left', 'left', 'left', 3]
['Left', 'left', 'Left', 'Left', 'Left', 'Left', 'left', 'left', 'Left', 'left', 4]
['left', 'left', 'Left', 'left', 'Left', 'left', 'Left', 'left', 'left', 'Left', 5]
['left', 'left', 'left', 'Left', 'left', 'left', 'Left', 'left', 'left', 'Left', 6]
['Left', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 'Left', 'Left', 'left', 7]
['Left', 'left', 'Left', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'left', 8]
['Left', 'left', 'Left', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'left', 9]
['left', 'Left', 'left', 'Left', 'Left', 'Left', 'Left', 'Left', 'Left', 'Left', 1]
['Left', 'left', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'left', 'Left', 2]
['Left', 'left', 'Left', 'left', 'left', 'Left', 'Left', 'Left', 'left', 'left', 3]
['left', 'Left', 'Left', 'left', 'left', 'left', 'left', 'Left', 'Left', 'left', 4]
['left', 'left', 'left', 'Left', 'left', 'Left', 'Left', 'Left', 'left', 'left', 5]
['Left', 'Left', 'Left', 'Left', 'Left', 'Left', 'left', 'Left', 'Left', 'Left', 6]
['left', 'Left', 'left', 'Left', 'Left', 'Left', 'left', 'left', 'left', 'Left', 7]
['Left', 'left', 'left', 'left', 'left', 'left', 'left', 'Left', 'left', 'left', 8]
['Left', 'left', 'Left', 'left', 'left', 'Left', 'left', 'left', 'Left', 'left', 9]
['Left', 'Left', 'left', 'left', 'Left', 'left', 'left', 'left', 'left', 'left', 1]
