{' even': -1.1110401, ' odd': -1.5661411, ' 0': -2.014165, ' 1': -2.272643, ':': -2.420803}
{' even': -0.22883521, ' 0': -2.993802, ':': -3.2133663, ' odd': -3.7235012, ' Even': -3.7258387}
{' odd': -0.11369758, ' 1': -3.5516384, ' Odd': -4.0145316, ' even': -4.382223, ':': -4.5686316}
{' even': -0.11824625, ' 0': -3.5050557, ' odd': -3.7786562, ':': -4.4881907, '\n': -4.8426676}
{' odd': -0.14238021, ' even': -2.13732, ' 1': -5.84158, ' Odd': -6.101759, ' ': -6.60567}
{' even': -0.10132625, ' 0': -3.2742805, ' odd': -3.6819382, ' ': -5.429839, ' 1': -5.494378}
{' an': -4.8907123, ' odd': -0.59282166, ' 0': -3.6906972, ' zero': -4.846189, ' even': -0.9662329}
{'\n': -4.8409147, ' ': -5.0330267, ' odd': -4.4172373, ' 0': -4.308692, ' even': -0.075744}
{' ': -6.2965446, ' 1': -5.2084656, ' odd': -0.065387994, ' 0': -6.4432125, ' even': -3.03788}
{':': -2.3011043, ' 1': -3.2277875, ' odd': -1.896796, ' 0': -2.446673, ' even': -0.68801004}
{' even': -0.2126229, ' 0': -2.6672251, ':': -3.199566, ' 1': -4.2834806, '\n': -4.3991137}
{' odd': -0.049271304, ' 1': -4.087107, ' even': -4.131902, ' 0': -5.3944764, ' Odd': -5.672419}
{' even': -0.15418677, ' 0': -3.181703, ' odd': -3.3908508, '\n': -4.3718495, ' ': -4.64078}
{' ': -4.93131, ':': -4.9421306, ' 1': -5.890114, ' odd': -0.7425879, ' even': -0.7132729}
{' even': -0.06863274, ' 0': -4.629914, ':': -4.734162, ' ': -4.9433007, ' Even': -5.134472}
{' even': -0.4212246, ' odd': -1.2046899, ' neither': -4.685847, ' an': -4.967202, ' Odd': -5.8218656}
{' ': -3.6788878, ':': -4.7019324, ' Even': -6.0437703, ' odd': -4.716926, ' even': -0.062422298}
{'\n': -5.0546713, ' Odd': -5.1194215, ' 1': -4.5473886, ' odd': -0.11464768, ' even': -2.6946332}
{':': -3.8278747, ' 1': -3.7917807, ' odd': -1.9091105, ' 0': -2.2912936, ' even': -0.5208068}
{':': -5.2667956, ' Even': -5.489266, ' odd': -5.408807, ' 0': -5.309037, ' even': -0.03465067}
{'\n': -5.781927, ' ': -4.270297, ' 1': -5.1701517, ' odd': -0.04560882, ' even': -4.7129116}
