{' Odd': -5.2988777, ' an': -5.418198, ' "': -5.5695252, ' odd': -0.7049424, ' even': -0.75354266}
{'\n': -5.4289346, ' ': -5.074535, ' an': -5.1373076, ' odd': -4.621466, ' even': -0.04940556}
{' odd': -0.17221278, ' even': -2.0891106, ' 1': -4.394788, ' Odd': -5.111561, '\n': -5.5864778}
{'\n': -6.1081805, ' ': -5.762448, ':': -6.203893, ' odd': -6.0316176, ' even': -0.020052861}
{'\n': -4.8322434, ' ': -5.140953, ' 1': -3.3435512, ' odd': -0.65357745, ' even': -0.8861368}
{':': -6.0720005, ' an': -6.213077, ' Even': -6.060345, ' odd': -6.2671227, ' even': -0.013349522}
{' Odd': -5.0545216, ':': -5.877068, ' 1': -3.5156124, ' odd': -0.23678468, ' even': -1.8353794}
{' even': -0.020872094, ' an': -4.7582684, ' ': -5.994863, ' Even': -6.331128, ' odd': -6.57405}
{'\n': -5.3761764, ' Odd': -4.1241183, ' 1': -4.185657, ' odd': -0.34576747, ' even': -1.442966}
{' 1': -5.3069654, ' "': -5.747247, ' odd': -1.0484005, ' 0': -5.5991597, ' even': -0.47680908}
{'\n': -5.547341, ' ': -5.367595, ' an': -5.6058936, ' odd': -5.018687, ' even': -0.038095433}
{' Odd': -4.444383, ' ': -5.023606, ' 1': -3.8414474, ' odd': -0.24898109, ' even': -1.8207068}
{' even': -0.017041616, ' an': -5.799317, ' ': -6.0013323, ' Even': -6.1119766, ' odd': -6.36187}
{'\n': -4.429217, ' ': -4.762753, ' 1': -2.6488328, ' odd': -0.9676786, ' even': -0.6724211}
{' ': -7.394302, ' an': -6.2613854, ' Even': -6.511226, ' odd': -7.2436304, ' even': -0.0074592386}
{' Odd': -4.786547, ':': -5.3002434, ' 1': -4.128018, ' odd': -0.25328723, ' even': -1.7042016}
{' even': -0.019697847, ' an': -4.8999877, ' ': -5.975369, ' Even': -6.3336635, ' odd': -6.4468374}
{' Odd': -4.1418905, ' an': -4.991744, ' 1': -4.0938997, ' odd': -0.34901935, ' even': -1.4654171}
{' Odd': -5.4610934, ' 1': -4.961495, ' odd': -0.7260578, ' 0': -5.5024667, ' even': -0.7302178}
{' ': -5.655467, ' an': -5.1337404, ' considered': -5.881168, ' odd': -5.1097875, ' even': -0.032614727}
{' odd': -0.19729619, ' even': -2.107152, ' 1': -3.7138548, ' Odd': -4.6278973, '\n': -4.9225006}
{'\n': -6.767191, ' ': -6.6532373, ' an': -6.519097, ' Even': -6.3026614, ' even': -0.011640954}
{'\n': -5.0726213, ' ': -4.706449, ' 1': -2.2783008, ' odd': -0.93802774, ' even': -0.7666535}
{' ': -6.419923, ' an': -5.362026, ' Even': -5.8852954, ' odd': -6.382548, ' even': -0.015759658}
{' Odd': -5.9560523, ':': -6.0832534, ' 1': -4.192691, ' odd': -0.2995977, ' even': -1.4746637}
{'\n': -6.401202, ' ': -6.3976088, ':': -6.454623, ' an': -6.00795, ' even': -0.012317958}
{' Odd': -4.434392, ' an': -5.7494664, ' 1': -4.944008, ' odd': -0.16164318, ' even': -2.164961}
{' odd': -0.643354, ' even': -0.8332153, ' 1': -4.5604005, ' Odd': -5.247309, ' 0': -5.268109}
{' even': -0.051135752, ' odd': -4.3940086, '\n': -4.8359437, ' ': -5.004474, ' 1': -5.3614306}
{' odd': -0.14154018, ' even': -2.2924106, ' Odd': -4.557118, ' 1': -5.005961, ':': -5.6213393}
{' even': -0.0229789, ' ': -5.493995, '\n': -5.6532087, ' odd': -5.762145, ':': -5.9022455}
{' Odd': -5.2322283, ' an': -5.4190693, ' 1': -3.8021963, ' odd': -0.6551875, ' even': -0.83280367}
{' even': -0.009370542, ' an': -5.8347573, ' Even': -6.4236846, ' odd': -7.167585, ' ': -7.190942}
{'\n': -5.383941, ' Odd': -5.8058276, ' 1': -3.5476916, ' odd': -0.22149242, ' even': -1.8725449}
{' even': -0.01505677, ' an': -5.1687107, ' Even': -6.39765, ' ': -6.6965413, ':': -6.705012}
{' Odd': -4.1721935, ' an': -5.0557084, ' 1': -3.8508692, ' odd': -0.3042622, ' even': -1.6007138}
{'\n': -5.500465, ' ': -5.4720006, ' 1': -5.109594, ' odd': -0.9909429, ' even': -0.52447695}
{' even': -0.023074903, ' odd': -5.1069617, ' an': -5.409743, ' "': -6.3716764, ' Even': -6.543133}
{' Odd': -4.7663145, ' an': -5.3619356, ' 1': -4.6881065, ' odd': -0.20024136, ' even': -1.9394429}
{'\n': -5.997221, ' ': -5.5501738, ' an': -6.0378056, ' odd': -6.206392, ' even': -0.02051082}
{' odd': -0.26230797, ' even': -1.6851081, ' 1': -3.9128244, ' Odd': -4.8988686, ' ': -5.5129886}
{' an': -4.877269, ' Even': -5.932245, ' "': -6.763455, ' odd': -6.314363, ' even': -0.017883683}
{' Odd': -4.9159837, ' an': -5.310904, ' 1': -3.3350558, ' odd': -0.20969652, ' even': -2.077438}
{' ': -6.255644, ' an': -5.048974, ' Even': -6.431756, ' "': -6.6767263, ' even': -0.016059974}
{'\n': -4.9264817, ' Odd': -5.0262794, ' 1': -3.0324821, ' odd': -0.45712215, ' even': -1.2585062}
{' Odd': -5.051329, ' 1': -5.3369884, ' odd': -0.6564635, ' 0': -5.581675, ' even': -0.80017364}
{':': -5.467333, ' Even': -5.8861003, ' "': -5.9047675, ' odd': -5.2043886, ' even': -0.027635671}
{' Odd': -5.187603, ' 1': -6.222792, ' "': -6.1899095, ' odd': -0.17156914, ' even': -1.9640361}
{' even': -0.015690492, ' odd': -5.903522, ':': -5.9131093, ' Even': -6.144441, ' an': -6.3366656}
{' Odd': -4.6219797, ' ': -5.154594, ' 1': -3.3066528, ' odd': -0.3414035, ' even': -1.5247722}
{' an': -5.496578, ' Even': -6.2715416, ' "': -7.141698, ' odd': -6.965463, ' even': -0.011031538}
{'\n': -4.862458, ' ': -5.546976, ' 1': -3.5633786, ' odd': -0.4878459, ' even': -1.1077732}
{' even': -0.015924854, ' an': -5.0590925, ' 0': -6.144377, ' 1': -6.4631577, ' odd': -6.5783386}
{' odd': -0.26158878, ' even': -1.7205817, ' 1': -4.041638, ' Odd': -4.388464, ' an': -5.339284}
{' even': -0.49460828, ' odd': -1.0128664, ' "': -5.579368, ' Odd': -5.854745, ' an': -5.902998}
{' ': -5.37926, ' an': -5.091821, ' Even': -5.7596054, ' odd': -4.813669, ' even': -0.04337427}
{' odd': -0.19282445, ' even': -2.1857064, ' 1': -3.520215, '\n': -4.5916634, ' Odd': -5.064966}
{' even': -0.010419663, ' Even': -6.135066, ' an': -6.290413, ' odd': -6.3449087, ' "': -6.754329}
{'\n': -4.9461, ' ': -4.8855352, ' 1': -2.2629638, ' odd': -0.59656656, ' even': -1.173554}
{' even': -0.008287424, ' an': -6.2386103, ' odd': -6.75327, ' ': -6.869111, ' Even': -6.8856335}
{'\n': -4.9815335, ' ': -5.351478, ' 1': -3.238957, ' odd': -0.44681233, ' even': -1.2327058}
{' ': -6.058559, ' an': -4.897906, ' Even': -6.340262, ' odd': -6.501445, ' even': -0.018960731}
{'\n': -4.7863617, ' Odd': -4.8310246, ' 1': -3.44443, ' odd': -0.41740197, ' even': -1.3264738}
