{' Odd': -5.3440533, ':': -6.4328976, ' 1': -4.820511, ' odd': -0.07137524, ' even': -2.9387343}
{' even': -0.008020917, ':': -6.006993, ' 0': -6.1196766, ' Even': -7.2625027, ' EVEN': -7.387016}
{' odd': -0.056257457, ' 1': -3.3381145, ' Odd': -5.1088343, '\n': -5.8008556, ' ': -5.8923235}
{'\n': -5.619857, ' ': -4.9881268, ':': -4.475851, ' Even': -6.088061, ' even': -0.031103302}
{' odd': -0.09196911, ' 1': -2.7083907, '\n': -5.065574, ':': -5.102448, ' ': -5.654259}
{' even': -0.025793003, ' 0': -4.7238336, ' ': -5.245448, '\n': -5.7272196, ' odd': -5.891287}
{' Odd': -6.5443864, ' ': -6.4586377, ' 1': -3.7496383, ' odd': -0.03056894, ' even': -7.187954}
{'\n': -4.7627144, ' ': -4.6388197, ':': -1.9727337, ' 0': -4.5557747, ' even': -0.21052192}
{'\n': -5.5294995, ' ': -6.0802984, ':': -5.9887805, ' 1': -1.1564687, ' odd': -0.40094683}
{'\n': -6.0875216, ' ': -5.8115215, ':': -5.1596403, ' Even': -6.0294547, ' even': -0.017708091}
{' odd': -0.03263732, ' 1': -3.8498256, ' Odd': -5.0568633, ' even': -6.5219173, ':': -7.396796}
{'\n': -8.731905, ' ': -8.621415, ':': -8.821314, ' Even': -8.56324, ' even': -0.0009617781}
{'\n': -7.101946, ' Odd': -6.6847444, ':': -6.515121, ' 1': -3.5936716, ' odd': -0.033151783}
{' even': -0.0003165636, ' Even': -9.223135, ' ': -9.785565, ':': -9.885686, ' odd': -10.58228}
{' Odd': -4.3410373, ' ': -7.103102, ':': -6.2127523, ' odd': -0.022683876, ' even': -5.56445}
{'\n': -5.7414126, ' ': -4.0689125, ':': -5.074485, ' 0': -5.6420465, ' even': -0.037288517}
{' odd': -0.024448542, ' 1': -4.008011, ' Odd': -5.816418, ' ': -6.6520166, ':': -7.8310575}
{' even': -0.0024413639, '\n': -7.076854, ' ': -7.567933, ' Even': -7.868525, ' odd': -8.296596}
{' odd': -0.017508205, ' 1': -4.470626, ' Odd': -6.0512795, '\n': -6.6991954, ' ': -6.82303}
{' ': -7.6386786, ':': -7.7985587, ' Even': -7.923519, ' 0': -5.0591106, ' even': -0.008114892}
{'\n': -6.581335, ' Odd': -4.8779473, ':': -6.8467593, ' odd': -0.01282582, ' even': -6.339855}
{' even': -0.009800218, ' 0': -5.660704, ':': -6.201232, ' Even': -6.424856, ' EVEN': -7.2217555}
{' Odd': -6.9083877, ' 1': -1.5065302, ' one': -7.51327, ' odd': -0.25674382, ' even': -6.9135847}
{' even': -0.0038121496, ' Even': -5.971681, '\n': -7.8627157, ':': -8.08457, ' ': -8.215479}
{' odd': -0.012725905, ' 1': -4.6573315, ' Odd': -6.084191, ' ': -8.133331, 'odd': -8.713082}
{' even': -0.004427597, ':': -6.6388597, '\n': -7.3074074, ' Even': -7.366708, ' EVEN': -7.4313803}
{'\n': -7.8649235, ' Odd': -5.6066527, ':': -8.451388, ' odd': -0.005253901, ' even': -7.5669613}
{'\n': -3.7978215, ' ': -3.676295, ':': -3.4167712, ' 0': -2.2340453, ' even': -0.22514676}
{' Odd': -5.9681582, ':': -6.439092, ' 1': -1.7339953, ' odd': -0.20371617, ' even': -6.6502733}
{'\n': -2.757211, ' ': -2.928464, ':': -3.3751223, ' Even': -4.751751, ' even': -0.18591525}
{' odd': -0.008931249, ' Odd': -5.1573534, ' 1': -6.1672473, ' ': -8.087451, ' even': -8.291831}
{' even': -0.6951761, ' 0': -0.9480934, ':': -2.7787523, ' zero': -4.116588, '\n': -4.4976096}
{' odd': -0.10075862, ' 1': -2.4792683, ' Odd': -4.762229, ':': -6.692361, '\n': -7.3572984}
{' even': -0.020315973, ' 0': -4.333094, ':': -6.043576, ' Even': -6.5131097, ' 2': -6.8687267}
{' odd': -0.005771313, ' Odd': -5.630953, ' even': -6.8866563, ' ': -7.948314, '\n': -8.386448}
{' even': -0.0010390421, ' Even': -6.9996843, ' ': -10.446323, ' EVEN': -10.723966, '\n': -10.907836}
{' odd': -0.008551841, ' 1': -5.57894, ' Odd': -5.7781262, ' ': -7.722126, '\n': -7.7443438}
{' ': -9.956516, ':': -10.062037, ' an': -9.793922, ' Even': -7.33482, ' even': -0.00091100833}
{' odd': -0.019787025, ' Odd': -4.025551, ' 1': -6.7734456, ' even': -8.934076, 'odd': -9.123189}
{' even': -0.004084306, ' Even': -6.380178, ' 0': -7.0727744, ':': -7.083501, ' EVEN': -7.817257}
{' Odd': -5.802673, ' ': -7.781299, ':': -7.83543, ' 1': -6.4404016, ' odd': -0.006494148}
{'\n': -10.173479, ':': -10.006845, ' Even': -7.3374057, ' EVEN': -9.41337, ' even': -0.0009328432}
{'\n': -6.907486, ' Odd': -5.6869936, ':': -7.393627, ' 1': -4.9610205, ' odd': -0.013511182}
{' ': -8.717949, ':': -7.8563347, ' Even': -6.674041, ' EVEN': -8.338517, ' even': -0.002397148}
{' odd': -0.004240224, ' Odd': -6.3595004, ' 1': -7.241907, ' ': -7.515978, '\n': -8.106198}
{'\n': -8.000475, ':': -7.8044624, ' Even': -5.9973736, ' EVEN': -9.182331, ' even': -0.0036604854}
{'\n': -7.6611223, ' Odd': -3.5508413, ' 1': -6.886135, ' odd': -0.03247753, ' even': -7.258989}
{'\n': -9.640369, ' ': -9.528993, ':': -8.52921, ' Even': -7.932424, ' even': -0.00080774265}
{' Odd': -6.0561595, ' ': -8.497627, ' 1': -6.6313586, ' odd': -0.004999756, ' even': -7.474738}
{' ': -10.369015, ':': -10.549859, ' an': -10.561459, ' Even': -8.554339, ' even': -0.000337014}
{' Odd': -5.813766, ':': -7.428514, ' 1': -6.89644, ' odd': -0.07111724, ' even': -2.7605016}
{':': -5.2132134, ' 1': -6.2344284, ' odd': -6.0393915, ' 0': -3.4857144, ' even': -0.045137912}
