{':': -2.9423916, ' 1': -2.9849327, ' odd': -1.7180533, ' 0': -2.0141978, ' even': -0.94109094}
{' even': -0.6224777, ' 0': -1.8569968, ' odd': -2.446729, '\n': -3.6337159, ' 1': -3.7389202}
{' odd': -0.09343558, ' 1': -2.8137524, ' 0': -4.773347, ' even': -5.115771, ' Odd': -5.2259626}
{' 1': -4.2623577, ' 4': -2.5977535, ' 0': -1.0165493, ' zero': -4.2986717, ' even': -0.6900838}
{' Odd': -4.7098775, ' 1': -1.3008999, ' odd': -0.77757794, ' 0': -1.8188853, ' even': -2.7310805}
{' even': -0.07390432, ' odd': -3.5473127, ' 0': -3.9970417, ' an': -5.417883, ' zero': -5.5556536}
{' an': -4.0765905, ' odd': -1.1602913, ' 0': -5.0841517, ' zero': -4.641181, ' even': -0.48945662}
{' an': -3.8878, ' Even': -5.0790725, ' odd': -4.2678857, ' 0': -3.5739896, ' even': -0.11270683}
{' odd': -0.55145544, ' even': -1.4458951, ' 1': -2.4869747, ' 0': -2.732292, ' zero': -4.8579817}
{' even': -0.46109566, ' 0': -1.2010115, ' 1': -4.194264, ' zero': -4.804456, ' odd': -4.8337216}
{' Odd': -4.319046, ' 1': -2.47563, ' odd': -0.3316567, ' 0': -3.6015036, ' even': -2.2523253}
{' ': -3.927482, ' EVEN': -4.465516, ' odd': -3.7234583, ' 0': -1.2425159, ' even': -0.5333436}
{' odd': -0.16393824, ' even': -2.812551, ' 1': -3.9318366, ' an': -4.2978454, ' Odd': -4.534887}
{' an': -5.934096, ' Even': -6.268558, ' odd': -6.2084413, ' 0': -6.4885774, ' even': -0.014665659}
{' Odd': -3.0942488, ' Even': -4.254263, ' odd': -0.55357873, ' 0': -3.7222521, ' even': -1.2491277}
{' ': -5.1362915, ' Even': -4.439398, ' odd': -4.755011, ' 0': -2.7362366, ' even': -0.11967011}
{' odd': -0.42591277, ' even': -1.2386656, ' Odd': -3.7252347, ' Even': -5.0778995, ' 0': -5.5273504}
{' even': -0.28143802, ' 0': -1.8554574, ' Even': -4.2435455, ' an': -4.398367, ' odd': -4.453351}
{' 1': -0.16911596, ' odd': -2.3641632, ' one': -4.184464, ' 0': -4.55628, '\n': -4.731297}
{'\n': -3.2980368, ' not': -3.609796, ' odd': -2.8577964, ' 0': -2.4158828, ' even': -0.93677}
{' odd': -0.10471786, ' 1': -3.2070882, ' Odd': -3.6999366, ' 0': -4.324637, ' even': -5.345966}
{'\n': -4.757122, ' ': -4.043678, ' Even': -4.603561, ' 0': -2.7159119, ' even': -0.17829904}
{' 11': -3.675981, ' 1': -1.5526546, ' odd': -0.618629, ' 0': -2.635853, ' even': -3.0574343}
{' 0': -0.41619658, ' even': -1.2849844, ' ': -4.139639, ' 1': -4.5106387, '\n': -5.2103896}
{' 1': -0.81727344, ' odd': -1.5724394, ' 0': -1.7419226, ' even': -2.5339732, ' none': -3.5862772}
{' even': -0.30532628, ' 0': -2.3819244, ' odd': -3.7339993, ':': -3.9374483, ' EVEN': -4.337083}
{'\n': -4.136554, ' Odd': -3.1825864, ' 1': -4.175952, ' odd': -0.18211837, ' even': -2.6338758}
{' ': -5.7183805, ' Even': -5.0855484, ' odd': -5.7942185, ' 0': -5.70823, ' even': -0.031632654}
{' 1': -0.5665637, ' odd': -1.5846912, ' even': -2.3919363, ' 0': -2.6803722, ' ': -4.348795}
{' even': -0.40260336, ' odd': -1.6733294, ' 0': -2.90477, ':': -4.690466, ' an': -4.8163977}
{' odd': -0.47324872, ' even': -2.0422432, ' 1': -2.3212645, ' 0': -2.9600403, ' Odd': -3.6769056}
{'\n': -3.9966333, ' ': -2.900809, ' odd': -4.3356752, ' 0': -1.4616543, ' even': -0.46105352}
{' Odd': -4.030739, ' 1': -4.2212677, ' none': -3.2667036, ' odd': -0.49996206, ' even': -1.4239961}
{'\n': -4.5747213, ' ': -4.4195304, ' odd': -3.8387487, ' 0': -2.3281114, ' even': -0.21365245}
{' odd': -0.47707686, ' even': -1.7615845, ' 0': -2.8180218, ' 1': -2.9160123, '\n': -3.7878983}
{' ': -4.7532578, ':': -5.3529525, ' Even': -3.3600001, ' odd': -3.5700395, ' even': -0.10774895}
{' even': -0.9562472, ' odd': -1.1070775, ' 0': -2.5615003, ' 1': -3.1132324, '\n': -3.6156507}
{' even': -0.06609527, ' Even': -3.9073207, ' odd': -3.9132144, ' EVEN': -5.195893, ':': -6.0195837}
{' odd': -0.05627549, ' Odd': -3.50333, ' 1': -5.2974787, ' 3': -5.611769, ' ': -6.1737785}
{' even': -0.4022484, ' odd': -2.674039, ' an': -3.3098092, ' not': -3.8115273, ' usually': -4.3693666}
{'\n': -3.8257341, ' 1': -2.9082844, ' odd': -0.31648013, ' 0': -2.8593347, ' even': -2.8612816}
{' Even': -4.245806, ' EVEN': -5.877003, ' odd': -4.7321095, ' 0': -3.7349336, ' even': -0.075869314}
{' odd': -0.29578647, ' even': -2.4497752, ' 0': -3.085958, ' 1': -3.2669024, '\n': -4.084718}
{' even': -0.117006905, ' 0': -3.3410192, ' odd': -4.3160806, ' not': -4.9525323, ' 4': -4.980121}
{' odd': -0.22893092, ' even': -2.4263988, ' 0': -3.0227323, ' 1': -4.064182, ' Odd': -4.40614}
{' ': -4.940633, ' Even': -4.1880856, ' odd': -2.5824287, ' 0': -3.4779615, ' even': -0.19432926}
{' odd': -0.25350726, ' even': -2.1362166, ' 0': -3.6183813, ' 1': -3.8645205, ' ': -4.2298713}
{' even': -0.7417643, ' 0': -0.9454568, ':': -3.6972713, ' ': -3.8129015, '\n': -3.8163152}
{' 11': -3.7318997, ' 1': -2.5948281, ' odd': -0.6100612, ' 0': -2.2623918, ' even': -1.8723894}
{' a': -2.8111222, ' the': -2.7471318, ' an': -1.5956795, ' odd': -2.0561147, ' even': -1.4310783}
{' 0': -0.8842857, ' even': -1.4674671, ' odd': -1.996018, ' 1': -2.3552053, ' the': -4.038237}
{':': -3.7923994, ' Even': -4.317662, ' 1': -4.4034677, ' 0': -2.4192286, ' even': -0.2075681}
{' odd': -0.17281312, ' even': -3.089815, ' 1': -3.4320557, ' 0': -3.9138398, ' 3': -4.505933}
{' Even': -4.49625, ' odd': -2.1395044, ' 4': -4.714443, ' 0': -2.4946747, ' even': -0.33118635}
{' odd': -0.24216563, ' even': -2.1038542, ' 1': -3.1368647, ' 0': -3.6497304, ' Odd': -4.7410245}
{' ': -5.440215, ':': -4.8500376, ' odd': -4.3448567, ' 0': -2.6895487, ' even': -0.12440423}
{' even': -0.4047896, ' 0': -1.9946362, ' odd': -2.2685752, ' 1': -3.3950477, ' zero': -4.085606}
{' even': -0.11211084, ' odd': -3.611239, ' 0': -3.6460826, ' Even': -4.694882, ':': -4.829812}
{' odd': -0.5654567, ' 1': -1.7341352, ' 0': -2.2440457, ' even': -2.598386, ' Odd': -4.574719}
{' even': -0.28458276, ' 0': -1.9666715, ' odd': -3.3138812, ' 1': -4.3621535, ' zero': -4.986913}
{' 11': -4.467386, ' 1': -2.215326, ' odd': -0.3281192, ' 0': -2.847429, ' even': -3.1126392}
{' ': -4.511728, ' an': -5.1974688, ' odd': -3.9510667, ' 0': -4.845862, ' even': -0.09162597}
{' odd': -0.41899416, ' 1': -2.330497, ' 0': -2.7597141, ' even': -3.0810852, ' an': -3.8033495}
{' even': -0.058434345, ' 0': -4.188983, ' odd': -4.5742116, ' an': -5.118075, ' ': -5.3335166}
{' odd': -0.5512774, ' even': -1.328482, ' 0': -2.9944766, ' Odd': -3.4273927, ' 1': -3.7452443}
{' even': -0.11315407, ' 0': -3.3597598, ' Even': -4.0806727, ' ': -4.3730206, ' odd': -4.606462}
{' odd': -0.102400206, ' 1': -3.5367398, ' even': -3.5555844, ' Odd': -4.467279, ' 0': -4.6690326}
{' 1': -4.3372197, ' odd': -3.7665977, ' 0': -1.1581445, ' zero': -4.435059, ' even': -0.53567165}
{'\n': -3.3276718, ' ': -3.3942957, ' 1': -0.3368351, ' odd': -2.1999407, ' 0': -3.3062294}
{' even': -0.16838954, ' 0': -2.955248, ' odd': -3.3227642, ' Even': -4.808724, ' zero': -5.1457872}
{' Odd': -4.0096645, ' 1': -2.0156298, ' odd': -0.4315368, ' 0': -2.7887862, ' even': -2.5027142}
{' even': -0.1229324, ' ': -3.3744342, ' 0': -3.662669, '\n': -4.3911896, ' Even': -4.872446}
{' 11': -3.8478796, ' 1': -2.114689, ' odd': -0.40166786, ' 0': -3.5147479, ' even': -2.6047204}
{'\n': -4.587397, ' ': -3.8375425, ' odd': -5.307733, ' 0': -1.6876094, ' even': -0.28431207}
{' odd': -0.87333155, ' 0': -1.7656568, ' even': -1.7848371, ' none': -2.7169106, ' 1': -3.0610697}
{' ': -5.02899, ':': -4.990363, ' odd': -4.298661, ' 0': -5.001092, ' even': -0.06187638}
{' odd': -0.71964705, ' even': -0.82286334, ' Odd': -4.210137, ' ': -4.523091, ' 1': -4.6033053}
{' even': -0.023646103, ' Even': -4.5693192, ':': -6.2294087, ' odd': -6.3227663, ' ': -6.370979}
{' odd': -0.63022554, ' even': -1.7571481, ' 1': -2.561989, ' ': -3.0111547, ':': -3.672553}
{' even': -0.11195536, ' 0': -3.023456, ' Even': -4.222342, ' zero': -5.1151247, ' an': -5.225576}
{' odd': -0.46446484, ' even': -1.2358662, ' Odd': -3.9118044, ' 1': -4.8666005, ' 0': -4.8958573}
{' ': -4.2264857, ' Even': -4.8318048, ' odd': -5.1977615, ' 0': -3.0828774, ' even': -0.10393743}
{' odd': -0.3252546, ' even': -1.8388941, ' ': -3.5245018, ' none': -3.7183323, ' 1': -4.527485}
{' even': -0.23544678, ' 0': -2.947623, ' odd': -2.9958026, '\n': -3.563564, ' ': -4.2609015}
{' Odd': -3.8623724, ' 1': -4.355081, ' odd': -0.18495403, ' 0': -3.485635, ' even': -2.7924979}
{' even': -0.16264887, ' 0': -3.1522584, ' odd': -3.343226, ' ': -4.0824037, ' Even': -4.5619845}
{' ': -4.7905283, ' 1': -1.4272783, ' odd': -0.8736199, ' 0': -2.7506523, ' even': -1.5589646}
{' ': -5.059427, ' Even': -4.262733, ' odd': -3.6599984, ' 0': -5.207768, ' even': -0.0825038}
{' 11': -4.5562453, ' Odd': -3.6137996, ' 1': -4.118994, ' 3': -3.8073306, ' odd': -0.14315756}
{' a': -3.594684, ' the': -3.6182337, ' an': -2.4675858, ' odd': -2.384867, ' even': -0.9524098}
{' even': -1.1865255, ' odd': -1.2195894, '\n': -2.3372612, ' 0': -2.4627345, ' 1': -2.8828592}
{' even': -0.15019569, ' odd': -2.3123062, ' Even': -4.53817, ' an': -5.3039746, ' Odd': -5.70291}
{' odd': -0.15187864, ' even': -2.42507, ' Odd': -4.1341305, ' 0': -5.1296263, ' 1': -5.4077806}
