{' even': -1.0942594, ' odd': -1.5870781, ' Right': -2.7791169, ' the': -3.3494256, ' 0': -3.576772}
{' ': -5.040584, ':': -4.3020797, ' Even': -3.762133, ' 0': -4.8024507, ' even': -0.08855382}
{' Odd': -3.7266312, ':': -4.5755634, ' odd': -0.41307557, ' 0': -4.2996473, ' even': -1.4081107}
{' even': -0.039480664, ' Even': -4.4452224, ':': -4.7198496, ' ': -5.6831713, ' 0': -6.0058455}
{' Odd': -2.9370048, ':': -3.9746435, ' 1': -4.8253837, ' odd': -0.40393054, ' even': -1.5479811}
{' even': -0.011758852, ' Even': -5.108904, ':': -6.4120145, ' ': -6.8622413, ' odd': -7.1215477}
{' Odd': -3.0661194, ' ': -4.2176976, ':': -3.4941475, ' odd': -0.56498945, ' even': -1.2972692}
{':': -3.8277712, ' Even': -3.8884614, ' odd': -3.2504015, ' 0': -4.3473024, ' even': -0.14003785}
{' Odd': -3.5223954, ' ': -5.9033675, ':': -4.8773503, ' odd': -0.06267122, ' even': -4.6238055}
{' ': -6.412359, ':': -5.9149575, ' Even': -5.279463, ' odd': -6.39478, ' even': -0.014573422}
{' Odd': -3.06697, ' ': -3.9315171, ':': -3.2119098, ' 1': -3.534, ' odd': -0.20173126}
{'\n': -5.08213, ' ': -5.053667, ':': -4.670628, ' Even': -4.593705, ' even': -0.048337504}
{' odd': -0.060019117, ' Odd': -3.2909691, ' even': -5.5953383, ' 1': -6.0272393, ' ': -6.037601}
{' even': -0.036495972, ' Even': -4.8858247, ' ': -4.8995805, '\n': -5.2336087, ':': -5.3438153}
{' Odd': -3.0573254, ' ': -4.630872, ':': -4.5576725, ' odd': -0.09013581, ' even': -4.871464}
{' ': -4.2839875, ':': -3.3434951, ' Even': -3.946711, ' 0': -1.8907307, ' even': -0.3403729}
{' Odd': -4.058556, ' ': -4.075594, ' ->': -4.7467375, ' odd': -0.07306052, ' even': -5.228953}
{' even': -0.07393307, ' Even': -3.6399071, ':': -4.0910916, '\n': -4.7472577, ' ': -4.805179}
{' Odd': -3.3914473, ' ': -4.569482, ':': -5.2886515, ' 1': -2.4123242, ' odd': -0.17129633}
{' even': -0.14772779, ' odd': -3.0800788, ' Even': -3.3969388, ' 0': -4.1533527, ':': -4.890287}
