{'\n': -4.390349, ' 1': -2.3285155, ' odd': -0.3420654, ' 0': -2.1697154, ' even': -3.1531835}
{' even': -0.0068083215, ' 0': -5.693908, ':': -6.539707, ' odd': -7.362843, ' EVEN': -8.0079565}
{' Odd': -6.181841, ':': -5.895525, ' 1': -2.10475, ' odd': -0.1424905, ' 0': -6.7544622}
{'\n': -5.903269, ' ': -4.8588424, ':': -4.601901, ' 0': -5.5813303, ' even': -0.029105563}
{' Odd': -6.370197, ':': -6.36712, ' 1': -2.5589066, ' odd': -0.089731164, ' even': -6.5151105}
{'\n': -7.656963, ' ': -6.3077965, ':': -7.301948, ' Even': -7.9000525, ' even': -0.004301221}
{' Odd': -4.876482, ' ': -8.051078, ' 1': -7.0349874, ' odd': -0.010383465, ' even': -7.208868}
{' even': -0.09143766, ':': -3.2123482, ' ': -3.821687, ' an': -5.0608273, '\n': -5.111232}
{' odd': -0.09292886, ' 1': -2.5433378, ' Odd': -5.5328836, ' ': -6.386869, ':': -6.53118}
{' Odd': -5.6482477, ':': -6.6836796, ' 1': -7.468085, ' odd': -0.08478286, ' even': -2.5976174}
{':': -4.8439126, ' Even': -6.423539, ' odd': -5.775279, ' 0': -4.7295804, ' even': -0.026555616}
{'\n': -6.770418, ' ': -7.0842, ' 1': -0.12765706, ' odd': -2.2054138, ' 0': -5.9756784}
{' even': -0.05650308, ' 0': -3.4816825, ':': -4.8113437, '\n': -5.188437, ' ': -5.2455425}
{' odd': -0.03279825, ' 1': -4.0380535, ' even': -5.5053787, ' Odd': -5.9382253, '\n': -5.9410067}
{'\n': -9.242249, ':': -7.3596835, ' Even': -7.772799, ' odd': -8.455926, ' even': -0.001645861}
{'\n': -6.8412323, ' Odd': -5.7724724, ' ': -5.8804784, ' 1': -2.9708738, ' odd': -0.064061455}
{' even': -0.12494604, ':': -2.7138696, ' ': -4.2677207, '\n': -4.4764853, ' an': -4.934486}
{' Odd': -4.3442755, ':': -6.155976, ' 1': -4.2953405, ' odd': -0.057110928, ' even': -3.8174868}
{'\n': -6.0078015, ' Odd': -3.981881, ':': -4.875703, ' odd': -0.15636326, ' even': -2.2150066}
{' even': -0.009127984, ':': -5.375056, ' 0': -6.6839743, ' Even': -7.224898, ' odd': -7.4887123}
{' odd': -0.06723932, ' 1': -2.9053185, ' even': -6.1939626, ' Odd': -6.2445984, ':': -6.6185174}
{'\n': -6.2651367, ':': -5.685537, ' Even': -6.2260327, ' 0': -5.664309, ' even': -0.01501284}
{' ': -6.1328673, ':': -6.4421763, ' 1': -0.116278656, ' odd': -2.3210306, ' 0': -5.671333}
{'\n': -5.9511847, ' ': -5.7507663, ':': -5.1906753, ' 0': -5.446368, ' even': -0.019445112}
{' odd': -0.60757005, ' 1': -0.8032241, ' ': -6.0670204, ' Odd': -6.652063, '\n': -7.413524}
{' even': -0.5196943, ':': -1.7717676, '\n': -1.9788904, ' ': -2.7882764, ' 0': -4.046505}
{' odd': -0.041627456, ' even': -3.7708192, ' Odd': -4.889129, ' 1': -5.095198, ':': -6.282045}
{' Odd': -4.991043, ':': -5.0173454, ' 1': -4.770835, ' odd': -0.0940326, ' even': -2.7315028}
{' even': -0.101636246, ':': -3.4179106, ' 0': -3.5156891, '\n': -4.799284, ' ': -4.808547}
{' Odd': -5.526604, ' ': -5.8197184, ':': -6.343409, ' 1': -1.4537052, ' odd': -0.28650993}
{'\n': -4.9542766, ' ': -4.4682927, ':': -5.3094335, ' 0': -2.9462097, ' even': -0.08541576}
{' Odd': -4.682542, ':': -5.104072, ' 1': -6.2945824, ' odd': -0.059272807, ' even': -3.3051243}
{'\n': -6.5410023, ' ': -5.3845034, ':': -5.982779, ' 0': -6.129373, ' even': -0.015276075}
{' Odd': -7.220667, ' ': -7.523895, ' 1': -6.0487933, ' odd': -0.005113759, ' even': -8.001058}
{'\n': -5.779323, ' ': -3.8665724, ':': -3.6381211, ' 0': -5.873497, ' even': -0.064749196}
{' Odd': -5.5283666, ':': -6.226711, ' 1': -1.4529338, ' odd': -0.29427296, ' even': -4.6982694}
{' Odd': -4.7772355, ':': -6.356013, ' 1': -6.9947405, ' odd': -0.0514873, ' even': -3.2782958}
{' even': -0.023849655, ' 0': -4.0872564, ':': -5.556778, ' Even': -7.237569, '\n': -7.255884}
{' odd': -0.15921503, ' 1': -1.9746351, ' Odd': -6.2832184, ' ': -6.864085, ':': -6.964231}
