{' Odd': -5.5208697, ':': -7.6079073, ' 1': -7.179145, ' odd': -0.029677026, ' even': -3.7682366}
{' ': -9.726694, ':': -9.724171, ' Even': -7.844634, ' odd': -9.662054, ' even': -0.0007522656}
{' Odd': -5.6402783, ':': -8.703916, ' 1': -7.6875334, ' odd': -0.005276549, ' even': -7.376214}
{'\n': -9.365449, ' ': -9.075056, ':': -9.510486, ' Even': -7.2937913, ' even': -0.0011238332}
{' odd': -0.0073422077, ' even': -5.6873903, ' Odd': -6.323544, ' 1': -6.699385, '\n': -7.936705}
{' even': -0.00045275246, ' Even': -9.067209, ' ': -9.148438, ' odd': -9.89365, '\n': -10.165215}
{'\n': -8.649567, ' Odd': -5.553502, ' an': -8.466809, ' odd': -0.022122607, ' even': -4.079938}
{' ': -9.416601, ':': -9.143814, ' an': -9.711992, ' Even': -7.71215, ' even': -0.00088243204}
{' Odd': -4.573414, ' ': -7.278446, ' 1': -5.559898, ' odd': -0.018506333, ' even': -6.323798}
{' odd': -0.026249439, ' even': -4.445973, ' 1': -5.295563, ' Odd': -5.5248055, ':': -6.822398}
{' even': -0.0024389732, ' odd': -7.576214, ':': -7.80406, ' Even': -7.976055, ' 0': -8.022188}
{'\n': -8.280777, ' Odd': -6.133096, ' 1': -7.0131874, ' odd': -0.0061733574, ' even': -6.0571027}
{'\n': -9.425716, ' ': -9.260222, ' Even': -7.67037, ' EVEN': -9.626509, ' even': -0.00085314055}
{' Odd': -6.027094, ' an': -8.332729, ' 1': -7.8308606, ' odd': -0.016229037, ' even': -4.396106}
{'\n': -8.937627, ':': -9.438711, ' an': -9.362913, ' Even': -7.7458262, ' even': -0.0009388675}
{' odd': -0.0018710862, ' Odd': -6.8400884, ' ': -8.576246, ' 1': -8.734745, 'odd': -8.77221}
{' even': -0.0013340816, ' Even': -7.1366405, ':': -8.57585, ' ': -9.383147, ' an': -9.567708}
{'\n': -7.8407364, ' Odd': -5.30664, ' 1': -7.334962, ' odd': -0.0075032576, ' even': -7.4295664}
{' Odd': -5.8517385, ':': -7.125802, ' 1': -5.61076, ' odd': -0.031540934, ' even': -3.814025}
{' even': -0.0020537158, ' Even': -7.3783526, ' odd': -7.4248896, ':': -8.370636, ' "': -9.070598}
{' odd': -0.011153462, ' Odd': -5.1691284, ' even': -5.9937353, ' 1': -6.9550033, ':': -7.724077}
{' even': -0.0024138773, ' Even': -6.325239, '\n': -8.81562, ':': -9.171486, ' ': -9.250032}
{' odd': -0.06530222, ' 1': -3.051546, ' even': -4.559761, ' Odd': -5.877176, '\n': -6.8863144}
{' even': -0.00029116275, ' Even': -9.117166, ' an': -9.630213, ' EVEN': -10.567988, ' ': -10.592928}
{' odd': -0.005784682, ' even': -6.2680297, ' Odd': -6.356001, ' 1': -6.5460753, '\n': -8.776547}
{'\n': -6.0252604, ' ': -4.8863673, ':': -5.4657187, ' an': -5.876277, ' even': -0.024154425}
{' odd': -0.011273234, ' Odd': -4.8212686, ' even': -6.380337, ' 1': -7.249987, '\n': -8.553952}
{' Odd': -6.153356, ' ': -7.4969425, ' 1': -6.6430078, ' odd': -0.124596074, ' even': -2.193556}
{':': -6.701232, ' 1': -5.139921, ' odd': -5.7965446, ' 0': -5.7692814, ' even': -0.017163247}
{' Odd': -5.702423, ' 1': -8.063928, ' "': -7.7606397, ' odd': -0.006015757, ' even': -6.6831985}
{' even': -0.0013689947, ' Even': -7.7837358, ' ': -8.349555, ' 0': -8.628014, ' EVEN': -9.032844}
{'\n': -8.026483, ' Odd': -5.808374, ' 1': -4.855162, ' odd': -0.017326977, ' even': -5.3168364}
{' even': -0.00091637654, ' Even': -8.369701, ' odd': -8.688668, ' an': -8.995349, ' ': -9.05811}
{' Odd': -5.8993273, ' an': -7.6763644, ' 1': -6.360496, ' odd': -0.010877567, ' even': -5.2626786}
{' even': -0.0006505112, ' Even': -8.281496, ' an': -8.753434, ' odd': -9.840692, '\n': -9.938395}
{'\n': -7.872692, ' Odd': -3.944424, ' an': -7.199004, ' odd': -0.028395275, ' even': -5.0500627}
{' Odd': -4.762854, ':': -5.764883, ' 1': -3.5411575, ' odd': -0.054055184, ' even': -5.5113864}
{'\n': -7.2488556, ':': -5.757366, ' Even': -7.2069864, ' odd': -7.0907936, ' even': -0.0063745296}
{' odd': -0.016829802, ' 1': -4.472153, ' Odd': -5.958421, '\n': -7.250155, ' ': -7.771615}
{' ': -10.13725, ' Even': -8.141983, ' EVEN': -10.071345, ' odd': -10.040803, ' even': -0.00050039747}
{' odd': -0.011982925, ' 1': -4.865544, ' Odd': -6.193908, ' ': -7.5074425, ' even': -7.636066}
{'\n': -7.9557734, ' ': -8.426322, ':': -8.657728, ' Even': -7.1212654, ' even': -0.0021786152}
{' odd': -0.016133325, ' 1': -5.0358086, ' Odd': -5.2194934, ' even': -6.0855927, ' an': -7.68053}
{' even': -0.0016130833, ' Even': -7.5976915, ':': -8.2888365, ' an': -8.398587, ' ': -8.6423855}
{' odd': -0.019700339, ' Odd': -4.5735216, ' even': -5.3892226, ' 1': -5.6901627, '\n': -8.121305}
{' Odd': -5.6296525, ':': -5.870309, ' 1': -5.3023543, ' odd': -0.03630045, ' even': -4.171276}
{'\n': -9.303026, ':': -8.070894, ' Even': -7.3848176, ' odd': -7.9122343, ' even': -0.0018313756}
{' Odd': -5.529565, ' ': -8.499465, ' 1': -6.4213853, ' odd': -0.007901114, ' even': -6.700313}
{'\n': -9.825355, ' ': -10.686803, ' Even': -8.056589, ' EVEN': -10.916991, ' even': -0.00048251054}
{' Odd': -6.0646844, ' 1': -7.8716803, ' "': -8.207913, ' odd': -0.031124331, ' even': -3.6217918}
{'\n': -8.46604, ' ': -7.8577323, ':': -8.593942, ' Even': -7.9851046, ' even': -0.0018955099}
{' odd': -0.0051293964, ' Odd': -5.972865, '\n': -7.2370605, ' 1': -7.403676, ' ': -7.7676687}
{' even': -0.0033063896, ' odd': -6.716357, ' Even': -7.601396, ' an': -7.7986507, ' ': -7.9741244}
{'\n': -7.382549, ' Odd': -4.719776, ' 1': -7.0170617, ' odd': -0.03933354, ' even': -3.6293771}
{' Odd': -5.172979, ' 1': -7.4809065, ' "': -7.087246, ' odd': -0.028783571, ' even': -3.9398704}
{'\n': -8.244411, ':': -6.772874, ' Even': -7.4224124, ' odd': -6.132172, ' even': -0.0053270636}
{' odd': -0.017258631, ' 1': -4.8163657, ' Odd': -5.4944806, ' even': -5.6757474, '\n': -8.186518}
{' ': -7.402045, ':': -7.99131, ' Even': -7.1426625, ' 0': -8.2663555, ' even': -0.0026723873}
{' Odd': -6.114923, ' ': -7.7307577, ' 1': -2.8937335, ' odd': -0.062158402, ' even': -6.912065}
{' even': -0.0012843031, ' Even': -7.8148355, ' an': -8.755131, ' ': -8.763942, ' EVEN': -8.917755}
{' odd': -0.016043803, ' Odd': -4.5283957, ' even': -6.027616, ' 1': -6.6696286, '\n': -7.8702188}
{' even': -0.050418843, ' ': -3.8121974, ':': -4.6768723, ' 0': -5.000504, '\n': -5.3704524}
{'\n': -7.1249733, ' Odd': -5.2041335, ' 1': -4.7816215, ' odd': -0.055216577, ' even': -3.2812848}
{' Odd': -5.38099, ':': -5.901081, ' 1': -4.8988996, ' odd': -0.20722862, ' even': -1.7800453}
{':': -7.345768, ' Even': -6.900276, ' EVEN': -7.6729302, ' odd': -7.2057767, ' even': -0.0038808407}
{' Odd': -5.7805653, ':': -7.9597797, ' 1': -4.1174736, ' odd': -0.023811445, ' even': -5.989209}
{' even': -0.0004746981, ' Even': -8.697022, ' odd': -9.496403, ' ': -9.582667, ' EVEN': -10.002784}
{'\n': -7.547936, ' Odd': -5.960336, ' 1': -3.8005097, ' odd': -0.04277184, ' even': -4.2031703}
{'\n': -9.87137, ' ': -10.059229, ' an': -9.987089, ' Even': -7.649458, ' even': -0.00076258706}
{' Odd': -5.588544, ':': -8.643322, ' 1': -7.09987, ' odd': -0.008279251, ' even': -5.903926}
{' even': -0.011908129, ' ': -6.014111, ':': -6.0967293, '\n': -6.107922, ' odd': -6.565836}
{'\n': -8.209237, ' Odd': -5.404381, ' 1': -7.799566, ' odd': -0.006876375, ' even': -6.907249}
{'\n': -6.2242417, ' Odd': -5.845742, ' 1': -5.1923733, ' odd': -0.035398643, ' even': -3.9991071}
{' even': -0.0034035754, ':': -7.286571, ' odd': -7.4396563, ' Even': -7.468917, ' ': -7.6199255}
{'\n': -8.342992, ' Odd': -6.0479417, ' ': -8.233527, ' 1': -5.970674, ' odd': -0.0059929118}
{' ': -8.657432, ' an': -8.563095, ' Even': -7.200748, ' EVEN': -8.609291, ' even': -0.0019661584}
{'\n': -8.045356, ' Odd': -5.490352, ':': -7.5328054, ' odd': -0.07089206, ' even': -2.78288}
{'\n': -8.597474, ' ': -8.0135765, ' an': -8.745493, ' Even': -8.122751, ' even': -0.0015325489}
{'\n': -9.2253475, ' Odd': -6.2328916, ' 1': -7.0282183, ' odd': -0.0043358826, ' even': -6.8325424}
{' ': -9.180154, ' an': -8.22987, ' Even': -7.6824226, ' odd': -9.492164, ' even': -0.0011515818}
