{' Odd': -4.4407353, ' 1': -2.4530902, ' odd': -0.20778708, ' 0': -4.4610972, ' even': -2.702409}
{' Even': -6.3115964, ' 1': -5.8049135, ' odd': -5.8400545, ' 0': -5.4079657, ' even': -0.019131744}
{' odd': -0.17572565, ' 1': -1.9449191, ' Odd': -4.795207, ' even': -5.644729, ' 0': -6.4112835}
{' ': -7.1127167, ' Even': -6.566933, ' odd': -7.450935, ' 0': -5.9917283, ' even': -0.007431915}
{' odd': -0.3979331, ' 1': -1.1843921, ' even': -4.598771, ' Odd': -5.541015, ' 0': -5.997083}
{' even': -0.0041866526, ' odd': -6.4503026, ' Even': -7.0731697, ' an': -7.7164207, ' 0': -8.234335}
{' odd': -0.045413632, ' 1': -3.3648543, ' Odd': -5.270847, ' even': -5.8573575, ' ': -8.219388}
{' even': -0.0108911265, ' Even': -5.918305, ' odd': -6.249761, ' an': -6.49627, ' 0': -6.8063455}
{' odd': -0.088256314, ' 1': -2.861791, ' Odd': -4.311585, ' even': -4.660751, '\n': -7.1775823}
{' Odd': -4.6829777, ' 1': -2.0659795, ' odd': -0.2938133, ' 0': -4.1234126, ' even': -2.3979163}
{' Even': -6.5014806, ' 1': -5.92735, ' odd': -5.731249, ' 0': -5.6425, ' even': -0.016523859}
{' Odd': -5.085948, ' 1': -2.7794685, ' odd': -0.07719818, ' 0': -6.944749, ' even': -6.199752}
{' even': -0.0041471496, ' Even': -6.868714, ' odd': -7.0740013, ' 0': -7.1447835, ' an': -7.940159}
{' Odd': -5.123454, ' 1': -1.7334883, ' odd': -0.22725514, ' 0': -6.481214, ' even': -4.1890035}
{' ': -7.672372, ' Even': -7.565359, ' odd': -6.9622416, ' 0': -7.3883743, ' even': -0.004035291}
{'\n': -7.9007044, ' Odd': -5.49687, ' 1': -3.2465658, ' odd': -0.047934752, ' even': -6.443131}
{' ': -7.815578, ' an': -7.234234, ' Even': -6.4464197, ' odd': -6.260776, ' even': -0.006687525}
{' Odd': -4.7151456, ' 1': -4.5046196, ' "': -7.8833447, ' odd': -0.025763037, ' even': -5.6374893}
{' Odd': -5.246703, ' 1': -2.4099855, ' odd': -0.51135075, ' 0': -4.04026, ' even': -1.2732621}
{' even': -0.03087638, ' 0': -4.2573533, ' 1': -5.3791513, ' odd': -5.819154, ' Even': -6.218782}
{' Odd': -5.033564, ' 1': -1.4609115, ' odd': -0.28821635, ' 0': -6.0377326, ' even': -5.587191}
{' even': -0.005041509, ' Even': -6.544339, ' 0': -7.1639347, ' odd': -7.1767488, ' EVEN': -7.431444}
{' odd': -0.24236125, ' 1': -1.6152174, ' even': -4.840439, ' Odd': -5.706292, ' 0': -6.646383}
{' an': -8.1278, ' Even': -6.8882155, ' odd': -7.025475, ' 0': -7.637907, ' even': -0.0039887293}
{' Odd': -4.9847627, ' an': -8.239749, ' 1': -4.2724695, ' odd': -0.028388098, ' even': -5.1797657}
{' ': -6.9818263, ' an': -6.6456885, ' Even': -6.437556, ' odd': -6.5537066, ' even': -0.008098608}
{' Odd': -4.603478, ' 1': -3.7254488, ' "': -8.25618, ' odd': -0.039976805, ' even': -5.70185}
{' odd': -0.6013874, ' even': -1.497619, ' 1': -1.7421354, ' 0': -3.4907858, ' Odd': -5.140692}
{' Even': -5.8790617, ' 1': -4.936969, ' odd': -5.4790792, ' 0': -4.4645042, ' even': -0.033175565}
{' Odd': -4.881314, ' 1': -4.187491, ' odd': -0.03185352, ' 0': -7.5855985, ' even': -5.1391716}
{' ': -7.2360578, ' Even': -6.6172056, ' odd': -7.2030225, ' 0': -5.894471, ' even': -0.007852033}
{' Odd': -5.5388856, ' 1': -1.7719345, ' odd': -0.21851549, ' 0': -6.366701, ' even': -4.1140075}
{' even': -0.007760198, ' 0': -6.131329, ' odd': -6.66327, ' Even': -6.722167, ' ': -7.3044024}
{' odd': -0.03709241, ' 1': -3.5530872, ' Odd': -5.7179337, ' even': -5.889101, ' ': -7.957374}
{' ': -5.033218, ':': -5.58714, ' an': -5.8613453, ' odd': -5.2956033, ' even': -0.029890599}
{' odd': -0.13423699, ' 1': -2.2917247, ' Odd': -4.418687, ' even': -4.8305135, ' ': -7.3359423}
{' odd': -0.45155013, ' even': -1.4046532, ' 1': -2.6111999, ' 0': -3.6013331, ' Odd': -4.7896824}
{' Even': -6.504624, ' 1': -6.7824435, ' odd': -5.9083405, ' 0': -6.8735943, ' even': -0.011114225}
{' odd': -0.4635181, ' 1': -1.0420971, ' even': -5.1587796, ' Odd': -5.421943, ' 0': -5.983826}
{' ': -6.8105755, ' Even': -6.2956347, ' odd': -7.1364164, ' 0': -5.215965, ' even': -0.012263592}
{' Odd': -5.5622764, ' 1': -1.0032368, ' odd': -0.48348618, ' 0': -6.4218216, ' even': -5.3504305}
{' even': -0.005334074, ' odd': -6.4656916, ' Even': -7.065899, ' 0': -7.0917053, ' ': -7.831226}
{'\n': -8.3034935, ' Odd': -5.1312666, ' 1': -4.1110315, ' odd': -0.02789692, ' even': -5.6209235}
{' an': -6.620481, ' Even': -6.486487, ' odd': -6.2359943, ' 0': -6.901594, ' even': -0.0092472695}
{' Odd': -4.268957, ' ': -7.473192, ' 1': -3.7116826, ' odd': -0.0476269, ' even': -5.344549}
{' odd': -0.46807018, ' 1': -1.6988765, ' even': -1.9292479, ' 0': -3.8078644, ' Odd': -5.010064}
{' even': -0.01027422, ' odd': -5.944334, ' Even': -6.5112295, ' 0': -6.8401237, ' 1': -7.0023217}
{' Odd': -4.413953, ' 1': -3.6461992, ' odd': -0.049621705, ' 0': -7.011165, ' even': -5.013299}
{' Even': -6.7875495, ' EVEN': -7.5635777, ' odd': -6.8131814, ' 0': -5.140435, ' even': -0.010438333}
{' odd': -0.24540386, ' 1': -1.6344229, ' even': -4.4696975, ' Odd': -5.7491302, ' 0': -6.0328045}
{' ': -6.496415, ' Even': -6.731909, ' odd': -6.8138027, ' 0': -3.5706728, ' even': -0.037061665}
{' odd': -0.042634364, ' 1': -3.4156504, ' Odd': -5.519015, ' even': -5.686414, ' ': -8.263022}
{':': -6.4468307, ' Even': -6.626745, ' odd': -5.4094734, ' 0': -6.062275, ' even': -0.014795587}
{' odd': -0.037871372, ' 1': -4.1648684, ' Odd': -4.320348, ' even': -5.220632, ' ': -7.2782598}
{' odd': -0.26830772, ' even': -1.876379, ' 1': -3.158386, ' 0': -3.8595579, ' Odd': -4.6157517}
{' even': -0.012401359, ' 0': -5.90608, ' odd': -5.9498296, ' 1': -6.5919356, ' Even': -6.6288815}
{' Odd': -5.052241, ' 1': -3.451449, ' odd': -0.042141538, ' 0': -7.4626236, ' even': -6.793354}
{' even': -0.0020661978, ' Even': -7.5768695, ' EVEN': -7.8864794, ' 0': -7.991992, ' odd': -8.354204}
{' odd': -0.3847135, ' 1': -1.238605, ' even': -3.9785595, ' Odd': -5.5737367, ' 0': -6.1774764}
{' an': -7.523553, ' Even': -7.1572647, ' odd': -6.9757957, ' 0': -6.428731, ' even': -0.00547874}
{' odd': -0.10103863, ' 1': -2.471402, ' Odd': -4.9697633, ' even': -6.070443, ' ': -7.601892}
{' even': -0.0108027905, ' odd': -5.82125, ' an': -6.327513, ' 0': -6.467063, ' Even': -6.8045473}
{' Odd': -4.1579895, ' ': -7.339863, ' 1': -4.136079, ' odd': -0.03916858, ' even': -5.55515}
{' Odd': -4.235371, ' 1': -2.2442126, ' odd': -0.25534314, ' 0': -4.312209, ' even': -2.6198509}
{' Even': -6.5010767, ' 1': -6.547493, ' odd': -5.867186, ' 0': -5.7464643, ' even': -0.012890906}
{' odd': -0.088011496, ' 1': -2.8012652, ' Odd': -4.4229665, ' even': -4.9789863, ' 0': -6.761038}
{' even': -0.0012845406, ' Even': -7.9740787, ' EVEN': -8.468434, ' odd': -8.661266, ' 0': -8.862315}
{' odd': -0.16406591, ' 1': -2.0129182, ' even': -4.8242335, ' Odd': -5.596885, ' 0': -6.3157454}
{' Even': -6.8654, ' EVEN': -7.4706144, ' odd': -6.5949197, ' 0': -7.6204267, ' even': -0.0049302685}
{' Odd': -5.4144235, ' an': -7.9205275, ' 1': -4.4666276, ' odd': -0.019224584, ' even': -6.7586346}
{' ': -7.8563123, ' an': -7.7884912, ' Even': -7.2255564, ' odd': -6.8656416, ' even': -0.0035453911}
{' Odd': -4.6099763, ' 1': -4.26998, ' "': -7.526003, ' odd': -0.03893151, ' even': -4.4132657}
{' Odd': -4.9686704, ' 1': -2.644114, ' odd': -0.2784076, ' 0': -3.9697526, ' even': -2.018872}
{' even': -0.019643016, ' odd': -4.8429766, ' 0': -5.761105, ' Even': -6.338251, ' "': -6.7139735}
{' Odd': -4.693975, ' 1': -3.9257836, ' odd': -0.035853982, ' 0': -7.242927, ' even': -5.6838326}
{' ': -8.550589, ' Even': -7.847987, ' EVEN': -8.318894, ' 0': -8.2180195, ' even': -0.0016495009}
{' Odd': -5.3133526, ' 1': -1.3683542, ' odd': -0.32562956, ' 0': -6.2700205, ' even': -4.5297294}
{' even': -0.00516061, ' odd': -6.5452275, ' 0': -7.060103, ' Even': -7.1154613, ' ': -7.8702135}
{' Odd': -5.2197576, ' ': -7.182599, ' 1': -2.544267, ' odd': -0.09290041, ' even': -6.2566524}
{' even': -0.0067525115, ' odd': -6.4764233, ' an': -6.7473435, ' Even': -6.996598, ' 0': -7.063141}
{' Odd': -4.3713593, ' 1': -4.6158247, ' "': -6.9159837, ' odd': -0.033174396, ' even': -4.9905243}
{' odd': -0.14556848, ' even': -2.1716278, ' Odd': -4.747159, ' 1': -4.96903, ' 0': -6.372244}
{' 1': -5.5924044, ' "': -6.069359, ' odd': -5.261643, ' 0': -4.6759744, ' even': -0.027590575}
{' Odd': -5.193619, ' ': -7.388974, ' 1': -3.392266, ' odd': -0.046784546, ' even': -5.7552814}
{' even': -0.00554323, ' 0': -6.527566, ' Even': -6.758789, ' ': -7.4168644, ' odd': -7.515527}
{' Odd': -5.4791675, ' ': -6.719908, ' 1': -2.101442, ' odd': -0.14745691, ' even': -5.169019}
{' even': -0.008871471, ' 0': -6.0984015, ' odd': -6.2791104, ' Even': -6.519367, ' ': -7.1905227}
{' Odd': -5.2357693, ' ': -7.965423, ' 1': -3.0079994, ' odd': -0.062071003, ' even': -5.732828}
{' ': -7.5006943, ':': -7.52655, ' Even': -6.4241333, ' odd': -6.995332, ' even': -0.0054369685}
{' odd': -0.026572447, ' Odd': -4.5393057, ' even': -4.9511175, ' 1': -5.099698, ' "': -7.6771574}
{' odd': -0.098422594, ' even': -2.7516818, ' 1': -4.329044, ' Odd': -4.700056, ' 0': -5.640619}
{' even': -0.010113746, ' odd': -6.009126, ' Even': -6.6655736, ' 0': -6.926495, ' 1': -6.953533}
{' Odd': -5.394873, ' 1': -1.0513484, ' odd': -0.46053958, ' 0': -5.7240667, ' even': -5.4024515}
{' Even': -6.720242, ' EVEN': -7.699942, ' odd': -6.9128532, ' 0': -6.3637147, ' even': -0.0057741306}
{' Odd': -5.8055263, ' 1': -3.8390934, ' odd': -0.044299446, ' 0': -7.642927, ' even': -4.101951}
{' ': -7.469763, ' Even': -7.0435896, ' odd': -6.5907927, ' 0': -6.534341, ' even': -0.006570284}
{' odd': -0.043255202, ' 1': -3.5090199, ' Odd': -4.962818, ' even': -5.6467, ' ': -7.983543}
{' even': -0.008774357, ' 0': -6.128773, ' Even': -6.6329603, ' odd': -6.6585674, ' an': -6.800741}
{' odd': -0.027118709, ' 1': -4.589362, ' Odd': -4.6685877, ' even': -5.2448263, ' ': -7.78243}
{' odd': -0.06458158, ' 1': -3.4756954, ' even': -4.6675315, ' Odd': -4.9326806, ' 0': -5.4235516}
{' Even': -6.5650654, ' 1': -6.098245, ' odd': -6.111355, ' 0': -4.363918, ' even': -0.023502998}
{' Odd': -5.220197, ' 1': -1.7617565, ' one': -6.6755476, ' odd': -0.20544216, ' even': -6.241003}
{' Even': -6.7613363, ' EVEN': -7.594239, ' odd': -6.4714985, ' 0': -6.7809267, ' even': -0.0062170797}
{' odd': -0.06536903, ' 1': -3.4474728, ' even': -3.722029, ' Odd': -5.523294, ' 0': -7.484338}
{' even': -0.0052411375, ' odd': -6.4922223, ' 0': -7.0917587, ' Even': -7.260416, ' ': -7.753486}
{' odd': -0.061589554, ' 1': -3.157428, ' Odd': -4.6232123, ' even': -5.200862, '\n': -8.050759}
{' even': -0.007942812, ' an': -6.4067316, ' 0': -6.5503225, ' Even': -6.5533066, ' odd': -7.067663}
{' odd': -0.047405448, ' Odd': -3.9957607, ' even': -4.2522173, ' 1': -4.5517044, '\n': -7.2362723}
{' odd': -0.23948978, ' 1': -2.313388, ' even': -2.5620644, ' 0': -4.2087183, ' Odd': -4.5174255}
{' even': -0.08734547, ' 0': -3.1758654, ' 1': -3.979692, ' odd': -4.8362017, ':': -5.556963}
{' Odd': -4.8862576, ' 1': -1.8063493, ' odd': -0.20926142, ' 0': -6.2859726, ' even': -5.008722}
{' ': -7.7041254, ' Even': -6.6656427, ' odd': -7.929903, ' 0': -5.9186916, ' even': -0.006116984}
{' Odd': -5.71688, ' 1': -2.036658, ' odd': -0.16316481, ' 0': -5.8810997, ' even': -4.620397}
{' ': -7.43245, ' Even': -7.047678, ' odd': -6.354134, ' 0': -6.395806, ' even': -0.007293513}
{'\n': -8.284044, ' Odd': -5.3052173, ' 1': -5.6540217, ' odd': -0.01141888, ' even': -6.3579736}
{' even': -0.007914329, ' odd': -5.9620457, ' Even': -6.4694695, ' an': -6.836766, ':': -7.3821297}
{' odd': -0.038356893, ' Odd': -4.1520653, ' 1': -4.6032248, ' even': -4.673978, ' ': -7.844867}
{' odd': -0.24902858, ' 1': -2.2272162, ' even': -2.563804, ' 0': -4.137292, ' Odd': -4.7059383}
{' 1': -6.0544505, ' "': -5.890732, ' odd': -4.92865, ' 0': -5.3483315, ' even': -0.022846315}
{' odd': -0.088537216, ' 1': -2.6285093, ' Odd': -4.9816337, ' even': -6.1943684, ' 0': -7.330399}
{' Even': -6.9142213, ' "': -7.924499, ' odd': -7.4899745, ' 0': -7.0416565, ' even': -0.004270933}
{' odd': -0.30245572, ' 1': -1.4243888, ' even': -4.6401954, ' Odd': -5.7720118, ' 0': -6.0775023}
{' even': -0.007877324, ' 0': -6.1645994, ' odd': -6.562953, ' Even': -6.71365, ' ': -7.185194}
{' Odd': -5.4969416, ' ': -8.196263, ' 1': -4.161831, ' odd': -0.022391316, ' even': -6.85311}
{' ': -7.353555, ' Even': -6.2794423, ' EVEN': -7.4219775, ' odd': -6.6127477, ' even': -0.006597643}
{' odd': -0.043062896, ' even': -4.045455, ' Odd': -4.3542256, ' 1': -4.723261, ' ': -7.349059}
{' Odd': -4.504893, ' 1': -4.3011093, ' odd': -0.16944961, ' 0': -5.428601, ' even': -2.1146665}
{' Even': -6.65745, ' 1': -6.901843, ' odd': -6.0064025, ' 0': -6.0571346, ' even': -0.01092487}
{' Odd': -4.9420223, ' 1': -1.640977, ' odd': -0.23896918, ' 0': -6.2271094, ' even': -5.5665236}
{' ': -7.1306453, ' Even': -6.646557, ' odd': -7.197974, ' 0': -5.346748, ' even': -0.009792093}
{' Odd': -5.623584, ' 1': -1.5470797, ' odd': -0.26334435, ' 0': -5.976658, ' even': -5.0694923}
{' ': -7.780714, ' Even': -7.0135417, ' odd': -6.414844, ' 0': -6.9969625, ' even': -0.005630563}
{'\n': -7.738777, ' Odd': -5.4388504, ' 1': -2.1095867, ' odd': -0.14159581, ' even': -5.6230087}
{' ': -7.451598, ' an': -7.0386853, ' Even': -6.3996625, ' odd': -6.55295, ' even': -0.0061617224}
{' odd': -0.1110232, ' 1': -2.5942557, ' Odd': -3.8815165, ' even': -5.231654, '\n': -6.9172773}
{' odd': -0.20488632, ' even': -1.9723699, ' 1': -3.708088, ' Odd': -4.7667165, ' 0': -4.9998565}
{' Even': -6.3653965, ' 1': -5.8727756, ' odd': -5.785319, ' 0': -4.9292564, ' even': -0.022071967}
{' odd': -0.16216612, ' 1': -2.0119224, ' Odd': -5.0191483, ' even': -5.451302, ' 0': -6.6651955}
{' ': -7.3320537, ' Even': -6.6585917, ' odd': -7.229981, ' 0': -5.0837865, ' even': -0.011248217}
{' odd': -0.042589705, ' 1': -3.551596, ' even': -5.246649, ' Odd': -5.339376, ' 0': -7.3018475}
{' an': -7.4639363, ' Even': -7.0080333, ' EVEN': -7.938285, ' odd': -6.5173244, ' even': -0.004747654}
{' odd': -0.030931463, ' 1': -3.765638, ' Odd': -5.497745, ' even': -6.4833293, ' an': -8.154597}
{' an': -6.3970385, ' Even': -6.317163, ' odd': -6.8121357, ' 0': -6.6129627, ' even': -0.009272897}
{' odd': -0.17238308, ' 1': -2.0633917, ' Odd': -3.9595196, ' even': -4.999246, ' ': -6.6979923}
{' Odd': -4.6341186, ' 1': -4.5099654, ' odd': -0.18622954, ' 0': -5.204602, ' even': -1.9779774}
{' even': -0.12734768, ' 0': -2.6301343, ' 1': -4.065117, ' odd': -4.9936156, ':': -5.04322}
{' Odd': -4.917173, ' 1': -1.9114227, ' odd': -0.1799373, ' 0': -6.6672587, ' even': -5.687762}
{' Even': -7.0130954, ' EVEN': -7.8658557, ' odd': -6.711136, ' 0': -6.3437467, ' even': -0.0057590837}
{' odd': -0.26085925, ' 1': -1.5699354, ' even': -4.552082, ' Odd': -5.3029428, ' 0': -6.5265536}
{' an': -7.0040193, ' Even': -6.4272475, ' odd': -6.224419, ' 0': -6.5378075, ' even': -0.008731847}
{' Odd': -5.0880113, ' ': -7.4227395, ' 1': -2.5244737, ' odd': -0.096020296, ' even': -6.0296803}
{' ': -7.3921814, ' an': -6.45923, ' Even': -6.314334, ' odd': -5.876611, ' even': -0.01000513}
{'\n': -7.5723324, ' Odd': -3.952773, ' 1': -3.8030615, ' odd': -0.05808774, ' even': -4.412345}
{' Odd': -4.7310157, ' 1': -2.5730777, ' odd': -0.28179395, ' 0': -3.7547097, ' even': -2.0518966}
{' Even': -7.266069, ' 1': -7.3067727, ' odd': -6.1030135, ' 0': -7.381764, ' even': -0.006672705}
{' odd': -0.027888214, ' 1': -4.574423, ' Odd': -4.8382707, ' even': -5.028411, ' ': -7.7180257}
{' ': -7.437816, ' Even': -6.436951, ' odd': -7.196743, ' 0': -6.072528, ' even': -0.0073363236}
{' odd': -0.15086494, ' 1': -2.102775, ' even': -4.759879, ' Odd': -5.301073, ' ': -7.0898986}
{' even': -0.016554706, ' 0': -4.8248396, ' odd': -6.21296, ' Even': -6.5851073, ' ': -6.7133317}
{' odd': -0.032315247, ' 1': -3.9029024, ' Odd': -5.2757826, ' even': -5.329566, '\n': -8.21834}
{' ': -7.913067, ' an': -7.423899, ' Even': -6.370957, ' odd': -6.6624284, ' even': -0.005388845}
{' odd': -0.13309847, ' 1': -2.3531263, ' Odd': -3.8943725, ' even': -5.3905354, ' ': -6.7899666}
{' odd': -0.30939153, ' even': -2.0699933, ' 1': -2.3599133, ' 0': -3.8701346, ' Odd': -4.7520404}
{' even': -0.04368138, ' 0': -3.8305638, ' 1': -4.8867598, ' odd': -5.3438826, ' Even': -6.3087893}
{' odd': -0.33264443, ' 1': -1.3278246, ' even': -4.9120545, ' Odd': -5.3612432, ' 0': -6.3019133}
{' even': -0.006470333, ' 0': -6.056426, ' Even': -6.7759213, ' ': -7.3926263, ' odd': -7.4321613}
{' odd': -0.05408501, ' 1': -3.233099, ' even': -4.8317947, ' Odd': -5.8516884, ' 0': -7.418131}
{' an': -6.9540606, ' Even': -6.9551263, ' odd': -6.249268, ' 0': -6.0330086, ' even': -0.009478486}
{' Odd': -4.7827964, ' ': -7.7442837, ' 1': -2.502811, ' odd': -0.100600734, ' even': -5.8343434}
{' ': -7.5275083, ' an': -7.362281, ' Even': -6.389664, ' odd': -6.6514106, ' even': -0.005889061}
{' odd': -0.066851094, ' 1': -3.2316804, ' Odd': -4.1865354, ' even': -4.9812384, ' ': -7.2394433}
{' Odd': -4.508767, ' 1': -3.6219337, ' odd': -0.20950225, ' 0': -4.4574647, ' even': -2.0140362}
{' even': -0.033148576, ' 0': -4.3821187, ' 1': -5.2831054, ' odd': -5.3893685, ' Even': -6.1430492}
{' Odd': -5.4922585, ' 1': -1.3335111, ' odd': -0.3369253, ' 0': -5.8471437, ' even': -4.471443}
{' even': -0.007195232, ' 0': -5.6790257, ' Even': -6.840769, ' ': -7.5511317, ' odd': -7.6550083}
{' Odd': -5.6826715, ' 1': -2.4510925, ' odd': -0.11149867, ' 0': -7.276157, ' even': -4.350716}
{' an': -7.6590266, ' Even': -6.6122923, ' EVEN': -7.841166, ' odd': -6.62468, ' even': -0.0047586737}
{'\n': -7.652755, ' Odd': -5.447133, ' 1': -2.3857274, ' odd': -0.10726599, ' even': -5.85544}
{' ': -7.535956, ':': -7.6264734, ' Even': -6.403425, ' odd': -7.0470686, ' even': -0.0052009346}
{' Odd': -4.242004, ' ': -6.9788594, ' 1': -3.062679, ' odd': -0.07917369, ' even': -4.5875525}
{' Odd': -4.829843, ' 1': -3.435449, ' odd': -0.46793324, ' 0': -4.147369, ' even': -1.1806234}
{' Even': -6.5506096, ' "': -6.8533335, ' odd': -6.2251415, ' 0': -7.1352663, ' even': -0.009392562}
{' Odd': -5.0104756, ' 1': -3.2486541, ' odd': -0.050707497, ' 0': -7.5177903, ' even': -6.4816604}
{' even': -0.01086636, ' 0': -5.1323395, ' Even': -6.754777, ' odd': -7.0407553, ' ': -7.520097}
{' odd': -0.270421, ' 1': -1.5481272, ' even': -4.4649234, ' Odd': -5.157913, ' 0': -6.404266}
{' even': -0.008128052, ' 0': -5.8822765, ' odd': -6.6720433, ' Even': -7.056534, ' ': -7.222496}
{' Odd': -5.3690286, ':': -7.0474606, ' 1': -2.4723575, ' odd': -0.10232415, ' even': -6.041431}
{' an': -6.585774, ' Even': -6.3336163, ' odd': -6.725392, ' 0': -6.7466874, ' even': -0.00861292}
{' odd': -0.067710035, ' 1': -3.2610083, ' Odd': -4.301113, ' even': -4.7091007, ' ': -7.0587196}
{' Odd': -4.2524524, ' 1': -2.3427064, ' odd': -0.24831165, ' 0': -4.3903995, ' even': -2.5390067}
