{' odd': -1.1430392, ' even': -1.5204941, ' 0': -1.5531594, ' 1': -1.6788993, ':': -4.5269637}
{' even': -0.82276005, ' 0': -0.8396981, ' 1': -3.1032403, ':': -3.8252873, ' zero': -3.8754904}
{' Odd': -3.844776, ' 1': -2.3343105, ' odd': -0.3686687, ' 0': -2.1219664, ' even': -3.3417225}
{' Even': -5.0001035, ' odd': -3.8472056, ' 0': -1.400774, ' zero': -4.4801755, ' even': -0.38327593}
{' odd': -0.22501163, ' even': -2.61285, ' 0': -2.9179044, ' 1': -3.5108962, ' Odd': -3.5349424}
{' Odd': -5.0118704, ' Even': -4.8771553, ' odd': -2.1743052, ' 0': -2.411066, ' even': -0.2910253}
{' Odd': -3.0993907, ' 1': -5.514742, ' odd': -0.28270897, ' 0': -4.042758, ' even': -1.8519276}
{' even': -0.18731833, ' odd': -2.6116662, ' 0': -3.1092772, ' Even': -4.2828584, ':': -4.937757}
{' Odd': -3.4754035, ' 1': -3.5851758, ' odd': -0.117467135, ' 0': -4.3350286, ' even': -3.6532881}
{':': -3.9368396, ' 1': -0.7174096, ' odd': -2.079064, ' 0': -1.2687097, ' even': -3.341185}
{':': -4.3829446, ' 1': -4.193849, ' 0': -1.0559021, ' zero': -3.5988822, ' even': -0.5788589}
{' Odd': -3.9223695, ' 1': -4.415962, ' odd': -0.13681169, ' 0': -3.3016524, ' even': -3.0920146}
{':': -3.923374, ' 1': -4.0725474, ' 0': -0.63062555, ' zero': -4.4111047, ' even': -0.99938565}
{' Odd': -3.614035, ' 1': -3.0122943, ' odd': -0.26919982, ' 0': -2.6563506, ' even': -2.6069942}
{':': -5.1771207, ' Even': -4.648862, ' odd': -3.6685019, ' 0': -3.7685003, ' even': -0.07934777}
{' 1': -3.8575928, ' odd': -0.2575051, ' 0': -2.3765314, ' zero': -4.4507403, ' even': -3.3167882}
{' even': -0.15094209, ' 0': -3.0700371, ' odd': -3.3758125, ' Even': -4.222086, ' ': -4.3790174}
{' odd': -0.18154572, ' even': -2.410951, ' Odd': -3.619018, ' 0': -3.9753628, ' 1': -4.032927}
{' 0': -1.1377361, ' 1': -1.2346752, ' odd': -1.8725125, ' even': -2.2366655, ':': -3.2675169}
{':': -4.4490156, ' 1': -2.7950304, ' 0': -0.33716086, ' zero': -3.8327708, ' even': -1.8341309}
{' odd': -0.2090776, ' even': -2.3554637, ' Odd': -3.4149122, ' 0': -3.4944732, ' 1': -4.5629354}
{' 1': -4.2716866, ' odd': -3.3157864, ' 0': -1.008071, ' zero': -4.255537, ' even': -0.6542607}
{' odd': -0.27576217, ' even': -1.6870209, ' Odd': -3.739781, ' 0': -4.3852797, ' 1': -5.458732}
{':': -5.082405, ' Even': -4.3960466, ' odd': -3.43616, ' 0': -3.4478881, ' even': -0.108681805}
{' odd': -0.49288952, ' even': -1.1615936, ' Odd': -3.7859218, ' 0': -3.9133747, ' 1': -5.3267326}
{' ': -4.4435573, ' Even': -4.282549, ' odd': -3.175885, ' 0': -2.3537464, ' even': -0.22537217}
{' odd': -0.10856606, ' even': -2.8699336, ' Odd': -3.840982, ' 1': -4.8038907, ' 0': -4.821386}
{':': -2.825052, ' 1': -0.936468, ' odd': -2.1273441, ' 0': -1.2189797, ' even': -2.734535}
{':': -2.9326499, ' 1': -2.8470109, ' odd': -3.9779923, ' 0': -1.1859441, ' even': -0.7675595}
{' odd': -0.19787313, ' even': -2.9950018, ' 0': -3.1162345, ' Odd': -3.421316, ' 1': -3.9218416}
{' 0': -0.20078103, ' even': -2.293313, ' 1': -3.1311026, ' zero': -4.7032814, ' odd': -4.9275646}
{' odd': -0.413709, ' even': -1.2671199, ' Odd': -3.7455254, ' 0': -4.804152, ' Even': -5.607555}
{' ': -5.3132777, ' Even': -5.2272663, ' odd': -3.6426315, ' 0': -2.4528487, ' even': -0.1579078}
{' Odd': -3.4653287, ' 1': -5.1810555, ' odd': -0.3095535, ' 0': -3.7887526, ' even': -1.6876243}
{' even': -0.1937891, ' odd': -2.856332, ' 0': -3.3424351, ' ': -3.8405175, ':': -4.146528}
{' Odd': -3.675854, ' 1': -5.7920284, ' odd': -0.13354854, ' 0': -5.0312495, ' even': -2.4831395}
{':': -3.3739593, ' 1': -1.071162, ' odd': -1.5941093, ' 0': -1.7962931, ' even': -1.627278}
{':': -3.6167505, ' Even': -4.221166, ' 1': -4.4776196, ' 0': -1.6913972, ' even': -0.33743244}
{' odd': -0.36556584, ' 0': -2.1254954, ' 1': -2.342136, ' even': -3.3692248, ' Odd': -3.8282657}
{' 1': -3.8867896, ' odd': -2.3658116, ' 0': -1.4039024, ' zero': -4.642095, ' even': -0.5321869}
{' Odd': -4.139679, ' 1': -3.5050426, ' odd': -0.27042598, ' 0': -2.6644347, ' even': -2.2567742}
{':': -4.452557, ' 1': -4.567326, ' odd': -2.9557538, ' 0': -1.1481835, ' even': -0.5658727}
{' 1': -3.5049229, ' odd': -0.4445269, ' 0': -1.7676487, ' zero': -3.356505, ' even': -3.0293703}
{':': -4.693459, ' Even': -4.4844666, ' odd': -2.827455, ' 0': -2.3970258, ' even': -0.23716138}
{' odd': -0.097292274, ' even': -3.3915293, ' Odd': -3.647183, ' 1': -4.199004, ' 0': -4.7429047}
{':': -3.125144, ' 1': -1.0508827, ' odd': -1.846433, ' 0': -1.1529286, ' even': -2.7423613}
{' 1': -4.2734976, ' odd': -4.582758, ' 0': -1.763369, ' zero': -4.332859, ' even': -0.29028448}
{' Odd': -3.2851374, ' 1': -3.346863, ' odd': -0.216101, ' 0': -2.706651, ' even': -3.4768107}
{' 0': -0.3127858, ' even': -1.8905189, ' 1': -3.5592935, ' zero': -3.9162765, ':': -4.1503797}
{' Odd': -3.421915, ' 1': -3.791215, ' odd': -0.244282, ' 0': -3.1727657, ' even': -2.2919457}
{' even': -0.39670578, ' 0': -1.8534892, ' odd': -2.189331, ' 1': -4.525342, ':': -4.754492}
{' Odd': -3.8342655, ' 1': -5.7080393, ' odd': -0.32177263, ' 0': -4.204398, ' even': -1.5287067}
