{' odd': -0.08471681, ' Odd': -3.4376616, ' even': -3.879418, ':': -4.5343857, ' ': -5.4870214}
{' even': -0.009613701, ' 0': -5.540459, ':': -6.063333, ' odd': -7.031704, ' ': -7.678463}
{'\n': -5.8796625, ' Odd': -5.0757923, ' 1': -3.5682418, ' odd': -0.052397784, ' even': -4.9497585}
{' even': -0.007888439, ' 0': -5.173046, ' ': -7.567967, ' Even': -7.821604, ' an': -7.898622}
{' Odd': -6.002953, ':': -5.2838182, ' 1': -2.3322363, ' odd': -0.12180044, ' even': -5.3408823}
{':': -8.546626, ' an': -7.5866046, ' Even': -8.293476, ' 0': -7.0072536, ' even': -0.0025686976}
{' Odd': -4.845487, ':': -5.4385247, ' 1': -4.725859, ' odd': -0.034830865, ' even': -4.9715095}
{' even': -0.011770553, ' 0': -5.2686515, ' an': -6.1321125, ' ': -6.492652, ':': -6.9626474}
{' Odd': -3.9634218, ':': -4.977223, ' 1': -4.022277, ' odd': -0.073670685, ' even': -4.184304}
{' odd': -0.040291872, ' 1': -4.4112215, ' even': -4.640317, ' Odd': -4.806718, ':': -5.1813126}
{' even': -0.02178324, ':': -4.6265717, ' Even': -5.4418993, ' EVEN': -6.1580257, '\n': -6.6843038}
{'\n': -5.0500913, ' Odd': -5.134032, ' 1': -4.244765, ' odd': -0.04682427, ' even': -4.7473207}
{' ': -6.750585, ':': -5.220365, ' Even': -6.9254513, ' 0': -3.8348224, ' even': -0.032687206}
{' odd': -0.2080131, ' 1': -1.7516761, ' even': -5.6671195, ':': -5.9268556, ' Odd': -5.9338374}
{' even': -0.012694938, ' an': -5.2390246, ':': -6.610805, ' Even': -6.8326416, ' 0': -7.062678}
{' Odd': -5.783008, ' an': -6.577804, ' 1': -5.5751495, ' odd': -0.017613025, ' even': -5.147369}
{' even': -0.79914814, ' 0': -0.87745726, ':': -3.14854, ' ': -3.4893575, ' zero': -4.158566}
{' odd': -0.18657306, ' 1': -2.6348464, ':': -3.4532545, ' Odd': -3.5331907, '\n': -4.1376696}
{' Odd': -5.309108, ':': -4.5264864, ' 1': -4.100834, ' odd': -0.06367687, ' even': -3.8178403}
{' ': -6.0416365, ':': -5.778079, ' an': -6.1547737, ' 0': -4.342505, ' even': -0.027044667}
{' odd': -0.10063264, ' 1': -2.45428, ' Odd': -5.739729, ' even': -5.919991, ':': -7.1960874}
{' even': -0.013395551, ' 0': -4.937799, ':': -6.1056223, ' ': -7.2007504, '\n': -7.3056316}
{' odd': -0.052862264, ' 1': -4.077529, ' even': -4.5866737, ':': -4.9454184, ' Odd': -5.074665}
{'\n': -4.15923, ' ': -5.365223, ':': -3.6447942, ' 0': -6.006137, ' even': -0.06732271}
{' odd': -0.18494183, ' 1': -1.8152844, ' even': -6.3741374, ' Odd': -6.4214664, ':': -7.6781244}
{'\n': -6.504227, ' ': -6.4760394, ':': -5.224666, ' an': -7.241529, ' even': -0.011071734}
{'\n': -2.7692046, ' ': -4.5213604, ':': -3.2618177, ' 1': -0.76064456, ' odd': -0.92103547}
{' Odd': -5.1166396, ':': -3.6837084, ' 1': -4.1655736, ' odd': -0.3872981, ' even': -1.3807913}
{'\n': -4.096743, ' ': -5.694538, ':': -3.0680187, ' 0': -4.752611, ' even': -0.090942}
{' odd': -0.089053385, ' 1': -2.608291, ' even': -5.575338, ' Odd': -6.4202952, '\n': -6.864428}
{'\n': -6.7828674, ' ': -6.3654976, ':': -6.7436733, ' 0': -3.1234004, ' even': -0.05315602}
{'\n': -5.7419147, ':': -5.2534037, ' 1': -0.7907401, ' odd': -0.6387473, ' even': -5.361759}
{'\n': -7.1591673, ' ': -6.9628158, ':': -7.194256, ' an': -6.7633605, ' even': -0.0058401395}
{' odd': -0.029864004, ' even': -4.683232, ' 1': -4.838406, ' Odd': -4.998775, ':': -6.6831384}
{' even': -0.016713185, ':': -4.8805013, ' ': -6.042564, '\n': -6.3030224, ' an': -6.725901}
{' odd': -0.36554468, ' 1': -1.3123907, ' Odd': -4.713477, ' even': -5.0180964, ':': -5.2854834}
{'\n': -5.0001235, ' Odd': -4.7272387, ':': -3.8064864, ' odd': -0.07601858, ' even': -3.9785635}
{'\n': -6.3116612, ' ': -6.3138747, ':': -4.2687483, ' 0': -4.443343, ' even': -0.037840728}
{' Odd': -6.355083, ':': -6.889612, ' 1': -2.852818, ' odd': -0.07007679, ' even': -5.7111115}
{'\n': -7.408404, ':': -5.948747, ' 0': -2.9095268, ' zero': -7.2755194, ' even': -0.06338788}
{' Odd': -5.989851, ':': -6.282791, ' 1': -3.4779234, ' odd': -0.044627406, ' even': -5.465702}
{' even': -0.007326117, ' an': -6.3391266, ':': -6.392198, ' Even': -6.9489913, ' ': -7.176263}
{' Odd': -5.341859, ' an': -6.304446, ' 1': -5.333514, ' odd': -0.029287461, ' even': -4.366135}
{' ': -6.440506, ':': -5.171919, ' an': -6.6560926, ' 0': -6.6374764, ' even': -0.012934923}
{' ': -6.2009144, ' 1': -0.78080475, ' odd': -0.6369677, ' 0': -6.436959, ' even': -5.841014}
{' Odd': -3.8698752, ':': -4.413246, ' 1': -5.2267556, ' odd': -0.39779893, ' even': -1.3543829}
{'\n': -5.8327484, ':': -4.437648, ' odd': -6.283056, ' 0': -4.3304653, ' even': -0.03747501}
{' Odd': -4.824603, ':': -6.075127, ' 1': -3.330308, ' odd': -0.06947238, ' even': -4.4323645}
{' even': -0.093147285, ' 0': -2.5051727, ':': -6.1676993, ' ': -6.2965846, '\n': -7.1868567}
{' odd': -0.19234599, ' 1': -1.9973538, ' even': -3.7672138, ' an': -6.0003977, ' Odd': -6.012845}
{' even': -0.01738635, ' 0': -4.623895, ' an': -5.555609, ' ': -7.089843, ':': -7.241854}
{' Odd': -6.182513, ' an': -7.0894423, ' 1': -5.197498, ' odd': -0.013915744, ' even': -5.779083}
{' even': -0.010145115, ':': -5.8728886, ' ': -6.0100265, ' an': -6.354765, '\n': -7.2431197}
{'\n': -4.947106, ':': -4.5356574, ' 1': -1.5353502, ' odd': -0.3091969, ' even': -4.049811}
{' odd': -0.045638457, ' even': -3.6978562, ' Odd': -5.162381, ' 1': -5.7015114, ':': -6.2148604}
{'\n': -5.163512, ' ': -5.5386443, ':': -3.4846148, ' 0': -4.6853275, ' even': -0.062749475}
{'\n': -5.159254, ':': -5.27656, ' 1': -3.6450653, ' odd': -0.06745935, ' even': -4.101754}
{'\n': -4.9480166, ' ': -6.1373167, ':': -4.522412, ' 0': -2.9142833, ' even': -0.08233021}
{'\n': -6.019386, ':': -5.9364495, ' 1': -0.16461162, ' odd': -1.9621216, ' even': -6.197554}
{' ': -7.2132316, ':': -6.8334804, ' an': -6.7134647, ' 0': -5.29934, ' even': -0.009957933}
{' Odd': -5.5918975, ' an': -7.2378035, ' 1': -4.3576756, ' odd': -0.022557309, ' even': -5.8382177}
{' even': -0.006739849, ' an': -6.0208516, ':': -6.884488, ' ': -7.118935, ' Even': -7.4034386}
{'\n': -4.2572346, ' Odd': -4.3116274, ':': -4.1293497, ' 1': -1.3656142, ' odd': -0.37198275}
{' Odd': -5.393196, ':': -5.9311514, ' 1': -4.6773334, ' odd': -0.06467956, ' even': -3.2728283}
{' ': -6.109834, ':': -5.070123, ' odd': -6.1460867, ' 0': -3.2415814, ' even': -0.064227715}
{' Odd': -5.7129292, ':': -5.818119, ' 1': -1.8007438, ' odd': -0.20453076, ' even': -5.6659493}
{' even': -0.09527581, ' 0': -2.5969849, ' ': -5.3177605, '\n': -5.5927978, ':': -5.6465473}
{' Odd': -5.254819, ' an': -5.063978, ' 1': -4.0143366, ' odd': -0.12094039, ' even': -2.6598673}
{'\n': -6.2690086, ' ': -6.793385, ':': -5.109708, ' Even': -6.7711406, ' even': -0.013083652}
{' odd': -0.025982687, ' 1': -3.9336643, ' Odd': -6.5233583, ' ': -6.763128, ' an': -7.2444377}
{' even': -0.0050526513, ' an': -5.944812, ' 0': -7.401256, ' ': -7.5258384, ':': -7.9194746}
{'\n': -6.543397, ' ': -6.6059637, ':': -5.415033, ' 1': -0.10979979, ' odd': -2.4012103}
{' odd': -0.09040085, ' 1': -2.9745846, ' even': -4.212429, ':': -4.5582504, ' 0': -5.482501}
{' ': -7.2357135, ':': -5.433779, ' odd': -6.160378, ' 0': -3.2547274, ' even': -0.05140246}
{' Odd': -6.522819, ' an': -7.144987, ' 1': -3.0382981, ' odd': -0.07858051, ' even': -3.9162316}
{' --': -5.58682, ' ': -5.356817, ':': -5.1890655, ' 0': -5.398909, ' even': -0.026737848}
{' ': -6.564486, ' 1': -0.4006005, ' one': -6.2324276, ' odd': -1.1709976, ' even': -4.528347}
{' even': -0.011836712, ' an': -5.67917, ':': -6.0225334, ' Even': -6.4413233, ' 0': -6.9155183}
{' Odd': -5.198229, ':': -6.5791955, ' 1': -3.7872827, ' odd': -0.0416164, ' even': -4.870962}
{':': -5.5580235, ' an': -7.652616, ' odd': -7.560193, ' 0': -3.4676764, ' even': -0.03899993}
{' odd': -0.12350271, ' 1': -2.4243126, ' Odd': -4.5865855, ' even': -4.7676177, ':': -6.0564055}
{' odd': -0.083484955, ' even': -3.308425, ' 1': -3.900346, ':': -4.819845, ' Odd': -5.104156}
{' even': -0.022174405, ':': -4.6981497, ' 0': -4.7826996, ' EVEN': -6.795876, ' Even': -7.3064065}
{' odd': -0.1818812, ' 1': -1.9764236, ' even': -4.1337876, ' Odd': -6.0627956, ' 0': -6.6404614}
{' even': -0.06272897, ':': -3.6535156, '\n': -3.9502907, ' 0': -5.180238, ' ': -5.3439255}
