{' odd': -0.06409018, ' even': -3.2766557, ' Odd': -4.7831583, ' 1': -4.8719087, ' 0': -6.153645}
{' even': -0.040583022, ' odd': -4.572282, ' 0': -4.7501535, '\n': -5.355743, ':': -5.4339757}
{' odd': -0.07068138, ' 1': -3.056029, ' even': -4.5686827, ' Odd': -5.3873997, ' 0': -6.7377024}
{' even': -0.049440384, ' 0': -3.2858827, ' ': -5.925657, '\n': -6.33737, ':': -6.594587}
{' odd': -0.34137532, ' 1': -1.5511923, ' even': -2.8154447, ' 0': -5.4499207, ' ': -5.923076}
{' even': -0.0066393428, ' 0': -6.119697, ' odd': -6.95238, ' an': -7.212316, ' ': -7.3760886}
{' Odd': -6.407553, ' ': -6.9798846, ' 1': -4.762033, ' odd': -0.028749093, ' even': -4.228747}
{' ': -6.3140306, ':': -7.5339065, ' an': -6.7484426, ' 0': -6.6167917, ' even': -0.006966826}
{' Odd': -5.033598, ' an': -6.8626995, ' 1': -3.9855716, ' odd': -0.07211308, ' even': -3.2304952}
{' Odd': -4.748688, ':': -6.827289, ' 1': -5.84989, ' odd': -0.036641136, ' even': -3.9459913}
{':': -6.0198436, ' an': -6.211395, ' odd': -5.182775, ' 0': -5.0117145, ' even': -0.02562128}
{' Odd': -5.9746656, ' 1': -2.7765334, ' odd': -0.08969237, ' 0': -6.292714, ' even': -4.1575994}
{' even': -0.04223859, ' 0': -3.4284666, ' ': -5.8845277, '\n': -6.494358, ':': -7.237108}
{' Odd': -5.350662, ' 1': -1.7837862, ' odd': -0.342746, ' 0': -5.6484947, ' even': -2.2770998}
{' ': -6.6664762, ' an': -7.289939, ' odd': -7.813783, ' 0': -5.2603416, ' even': -0.009785593}
{' odd': -0.021716664, ' even': -4.564715, ' 1': -5.131103, ' Odd': -6.382882, ' ': -6.9564385}
{' even': -0.008204071, ' ': -5.9355183, ' 0': -6.646916, ' an': -6.6785164, ':': -7.496275}
{' Odd': -5.5009446, ' 1': -2.5341191, ' odd': -0.18490268, ' 0': -5.7168236, ' even': -2.5967467}
{' Odd': -4.528153, ':': -5.2244806, ' 1': -4.9410214, ' odd': -0.09742486, ' even': -2.7971652}
{':': -5.9827514, ' 1': -6.1774955, ' odd': -4.0503945, ' 0': -5.117837, ' even': -0.034093674}
{'\n': -6.2699637, ' 1': -1.930766, ' odd': -0.18300143, ' 0': -6.1643643, ' even': -4.32273}
{' even': -0.06156984, ' 0': -3.0231566, ' ': -5.9877243, '\n': -6.13398, ':': -6.5783353}
{':': -5.7609863, ' 1': -0.9805988, ' odd': -0.5831436, ' 0': -5.4858017, ' even': -2.9692345}
{'\n': -7.1040764, ' ': -6.3656244, ' an': -7.005912, ' 0': -4.9413223, ' even': -0.013897188}
{' Odd': -6.2380543, ' ': -7.381368, ' 1': -5.75247, ' odd': -0.018966561, ' even': -4.5473247}
{' even': -0.009674486, ' 0': -5.7277856, ' ': -6.1540146, ':': -6.513914, '\n': -7.1188593}
{' Odd': -6.1593037, ' ': -7.218535, ' 1': -3.7447178, ' odd': -0.056285523, ' even': -3.6419332}
{' Odd': -4.6214495, ':': -6.4805675, ' 1': -6.016025, ' odd': -0.043002293, ' even': -3.722613}
{' even': -0.036969505, ' 0': -4.4664607, ' odd': -4.841541, ':': -5.4137206, '\n': -6.039733}
{'\n': -6.3062944, ' 1': -2.4820225, ' odd': -0.11623895, ' 0': -6.4226217, ' even': -4.02568}
