{' odd': -1.0022274, ' even': -1.436174, ' 0': -1.8854661, ' 1': -2.0356557, ':': -3.21948}
{' ': -4.061031, ' 1': -3.8497748, ' odd': -2.9031396, ' 0': -2.5464883, ' even': -0.2752537}
{' odd': -0.15110292, ' even': -2.9377804, ' 1': -3.9124036, ' Odd': -3.9435012, ' 0': -4.157364}
{'\n': -4.336277, ' ': -4.526527, ' odd': -3.7912076, ' 0': -2.1994011, ' even': -0.22823948}
{' Odd': -4.312869, ' 1': -3.8537893, ' odd': -0.18919687, ' 0': -3.9984171, ' even': -2.4717457}
{':': -4.729102, ' Even': -5.077001, ' odd': -1.8862177, ' 0': -3.6396997, ' even': -0.2640855}
{' Odd': -4.762777, ':': -5.994762, ' odd': -0.3986078, ' neither': -6.0916123, ' even': -1.226134}
{' ': -4.2935596, ':': -4.8234043, ' Even': -5.173326, ' odd': -3.8194308, ' even': -0.07039618}
{'\n': -5.413543, ' 1': -4.5680127, ' odd': -0.14818522, ' 0': -3.8687375, ' even': -2.5049605}
{' even': -1.3117275, ' odd': -1.4370165, ' 0': -1.5185852, ' 1': -2.0508554, ':': -2.9418907}
{' ': -4.4199824, ' 1': -4.587951, ' odd': -4.462605, ' 0': -3.2892709, ' even': -0.1071662}
{' odd': -0.16556762, ' 1': -2.7341607, ' 0': -3.6177769, ' even': -4.121461, ' Odd': -4.5501556}
{' ': -4.351872, ':': -4.472631, ' odd': -3.4488196, ' 0': -3.0146062, ' even': -0.16312377}
{' Odd': -3.9181068, ' 1': -4.79498, ' odd': -0.20943984, ' 0': -4.9783463, ' even': -2.085298}
{' even': -0.34825775, ' odd': -1.9766852, ' 0': -2.4887168, ' 1': -4.0744176, '\n': -4.517051}
{' Odd': -5.498338, ' 1': -5.396078, ' odd': -0.40313652, ' 0': -4.5782475, ' even': -1.2655165}
{' even': -0.15991552, ' odd': -2.8840394, ' ': -3.9518435, ' 0': -4.2013545, ':': -4.235059}
{' odd': -0.2112504, ' even': -1.9936104, ' 0': -4.4836073, ' Odd': -4.565398, ' 1': -4.93643}
{' odd': -1.0973315, ' even': -1.1498504, ' 0': -2.0382056, ' 1': -2.5388124, ':': -2.8824646}
{' ': -3.8044772, ' 1': -3.1185975, ' odd': -3.322817, ' 0': -1.8621515, ' even': -0.42901087}
{' odd': -0.077749364, ' Odd': -3.3184917, ' even': -4.5342426, ' ': -5.299486, ' 1': -5.3689055}
{' ': -4.576217, ':': -4.6803117, ' odd': -3.17057, ' 0': -3.2825105, ' even': -0.143894}
{' Odd': -3.6590981, ' ': -5.0618067, ':': -4.9898767, ' odd': -0.26579887, ' even': -1.8079466}
{' even': -0.43059155, ' odd': -2.0149457, ' 0': -2.0508401, ' 1': -3.9062629, '\n': -4.5149894}
{'\n': -5.591169, ' Odd': -5.128854, ' ': -5.682531, ' odd': -0.3153639, ' even': -1.4208965}
{' ': -4.3070545, ':': -4.5831904, ' odd': -3.168699, ' 0': -4.454447, ' even': -0.115909465}
{' Odd': -5.356715, ' 1': -4.387556, ' odd': -0.19390139, ' 0': -4.0688114, ' even': -2.1226857}
{' odd': -0.9569893, ' even': -1.2714292, ' 1': -2.155907, ' 0': -2.1770658, ':': -3.5548973}
{'\n': -4.716965, ' ': -4.6858287, ' 1': -4.5335097, ' 0': -2.0295694, ' even': -0.22677863}
{' Odd': -3.8764992, ' 1': -4.647975, ' odd': -0.107098855, ' 0': -4.636135, ' even': -3.2952986}
{'\n': -4.041879, ' ': -4.326231, ' odd': -4.004476, ' 0': -1.7792014, ' even': -0.31761542}
{' odd': -0.119723655, ' even': -3.0663016, ' 1': -3.8058846, ' 0': -4.1572247, ' Odd': -4.5889153}
{' even': -0.34145573, ' odd': -1.750726, ' 0': -2.916296, '\n': -4.599853, ' 1': -4.703758}
{' odd': -0.3744952, ' even': -1.3605753, ' 0': -4.608731, ' an': -4.9440494, ' zero': -5.2452674}
{' even': -0.09082823, ' odd': -3.7781963, ' ': -4.1006603, ':': -4.184287, ' Even': -5.108005}
{' Odd': -5.0394535, ' 1': -5.9787216, ' odd': -0.0717724, ' 0': -5.599017, ' even': -3.1131942}
{' odd': -0.7751718, ' even': -1.5237784, ' 0': -2.1686225, ' 1': -2.6377723, ':': -2.8145995}
{'\n': -4.2854595, ' 1': -3.6981716, ' odd': -3.5774043, ' 0': -2.6214325, ' even': -0.20567541}
{' Odd': -4.3247404, ' 1': -4.888622, ' odd': -0.04854678, ' 0': -5.551399, ' even': -4.7188106}
{' even': -0.17685935, ' 0': -2.3174472, ' odd': -4.4333806, '\n': -4.443365, ' ': -4.5636945}
{' Odd': -4.845894, ':': -5.040518, ' odd': -0.15116309, ' 0': -5.3070936, ' even': -2.2765226}
{':': -5.4151735, ' Even': -4.995265, ' odd': -2.4046986, ' 0': -3.883684, ' even': -0.162592}
{' odd': -0.5114995, ' even': -1.0710251, ' 0': -4.879945, ' an': -5.245075, ' not': -5.2462764}
{' ': -3.9136672, ':': -4.9229827, ' odd': -2.6774526, ' 0': -4.967312, ' even': -0.14661172}
{' Odd': -5.2697425, ' 1': -4.7892356, ' odd': -0.18739381, ' 0': -4.3795714, ' even': -2.1024234}
