{' Odd': -5.4475884, ':': -6.211091, ' 1': -7.2180753, ' odd': -0.51380754, ' even': -0.93456495}
{':': -7.1436877, ' Even': -7.5467362, ' EVEN': -8.279245, ' 0': -6.9757004, ' even': -0.0030304396}
{'\n': -5.8503113, ' ': -5.0252156, ':': -5.0942836, ' 1': -2.5949266, ' odd': -0.10127532}
{' ': -8.315048, ':': -6.2788134, ' Even': -6.091995, ' 0': -7.1247497, ' even': -0.0059613707}
{' odd': -0.03756041, ' 1': -3.8393202, ':': -5.1347923, ' Odd': -5.2149305, ' even': -5.941079}
{' even': -0.0043622223, ' odd': -6.646513, ' 0': -7.1359787, ':': -7.328806, ' Even': -7.3339257}
{' Odd': -6.62053, ' ': -8.004356, ' 1': -3.3954253, ' odd': -0.038625546, ' even': -6.444071}
{' even': -0.04494157, ' ': -4.0042744, ':': -4.2987857, '\n': -4.9042077, ' an': -7.369585}
{' odd': -0.05084427, ' 1': -3.38468, ' Odd': -5.0127773, ' even': -5.066204, ':': -6.9168653}
{' Odd': -4.3174543, ':': -5.7255907, ' 1': -6.16345, ' odd': -0.107405536, ' even': -2.5219886}
{':': -6.314695, ' Even': -7.1727085, ' odd': -8.00075, ' 0': -6.905437, ' even': -0.004700223}
{' odd': -0.04386602, ' 1': -3.9770858, ' Odd': -3.9773774, ' even': -6.019621, ':': -7.049649}
{' even': -0.004990292, ' 0': -6.3962336, ' Even': -6.5373197, ':': -7.312845, ' EVEN': -8.323164}
{' odd': -0.056373734, ' even': -3.4372463, ' 1': -4.2379713, ' Odd': -5.3860655, ':': -6.309561}
{' ': -8.146452, ':': -8.078167, ' Even': -6.298865, ' EVEN': -8.511147, ' even': -0.0032424626}
{' Odd': -5.362342, ' ': -8.214105, ' 1': -5.154996, ' odd': -0.013367887, ' even': -6.458814}
{' even': -0.012244041, ':': -4.8810678, ' Even': -6.2166924, ' ': -7.1278453, '\n': -7.429252}
{' Odd': -5.739023, ' 1': -2.2620106, ' one': -7.3025565, ' odd': -0.121349454, ' even': -5.4054575}
{' Odd': -2.9622312, ':': -3.304957, ' 1': -5.164168, ' odd': -0.4010816, ' even': -1.5056138}
{':': -5.4242496, ' Even': -7.284299, ' odd': -7.2229652, ' 0': -6.1273518, ' even': -0.010219903}
{' odd': -0.0373077, ' 1': -4.1936393, ' Odd': -4.388052, ' even': -5.1770697, ':': -6.793405}
{':': -6.7139406, ' Even': -5.9872093, ' odd': -6.7163877, ' 0': -4.746296, ' even': -0.016364502}
{' Odd': -5.3988876, ':': -5.47466, ' 1': -4.614179, ' odd': -0.050750703, ' even': -3.6272771}
{' even': -0.015505175, ':': -5.0698285, ' odd': -5.694797, ' Even': -6.4383907, ' 0': -6.8461313}
{' Odd': -6.757437, ':': -8.819366, ' 1': -6.6758323, ' odd': -0.006349757, ' even': -5.706676}
