{' Odd': -3.8927994, ':': -2.7249298, ' odd': -1.0518513, ' 0': -3.9049375, ' even': -0.8212777}
{':': -3.845517, ' 1': -4.2983246, ' odd': -2.8424404, ' 0': -2.917675, ' even': -0.21648602}
{' odd': -0.0370514, ' Odd': -3.5391665, ':': -6.4583917, ' ': -6.5468054, ' even': -7.518017}
{':': -3.3185284, ' Even': -3.586202, ' odd': -3.928625, ' 0': -4.4568796, ' even': -0.14726193}
{' odd': -0.19177946, ' even': -2.5917218, ' Odd': -3.1394491, ':': -3.7356207, ' ': -4.6951876}
{' ': -4.9702187, ':': -3.8468714, ' Even': -3.450266, ' odd': -4.1274805, ' even': -0.1255236}
{' odd': -0.09551214, ' Odd': -2.9665124, ' even': -4.0021214, ':': -4.9254203, ' ': -5.245241}
{' even': -0.14540558, ':': -3.1567314, ' ': -4.0579205, ' 0': -4.072786, ' Even': -4.2209907}
{' Odd': -3.7736454, ' ': -5.7454085, ':': -5.107032, ' odd': -0.07302018, ' even': -3.7310753}
{' even': -0.6508328, ' odd': -1.2520206, ' 0': -3.0085635, ' 1': -3.3723705, ':': -3.6888547}
{' ': -6.274872, ':': -5.7310433, ' Even': -3.4598186, ' odd': -6.11789, ' even': -0.048198704}
{' Odd': -3.3547175, ' ': -5.3413796, ' odd': -0.086522475, ' 0': -5.6014996, ' even': -4.018052}
{' even': -0.016318033, ' odd': -5.546245, ' Even': -5.6816053, ':': -5.8131676, ' ': -6.844834}
{' Odd': -3.156421, ':': -4.4405556, ' Even': -4.651594, ' odd': -0.328175, ' even': -1.6724302}
{' even': -0.19826211, ' odd': -2.6487577, ' 0': -3.5978422, ' Even': -4.005278, ':': -4.223427}
{'\n': -3.8057985, ' Odd': -2.852397, ':': -3.0994225, ' odd': -0.27741075, ' even': -2.715418}
{' -->': -4.2504396, ':': -2.9611647, ' Even': -4.0239115, ' ->': -3.4794111, ' even': -0.17476109}
{'\n': -5.0728583, ' Odd': -3.473403, ':': -4.654611, ' odd': -0.10002424, ' even': -3.5794468}
{' even': -0.30263457, ' odd': -1.7493985, ' 0': -3.7360795, ':': -4.2975044, ' Even': -4.5774193}
{':': -3.2773933, ' Even': -3.4196167, ' odd': -3.4352562, ' 0': -3.7743778, ' even': -0.28042898}
{' Odd': -4.4130025, ' 1': -6.504642, ' odd': -0.028406862, ' neither': -6.499854, ' even': -5.021789}
{' ': -5.0274506, ':': -4.0534525, ' Even': -3.7739975, ' 0': -5.2302456, ' even': -0.086952485}
{' Odd': -4.416132, ' ': -4.88554, ':': -4.6307936, ' odd': -0.67740846, ' even': -0.8230289}
{' ': -5.547439, ':': -5.4191775, ' Even': -4.1785874, ' odd': -6.607965, ' even': -0.03232368}
{' Odd': -3.761972, ' ': -5.4042993, ':': -4.611156, ' odd': -0.09372279, ' even': -3.2708514}
{' -->': -4.1025987, ':': -2.8258889, ' Even': -3.8178866, ' odd': -2.0965302, ' even': -0.38849857}
{' odd': -0.32610083, ' even': -2.1237433, ' Odd': -3.257501, ' 1': -3.414345, ':': -3.5555353}
{':': -2.7457447, ' 1': -2.543071, ' odd': -2.0650103, ' 0': -1.7329036, ' even': -0.86638856}
{':': -3.244287, ' Even': -3.0946095, ' odd': -2.2261395, ' Right': -3.7397408, ' even': -0.48092988}
{' odd': -0.10496595, ' 1': -3.6753736, ' Odd': -4.0479074, ' even': -4.183149, ' 0': -4.693176}
{' ': -6.5076327, ':': -6.0697365, ' Even': -6.1137486, ' odd': -5.6986246, ' even': -0.016424304}
{' odd': -0.16660021, ' even': -2.032564, ' Odd': -4.7980795, ' -->': -5.6122675, ' ': -5.8349166}
{':': -5.4111524, ' an': -6.365477, ' Even': -4.9254775, ' odd': -4.7086873, ' even': -0.028612742}
{' Odd': -3.61602, ' ': -5.057228, ':': -4.64609, ' odd': -0.29815698, ' even': -1.6336452}
{' even': -0.06522015, ' Even': -3.4106262, ':': -4.4617124, ' ': -5.1199565, '\n': -5.8420734}
{' Odd': -4.6815534, ':': -5.332666, ' an': -6.1680193, ' odd': -0.13609742, ' even': -2.2696984}
{' Odd': -3.8345487, ':': -3.5660925, ' Even': -3.7127044, ' odd': -1.1771318, ' even': -0.6208239}
{':': -4.4415603, ' 1': -5.406813, ' odd': -5.2816944, ' 0': -3.8025212, ' even': -0.07477171}
{' odd': -0.15532942, ' even': -2.8809247, ' Odd': -3.5542448, ':': -4.533465, ' 1': -4.579631}
{':': -4.4773903, ' odd': -3.5662448, ' 0': -3.244557, ' zero': -4.8731112, ' even': -0.13952142}
{' odd': -0.33232993, ' even': -2.0111942, ' Odd': -3.1792357, ':': -3.8589525, ' O': -4.3642817}
{':': -4.2723823, ' Even': -3.943783, ' odd': -2.749605, ' 0': -4.824612, ' even': -0.14418292}
{' Odd': -3.8797076, ' ': -5.1682267, ':': -4.5505137, ' odd': -0.21670571, ' even': -2.0052931}
{' even': -0.034303077, ' ': -5.015752, ' an': -5.2323923, ' Even': -5.2359533, ' odd': -5.7047796}
{' Odd': -3.933527, ' ': -5.9306207, ':': -4.8666973, ' odd': -0.11233156, ' even': -2.8189356}
{' even': -0.9338116, ' 0': -1.5105165, ' odd': -1.8802867, ' 1': -2.4505317, ':': -3.1497643}
{' even': -0.090269476, ' 0': -3.8948052, ':': -4.4215093, ' Even': -4.5154753, ' odd': -4.701392}
{' odd': -0.24962069, ' Odd': -2.4231064, ' even': -2.6042492, ':': -3.9023497, ' ': -5.032476}
{' Even': -3.5893257, ' EVEN': -4.5670295, ' odd': -2.7298973, ' 0': -5.1671433, ' even': -0.14843826}
{' Odd': -4.8524942, ' 1': -4.2567916, ' odd': -0.07987528, ' 0': -5.0666776, ' even': -3.2331383}
{' ': -5.493656, ':': -4.5875993, ' an': -5.956388, ' Even': -4.119319, ' even': -0.048741214}
{' -->': -5.002836, ' Odd': -2.8836756, ':': -5.0037723, ' odd': -0.15285139, ' even': -3.0891027}
{' ': -5.1813374, ':': -3.8236744, ' an': -5.9746194, ' Even': -4.612758, ' even': -0.051892653}
{'\n': -5.186712, ' Odd': -4.154183, ':': -4.466494, ' odd': -0.07727132, ' even': -3.5821207}
{':': -3.1870775, ' 1': -3.723838, ' odd': -1.3568853, ' 0': -2.8321776, ' even': -0.6650393}
{' even': -0.0134396525, ' Even': -5.284892, ':': -6.3755226, ' 0': -6.594437, ' odd': -6.8100963}
{' odd': -0.044387486, ' Odd': -3.8985426, ' even': -5.001676, ':': -5.6851063, ' ': -6.11111}
{' ': -6.231647, ':': -6.5761395, ' Even': -5.553236, ' odd': -5.2025685, ' even': -0.02158516}
{' odd': -0.12608005, ' even': -3.0159466, ' Odd': -3.0294, ':': -4.8844414, ' ': -6.185811}
{' even': -0.38077042, ' 0': -2.2598233, ' odd': -2.8109844, ' Even': -3.3597617, ':': -3.5869565}
{' Odd': -2.7070634, ' ': -6.0696936, ' Even': -5.4494853, ' odd': -0.19432253, ' even': -2.3736963}
{' even': -0.13372956, ':': -3.416267, ' ': -3.7102752, ' Even': -4.185742, ' -->': -4.1944833}
{'\n': -5.8305078, ' Odd': -4.0912747, ':': -6.0418296, ' odd': -0.040541556, ' even': -4.4416547}
{':': -3.4178412, ' 1': -2.2986987, ' odd': -1.3712486, ' 0': -1.438267, ' even': -1.6598295}
{' even': -0.34118006, ' odd': -2.3761466, ' 0': -3.2046015, ' Even': -3.4007921, ':': -3.4372027}
{'\n': -6.347701, ' Odd': -4.017965, ':': -5.851767, ' odd': -0.037509415, ' even': -4.991208}
{'\n': -5.9605265, ' ': -5.4853206, ':': -4.383422, ' Even': -3.0162742, ' even': -0.08415956}
{' odd': -0.14865449, ' even': -2.201838, ' Odd': -4.662601, ' ': -5.1595397, ':': -5.6748967}
{':': -4.0540695, ' Even': -3.742671, ' odd': -3.1446753, ' 0': -4.588661, ' even': -0.13348304}
