{' Odd': -5.348096, ' 1': -5.963485, ' "': -5.626325, ' odd': -0.31360403, ' even': -1.3776909}
{':': -6.8309703, ' Even': -6.22956, ' "': -6.9460826, ' odd': -5.3884835, ' even': -0.01109283}
{' odd': -0.020636586, ' even': -4.5233097, ' Odd': -5.079155, ' 1': -6.1796327, ' "': -8.324413}
{' even': -0.0027318543, ' Even': -6.5223637, ' "': -8.166888, ' odd': -8.376551, ' EVEN': -8.668214}
{' odd': -0.1044638, ' even': -2.5792599, ' 1': -4.201337, ' Odd': -5.1766634, ' ': -7.586223}
{' even': -0.002732332, ' Even': -6.987966, ' odd': -7.1033626, ' an': -8.326684, ' ': -8.487956}
{' Odd': -6.1955233, ' an': -8.283118, ' 1': -6.3171883, ' odd': -0.013429201, ' even': -4.7736626}
{':': -6.954868, ' Even': -6.1368747, ' EVEN': -7.5875297, ' odd': -7.5325313, ' even': -0.0052838004}
{' Odd': -4.9761486, ' an': -8.410885, ' 1': -6.1171036, ' odd': -0.018175414, ' even': -4.841154}
{' Odd': -4.567407, ' 1': -5.180433, ' odd': -0.18084478, ' 0': -5.734783, ' even': -1.968019}
{' even': -0.007074149, ' odd': -5.7773633, ' Even': -6.2842946, ' "': -7.7197123, ' 0': -8.08259}
{' Odd': -4.393472, ':': -7.062461, ' 1': -5.6662073, ' odd': -0.07148887, ' even': -3.017051}
{' ': -8.8062315, ' Even': -6.6242447, ' "': -8.456542, ' odd': -8.529639, ' even': -0.0024719555}
{' Odd': -5.581303, ' ': -8.075007, ' 1': -4.393073, ' odd': -0.06302945, ' even': -3.1405075}
{' even': -0.0032968828, ' Even': -6.489719, ' odd': -7.469043, ' EVEN': -7.8670573, ':': -8.434979}
{' Odd': -4.947155, ' an': -7.6471624, ' 1': -6.735653, ' odd': -0.01665682, ' even': -5.044216}
{' even': -0.0052597127, ' Even': -6.255837, ':': -6.7569957, ' odd': -7.4856057, ' EVEN': -7.796256}
{' odd': -0.025101874, ' Odd': -4.41064, ' even': -4.7997656, ' 1': -5.67828, ' ': -8.398775}
{' odd': -0.31939483, ' even': -1.4193286, ' Odd': -4.566035, ':': -5.2947, ' 0': -5.4313035}
{' an': -7.4957128, ' Even': -6.421547, ' "': -5.9436316, ' odd': -5.7056584, ' even': -0.009906098}
{' odd': -0.022478422, ' even': -4.168604, ' Odd': -5.700812, ' 1': -6.582112, ' "': -7.011913}
{' ': -8.1001215, ' Even': -6.4278083, ' "': -7.97205, ' odd': -7.4904284, ' even': -0.0040595257}
{' odd': -0.06845598, ' even': -2.9161484, ' 1': -5.298629, ' Odd': -5.3776, ' "': -7.4411316}
{' ': -8.26102, ' Even': -7.1467953, ' EVEN': -8.618316, ' odd': -8.079208, ' even': -0.001998888}
{' odd': -0.014834184, ' Odd': -5.196895, ' 1': -5.37765, ' even': -5.6362414, ' ': -8.378606}
{' ': -8.398829, ' an': -8.1178875, ' Even': -7.064855, ' odd': -8.696178, ' even': -0.001869055}
{' Odd': -4.471455, ' 1': -5.644081, ' "': -7.9550138, ' odd': -0.023638412, ' even': -4.975837}
{' Odd': -4.5488434, ' 1': -5.471848, ' odd': -0.26540652, ' 0': -5.4448476, ' even': -1.5891314}
{':': -7.2548423, ' Even': -6.308755, ' EVEN': -7.5056653, ' odd': -5.6717334, ' even': -0.00830786}
{' odd': -0.042175736, ' even': -3.7525344, ' Odd': -4.4530334, ' 1': -5.9866495, ' "': -6.7918415}
{' ': -8.875884, ' Even': -7.4989, ' "': -8.969899, ' odd': -8.778434, ' even': -0.0013959743}
{' Odd': -5.2112007, ' 1': -5.985096, ' "': -6.9546967, ' odd': -0.111564375, ' even': -2.3711166}
{' ': -8.859916, ' an': -8.768432, ' Even': -7.298193, ' odd': -8.1549015, ' even': -0.0015456242}
{' Odd': -5.313127, ' an': -8.41711, ' 1': -6.4039803, ' odd': -0.016159372, ' even': -4.8148937}
{' even': -0.0018552606, ' Even': -7.333724, ' "': -8.229701, ' an': -8.336049, ' ': -8.527081}
{' Odd': -4.1312556, ' 1': -5.3520865, ' "': -7.0130043, ' odd': -0.03862164, ' even': -4.286288}
{' Odd': -4.223785, ':': -4.6617765, ' 1': -5.7831197, ' odd': -0.37772527, ' even': -1.2916123}
{':': -7.61769, ' Even': -6.271593, ' "': -6.5378556, ' odd': -5.603275, ' even': -0.00961003}
{' odd': -0.030032717, ' even': -3.8036911, ' Odd': -5.6835575, ' 1': -6.3889136, ' "': -7.252843}
{' ': -9.148038, ' Even': -7.1596212, ' EVEN': -9.100815, ' odd': -7.805977, ' even': -0.0017464053}
{' Odd': -5.1357284, ' 1': -4.9580474, ' "': -6.574967, ' odd': -0.11017577, ' even': -2.445688}
{' even': -0.0012769628, ' Even': -7.942688, ' odd': -8.208979, ' ': -8.706001, ' an': -8.716926}
{' odd': -0.012790441, ' even': -5.4302516, ' 1': -5.542568, ' Odd': -5.6247, ' ': -8.560665}
{':': -7.228405, ' Even': -6.512762, ' EVEN': -8.043776, ' odd': -7.725786, ' even': -0.0039787963}
{' Odd': -4.0526557, ' an': -6.5230217, ' "': -6.39343, ' odd': -0.03845971, ' even': -4.2509613}
{' odd': -0.22933964, ' even': -1.7309321, ' Odd': -4.632093, ' 1': -5.1990423, ' 0': -5.2578993}
{':': -7.874894, ' Even': -6.545127, ' EVEN': -8.159395, ' odd': -5.915718, ' even': -0.0059962105}
{' Odd': -4.501404, ':': -8.118802, ' 1': -5.4967327, ' odd': -0.044156466, ' even': -3.6551523}
{':': -8.538844, ' Even': -6.0591435, ' EVEN': -7.6869698, ' odd': -8.208536, ' even': -0.0040013576}
{' Odd': -5.6873837, ' ': -8.071844, ' 1': -4.9494877, ' odd': -0.046131495, ' even': -3.4029639}
{' even': -0.0026497957, ' Even': -6.75877, ' an': -7.7459702, ' odd': -8.1538105, ' "': -8.581406}
{' odd': -0.012751926, ' even': -5.0760736, ' 1': -5.7666903, ' Odd': -6.141146, ' an': -7.990217}
{' ': -8.222776, ' an': -8.03366, ' Even': -7.0722833, ' odd': -7.188708, ' even': -0.0026729843}
{' odd': -0.021546425, ' even': -4.224948, ' Odd': -5.6044135, ' 1': -6.479094, ' an': -7.5787225}
{' Odd': -4.386513, ':': -5.494649, ' "': -5.630232, ' odd': -0.27250096, ' even': -1.5818176}
{' an': -8.68142, ' Even': -7.0888085, ' "': -7.4807444, ' odd': -6.1362624, ' even': -0.0044813612}
{' Odd': -4.896489, ' an': -7.2434063, ' "': -6.404264, ' odd': -0.027718212, ' even': -4.1611767}
{' ': -8.337662, ' Even': -6.35836, ' EVEN': -8.163171, ' odd': -7.8808956, ' even': -0.0034806712}
{' odd': -0.11286116, ' even': -2.479999, ' 1': -4.2101007, ' Odd': -5.215229, ' ': -7.676182}
{':': -8.5999775, ' Even': -6.510711, ' EVEN': -7.8728304, ' odd': -7.4355335, ' even': -0.003214658}
{' Odd': -5.6842346, ' an': -8.298779, ' 1': -7.3978906, ' odd': -0.014654469, ' even': -4.6397038}
{':': -7.4257436, ' an': -6.9642096, ' Even': -6.6936817, ' odd': -6.974346, ' even': -0.0052134553}
{' Odd': -4.258979, ' 1': -5.575634, ' "': -7.420655, ' odd': -0.036385752, ' even': -4.1745014}
{' odd': -0.17026532, ' even': -2.0918496, ' Odd': -4.0757713, ' "': -5.4268847, ' 0': -5.9357643}
{' even': -0.010692177, ' odd': -5.1076007, ' Even': -6.610285, ' "': -7.404006, ' ': -7.755346}
{' odd': -0.043790918, ' even': -3.532257, ' Odd': -4.634327, ' 1': -6.19432, ' ': -8.081007}
{' Even': -6.810346, ' EVEN': -8.2406, ' odd': -7.733735, ' 0': -8.244697, ' even': -0.0026419666}
{' odd': -0.06725941, ' even': -2.9764102, ' Odd': -4.9443207, ' 1': -5.436238, ' "': -7.1793666}
{' even': -0.0012108997, ' Even': -8.075797, ' odd': -8.148745, ' ': -8.82236, ' an': -8.918032}
{' Odd': -5.653655, ' an': -7.853657, ' 1': -7.1145134, ' odd': -0.0123051675, ' even': -5.0543528}
{' ': -7.9590592, ' an': -8.058253, ' Even': -7.169521, ' odd': -7.530067, ' even': -0.002486178}
{' odd': -0.03200755, ' Odd': -4.266865, ' even': -4.423746, ' "': -6.309188, ' an': -6.723628}
{' Odd': -4.9020953, ' "': -5.7161527, ' odd': -0.23934886, ' 0': -5.847606, ' even': -1.6575712}
{' even': -0.009779573, ' odd': -5.5377297, ' Even': -6.158306, ':': -7.065728, ' 0': -7.3078313}
{' Odd': -5.013861, ' 1': -6.1093774, ' "': -7.7448363, ' odd': -0.024365112, ' even': -4.3199987}
{' ': -8.794038, ' Even': -7.4527183, ' "': -8.945247, ' odd': -8.866946, ' even': -0.0014286253}
{' Odd': -5.2888927, ' 1': -4.8870006, ' odd': -0.13517082, ' 0': -7.9361033, ' even': -2.1919563}
{' ': -9.027557, ' an': -8.435135, ' Even': -7.790794, ' odd': -7.586065, ' even': -0.0016190531}
{' Odd': -5.3452954, ' ': -8.148361, ' 1': -5.640236, ' odd': -0.025118621, ' even': -4.2011876}
{' even': -0.004511778, ' Even': -6.466711, ' odd': -7.1236253, ':': -7.230189, ' ': -7.944494}
{' Odd': -3.9053688, ' 1': -5.9598503, ' "': -7.6694427, ' odd': -0.040130977, ' even': -4.253088}
{' odd': -0.11058259, ' even': -2.4740527, ' Odd': -4.805414, ' 1': -5.4719467, ' 0': -6.096832}
{' even': -0.005333236, ' odd': -5.9494767, ' Even': -6.9917393, ' "': -7.567755, ' an': -8.189573}
{' Odd': -5.799513, ' 1': -7.007514, 'odd': -8.503569, ' odd': -0.020442745, ' even': -4.1816154}
{':': -8.478073, ' Even': -6.025467, ' EVEN': -7.674093, ' odd': -8.342349, ' even': -0.004087657}
{' Odd': -5.960268, ' an': -7.862234, ' 1': -4.1065345, ' odd': -0.08532098, ' even': -2.8086598}
{' an': -8.177543, ' Even': -6.728738, ' EVEN': -8.237762, ' odd': -7.15061, ' even': -0.0034873085}
{' Odd': -5.178131, ' an': -7.7696757, ' 1': -6.565451, ' odd': -0.017200295, ' even': -4.775984}
{':': -7.4953256, ' Even': -6.441933, ' EVEN': -8.038299, ' odd': -7.7096257, ' even': -0.0037107382}
{' Odd': -4.267464, ' ': -7.7562447, ' 1': -4.664839, ' odd': -0.052281152, ' even': -3.6682174}
{' Odd': -4.5919394, ':': -5.256534, ' odd': -0.3689039, ' 0': -5.1974463, ' even': -1.2912556}
{' Even': -6.809785, ' "': -8.988507, ' EVEN': -8.697456, ' odd': -6.534158, ' even': -0.0034581213}
{' Odd': -6.2514243, ' 1': -6.318401, ' "': -7.618726, ' odd': -0.043735493, ' even': -3.2906322}
