{':': -4.013479, ' 1': -3.0032432, ' odd': -0.8996038, ' 0': -2.3386698, ' even': -1.0329771}
{':': -4.562689, ' Even': -4.381307, ' odd': -5.1331816, ' 0': -4.3774815, ' even': -0.05962843}
{' Odd': -2.8866777, ':': -3.6934347, ' odd': -0.4526796, ' 0': -4.3422823, ' even': -1.6225402}
{':': -3.9510186, ' Even': -3.8993587, ' EVEN': -4.1368713, ' 0': -2.326861, ' even': -0.22466399}
{' odd': -0.5898945, ' even': -1.0730029, ' 0': -3.5907772, ' Odd': -3.8181038, ' ': -4.489911}
{':': -4.909591, ' Even': -4.226721, ' odd': -3.4109228, ' 0': -3.8508413, ' even': -0.10419168}
{' Odd': -3.358621, ' 1': -5.304063, ' odd': -0.22620606, ' 0': -4.648616, ' even': -2.0445387}
{':': -5.062782, ' Even': -3.901241, ' odd': -3.180026, ' 0': -3.7317276, ' even': -0.13536365}
{' Odd': -3.740327, ' 1': -5.394044, ' odd': -0.19356953, ' 0': -4.9824576, ' even': -2.0706143}
{' odd': -0.9355758, ' even': -0.9448789, ' 0': -2.4796603, ' 1': -3.4492936, ' Odd': -3.676657}
{':': -3.8559132, ' Even': -3.7892995, ' EVEN': -4.6970444, ' 0': -3.5862901, ' even': -0.10831151}
{' odd': -0.5098919, ' even': -1.2224699, ' Odd': -3.4762747, ' right': -4.48329, ':': -4.5376697}
{' even': -0.6778735, ' 0': -0.95180213, ' zero': -4.010744, ' odd': -4.176398, ' Even': -4.3736997}
{' odd': -0.6336468, ' even': -1.0352705, ' Odd': -3.3452852, ' 0': -3.3654811, ' 1': -4.5863996}
{':': -4.088065, ' Even': -3.866746, ' odd': -2.4026015, ' 0': -4.0110273, ' even': -0.20407699}
{' odd': -0.45433322, ' even': -1.3045768, ' Odd': -2.9730308, ':': -4.433021, ' Even': -5.1501837}
{' even': -0.10033732, ' odd': -3.3192472, ' 0': -3.878108, ' Even': -4.679758, ':': -5.2528944}
{' odd': -0.5459983, ' even': -1.0219524, ' Odd': -3.5595844, ' Even': -5.1890664, ':': -5.192309}
{' odd': -0.9298143, ' even': -1.0632552, ' 0': -2.2040386, ' 1': -3.0471942, ':': -3.8551712}
{':': -3.1610594, ' Even': -4.0308495, ' odd': -3.7832522, ' 0': -3.126096, ' even': -0.19893393}
{' Odd': -3.276387, ':': -4.0275984, ' odd': -0.42590147, ' 0': -3.931646, ' even': -1.5797586}
{':': -4.555734, ' odd': -4.6542506, ' 0': -0.5614707, ' zero': -4.210693, ' even': -1.0397203}
{' Odd': -3.521965, ' 1': -4.692314, ' odd': -0.37356767, ' 0': -4.407468, ' even': -1.4298754}
{' even': -0.07387198, ' odd': -3.515673, ' Even': -4.2509613, ' 0': -4.882286, ':': -5.736597}
{' odd': -0.70520496, ' even': -0.9231874, ' Odd': -2.919571, ' Even': -4.600459, ' 0': -4.9477935}
{' even': -0.13021007, ' 0': -3.1519527, ' odd': -3.2989511, ' ': -4.877654, ' Even': -5.1576347}
{' odd': -0.47204039, ' even': -1.1570313, ' Odd': -3.582824, ':': -5.202115, ' Even': -5.4879875}
{' Odd': -3.8063989, ' 1': -3.0643363, ' odd': -1.0581328, ' 0': -2.1936202, ' even': -0.9342285}
{':': -3.2904687, ' Even': -3.920789, ' odd': -4.1672163, ' 0': -3.4318972, ' even': -0.15851615}
{' Odd': -3.218384, ' 1': -4.495941, ' odd': -0.26796365, ' 0': -3.8157237, ' even': -2.0590413}
{':': -4.454181, ' Even': -4.29989, ' odd': -4.1354313, ' 0': -2.0821917, ' even': -0.25107133}
{' Odd': -2.9280648, ' 1': -3.551314, ' odd': -0.33788952, ' 0': -2.7476022, ' even': -2.1721761}
{' even': -0.07465199, ' odd': -3.3097067, ' Even': -4.594693, ':': -5.1146116, ' ': -5.5334435}
{' odd': -0.76783365, ' even': -0.774227, ' Odd': -3.5034473, ':': -4.293651, ' Even': -4.914771}
{':': -4.384755, ' Even': -3.5284178, ' odd': -2.641551, ' 0': -4.310273, ' even': -0.18776806}
{' Odd': -3.6947088, ' 1': -5.036487, ' odd': -0.18785006, ' 0': -4.7170677, ' even': -2.1801891}
{' Odd': -3.6072648, ' 1': -3.607198, ' odd': -0.8271586, ' 0': -2.671207, ' even': -1.0673519}
{':': -4.043586, ' Even': -4.001423, ' odd': -3.939498, ' 0': -4.774811, ' even': -0.09052026}
{' odd': -0.29908594, ' even': -1.9838517, ' 0': -3.31516, ' Odd': -3.340931, ' 1': -4.093136}
{' even': -0.25953066, ' 0': -1.789414, ':': -4.5766196, ' Even': -4.678492, ' zero': -4.9261622}
{' odd': -0.6716699, ' even': -1.0126724, ' Odd': -3.0282524, ' 0': -3.3526351, ' Even': -4.3995595}
{' even': -0.10507016, ' odd': -3.2930954, ' 0': -3.8761501, ' Even': -4.30029, ':': -5.1950436}
{' Odd': -3.5853815, ' Even': -5.1787434, ' odd': -0.640812, ' 0': -6.0038543, ' even': -0.86919796}
{' ': -4.02465, ':': -4.4754457, ' odd': -2.9425957, ' 0': -3.818395, ' even': -0.14218271}
{' Odd': -3.5341089, ' 1': -5.4365277, ' odd': -0.33028767, ' 0': -4.852588, ' even': -1.5228211}
{' odd': -0.81039387, ' even': -1.3195024, ' 0': -2.0733323, ' 1': -2.690844, ' Odd': -3.743957}
{' even': -0.13410428, ' 0': -3.1881392, ':': -3.6132655, ' Even': -3.8916924, ' EVEN': -4.5049186}
{' Odd': -3.4610095, ':': -4.7340517, ' odd': -0.34331465, ' even': -1.599709, ' right': -4.978562}
{':': -4.407905, ' Even': -4.2262807, ' odd': -4.353523, ' 0': -2.8417668, ' even': -0.14939275}
{' Odd': -3.3923817, ' 1': -4.892562, ' odd': -0.41620716, ' 0': -4.2116466, ' even': -1.3514785}
{' even': -0.19890602, ' odd': -2.7206366, ' 0': -3.2568302, ' Even': -3.7381468, ':': -4.403755}
{' odd': -0.4318523, ' even': -1.224309, ' Odd': -3.6387672, ':': -4.8117037, ' Even': -5.7452984}
{' ': -4.463549, ' Even': -4.972502, ' odd': -3.4477649, ' 0': -4.548679, ' even': -0.083981276}
{' Odd': -4.005787, ' 1': -6.277318, ' odd': -0.110369645, ' 0': -5.7152934, ' even': -2.6294756}
{':': -3.3945577, ' 1': -3.5724237, ' odd': -0.98054385, ' 0': -2.9194505, ' even': -0.8428343}
{':': -4.3624845, ' Even': -4.170728, ' EVEN': -4.9934716, ' 0': -2.5610054, ' even': -0.14045398}
{' odd': -0.5410103, ' even': -1.4584059, ' Odd': -2.983129, ':': -3.7194064, ' 0': -3.9618638}
{' even': -0.34592548, ' 0': -1.7031966, ':': -4.107464, ' odd': -4.219495, ' zero': -4.3525667}
{' Odd': -2.6326864, ' Even': -4.29639, ' odd': -0.561878, ' 0': -3.3678777, ' even': -1.298147}
{' Odd': -5.362184, ' Even': -4.5174394, ' odd': -2.8868046, ' 0': -4.8637004, ' even': -0.10153418}
{' Odd': -3.2304041, ' Even': -5.276299, ' odd': -0.46011877, ' 0': -4.372147, ' even': -1.2747093}
{':': -4.9266453, ' Even': -4.317783, ' odd': -3.0454452, ' 0': -3.6050785, ' even': -0.13569736}
{' odd': -0.16809516, ' even': -2.1408932, ' Odd': -4.1330094, ' 0': -5.5321794, ' 1': -5.6201425}
{' odd': -0.8951614, ' even': -0.9387662, ' 0': -2.374069, ' 1': -3.3081994, ' Odd': -4.169885}
{':': -2.792087, ' Even': -3.61564, ' odd': -2.995147, ' 0': -3.4385805, ' even': -0.26002917}
{' odd': -0.44539598, ' even': -1.4314655, ' Odd': -3.3262875, ':': -4.3438363, ' right': -4.3732066}
{' even': -0.33917207, ' 0': -1.7199389, ' odd': -3.6518178, ':': -4.0723157, ' Even': -4.3163285}
{' odd': -0.62833476, ' even': -1.07989, ' Odd': -3.4146955, ':': -3.7217736, ' right': -3.9429872}
{':': -5.51917, ' Even': -4.6047516, ' odd': -3.5353906, ' 0': -4.085021, ' even': -0.0838596}
{' odd': -0.75587684, ' even': -0.7711976, ' Odd': -3.6379967, ' Even': -4.707453, ':': -4.8366537}
{' ': -4.5285354, ' Even': -3.972216, ' odd': -2.7714417, ' 0': -4.3263493, ' even': -0.15397665}
{' odd': -0.12813509, ' even': -2.8444226, ' Odd': -3.3681133, ' 0': -5.086615, ' 1': -5.2265487}
{':': -3.665133, ' 1': -2.528201, ' odd': -0.9597967, ' 0': -1.8348386, ' even': -1.2689645}
{' ': -4.428623, ':': -3.3079293, ' Even': -4.1223297, ' 0': -2.6798577, ' even': -0.21194117}
{' odd': -0.36717212, ' even': -1.6815919, ' Odd': -2.7985218, ' 0': -4.298537, ' Even': -4.738811}
{':': -4.55814, ' Even': -4.4138017, ' odd': -3.849442, ' 0': -3.1331904, ' even': -0.12953416}
{' odd': -0.32284802, ' even': -1.6796997, ' Odd': -3.5356977, ' 0': -3.8648953, ' 1': -3.9735763}
{' even': -0.12987542, ' odd': -2.694959, ' Even': -4.1436796, ':': -5.03356, ' Odd': -5.0620127}
{' odd': -0.30946407, ' even': -1.5160785, ' Odd': -3.8941092, ':': -5.2038198, ' 0': -5.7584147}
{' even': -0.1871219, ' odd': -2.4660542, ' Even': -3.6398292, ' 0': -4.449364, ':': -4.6557627}
{' Odd': -3.1123502, ':': -5.300332, ' odd': -0.27460295, ' 0': -5.651809, ' even': -1.7878885}
{':': -3.028915, ' 1': -2.5060575, ' odd': -1.3440701, ' 0': -1.6071507, ' even': -1.1332194}
{':': -4.3509455, ' Even': -4.387574, ' odd': -4.9126673, ' 0': -3.6064596, ' even': -0.084822044}
{' Odd': -2.6458685, ' Even': -4.4535713, ' odd': -0.4736769, ' 0': -4.057869, ' even': -1.5633194}
{':': -3.6731887, ' Even': -3.7501528, ' odd': -3.594689, ' 0': -1.7257676, ' even': -0.41663504}
{' Odd': -3.5744243, ' 1': -4.375213, ' odd': -0.3609616, ' 0': -3.5306134, ' even': -1.6312089}
{' even': -0.0802436, ' odd': -3.3322558, ' Even': -4.4603868, ' ': -5.2167096, ' 0': -5.2356496}
{' Odd': -2.978619, ' uneven': -4.885427, ' Even': -4.755879, ' odd': -0.6303649, ' even': -1.0147958}
{' even': -0.059361223, ' odd': -3.9057338, ' ': -4.5376506, ' Even': -5.156695, ':': -5.27253}
{' Odd': -3.3602104, ' 1': -5.531047, ' odd': -0.16063233, ' 0': -4.73277, ' even': -2.4336922}
{':': -3.9244459, ' 1': -3.3908584, ' odd': -0.9814556, ' 0': -2.5940273, ' even': -0.8676451}
{':': -4.3399467, ' Even': -4.376032, ' EVEN': -5.377331, ' 0': -3.6271687, ' even': -0.07426858}
{' Odd': -3.0728977, ' 1': -4.01784, ' odd': -0.29116136, ' 0': -3.222115, ' even': -2.18097}
{':': -3.887837, ' Even': -3.4584734, ' odd': -3.0445247, ' 0': -2.1055932, ' even': -0.3579145}
{' odd': -0.5793896, ' even': -1.0246639, ' Odd': -3.8694456, ' 0': -4.2285895, ' ': -4.770849}
{':': -4.6441298, ' Even': -4.011495, ' odd': -2.792267, ' 0': -3.3247988, ' even': -0.17257063}
{' odd': -0.6882952, ' even': -0.9451549, ' Odd': -3.288738, ':': -3.7300327, ' Even': -4.815314}
{':': -4.7829485, ' Even': -4.1825275, ' odd': -3.4694479, ' 0': -3.7959251, ' even': -0.11909587}
{' Odd': -2.858383, ' 1': -4.5366845, ' odd': -0.26306516, ' 0': -3.8647895, ' even': -2.1656168}
{' even': -0.9285575, ' odd': -1.1649572, ' 0': -2.0937712, ' 1': -2.690071, ':': -3.3148022}
{':': -3.9981716, ' Even': -3.9091022, ' EVEN': -4.632578, ' 0': -3.3112295, ' even': -0.11646641}
{' Odd': -3.0451982, ':': -3.744668, ' odd': -0.48907194, ' even': -1.4788532, ' right': -4.1083546}
{':': -4.451804, ' Even': -4.334947, ' EVEN': -4.7956038, ' 0': -2.6827385, ' even': -0.14870948}
{' Odd': -3.2988203, ' Even': -5.0148416, ' odd': -0.454395, ' 0': -4.07254, ' even': -1.2684084}
{' even': -0.09269734, ' odd': -3.515749, ' 0': -4.161401, ' Even': -4.200364, ':': -4.847006}
{' Odd': -3.653589, ':': -4.836543, ' Even': -5.2186713, ' odd': -0.6089914, ' even': -0.93788505}
{' ': -5.0152125, ' Even': -4.841547, ' odd': -3.324258, ' 0': -2.812386, ' even': -0.15831049}
{' odd': -0.17763084, ' even': -2.158193, ' Odd': -3.8641179, ' 0': -4.912912, ' 1': -5.243204}
{' even': -0.9965107, ' odd': -1.0980227, ' 0': -1.9620249, ' 1': -2.8596895, ':': -3.944565}
{' even': -0.1596279, ' 0': -2.861168, ':': -3.6249835, ' Even': -4.241393, ' EVEN': -4.5235596}
{' odd': -0.3500087, ' even': -1.775234, ' Odd': -2.788528, ' 0': -4.5643377, ' Even': -4.872699}
{' even': -0.19872138, ' 0': -2.343865, ':': -4.1020417, ' odd': -4.157863, ' Even': -4.285256}
{' Odd': -2.7805717, ' 1': -3.987995, ' odd': -0.44070327, ' 0': -3.1619165, ' even': -1.5857277}
{':': -4.250776, ' Even': -4.0058427, ' odd': -2.753346, ' 0': -4.015695, ' even': -0.16012229}
{' Odd': -3.8112311, ':': -4.894391, ' odd': -0.8057195, ' 0': -4.8637543, ' even': -0.72485465}
{' Even': -4.241234, ' "': -5.5645657, ' odd': -3.4001627, ' 0': -4.6603103, ' even': -0.08741091}
{' Odd': -3.0425377, ' 1': -5.0136003, ' odd': -0.15339968, ' 0': -4.6019506, ' even': -2.8494568}
{' even': -1.0536374, ' odd': -1.188978, ' 0': -1.756767, ' 1': -2.7230604, ':': -3.413837}
{':': -4.184359, ' Even': -4.2008634, ' EVEN': -4.685801, ' 0': -3.473085, ' even': -0.0885742}
{' Odd': -2.2371807, ' 1': -4.1283126, ' odd': -0.29297173, ' 0': -4.144253, ' even': -2.6169958}
{' even': -0.31259367, ' 0': -1.9228833, ' Even': -3.7518723, ':': -3.8760893, ' odd': -4.2051563}
{' Odd': -3.2609286, ' Even': -4.7271686, ' odd': -0.5753913, ' 0': -4.1699433, ' even': -1.0541091}
{' even': -0.11197689, ' odd': -3.5456991, ' 0': -3.6967392, ' Even': -3.8204448, ':': -4.9907465}
