{' Odd': -5.2571063, ':': -6.1377196, ' 1': -6.0909314, ' odd': -0.12720275, ' even': -2.2342947}
{' an': -8.037386, ' Even': -7.214748, ' "': -8.214661, ' odd': -6.1495314, ' even': -0.0045190253}
{' odd': -0.0058370815, ' Odd': -5.440207, ' 1': -7.6410813, ' even': -7.6612535, 'odd': -9.198988}
{' even': -0.00090647273, ' Even': -7.6829567, ' odd': -9.369443, ' ': -9.418362, ' an': -9.810237}
{' Odd': -5.9027143, ':': -6.3171387, ' 1': -5.777211, ' odd': -0.062567726, ' even': -2.9595518}
{':': -9.520969, ' an': -8.607108, ' Even': -7.7329946, ' EVEN': -9.528289, ' even': -0.0009979339}
{' Odd': -4.890873, ' an': -8.33518, ' 1': -7.246103, ' odd': -0.011591204, ' even': -6.1263}
{' ': -8.697044, ':': -10.25503, ' an': -8.910933, ' Even': -7.990662, ' even': -0.00077451725}
{' Odd': -4.4231167, ' an': -7.7267838, ' 1': -6.361059, ' odd': -0.037143875, ' even': -3.8575215}
{' odd': -0.15679364, ' even': -2.036415, ' Odd': -4.84264, ':': -6.2639623, ' 1': -6.391198}
{'\n': -6.3104753, ' ': -6.2236457, ':': -3.4343941, ' Even': -4.0270114, ' even': -0.05822868}
{' odd': -0.013445511, ' 1': -5.4923053, ' even': -5.5195045, ' Odd': -5.575754, ' an': -8.035124}
{' ': -9.216922, ':': -9.302824, ' Even': -7.165508, ' EVEN': -9.969221, ' even': -0.0011301578}
{' Odd': -4.8275976, ':': -6.9102645, ' 1': -6.5159354, ' odd': -0.030470436, ' even': -3.9804573}
{'\n': -5.938942, ' ': -6.3459005, ':': -4.912093, ' ->': -5.975852, ' even': -0.017977802}
{' odd': -0.016610274, ' Odd': -4.527692, ' even': -5.696672, ' an': -7.6502776, ':': -7.6758704}
{' even': -0.0010046161, ' Even': -7.4988203, ' an': -8.783646, ' odd': -9.17246, ':': -9.758841}
{'\n': -6.3484964, ' Odd': -4.7176685, ' 1': -5.2622867, ' odd': -0.020379782, ' even': -5.964511}
{' odd': -0.26795772, ' even': -1.4933015, ' Odd': -5.42954, ':': -6.03817, ' 1': -6.6417336}
{':': -8.6849375, ' Even': -6.6773396, ' EVEN': -9.48393, ' odd': -7.678661, ' even': -0.002290445}
{' odd': -0.004461784, ' Odd': -5.993479, ' even': -6.5363655, 'odd': -8.754246, ' 1': -8.778587}
{' ': -9.665203, ' an': -9.578247, ' Even': -6.9773307, ' EVEN': -9.734609, ' even': -0.0012871679}
{' Odd': -6.0650377, ' an': -8.032295, ' 1': -5.8388186, ' odd': -0.010474654, ' even': -5.427514}
{' even': -0.0012955237, ' Even': -7.024473, ' ': -9.263115, ':': -9.447636, ' an': -9.716095}
{' Odd': -4.48436, ':': -7.0043173, ' 1': -7.219298, ' odd': -0.014986765, ' even': -7.130756}
{' even': -0.0008751519, ' Even': -8.262694, ' an': -8.489438, ' ': -8.753743, ':': -9.720888}
{' Odd': -3.411895, ':': -7.3628783, ' an': -7.374025, ' odd': -0.04599712, ' even': -4.7697806}
{' Odd': -5.7084365, ' an': -6.706966, ' 1': -6.469491, ' odd': -0.06532271, ' even': -2.9074702}
{' even': -0.0014662266, ' Even': -7.588659, ' odd': -7.822793, ':': -8.3616495, ' ': -9.237124}
{' Odd': -5.2945433, ' an': -7.9066396, ' 1': -7.510549, ' odd': -0.0148517275, ' even': -4.8059664}
{' even': -0.0045204004, ' Even': -5.6045814, ':': -7.842277, ' ': -8.770663, ' EVEN': -9.100157}
{' odd': -0.01580695, ' Odd': -4.8630185, ' even': -5.0423017, ' 1': -7.3215575, ':': -8.256587}
{' even': -0.0017598402, ' Even': -6.7473993, ':': -9.015573, ' EVEN': -9.132302, ' an': -9.2576685}
{' Odd': -6.155863, ' ': -8.234014, ' 1': -7.778164, ' odd': -0.01084015, ' even': -4.9280667}
{' even': -0.005390643, ' Even': -5.6893964, ':': -7.1596313, ' ': -7.7305713, ' an': -8.37677}
{' odd': -0.014121503, ' Odd': -4.6291633, ' even': -6.3235373, ' 1': -6.395193, ' ': -8.375011}
{' odd': -0.22046521, ' even': -1.7806402, ':': -4.4476047, ' Odd': -4.497219, ' ': -6.3706284}
{' ': -8.399002, ':': -6.793877, ' Even': -7.651716, ' odd': -8.131372, ' even': -0.0024272015}
{' odd': -0.03240168, ' Odd': -4.2313247, ' even': -4.8092885, ' 1': -5.086861, ':': -7.0052185}
{' ': -8.639483, ':': -8.330637, ' Even': -5.6440845, ' EVEN': -8.756102, ' even': -0.004340373}
{' Odd': -4.9184713, ':': -8.47976, ' 1': -7.826345, ' odd': -0.009703796, ' even': -6.601321}
{' even': -0.00093260483, ' Even': -7.656203, ' an': -8.882719, ' odd': -9.149488, ' ': -9.855825}
{' Odd': -5.2049603, ' an': -8.529768, ' 1': -7.832228, ' odd': -0.0072068786, ' even': -7.6306977}
{' ': -8.697705, ':': -8.555768, ' an': -8.702962, ' Even': -6.484421, ' even': -0.0023207944}
{' odd': -0.0441797, ' Odd': -3.3911111, ' even': -5.077433, ':': -7.1179767, ' 1': -7.3629127}
{' odd': -0.2972546, ' even': -1.4160824, ' 1': -4.9477787, ' Odd': -5.7664027, ':': -6.3632035}
{' even': -0.0018086247, ' Even': -7.512161, ' odd': -7.545627, ':': -8.425184, ' EVEN': -8.957809}
{' Odd': -4.4450645, ' an': -6.8466034, ' 1': -5.2695584, ' odd': -0.035748288, ' even': -4.213315}
{' ': -9.705408, ':': -9.878817, ' an': -9.601063, ' Even': -7.493378, ' even': -0.0009475791}
{' Odd': -5.4841113, ':': -6.320205, ' 1': -5.2844963, ' odd': -0.023973824, ' even': -4.436947}
{' ': -10.031808, ' an': -9.47239, ' Even': -7.1738877, ' EVEN': -9.500386, ' even': -0.0010904784}
{' Odd': -6.329903, ' an': -8.73663, ' 1': -7.728208, ' odd': -0.004516509, ' even': -6.2763467}
{' ': -8.489194, ':': -8.162203, ' an': -8.585153, ' Even': -6.735646, ' even': -0.0021084258}
{' odd': -0.011700413, ' Odd': -4.7174497, ' even': -6.6935897, ' 1': -8.283976, ' an': -8.2895355}
{'\n': -4.3810697, ' Odd': -2.4935348, ':': -2.568889, ' odd': -0.30050957, ' even': -2.6350985}
{':': -7.4954195, ' 1': -6.995361, ' odd': -6.884172, ' 0': -5.7314663, ' even': -0.0072945333}
{' Odd': -5.4646273, ':': -7.933741, ' 1': -6.2596436, ' odd': -0.01048399, ' even': -5.79528}
{' ': -9.199212, ':': -9.0952, ' Even': -6.9381304, ' EVEN': -9.394107, ' even': -0.0014499346}
{' odd': -0.011793951, ' even': -5.0015035, ' Odd': -5.6036744, ' 1': -7.351663, ' an': -8.3275585}
{' ': -9.803783, ':': -9.527684, ' an': -9.06595, ' Even': -7.7801313, ' even': -0.0008327981}
