{' odd': -0.16390109, ' even': -2.1779258, ' 1': -4.3650184, ' 0': -4.76874, ' Odd': -4.793174}
{' even': -0.07369404, ' 0': -2.9994853, ':': -5.3877454, ' "': -5.4854193, ' odd': -5.8937936}
{' odd': -0.31347394, ' even': -1.557996, ' 1': -4.128854, ' 0': -4.2705584, ' Odd': -4.5108137}
{' Even': -6.264065, ' odd': -6.0500474, ' 0': -3.5280733, ' zero': -6.2876663, ' even': -0.04042915}
{' Odd': -4.4797153, ' 1': -3.9854176, ' odd': -0.16149634, ' 0': -4.988806, ' even': -2.26707}
{' even': -0.005715561, ' odd': -6.3030243, ' Even': -6.8207808, ' 0': -6.907455, ':': -8.00068}
{' Odd': -5.488261, ' 1': -6.0146585, ' "': -7.8912735, ' odd': -0.011931593, ' even': -5.8580294}
{' even': -0.011559969, ' 0': -5.5980086, ':': -6.0715866, ' Even': -6.5008097, ' an': -7.047009}
{' odd': -0.051632777, ' 1': -3.8225744, ' even': -4.6121507, ' Odd': -4.647926, ' "': -6.056221}
{' odd': -0.14572926, ' even': -2.369717, ' Odd': -4.030197, ' 0': -4.8765774, ':': -5.19003}
{' even': -0.029202092, ' 0': -4.6998277, ':': -4.9271274, ' Even': -5.450298, ' EVEN': -5.928566}
{' Odd': -4.5649533, ' 1': -2.7793796, ' odd': -0.14987054, ' 0': -3.9645715, ' even': -3.2233548}
{' even': -0.0325553, ' 0': -3.886143, ' odd': -6.144595, ' zero': -6.2864904, ' Even': -6.3651295}
{' Odd': -4.438462, ':': -5.270262, ' 1': -3.975381, ' odd': -0.099933006, ' even': -2.9683094}
{' an': -6.807576, ' Even': -6.922176, ' odd': -6.834285, ' 0': -5.634841, ' even': -0.008739482}
{' odd': -0.018405426, ' 1': -5.266574, ' Odd': -5.432741, ' even': -5.5143185, ' uneven': -7.125819}
{':': -6.689294, ' an': -6.906151, ' Even': -6.7637258, ' 0': -6.159049, ' even': -0.008537294}
{' Odd': -4.180821, ':': -5.835274, ' 1': -4.6953216, ' odd': -0.05905786, ' even': -3.745729}
{' odd': -0.15742414, ' even': -2.269289, ' 0': -4.284154, ' 1': -4.4242916, ' Odd': -4.9470663}
{':': -4.7704816, ' Even': -5.417457, ' odd': -5.2500234, ' 0': -4.144285, ' even': -0.04360162}
