{' 4': -2.126004, ' 5': -2.2809494, ' 6': -2.2876384, ' 7': -2.4504268, ' 8': -1.6747043}
{'\n': -2.2364783, ' 4': -2.1620724, ' 5': -2.318441, ' 6': -2.4002707, ' 8': -1.6964009}
{' 4': -2.0900314, ' 5': -2.1940658, ' 6': -2.2552078, ' 7': -2.3862436, ' 8': -1.5999477}
{' 4': -2.1014383, ' 5': -2.2515428, ' 6': -2.3273036, ' 7': -2.4131992, ' 8': -1.6580188}
{' 8': -1.6046783, ' 4': -2.1028903, ' 5': -2.2052472, ' 6': -2.2667544, ' 7': -2.3973057}
{' 8': -1.6176023, ' 4': -2.087552, ' 5': -2.1997032, ' 6': -2.2794313, ' 7': -2.389144}
{' 8': -1.6379993, ' 4': -2.089834, ' 5': -2.2147844, ' 6': -2.304674, ' 7': -2.3921258}
{' 4': -2.111793, ' 5': -2.2715704, ' 6': -2.3588262, ' 7': -2.4207025, ' 8': -1.6778778}
{' 4': -2.096442, ' 5': -2.227449, ' 6': -2.276305, ' 7': -2.4015777, ' 8': -1.6297642}
{' 8': -1.6112051, ' 4': -2.0861027, ' 5': -2.188569, ' 6': -2.2592137, ' 7': -2.3692617}
{' 8': -1.6377672, ' 4': -2.1005206, ' 5': -2.2099643, ' 6': -2.259302, ' 7': -2.3903985}
{' 8': -1.6273012, ' 4': -2.082655, ' 5': -2.1984148, ' 6': -2.2675505, ' 7': -2.3807802}
{' 4': -2.1101656, ' 5': -2.227519, ' 6': -2.3044684, ' 7': -2.4139166, ' 8': -1.6643373}
{' 8': -1.6472747, ' 4': -2.095, ' 5': -2.204254, ' 6': -2.2997825, ' 7': -2.3916318}
{' 8': -1.6619749, ' 4': -2.1032677, ' 5': -2.2367373, ' 6': -2.3047829, ' 7': -2.4194307}
{'\n': -2.2235765, ' 4': -2.1476765, ' 5': -2.2972794, ' 6': -2.3684301, ' 8': -1.7190905}
{' 8': -1.6987021, ' 4': -2.1557639, ' 5': -2.2907765, ' 6': -2.3300297, '\n': -2.4266944}
{' 8': -1.6675853, ' 4': -2.1330147, ' 5': -2.258151, ' 6': -2.3267603, ' 7': -2.4288466}
{' 8': -1.6297069, ' 4': -2.1034713, ' 5': -2.213163, ' 6': -2.2402139, ' 7': -2.4063995}
{' 8': -1.6362505, ' 4': -2.1031988, ' 5': -2.214263, ' 6': -2.2686777, ' 7': -2.3930912}
{' 8': -1.6445884, ' 4': -2.1005752, ' 5': -2.2084577, ' 6': -2.2382631, ' 7': -2.405529}
{' 4': -2.0928557, ' 5': -2.2002401, ' 6': -2.248937, ' 7': -2.3889074, ' 8': -1.623335}
{' 4': -2.1058881, ' 5': -2.1913068, ' 6': -2.24077, ' 7': -2.3932483, ' 8': -1.644882}
{' 8': -1.6465622, ' 4': -2.1050804, ' 5': -2.1991184, ' 6': -2.2378182, ' 7': -2.3978088}
{' 8': -1.6781012, ' 4': -2.1207108, ' 5': -2.2352912, ' 6': -2.2878976, ' 7': -2.4309614}
{' 8': -1.6800166, ' 4': -2.0967162, ' 5': -2.2143557, ' 6': -2.297059, ' 7': -2.416898}
{' 3': -2.3907375, ' 4': -2.0896778, ' 5': -2.1923864, ' 6': -2.258929, ' 8': -1.6630915}
{' 8': -1.6797079, ' 4': -2.0858426, ' 5': -2.1884177, ' 6': -2.2643914, ' 7': -2.395103}
{' 8': -1.6990837, ' 4': -2.1374934, ' 5': -2.2645066, ' 6': -2.3280776, '\n': -2.4031606}
{' 8': -1.6934763, ' 4': -2.1217723, ' 5': -2.2440727, ' 6': -2.336763, ' 7': -2.43541}
{'\n': -2.3842971, ' 4': -2.1430805, ' 5': -2.2653673, ' 6': -2.3171632, ' 8': -1.704417}
{'\n': -2.2311847, ' 4': -2.1602263, ' 5': -2.3073716, ' 6': -2.3453412, ' 8': -1.7377955}
{' 8': -1.6943684, ' 4': -2.1779423, ' 5': -2.2865486, ' 6': -2.3116455, '\n': -2.3554869}
{' 8': -1.671532, ' 4': -2.1312308, ' 5': -2.2501721, ' 6': -2.2916837, ' 7': -2.4416957}
