{'\n': -2.1818035, ' 4': -2.3421, ' 6': -2.3980253, ' 7': -2.5073662, ' 8': -1.9333103}
{'\n': -2.29626, ' 4': -2.3684237, ' 6': -2.387421, ' 7': -2.4887908, ' 8': -1.910786}
{' 4': -2.272976, ' 5': -2.4059286, ' 6': -2.3426123, ' 7': -2.440299, ' 8': -1.8695477}
{' 4': -2.3112495, ' 5': -2.435496, ' 6': -2.3258493, ' 7': -2.4496572, ' 8': -1.8536851}
{' 4': -2.297549, ' 5': -2.431609, ' 6': -2.3316038, ' 7': -2.4498806, ' 8': -1.8443458}
{' 4': -2.2991235, ' 5': -2.4120882, ' 6': -2.3095691, ' 8': -1.8045042, ' 9': -2.4238994}
{'\n': -2.3308516, ' 4': -2.2889843, ' 5': -2.4562864, ' 6': -2.3868287, ' 8': -1.890796}
{' 8': -1.8784596, '\n': -2.3046145, ' 4': -2.3430974, ' 6': -2.367603, ' 9': -2.4834287}
{' 8': -1.8846598, '\n': -2.292678, ' 4': -2.3266737, ' 6': -2.3666697, ' 5': -2.475179}
{'\n': -2.3013072, ' 4': -2.3225417, ' 5': -2.46612, ' 6': -2.3758264, ' 8': -1.8597236}
{'\n': -2.2473345, ' 4': -2.3264408, ' 5': -2.4775095, ' 6': -2.3835907, ' 8': -1.8848475}
{'\n': -2.4127028, ' 4': -2.3135247, ' 5': -2.426269, ' 6': -2.3544471, ' 8': -1.8682771}
{'\n': -2.190191, ' 4': -2.3511846, ' 5': -2.4744966, ' 6': -2.4033964, ' 8': -1.8994976}
{'\n': -2.329168, ' 4': -2.3208568, ' 5': -2.4228837, ' 6': -2.377154, ' 8': -1.8704993}
{'\n': -2.0436137, ' 4': -2.3391857, ' 5': -2.5072386, ' 6': -2.4516098, ' 8': -1.9611549}
{' 8': -1.9558983, '\n': -1.9582996, ' 4': -2.3651123, ' 6': -2.4709387, ' 7': -2.5342808}
{'\n': -1.803293, ' 8': -1.9730052, ' 4': -2.4085662, ' 6': -2.4899013, ' 7': -2.5662153}
{'\n': -1.7600259, ' 4': -2.4160929, ' 6': -2.4748678, ' 7': -2.5619, ' 8': -1.9685905}
{'\n': -2.0684774, ' 4': -2.3532016, ' 5': -2.520045, ' 6': -2.441305, ' 8': -1.9644601}
{'\n': -1.9780279, ' 4': -2.3702695, ' 5': -2.5090778, ' 6': -2.4319139, ' 8': -1.9435575}
{'\n': -1.9674226, ' 4': -2.389171, ' 5': -2.5408938, ' 6': -2.4803298, ' 8': -1.9871722}
{' 8': -1.9325315, '\n': -2.1334755, ' 4': -2.358428, ' 6': -2.4210446, ' 5': -2.4950209}
{' 8': -1.9388186, '\n': -2.1704373, ' 4': -2.323915, ' 6': -2.439185, ' 5': -2.4643455}
{'\n': -2.229441, ' 4': -2.34314, ' 5': -2.4532914, ' 6': -2.3788502, ' 8': -1.8957142}
{' 8': -1.9168823, '\n': -1.9863307, ' 4': -2.3559396, ' 6': -2.4230669, ' 5': -2.5040538}
{' 8': -1.9145236, '\n': -2.0021138, ' 4': -2.350225, ' 6': -2.4083345, ' 5': -2.4776835}
{' 8': -1.9212744, '\n': -2.0904078, ' 4': -2.3104377, ' 6': -2.4323306, ' 5': -2.4657366}
{'\n': -2.1554193, ' 4': -2.3198462, ' 5': -2.4591522, ' 6': -2.4280376, ' 8': -1.9296141}
{' 8': -1.9552548, '\n': -2.2441905, ' 4': -2.334552, ' 6': -2.4324515, ' 5': -2.4834092}
{'\n': -1.912738, ' 4': -2.3863864, ' 5': -2.4971354, ' 6': -2.4253907, ' 8': -1.9600917}
{'\n': -2.0778046, ' 4': -2.3536615, ' 5': -2.4901855, ' 6': -2.4416265, ' 8': -1.9727346}
{'\n': -2.0679984, ' 4': -2.384663, ' 5': -2.5226252, ' 6': -2.4102643, ' 8': -1.9299862}
{'\n': -1.753432, ' 8': -1.9604365, ' 4': -2.4539602, ' 6': -2.4642262, ' 7': -2.572252}
{'\n': -1.7378908, ' 8': -2.0113196, ' 4': -2.4387052, ' 6': -2.481407, ' 7': -2.5713708}
