{'2': -2.1589043, '3': -1.6356862, '6': -2.4613793, '7': -1.3597938, '9': -2.3342488}
{'7': -1.2972356, '3': -1.6730635, '2': -2.1266196, '9': -2.3243086, '6': -2.5188353}
{'2': -2.273787, '3': -1.6755012, '6': -2.5711825, '7': -1.2166466, '9': -2.3219836}
{'2': -2.0049791, '3': -1.6187963, '4': -2.5240126, '7': -1.3869828, '9': -2.3274736}
{'7': -1.3329965, '3': -1.626488, '2': -2.1931841, '9': -2.3194869, '6': -2.5299342}
{'7': -1.2854289, '3': -1.6569575, '2': -2.2720277, '9': -2.3880997, '6': -2.588234}
{'2': -2.1706703, '3': -1.6088282, '6': -2.4946697, '7': -1.3518702, '9': -2.3842015}
{'7': -1.3757548, '3': -1.5947604, '2': -2.17069, '9': -2.3409705, '6': -2.4841914}
{'7': -1.2659292, '3': -1.6284019, '2': -2.2460546, '9': -2.3492785, '8': -2.5889218}
{'2': -2.1597695, '3': -1.5635763, '6': -2.5139947, '7': -1.4286942, '9': -2.3624253}
{'7': -1.3218766, '3': -1.6261082, '2': -2.1937618, '9': -2.3679829, '4': -2.5416052}
{'7': -1.3523314, '3': -1.600775, '2': -2.2223742, '9': -2.3649466, '6': -2.4920597}
{'2': -2.186425, '3': -1.613755, '4': -2.5346496, '7': -1.3215986, '9': -2.3718076}
{'7': -1.3430986, '3': -1.6073713, '2': -2.2400427, '9': -2.370366, '6': -2.4731817}
{'2': -2.2468445, '3': -1.6120789, '6': -2.4845593, '7': -1.3325168, '9': -2.3377907}
{'7': -1.3497106, '3': -1.6019152, '2': -2.1949215, '9': -2.418299, '8': -2.5666888}
{'7': -1.2171882, '3': -1.6586535, '2': -2.2831979, '9': -2.3553088, '4': -2.5797808}
{'2': -2.0691257, '3': -1.5701823, '4': -2.517162, '7': -1.4620968, '9': -2.3627849}
{'2': -2.2130353, '3': -1.62635, '4': -2.5034578, '7': -1.2679421, '9': -2.41946}
{'7': -1.3673677, '3': -1.5967759, '2': -2.2015085, '9': -2.3739386, '4': -2.5199}
{'7': -1.3539989, '3': -1.6021678, '2': -2.1594856, '9': -2.376698, '4': -2.5147865}
{'2': -2.1842341, '3': -1.5847392, '6': -2.5138106, '7': -1.3770863, '9': -2.3917234}
{'2': -2.155024, '3': -1.5912939, '4': -2.5135903, '7': -1.3968835, '9': -2.3902764}
{'7': -1.4285218, '3': -1.5757309, '2': -2.1379485, '9': -2.4079378, '4': -2.499725}
{'2': -2.165424, '3': -1.5947645, '4': -2.5370386, '7': -1.3417985, '9': -2.3693635}
{'2': -2.2127252, '3': -1.5839369, '6': -2.5156806, '7': -1.3594344, '9': -2.3859637}
{'2': -2.208976, '3': -1.6128991, '6': -2.5115368, '7': -1.3404839, '9': -2.3608658}
{'2': -2.1620157, '3': -1.5945834, '6': -2.5016284, '7': -1.4278944, '9': -2.3888223}
{'7': -1.3951058, '3': -1.6035581, '2': -2.139073, '9': -2.3321595, '6': -2.5388246}
{'2': -2.1842043, '3': -1.5841297, '6': -2.5048296, '7': -1.4048313, '9': -2.3839593}
{'2': -2.1329715, '3': -1.5850835, '6': -2.5203671, '7': -1.4160371, '9': -2.3801446}
{'7': -1.4853615, '3': -1.5793422, '2': -2.0026133, '9': -2.4090276, '6': -2.5028746}
{'7': -1.256936, '3': -1.6816148, '2': -2.250447, '9': -2.2954588, '8': -2.5512972}
{'2': -2.0408401, '3': -1.5906849, '4': -2.527588, '7': -1.5269735, '9': -2.303257}
{'2': -2.1560166, '3': -1.6236584, '4': -2.4908726, '7': -1.3370202, '9': -2.3707898}
{'2': -2.1738024, '3': -1.6329755, '6': -2.5248537, '7': -1.4252747, '9': -2.2978544}
{'7': -1.289735, '3': -1.6215887, '2': -2.1718552, '9': -2.4419663, '4': -2.5000584}
{'7': -1.3758882, '3': -1.5691276, '2': -2.1801884, '9': -2.414489, '4': -2.4864135}
{'2': -2.1571908, '3': -1.609839, '4': -2.5146985, '7': -1.4158826, '9': -2.3314748}
{'7': -1.4592774, '3': -1.5834326, '2': -2.137712, '9': -2.3648083, '4': -2.502742}
{'7': -1.4060326, '3': -1.6062716, '2': -2.138628, '9': -2.301779, '4': -2.5232773}
{'7': -1.4342899, '3': -1.5864218, '2': -2.1558762, '9': -2.321255, '4': -2.4989853}
{'7': -1.3169191, '3': -1.6092622, '2': -2.1739023, '9': -2.416374, '4': -2.4630544}
{'7': -1.4510013, '3': -1.6120217, '2': -2.1264927, '9': -2.3481915, '4': -2.4878724}
{'7': -1.393047, '3': -1.6009786, '2': -2.1892526, '9': -2.317684, '6': -2.5034578}
{'2': -2.131232, '3': -1.6010064, '4': -2.5012367, '7': -1.4610506, '9': -2.3569708}
{'7': -1.4351197, '3': -1.6024419, '2': -2.1378844, '9': -2.3547804, '4': -2.50511}
{'7': -1.474911, '3': -1.5734503, '2': -2.125353, '9': -2.3825629, '4': -2.482302}
{'2': -2.1369312, '3': -1.610749, '4': -2.5534484, '7': -1.3949078, '9': -2.3132353}
{'7': -1.406836, '3': -1.6010652, '2': -2.1971593, '9': -2.3317723, '6': -2.4983544}
{'2': -2.2101781, '3': -1.6267258, '6': -2.4915538, '7': -1.3697869, '9': -2.2961059}
{'2': -2.1197035, '3': -1.6038727, '4': -2.5183089, '7': -1.4640716, '9': -2.3426802}
{'2': -2.1673145, '3': -1.6149769, '6': -2.497984, '7': -1.3998431, '9': -2.302061}
{'7': -1.4676512, '3': -1.611471, '2': -2.1346664, '9': -2.3168144, '4': -2.5021915}
{'2': -2.1149437, '3': -1.5947394, '4': -2.5075984, '7': -1.4553102, '9': -2.3649116}
{'2': -2.138858, '3': -1.5913136, '6': -2.477338, '7': -1.4712498, '9': -2.3635454}
{'7': -1.3489194, '3': -1.6798692, '2': -2.2505288, '9': -2.3129394, '8': -2.5425954}
{'7': -1.4660875, '3': -1.584942, '2': -2.1432116, '9': -2.378996, '4': -2.5234568}
{'2': -2.1880803, '3': -1.6355938, '6': -2.523314, '7': -1.3972515, '9': -2.2933717}
{'2': -2.1430147, '3': -1.6073891, '6': -2.4835548, '7': -1.4623716, '9': -2.3510454}
{'2': -2.1111772, '3': -1.5930477, '4': -2.5045984, '7': -1.4266754, '9': -2.3484266}
{'2': -2.152018, '3': -1.6068692, '6': -2.4748788, '7': -1.465569, '9': -2.3647485}
{'2': -2.1397758, '3': -1.6015391, '6': -2.4788525, '7': -1.4473814, '9': -2.3371806}
{'7': -1.360219, '3': -1.6393614, '2': -2.2273474, '9': -2.4039106, '8': -2.5212011}
{'2': -2.04458, '3': -1.5892731, '4': -2.4910884, '7': -1.3718524, '9': -2.3883357}
{'2': -2.1129763, '3': -1.5577871, '4': -2.4817011, '7': -1.3858035, '9': -2.4442751}
{'2': -2.240074, '3': -1.6534308, '4': -2.4936845, '7': -1.2386473, '9': -2.4597585}
{'7': -1.2583718, '3': -1.6349282, '2': -2.3290753, '9': -2.4689374, '4': -2.493754}
{'7': -1.2795875, '3': -1.6309572, '2': -2.2032611, '4': -2.444598, '9': -2.4995258}
{'2': -2.1688485, '3': -1.5750813, '6': -2.4675336, '7': -1.4137272, '9': -2.3923173}
{'2': -2.2512467, '3': -1.5998566, '6': -2.46631, '7': -1.337314, '9': -2.4128773}
{'7': -1.4175634, '3': -1.5681715, '2': -2.1807184, '9': -2.4364233, '4': -2.4495993}
{'7': -1.2643248, '3': -1.6043001, '2': -2.203431, '4': -2.4753368, '9': -2.5286834}
{'7': -1.3422097, '3': -1.5666798, '2': -2.1752956, '4': -2.442132, '9': -2.5308943}
{'2': -2.1916273, '3': -1.597015, '4': -2.449436, '7': -1.3190361, '9': -2.4964178}
{'7': -1.4331981, '3': -1.5620719, '2': -2.1492264, '9': -2.4333754, '4': -2.4432995}
{'7': -1.2999961, '3': -1.5973366, '2': -2.2340286, '9': -2.4833174, '4': -2.4855947}
{'7': -1.4472649, '3': -1.5989583, '2': -2.142118, '9': -2.4188151, '4': -2.479644}
{'2': -2.1598792, '3': -1.5929847, '4': -2.4907868, '7': -1.4212698, '9': -2.4002602}
{'2': -2.1611784, '3': -1.5611132, '6': -2.4521942, '7': -1.4654672, '9': -2.4100435}
{'7': -1.2980069, '3': -1.616183, '2': -2.1867588, '9': -2.436484, '4': -2.473956}
{'2': -2.2005148, '3': -1.5691348, '4': -2.4699907, '7': -1.4094666, '9': -2.3940039}
{'7': -1.3569814, '3': -1.5821174, '2': -2.1425784, '9': -2.4467432, '4': -2.451769}
{'7': -1.388882, '3': -1.5912422, '2': -2.209416, '9': -2.4039671, '4': -2.4567323}
{'2': -2.1309984, '3': -1.5884303, '4': -2.4597185, '7': -1.381195, '9': -2.4376237}
{'7': -1.4088552, '3': -1.5627002, '2': -2.1181085, '4': -2.410835, '9': -2.504709}
{'7': -1.3861054, '3': -1.602826, '2': -2.1598938, '9': -2.4005423, '4': -2.4617052}
{'2': -2.2140899, '3': -1.58847, '4': -2.445472, '7': -1.3830427, '9': -2.4255307}
{'7': -1.4637119, '3': -1.6180489, '2': -2.1322834, '9': -2.3208954, '6': -2.4732888}
{'7': -1.4802555, '3': -1.6024097, '2': -2.130568, '9': -2.3821054, '6': -2.4754434}
{'2': -2.1860483, '3': -1.6238154, '4': -2.4736156, '7': -1.3579023, '9': -2.4052503}
{'2': -2.1273894, '3': -1.601276, '6': -2.4269502, '7': -1.4900013, '9': -2.3757856}
{'2': -2.192735, '3': -1.616586, '6': -2.454969, '7': -1.4050707, '9': -2.329507}
{'7': -1.4404637, '3': -1.6088328, '2': -2.1838186, '9': -2.3634868, '6': -2.39591}
{'2': -2.1347363, '3': -1.5830206, '6': -2.456342, '7': -1.4708054, '9': -2.3501675}
{'2': -2.1502573, '3': -1.576916, '6': -2.4424915, '7': -1.4852622, '9': -2.3939574}
{'2': -2.1997187, '3': -1.6160053, '4': -2.492964, '7': -1.3236698, '9': -2.386534}
