{'\n': -2.2317417, ' 4': -2.1409109, ' 5': -2.2281368, ' 6': -2.2501428, ' 8': -1.6070192}
{'\n': -1.4954125, ' 4': -2.2681642, ' 5': -2.3698995, ' 6': -2.43025, ' 8': -1.7925154}
{'\n': -1.8915483, ' 4': -2.0864775, ' 5': -2.2445843, ' 6': -2.3661292, ' 8': -1.5736487}
{'\n': -1.6739624, ' 8': -1.6851612, ' 4': -2.1947067, ' 5': -2.3056247, ' 6': -2.389571}
{'\n': -2.0325007, ' 4': -2.0942523, ' 5': -2.2264647, ' 6': -2.3107202, ' 8': -1.5388122}
{'\n': -2.379221, ' 4': -2.0441043, ' 5': -2.1561642, ' 6': -2.2239275, ' 8': -1.5297507}
{'\n': -1.8247539, ' 4': -2.137502, ' 5': -2.273391, ' 6': -2.3922274, ' 8': -1.6205342}
{'\n': -1.6814598, ' 4': -2.2147098, ' 5': -2.327125, ' 6': -2.3716474, ' 8': -1.6802726}
{' 8': -1.5141248, ' 4': -2.0513113, ' 5': -2.151983, ' 6': -2.2438908, '\n': -2.4289951}
{' 4': -2.0200713, ' 5': -2.144044, ' 6': -2.1711292, ' 7': -2.4061146, ' 8': -1.5444155}
{'\n': -2.031758, ' 4': -2.1471212, ' 5': -2.2266119, ' 6': -2.2827826, ' 8': -1.6214714}
{' 4': -1.9880608, ' 5': -2.106923, ' 6': -2.172076, ' 7': -2.3578148, ' 8': -1.5212249}
{'\n': -1.9189646, ' 4': -2.1905415, ' 5': -2.276605, ' 6': -2.3177693, ' 8': -1.6688836}
{' 4': -2.0189826, ' 5': -2.1330316, ' 6': -2.1688602, ' 7': -2.4036834, ' 8': -1.5249679}
{' 8': -1.7174114, '\n': -1.7329984, ' 4': -2.227365, ' 5': -2.3028445, ' 6': -2.3535485}
{'\n': -2.2522926, ' 4': -2.0729086, ' 5': -2.1871614, ' 6': -2.245081, ' 8': -1.6213905}
{'\n': -2.0112712, ' 4': -2.1745536, ' 5': -2.2762678, ' 6': -2.3198116, ' 8': -1.6391999}
{' 8': -1.5977573, ' 4': -2.118577, ' 6': -2.1531403, ' 5': -2.1824408, ' 3': -2.475221}
{'\n': -2.040527, ' 4': -2.1612368, ' 5': -2.2591639, ' 6': -2.3011894, ' 8': -1.6078109}
{' 8': -1.552765, ' 4': -2.0645144, ' 5': -2.167124, ' 6': -2.1690912, ' 7': -2.4448168}
{' 8': -1.6688633, '\n': -1.8780278, ' 4': -2.1951447, ' 5': -2.2719612, ' 6': -2.305997}
{' 4': -2.0732515, ' 5': -2.1578662, ' 6': -2.1606033, ' 7': -2.4724274, ' 8': -1.5643928}
{'\n': -1.7778962, ' 4': -2.2174428, ' 5': -2.2840867, ' 6': -2.308203, ' 8': -1.686333}
{' 8': -1.5617763, ' 4': -2.062648, ' 5': -2.1665251, ' 6': -2.1805239, ' 7': -2.4525673}
{' 3': -2.4390664, ' 4': -2.1439595, ' 5': -2.2129006, ' 6': -2.228849, ' 8': -1.6076282}
