{' 4': -2.1977098, ' 5': -2.3002927, ' 6': -2.224015, ' 8': -1.7868906, ' 9': -2.4438703}
{' 8': -1.7651438, ' 4': -2.208015, ' 6': -2.2115502, ' 5': -2.2796693, ' 9': -2.3622193}
{' 8': -1.6794453, ' 4': -2.134228, ' 6': -2.2245731, ' 5': -2.2311954, ' 9': -2.425786}
{' 8': -1.7057828, ' 4': -2.154664, ' 6': -2.2274377, ' 5': -2.2653236, ' 9': -2.3936586}
{' 8': -1.7185904, '\n': -2.0884483, ' 4': -2.2010858, ' 5': -2.3043199, ' 6': -2.3273027}
{' 4': -2.1261706, ' 5': -2.1872268, ' 6': -2.1779532, ' 8': -1.6680654, ' 9': -2.4444356}
{'\n': -2.0924997, ' 4': -2.1829135, ' 5': -2.2875242, ' 6': -2.383478, ' 8': -1.7074286}
{' 8': -1.7335725, ' 4': -2.1869617, ' 6': -2.2775738, ' 5': -2.2928548, ' 9': -2.427075}
{' 8': -1.6584318, ' 4': -2.127015, ' 5': -2.2182062, '\n': -2.226859, ' 6': -2.3225706}
{' 4': -2.1397884, ' 5': -2.2305133, ' 6': -2.1663215, ' 8': -1.7083967, ' 9': -2.4390676}
{' 8': -1.718439, ' 4': -2.2036467, ' 6': -2.3206358, ' 5': -2.3481503, ' 9': -2.4202292}
{' 8': -1.6754683, ' 4': -2.0582256, ' 5': -2.2012844, '\n': -2.2160597, ' 6': -2.260746}
{' 4': -2.2184117, ' 5': -2.3465953, ' 6': -2.3591552, ' 8': -1.7238154, ' 9': -2.3936474}
{' 8': -1.664179, ' 4': -2.0994198, ' 6': -2.1926794, ' 5': -2.1965973, ' 9': -2.461462}
{' 8': -1.7358824, ' 4': -2.2118957, ' 6': -2.3235395, ' 5': -2.333589, ' 9': -2.3795412}
{'\n': -2.4164796, ' 4': -2.1269343, ' 5': -2.234304, ' 6': -2.2907631, ' 8': -1.7194016}
{' 4': -2.1969657, ' 5': -2.3054843, ' 6': -2.2698655, ' 8': -1.7042576, ' 9': -2.3641384}
{' 4': -2.1968834, ' 5': -2.2431064, ' 6': -2.1676867, ' 8': -1.7460436, ' 9': -2.428198}
{' 8': -1.6953485, ' 4': -2.207717, ' 6': -2.309594, ' 5': -2.3183162, ' 9': -2.3930347}
{' 8': -1.683233, ' 4': -2.0880382, ' 5': -2.2146404, ' 6': -2.2782934, ' 7': -2.4589489}
{' 8': -1.7837129, '\n': -2.0420709, ' 4': -2.3013692, ' 5': -2.420051, ' 6': -2.4596708}
{' 8': -1.6863556, ' 4': -2.0491927, ' 5': -2.1967897, ' 6': -2.2508364, '\n': -2.453865}
{'\n': -2.1233249, ' 4': -2.2882943, ' 5': -2.3876834, ' 6': -2.3625293, ' 8': -1.7656674}
{'\n': -1.619376, ' 8': -1.7549502, ' 4': -2.205522, ' 5': -2.327152, ' 6': -2.4394405}
{' 8': -1.7273737, ' 4': -2.2102954, ' 6': -2.2815375, ' 5': -2.3212705, ' 9': -2.3784673}
{' 8': -1.7192812, ' 4': -2.1739902, ' 6': -2.1895065, ' 5': -2.260216, ' 9': -2.39192}
{' 8': -1.714826, ' 4': -2.2190135, ' 6': -2.2815335, ' 5': -2.3231976, ' 9': -2.3741095}
{' 8': -1.6822081, '\n': -2.0096092, ' 4': -2.1215591, ' 5': -2.246005, ' 6': -2.343611}
{' 4': -2.2083507, ' 5': -2.3292954, ' 6': -2.2929223, ' 8': -1.7195953, ' 9': -2.3749995}
{' 8': -1.7317406, ' 4': -2.1035295, '\n': -2.160046, ' 5': -2.2398877, ' 6': -2.3109787}
{' 4': -2.2521942, ' 5': -2.3615892, ' 6': -2.3452263, ' 8': -1.7547987, ' 9': -2.3801467}
{' 8': -1.7740064, ' 4': -2.1345038, '\n': -2.1507547, ' 5': -2.2715127, ' 6': -2.3410127}
{' 8': -1.7711165, ' 4': -2.1690838, '\n': -2.2883475, ' 5': -2.2892878, ' 6': -2.325147}
{' 8': -1.790523, ' 4': -2.2182536, ' 6': -2.2182784, ' 5': -2.2748942, '\n': -2.4730287}
{' 8': -1.6956745, ' 4': -2.1959465, ' 6': -2.3266733, ' 5': -2.3318603, ' 9': -2.3703017}
{' 8': -1.7041711, ' 4': -2.1602075, ' 6': -2.254542, ' 5': -2.278406, '\n': -2.4225664}
{' 4': -2.2247448, ' 5': -2.3576508, ' 6': -2.347435, ' 8': -1.7362604, ' 9': -2.4031334}
{'\n': -1.9237624, ' 4': -2.1814578, ' 5': -2.299388, ' 6': -2.4062731, ' 8': -1.7219297}
{' 8': -1.7807282, '\n': -2.2224197, ' 4': -2.2685888, ' 5': -2.4106271, ' 6': -2.4155538}
{'\n': -1.3867133, ' 8': -1.8495697, ' 4': -2.310694, ' 5': -2.456447, ' 6': -2.5754044}
{' 8': -1.785767, ' 4': -2.2544608, ' 6': -2.3631282, ' 5': -2.3802953, ' 9': -2.4263186}
{' 8': -1.7287049, ' 4': -2.1888766, '\n': -2.234055, ' 5': -2.2715247, ' 6': -2.2903523}
{'\n': -2.3298666, ' 4': -2.27331, ' 5': -2.409862, ' 6': -2.3862765, ' 8': -1.7874416}
{'\n': -1.4368075, ' 4': -2.311074, ' 5': -2.452506, ' 6': -2.5815923, ' 8': -1.8121365}
{' 8': -1.7774339, ' 4': -2.2680755, ' 6': -2.3837686, ' 5': -2.3925815, '\n': -2.4049335}
{' 8': -1.744702, '\n': -1.7817514, ' 4': -2.2270582, ' 5': -2.3412635, ' 6': -2.4511442}
{'\n': -2.135176, ' 4': -2.32551, ' 5': -2.4358447, ' 6': -2.4473984, ' 8': -1.8124629}
{'\n': -1.5245966, ' 8': -1.7882932, ' 4': -2.2935338, ' 5': -2.4083953, ' 6': -2.5465808}
{' 8': -1.7348398, ' 4': -2.2099035, ' 6': -2.3182518, ' 5': -2.3396811, ' 9': -2.3742242}
{' 4': -2.1809845, ' 5': -2.2587786, ' 6': -2.2131033, ' 8': -1.7823553, ' 9': -2.468421}
{' 4': -2.265995, ' 5': -2.3564262, ' 6': -2.3171873, ' 8': -1.7758846, ' 9': -2.4104624}
{'\n': -1.4954052, ' 8': -1.8545429, ' 4': -2.2934027, ' 5': -2.380766, ' 6': -2.484174}
{'\n': -2.290518, ' 4': -2.2823794, ' 5': -2.4120712, ' 6': -2.3875427, ' 8': -1.8098165}
{'\n': -1.873476, ' 4': -2.1995547, ' 5': -2.32514, ' 6': -2.3983803, ' 8': -1.7667248}
{'\n': -2.1746612, ' 4': -2.2775629, ' 5': -2.4240777, ' 6': -2.4095438, ' 8': -1.8069645}
{'\n': -1.6055177, ' 4': -2.2466931, ' 5': -2.3577123, ' 6': -2.4938493, ' 8': -1.7597841}
{' 4': -2.2639165, ' 5': -2.3767304, ' 6': -2.3380876, ' 8': -1.7956073, ' 9': -2.3942666}
{'\n': -2.0292513, ' 4': -2.184481, ' 5': -2.2974522, ' 6': -2.3751328, ' 8': -1.7975084}
{' 4': -2.2680275, ' 5': -2.4010537, ' 6': -2.3749938, ' 8': -1.8006222, ' 9': -2.4094765}
{'\n': -1.5653113, ' 4': -2.2680712, ' 5': -2.3792067, ' 6': -2.4963386, ' 8': -1.8009815}
{' 8': -1.794114, ' 4': -2.248332, ' 6': -2.3731525, ' 5': -2.3862655, ' 9': -2.4012938}
{'\n': -2.2371633, ' 4': -2.1488025, ' 5': -2.2726247, ' 6': -2.3379626, ' 8': -1.7140043}
{' 8': -1.7994471, ' 4': -2.2345572, ' 6': -2.3517046, ' 5': -2.3833258, ' 9': -2.404069}
{'\n': -2.0475793, ' 4': -2.1374843, ' 5': -2.2887416, ' 6': -2.3612933, ' 8': -1.7617432}
{' 8': -1.6694132, ' 4': -2.0823743, ' 6': -2.2492692, ' 5': -2.3058515, ' 9': -2.4054477}
{' 8': -1.6904042, ' 4': -2.1216338, ' 6': -2.2245104, ' 5': -2.3153384, ' 9': -2.3926852}
