{'7': -0.580893, '8': -2.4521372, '3': -2.5488436, '9': -2.6949084, '5': -2.8463137}
{'7': -0.6399691, '8': -2.4376795, '3': -2.4424422, '9': -2.6595614, '5': -2.75133}
{'3': -2.646955, '5': -2.788297, '7': -0.59618515, '8': -2.3442512, '9': -2.7346702}
{'3': -2.4634738, '5': -2.7508693, '7': -0.64926475, '8': -2.385343, '9': -2.562383}
{'3': -2.7596376, '5': -2.8684404, '7': -0.52074426, '8': -2.3575764, '9': -2.9109724}
{'7': -0.5544983, '8': -2.3689017, '3': -2.6177633, '5': -2.8226104, '9': -2.894735}
{'3': -2.722228, '5': -2.821103, '7': -0.52851784, '8': -2.3727598, '9': -2.8535984}
{'7': -0.5674716, '8': -2.416053, '3': -2.5673819, '9': -2.795602, '5': -2.8111963}
{'3': -2.709375, '5': -2.8284621, '7': -0.51949644, '8': -2.360828, '9': -2.9350467}
{'7': -0.49782678, '8': -2.4596817, '3': -2.6349308, '9': -2.8647397, '5': -2.871686}
{'7': -0.5476897, '8': -2.3624575, '3': -2.705479, '5': -2.8588371, '9': -2.9432297}
{'3': -2.571621, '5': -2.7815895, '7': -0.54694945, '8': -2.4934084, '9': -2.788603}
{'3': -2.583529, '5': -2.78348, '7': -0.6343444, '8': -2.3432124, '9': -2.6112752}
{'7': -0.5378745, '8': -2.4578745, '3': -2.5852911, '5': -2.7932606, '9': -2.8247855}
{'3': -2.6828353, '5': -2.8627667, '7': -0.63687587, '8': -2.2932403, '9': -2.6754634}
{'3': -2.4880624, '5': -2.701378, '7': -0.5656665, '8': -2.4821188, '9': -2.9202769}
{'3': -2.4827478, '5': -2.780485, '7': -0.62322015, '8': -2.4209132, '9': -2.6244256}
{'7': -0.51959383, '8': -2.465757, '3': -2.5785155, '9': -2.759746, '5': -2.85605}
{'3': -2.4162877, '5': -2.7063382, '7': -0.62796146, '8': -2.447984, '9': -2.704303}
{'7': -0.55526346, '8': -2.4717636, '3': -2.5049703, '9': -2.758648, '5': -2.7948127}
{'7': -0.5904946, '8': -2.3482556, '3': -2.5504687, '9': -2.671124, '5': -2.817616}
{'7': -0.5284354, '8': -2.4371917, '3': -2.639735, '9': -2.7006345, '5': -2.841702}
{'7': -0.6326215, '8': -2.3656423, '3': -2.4567542, '9': -2.6840818, '5': -2.7334132}
