{' 4': -1.8759372, ' 5': -2.0415103, ' 6': -1.9434497, ' 7': -2.378564, ' 8': -1.4408824}
{' 8': -1.4955126, ' 4': -1.9753815, ' 6': -2.1116588, ' 5': -2.139405, ' 3': -2.4504564}
{' 4': -1.9976414, ' 5': -2.148177, ' 6': -2.1497123, ' 7': -2.472271, ' 8': -1.5046337}
{' 8': -1.5611924, '\n': -1.8877611, ' 4': -2.0945263, ' 5': -2.2317, ' 6': -2.2951193}
{'\n': -2.1258261, ' 4': -2.0481808, ' 5': -2.199221, ' 6': -2.203359, ' 8': -1.5632946}
{' 8': -1.5586276, '\n': -2.0287347, ' 4': -2.0682502, ' 5': -2.2109628, ' 6': -2.2536244}
{'\n': -1.7329443, ' 4': -2.1336477, ' 5': -2.2792518, ' 6': -2.3263938, ' 8': -1.6342437}
{' 8': -1.6169139, '\n': -1.7568055, ' 4': -2.1134958, ' 5': -2.2679834, ' 6': -2.3506615}
{' 8': -1.5405066, ' 4': -2.0247948, ' 6': -2.1266243, ' 5': -2.1583626, ' 3': -2.4732146}
{' 8': -1.5736704, '\n': -2.0297728, ' 4': -2.0884533, ' 5': -2.232911, ' 6': -2.2334185}
{' 8': -1.6184965, '\n': -2.0256326, ' 4': -2.0910738, ' 6': -2.2140937, ' 5': -2.214381}
{' 8': -1.5869377, '\n': -1.985275, ' 4': -2.0667017, ' 5': -2.212556, ' 6': -2.2528598}
{' 8': -1.6750556, '\n': -1.7330916, ' 4': -2.189707, ' 6': -2.2709305, ' 5': -2.281935}
{' 8': -1.6335356, '\n': -1.8542072, ' 4': -2.1437886, ' 5': -2.2615025, ' 6': -2.2654994}
{' 8': -1.6739881, '\n': -1.6996697, ' 4': -2.201125, ' 5': -2.2944136, ' 6': -2.3127296}
{' 8': -1.6045462, '\n': -2.0321205, ' 4': -2.1040294, ' 5': -2.2238615, ' 6': -2.2441242}
{' 8': -1.5428244, ' 4': -1.9766184, ' 6': -2.1195045, ' 5': -2.1472898, ' 3': -2.4398115}
{' 8': -1.5671564, ' 4': -2.0877395, '\n': -2.1033654, ' 6': -2.2208374, ' 5': -2.2335896}
{' 8': -1.6324823, '\n': -1.920757, ' 4': -2.1201856, ' 6': -2.2301633, ' 5': -2.2341185}
{'\n': -1.8302795, ' 4': -2.1046336, ' 5': -2.2514727, ' 6': -2.3106587, ' 8': -1.6109316}
{'\n': -2.1770308, ' 4': -2.0765734, ' 5': -2.1965828, ' 6': -2.1754658, ' 8': -1.5991842}
{' 8': -1.5566119, ' 4': -2.0507972, ' 6': -2.1739597, ' 5': -2.1887197, '\n': -2.2748146}
