{' 3': -2.3886826, ' 4': -1.9845374, ' 5': -2.085748, ' 6': -1.9907154, ' 8': -1.559993}
{' 4': -2.023427, ' 5': -2.122302, ' 6': -2.0855017, ' 7': -2.3567345, ' 8': -1.4320308}
{' 8': -1.4599137, ' 4': -2.0311856, ' 6': -2.1057792, ' 5': -2.139814, ' 7': -2.394113}
{' 8': -1.4816054, ' 4': -2.047527, ' 6': -2.1488667, ' 5': -2.1595352, ' 7': -2.3985443}
{' 4': -2.0320601, ' 5': -2.137338, ' 6': -2.0892844, ' 7': -2.4021735, ' 8': -1.4736007}
{' 8': -1.487602, ' 4': -2.0504503, ' 6': -2.0982609, ' 5': -2.1418827, ' 7': -2.400815}
{' 8': -1.5338265, ' 4': -2.0937917, ' 6': -2.0946586, ' 5': -2.160381, ' 7': -2.4282691}
{' 4': -2.0631826, ' 5': -2.1629016, ' 6': -2.1391344, ' 7': -2.3984802, ' 8': -1.5139158}
{' 4': -2.0206656, ' 5': -2.1317527, ' 6': -2.106135, ' 7': -2.3864436, ' 8': -1.4739186}
{' 4': -2.0521302, ' 5': -2.144464, ' 6': -2.1031225, ' 7': -2.413094, ' 8': -1.4895587}
{' 4': -2.0570033, ' 5': -2.1403658, ' 6': -2.0895894, ' 7': -2.4157574, ' 8': -1.5110247}
{' 8': -1.5187281, ' 4': -2.065315, ' 6': -2.1096933, ' 5': -2.1490705, ' 7': -2.4092252}
{' 8': -1.5110881, ' 4': -2.0732412, ' 6': -2.1291237, ' 5': -2.166212, ' 7': -2.4089413}
{' 8': -1.5339541, ' 4': -2.1069493, ' 6': -2.1201646, ' 5': -2.187203, ' 7': -2.4499297}
{' 8': -1.5505433, ' 4': -2.0829225, ' 6': -2.0953186, ' 5': -2.15406, ' 7': -2.4288259}
{' 4': -2.0888937, ' 5': -2.165529, ' 6': -2.1166008, ' 7': -2.4200923, ' 8': -1.5501087}
{' 8': -1.4955881, ' 4': -2.0260644, ' 6': -2.0558078, ' 5': -2.116989, ' 7': -2.4090374}
{' 4': -2.037539, ' 5': -2.1393597, ' 6': -2.1063197, ' 7': -2.4051032, ' 8': -1.4660494}
{' 4': -2.010314, ' 5': -2.1241646, ' 6': -2.072051, ' 7': -2.4073296, ' 8': -1.463481}
{' 8': -1.4860383, ' 4': -2.050748, ' 6': -2.0833733, ' 5': -2.133036, ' 7': -2.4118044}
{' 8': -1.509815, ' 6': -2.0515325, ' 4': -2.0518463, ' 5': -2.1332636, ' 9': -2.4282665}
{' 4': -2.0504456, ' 5': -2.137845, ' 6': -2.0625753, ' 7': -2.4166603, ' 8': -1.494916}
{' 4': -2.0672245, ' 5': -2.123996, ' 6': -2.041836, ' 8': -1.5522605, ' 9': -2.4078918}
{' 8': -1.5544256, ' 6': -2.05098, ' 4': -2.0833266, ' 5': -2.1397736, ' 3': -2.4345117}
{' 8': -1.5373675, ' 6': -2.0452878, ' 4': -2.0721967, ' 5': -2.130736, ' 9': -2.3840377}
{' 4': -2.077211, ' 5': -2.1590235, ' 6': -2.09015, ' 7': -2.4410908, ' 8': -1.5076916}
{' 4': -2.082653, ' 5': -2.1361885, ' 6': -2.0224752, ' 8': -1.5230627, ' 9': -2.416978}
{' 4': -2.076138, ' 5': -2.1376464, ' 6': -2.0313401, ' 8': -1.5349488, ' 9': -2.4229054}
{' 4': -2.0703056, ' 5': -2.1223552, ' 6': -2.038552, ' 8': -1.5409371, ' 9': -2.367912}
{' 8': -1.5195917, ' 6': -2.0497584, ' 4': -2.0809407, ' 5': -2.1373153, ' 9': -2.4086623}
{' 4': -2.086825, ' 5': -2.1331363, ' 6': -2.052691, ' 8': -1.5549225, ' 9': -2.4086833}
{' 8': -1.5596234, ' 6': -2.06262, ' 4': -2.0914571, ' 5': -2.138538, ' 9': -2.4305513}
{' 4': -2.042708, ' 5': -2.1557376, ' 6': -2.079596, ' 7': -2.4306362, ' 8': -1.5226742}
{' 8': -1.4862798, ' 4': -2.0486815, ' 6': -2.0984864, ' 5': -2.155637, ' 7': -2.4159875}
{' 8': -1.484227, ' 4': -2.0155485, ' 6': -2.067565, ' 5': -2.1405761, ' 7': -2.4159143}
{' 8': -1.4992348, ' 4': -2.073961, ' 6': -2.1051157, ' 5': -2.1650004, ' 7': -2.4314}
{' 4': -2.051619, ' 5': -2.1978354, ' 6': -2.132235, ' 7': -2.4245489, ' 8': -1.4966607}
{' 8': -1.5269172, ' 4': -2.0494287, ' 6': -2.0875623, ' 5': -2.1654172, ' 7': -2.4411237}
{' 8': -1.529787, ' 4': -2.0681322, ' 6': -2.0914524, ' 5': -2.1794508, ' 3': -2.4474163}
{' 4': -2.0916257, ' 5': -2.208379, ' 6': -2.122892, ' 7': -2.440477, ' 8': -1.545873}
{' 8': -1.5393993, ' 6': -2.0606756, ' 4': -2.0687447, ' 5': -2.1620035, ' 9': -2.4349794}
{' 8': -1.5216064, ' 4': -2.0478182, ' 6': -2.048317, ' 5': -2.1562185, ' 9': -2.4133215}
