{'7': -0.4728018, '8': -2.5219274, '3': -2.6815994, '9': -2.8492036, '5': -3.0051484}
{'7': -0.48549643, '8': -2.494709, '3': -2.6152458, '9': -2.875122, '5': -2.9287148}
{'7': -0.5011207, '8': -2.4204187, '3': -2.7778099, '5': -2.8353987, '9': -2.870299}
{'7': -0.5003459, '8': -2.4526432, '3': -2.6812503, '9': -2.8625684, '5': -2.878476}
{'7': -0.482042, '8': -2.411123, '9': -2.8650606, '3': -2.8877847, '5': -2.8889253}
{'3': -2.8229563, '5': -2.8829596, '7': -0.4645524, '8': -2.4877667, '9': -2.8968775}
{'3': -2.7477274, '5': -2.9209433, '7': -0.45688727, '8': -2.5461972, '9': -2.9213667}
{'7': -0.49183938, '8': -2.4810896, '3': -2.6923227, '9': -2.8324995, '5': -2.8573523}
{'3': -2.903613, '5': -2.8251812, '7': -0.49867156, '8': -2.389718, '9': -2.8207502}
{'7': -0.44706467, '8': -2.4451382, '9': -2.8926919, '3': -2.8944657, '5': -2.9233217}
{'3': -2.688748, '5': -2.8331301, '7': -0.5024819, '8': -2.4880452, '9': -2.7985692}
{'7': -0.52810985, '8': -2.4384072, '3': -2.6690838, '9': -2.7597535, '5': -2.8446152}
{'3': -2.6751697, '5': -2.8399534, '7': -0.5001418, '8': -2.5043075, '9': -2.9065785}
{'3': -2.6069705, '5': -2.8243413, '7': -0.50650465, '8': -2.5253282, '9': -2.846167}
{'3': -2.5823982, '5': -2.805001, '7': -0.5451229, '8': -2.5073478, '9': -2.7920883}
{'7': -0.511075, '8': -2.4405415, '3': -2.7296934, '9': -2.804, '5': -2.8190718}
{'3': -2.8748677, '5': -2.8556225, '7': -0.4583982, '8': -2.494653, '9': -2.880521}
{'7': -0.43106157, '8': -2.5320556, '5': -2.8110948, '3': -2.8424957, '9': -3.0136611}
{'7': -0.5077038, '8': -2.5438404, '3': -2.6549988, '5': -2.768612, '9': -2.8455048}
{'7': -0.48739618, '8': -2.5249958, '3': -2.6916504, '5': -2.827507, '9': -2.8595657}
{'3': -2.8090136, '5': -2.8769188, '7': -0.46562994, '8': -2.4962542, '9': -2.8609202}
{'7': -0.5166906, '8': -2.4729152, '3': -2.6681168, '5': -2.7726777, '9': -2.828315}
{'3': -2.515686, '5': -2.837406, '7': -0.5196896, '8': -2.5633774, '9': -2.816658}
{'3': -2.66094, '5': -2.8794973, '7': -0.47097957, '8': -2.5537164, '9': -2.8441293}
{'3': -2.6967595, '5': -2.817659, '7': -0.49617523, '8': -2.4997284, '9': -2.8359408}
{'3': -2.63912, '5': -2.7848456, '7': -0.52314776, '8': -2.4766676, '9': -2.8242762}
{'7': -0.5606777, '3': -2.4422238, '8': -2.565072, '9': -2.7739666, '5': -2.778205}
{'3': -2.5364177, '5': -2.805962, '7': -0.5351017, '8': -2.5451477, '9': -2.7572925}
{'3': -2.6555471, '5': -2.846795, '7': -0.48053473, '8': -2.5529642, '9': -2.896474}
{'3': -2.5881908, '5': -2.7890291, '7': -0.53054917, '8': -2.5014029, '9': -2.8223674}
{'7': -0.5201217, '8': -2.578912, '3': -2.589593, '5': -2.8136606, '9': -2.8399534}
{'3': -2.6730556, '5': -2.843971, '7': -0.5000056, '8': -2.5034485, '9': -2.7923124}
{'7': -0.4739867, '8': -2.5724268, '3': -2.6531074, '5': -2.82837, '9': -2.8518038}
{'3': -2.7780607, '5': -2.849083, '7': -0.4228307, '8': -2.6032925, '9': -3.06151}
{'7': -0.4880852, '3': -2.6060033, '8': -2.6458762, '5': -2.7651372, '9': -3.0097888}
{'7': -0.44492832, '8': -2.635566, '3': -2.7038567, '5': -2.8208323, '9': -2.995782}
{'3': -2.6382792, '5': -2.8013499, '7': -0.4647107, '8': -2.6372972, '9': -2.93693}
{'3': -2.5131605, '5': -2.802957, '7': -0.50282645, '8': -2.568487, '9': -2.99431}
{'7': -0.51269454, '3': -2.494401, '8': -2.6328347, '5': -2.7944272, '9': -2.8780453}
{'7': -0.475856, '3': -2.5459778, '8': -2.6504357, '5': -2.8224537, '9': -2.8662348}
{'7': -0.4653353, '8': -2.5581467, '3': -2.665933, '9': -2.8178608, '5': -2.9084847}
{'3': -2.596446, '5': -2.870158, '7': -0.4978075, '8': -2.5309649, '9': -2.777482}
{'7': -0.52695507, '8': -2.5599005, '3': -2.5802367, '5': -2.790703, '9': -2.8076577}
{'7': -0.5310804, '3': -2.47715, '8': -2.5635014, '9': -2.7542725, '5': -2.8262308}
{'3': -2.4710362, '5': -2.8378823, '7': -0.53678435, '8': -2.5656273, '9': -2.7613747}
{'3': -2.4925895, '5': -2.8538394, '7': -0.52001905, '8': -2.5702796, '9': -2.7959435}
{'3': -2.428847, '5': -2.799336, '7': -0.54845685, '8': -2.5993218, '9': -2.767289}
{'3': -2.5251834, '5': -2.889256, '7': -0.5213555, '8': -2.5656402, '9': -2.6810386}
{'3': -2.693551, '5': -2.9347677, '7': -0.44801056, '8': -2.579587, '9': -2.890445}
{'7': -0.44309726, '8': -2.5732872, '3': -2.7263517, '5': -2.8789432, '9': -2.9695463}
{'3': -2.4831998, '5': -2.728569, '7': -0.5387057, '8': -2.627241, '9': -2.862417}
{'7': -0.45163327, '8': -2.6186235, '3': -2.6801794, '5': -2.8757799, '9': -2.915531}
