{'3': -1.8392805, '4': -2.5310395, '7': -1.0160192, '8': -2.5320258, '9': -2.459985}
{'2': -2.5220282, '3': -1.8102418, '5': -2.5376818, '7': -1.0038397, '9': -2.519871}
{'7': -0.8217246, '3': -2.0092473, '8': -2.5557353, '5': -2.5955567, '4': -2.644513}
{'3': -1.9103284, '4': -2.5991235, '5': -2.5899036, '7': -0.8615347, '8': -2.6142812}
{'3': -2.004284, '4': -2.6023786, '7': -0.85114455, '8': -2.5425298, '9': -2.53191}
{'3': -2.067044, '4': -2.6434584, '5': -2.5881908, '7': -0.78229994, '8': -2.568257}
{'3': -1.9584041, '4': -2.568275, '7': -0.8732256, '8': -2.558708, '9': -2.5393002}
{'3': -1.9688017, '4': -2.6284046, '5': -2.6084197, '7': -0.8165934, '8': -2.6137218}
{'7': -0.87285453, '3': -1.955479, '9': -2.4956248, '8': -2.5838666, '4': -2.6003573}
{'3': -2.050234, '5': -2.641667, '7': -0.7900909, '8': -2.5986772, '9': -2.5863767}
{'7': -0.8758435, '3': -1.9479718, '9': -2.5407357, '4': -2.5456815, '8': -2.5798402}
{'7': -0.8766115, '3': -1.929054, '4': -2.4947047, '5': -2.5509546, '9': -2.6001105}
{'2': -2.5932188, '3': -1.8750411, '4': -2.5251553, '5': -2.5890932, '7': -0.90102875}
{'7': -0.91145545, '3': -1.8912834, '4': -2.5199454, '9': -2.5411475, '5': -2.5937712}
{'3': -1.899215, '4': -2.53235, '5': -2.5769093, '7': -0.9089617, '9': -2.5813935}
{'2': -2.5299814, '3': -1.8477703, '4': -2.5052183, '5': -2.5679014, '7': -0.9188916}
{'3': -1.9339558, '4': -2.53524, '5': -2.6168478, '7': -0.8526855, '8': -2.6019588}
{'3': -2.078732, '4': -2.6985724, '5': -2.626261, '7': -0.74724996, '8': -2.5923827}
{'7': -0.7528521, '3': -2.0344357, '5': -2.6652515, '8': -2.6792207, '9': -2.6856961}
{'3': -1.9831508, '4': -2.6161122, '5': -2.6417718, '7': -0.7993913, '9': -2.6298509}
{'7': -0.8346854, '3': -1.9685354, '4': -2.5333226, '8': -2.5759172, '9': -2.6026487}
{'3': -2.0425487, '4': -2.6747203, '5': -2.6215036, '7': -0.7493053, '8': -2.657827}
{'3': -2.0451841, '4': -2.6652882, '7': -0.78104496, '8': -2.6087675, '9': -2.5892684}
{'3': -2.019139, '5': -2.638951, '7': -0.80140185, '8': -2.6038291, '9': -2.574206}
{'3': -1.8901685, '4': -2.5149436, '5': -2.615644, '7': -0.86915725, '9': -2.5993667}
{'7': -0.7885217, '3': -2.006278, '4': -2.6198187, '5': -2.6296415, '8': -2.6607885}
{'3': -1.9170374, '4': -2.4916184, '5': -2.5832229, '7': -0.8861918, '9': -2.5547974}
{'3': -1.883188, '4': -2.4600637, '5': -2.5816839, '7': -0.90673035, '9': -2.5753913}
{'7': -0.6443785, '3': -2.2301996, '5': -2.6506612, '8': -2.7396483, '9': -2.752367}
{'7': -0.7978425, '3': -2.0258048, '9': -2.5978303, '8': -2.6303408, '4': -2.632149}
{'7': -0.8831595, '3': -1.9296169, '4': -2.532959, '9': -2.564554, '8': -2.589134}
{'2': -2.4612803, '3': -1.7760844, '4': -2.4746222, '5': -2.5618494, '7': -0.9923759}
{'7': -0.8499669, '3': -1.9277983, '4': -2.5494509, '9': -2.5751905, '5': -2.6042528}
{'3': -2.0127523, '4': -2.6001337, '7': -0.8059347, '8': -2.5741365, '9': -2.558439}
{'7': -0.81817913, '3': -1.9422846, '4': -2.5738192, '5': -2.5976095, '8': -2.665145}
{'7': -0.77078205, '3': -2.0453832, '5': -2.6342313, '8': -2.646917, '9': -2.6481624}
{'7': -0.84055847, '3': -1.9058299, '4': -2.516399, '5': -2.574098, '8': -2.651876}
{'3': -2.263639, '5': -2.613765, '7': -0.6158404, '8': -2.778722, '9': -2.7879994}
{'3': -2.3322413, '5': -2.6433947, '7': -0.588299, '8': -2.828949, '9': -2.8272438}
{'3': -1.9110702, '4': -2.501698, '5': -2.600302, '7': -0.8647198, '9': -2.6104646}
{'3': -1.9395669, '4': -2.5348923, '5': -2.5778859, '7': -0.82966536, '8': -2.6427968}
{'3': -2.0559354, '4': -2.6673915, '5': -2.5918186, '7': -0.7430502, '8': -2.6807218}
{'3': -2.0036926, '4': -2.636158, '5': -2.6493702, '7': -0.7917233, '8': -2.628708}
{'7': -0.83349115, '3': -2.003535, '4': -2.5551748, '8': -2.5863867, '5': -2.5866745}
{'7': -0.59001136, '3': -2.3373675, '5': -2.6722598, '9': -2.7373595, '8': -2.7548692}
{'3': -2.0794427, '4': -2.6530168, '5': -2.6297147, '7': -0.7474306, '8': -2.617149}
{'7': -0.5948463, '3': -2.3217673, '5': -2.6769176, '9': -2.7326083, '8': -2.7768798}
{'7': -0.7865142, '3': -2.013874, '8': -2.6170864, '5': -2.624567, '4': -2.6261709}
{'7': -0.8207429, '3': -1.9593861, '4': -2.5321972, '5': -2.6133606, '8': -2.6255584}
{'7': -0.7445552, '3': -2.0369022, '5': -2.6402004, '4': -2.6630692, '8': -2.7050903}
{'3': -1.9749024, '4': -2.5222294, '5': -2.5930643, '7': -0.80244374, '8': -2.6762247}
{'2': -2.6472354, '3': -1.9038024, '4': -2.4590354, '5': -2.5841136, '7': -0.8566393}
{'3': -1.9619466, '4': -2.4905949, '7': -0.85206807, '8': -2.590771, '9': -2.5417976}
{'3': -2.106047, '5': -2.640911, '7': -0.73305535, '8': -2.6336842, '9': -2.6588614}
{'7': -0.852514, '3': -1.952894, '4': -2.487276, '5': -2.5952356, '9': -2.6219711}
{'7': -0.865415, '3': -1.9084371, '4': -2.4528956, '5': -2.5513775, '8': -2.6561139}
{'3': -1.9336814, '4': -2.5273895, '5': -2.6146371, '7': -0.8323973, '8': -2.630964}
{'3': -1.920678, '4': -2.5074492, '5': -2.5746753, '7': -0.83694744, '8': -2.6661386}
{'7': -0.80732274, '3': -2.0042186, '4': -2.5362027, '5': -2.603019, '8': -2.615947}
